partner,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
DAC,PC,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.08 ,0.13 ,0.09 ,0.07 ,0.10 ,0.13 b,0.12 ,0.13 ,0.13 
DAC,PC,HU,: ,: ,: ,: ,0.07 ,0.11 ,0.13 ,0.08 ,0.08 ,0.10 ,0.09 ,0.11 ,0.10 ,0.10 ,0.11 ,0.13 ,0.17 ,0.11 ,0.21 b,0.21 ,0.27 ,0.28 
DAC,PC,IE,0.29 ,0.33 ,0.40 ,0.39 ,0.39 ,0.42 ,0.54 ,0.55 ,0.59 ,0.54 ,0.52 ,0.51 ,0.47 ,0.46 ,0.38 ,0.32 ,0.32 ,0.32 ,0.31 b,0.32 ,0.31 ,0.30 
DAC,PC,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.23 ,0.22 ,0.24 ,0.28 ,0.28 ,0.28 b,0.25 ,0.27 ,0.28 
DAC,PC,IT,0.13 ,0.15 ,0.20 ,0.17 ,0.15 ,0.29 ,0.20 ,0.19 ,0.22 ,0.16 ,0.15 ,0.20 ,0.14 ,0.17 ,0.19 ,0.22 ,0.27 ,0.30 ,0.25 b,0.22 ,0.22 ,0.29 
DAC,PC,LT,: ,: ,: ,: ,0.04 ,0.06 ,0.08 ,0.11 ,0.11 ,0.11 ,0.10 ,0.13 ,0.13 ,0.11 ,0.10 ,0.12 ,0.14 ,0.13 ,0.12 b,0.13 ,0.13 ,0.14 
DAC,PC,LU,0.70 ,0.77 ,0.78 ,0.86 ,0.79 ,0.79 ,0.89 ,0.92 ,0.97 ,1.04 ,1.05 ,0.97 ,1.00 ,1.00 ,1.06 ,0.95 ,1.00 ,1.00 ,0.98 b,1.03 ,1.03 ,0.99 
DAC,PC,LV,: ,: ,: ,: ,0.06 ,0.07 ,0.06 ,0.06 ,0.07 ,0.07 ,0.06 ,0.07 ,0.07 ,0.08 ,0.08 ,0.09 ,0.11 ,0.11 ,0.10 b,0.10 ,0.12 ,0.12 
DAC,PC,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.18 ,0.18 ,0.25 ,0.23 ,0.20 ,0.20 ,0.17 ,0.20 ,0.21 ,0.25 b,0.30 ,0.40 ,0.34 
DAC,PC,NL,0.84 ,0.82 ,0.81 ,0.80 ,0.73 ,0.82 ,0.81 ,0.81 ,0.80 ,0.82 ,0.81 ,0.75 ,0.71 ,0.67 ,0.64 ,0.75 ,0.65 ,0.60 ,0.62 b,0.59 ,0.59 ,0.52 
DAC,PC,NO,0.76 ,0.80 ,0.89 ,0.92 ,0.87 ,0.94 ,0.89 ,0.95 ,0.89 ,1.06 ,1.05 ,0.96 ,0.93 ,1.07 ,1.00 ,1.05 ,1.12 ,0.99 ,0.94 b,1.03 ,1.11 ,0.93 
DAC,PC,PL,: ,: ,: ,: ,0.05 ,0.07 ,0.09 ,0.10 ,0.08 ,0.09 ,0.08 ,0.08 ,0.09 ,0.10 ,0.09 ,0.10 ,0.15 ,0.13 ,0.14 b,0.14 ,0.14 ,0.15 
DAC,PC,PT,0.26 ,0.25 ,0.27 ,0.22 ,0.63 ,0.21 ,0.21 ,0.22 ,0.27 ,0.23 ,0.29 ,0.31 ,0.28 ,0.23 ,0.19 ,0.16 ,0.17 ,0.18 ,0.18 b,0.17 ,0.18 ,0.18 
DAC,PC,RO,: ,: ,: ,: ,: ,: ,: ,: ,0.09 ,0.08 ,0.07 ,0.09 ,0.09 ,0.07 ,0.11 ,0.09 ,0.11 ,0.11 ,0.11 b,0.10 ,0.13 ,0.15 
DAC,PC,SE,0.80 ,0.77 ,0.84 ,0.79 ,0.78 ,0.94 ,1.02 ,0.93 ,0.98 ,1.12 ,0.97 ,1.02 ,0.97 ,1.01 ,1.09 ,1.40 ,0.94 ,1.02 ,1.07 b,0.96 ,1.14 ,0.91 
DAC,PC,SI,: ,: ,: ,: ,: ,0.11 ,0.12 ,0.12 ,0.13 ,0.15 ,0.13 ,0.13 ,0.13 ,0.13 ,0.12 ,0.15 ,0.19 ,0.16 ,0.16 b,0.17 ,0.17 ,0.19 
DAC,PC,SK,: ,: ,: ,: ,0.07 ,0.12 ,0.10 ,0.09 ,0.10 ,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.10 ,0.12 ,0.13 ,0.13 b,0.11 ,0.14 ,0.14 
DAC,PC,UK,0.32 ,0.32 ,0.31 ,0.34 ,0.36 ,0.47 ,0.51 ,0.36 ,0.43 ,0.51 ,0.57 ,0.56 ,0.56 ,0.70 ,0.70 ,0.70 ,0.70 ,0.70 ,0.70 b,0.70 ,: ,: 
LDC,PC,AT,0.06 ,0.08 ,0.09 ,0.07 ,0.06 ,0.08 ,0.08 ,0.07 ,0.07 ,0.09 ,0.12 ,0.07 ,0.06 ,0.08 ,0.08 ,0.06 ,0.06 ,0.07 ,0.07 ,0.07 ,0.07 b,0.07 
LDC,PC,BE,0.11 ,0.14 ,0.15 ,0.36 ,0.19 ,0.16 ,0.18 ,0.17 ,0.19 ,0.20 ,0.31 ,0.20 ,0.14 ,0.16 ,0.16 ,0.13 ,0.14 ,0.13 ,0.14 ,0.14 ,0.16 b,0.14 
LDC,PC,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.03 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.02 ,0.03 b,0.02 
LDC,PC,CH,0.10 ,0.10 ,0.09 ,0.12 ,0.10 ,0.10 ,0.10 ,0.11 ,0.10 ,0.13 ,0.11 ,0.12 ,0.11 ,0.12 ,0.12 ,0.13 ,0.13 ,0.13 ,0.13 ,0.13 ,0.14 b,0.14 
LDC,PC,CY,: ,: ,: ,: ,: ,0.02 ,0.02 ,0.03 ,0.03 ,0.04 ,0.05 ,0.02 ,0.02 ,0.02 ,: ,0.02 ,: ,: ,0.02 ,0.01 ,0.01 b,0.01 
LDC,PC,CZ,: ,: ,: ,: ,0.02 ,0.02 ,0.03 ,0.03 ,0.05 ,0.04 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 b,0.03 
LDC,PC,DE,0.07 ,0.07 ,0.07 ,0.11 ,0.09 ,0.07 ,0.09 ,0.09 ,0.10 ,0.10 ,0.11 ,0.10 ,0.11 ,0.09 ,0.10 ,0.08 ,0.10 ,0.11 ,0.12 ,0.11 ,0.15 b,0.14 
LDC,PC,DK,0.36 ,0.36 ,0.33 ,0.34 ,0.33 ,0.32 ,0.31 ,0.34 ,0.32 ,0.35 ,0.35 ,0.32 ,0.31 ,0.27 ,0.26 ,0.20 ,0.21 ,0.22 ,0.20 ,0.22 ,0.21 b,0.22 
LDC,PC,EE,: ,: ,: ,: ,0.01 ,0.02 ,0.03 ,0.03 ,: ,: ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 b,0.03 
LDC,PC,EL,0.03 ,0.03 ,0.04 ,0.03 ,0.03 ,0.04 ,0.04 ,0.04 ,0.05 ,0.04 ,0.04 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.03 ,0.02 ,0.03 b,0.03 
LDC,PC,ES,0.03 ,0.04 ,0.05 ,0.05 ,0.05 ,0.07 ,0.06 ,0.08 ,0.10 ,0.12 ,0.11 ,0.07 ,0.04 ,0.03 ,0.03 ,0.03 ,0.04 ,0.04 ,0.05 ,0.04 ,0.05 b,0.05 
LDC,PC,EU27_2020,0.09 ,0.10 ,0.12 ,0.14 ,0.12 ,0.11 ,0.11 ,0.11 ,0.12 ,0.12 ,0.13 ,0.12 ,0.10 ,0.10 ,0.09 ,0.08 ,0.09 ,0.10 ,0.11 ,0.10 ,0.12 b,0.11 
LDC,PC,FI,0.10 ,0.10 ,0.12 ,0.12 ,0.12 ,0.13 ,0.14 ,0.15 ,0.15 ,0.19 ,0.20 ,0.17 ,0.18 ,0.19 ,0.21 ,0.18 ,0.13 ,0.13 ,0.11 ,0.14 ,0.14 b,0.16 
LDC,PC,FR,0.09 ,0.09 ,0.13 ,0.17 ,0.17 ,0.10 ,0.12 ,0.11 ,0.11 ,0.12 ,0.14 ,0.13 ,0.09 ,0.12 ,0.09 ,0.10 ,0.08 ,0.10 ,0.12 ,0.11 ,0.14 b,0.13 
LDC,PC,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.01 ,: ,0.01 ,0.02 ,0.02 ,0.03 ,0.01 ,0.02 b,0.02 
LDC,PC,HU,: ,: ,: ,: ,0.01 ,0.04 ,0.02 ,0.04 ,0.02 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.05 ,0.04 ,0.03 b,0.04 
LDC,PC,IE,0.15 ,0.18 ,0.23 ,0.22 ,0.22 ,0.21 ,0.28 ,0.28 ,0.30 ,0.28 ,0.29 ,0.27 ,0.24 ,0.23 ,0.18 ,0.15 ,0.14 ,0.14 ,0.13 ,0.12 ,0.12 b,0.11 
LDC,PC,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.10 ,0.09 ,0.10 ,0.08 ,0.08 ,0.12 ,0.10 ,0.10 b,0.11 
LDC,PC,IT,0.05 ,0.05 ,0.10 ,0.08 ,0.05 ,0.08 ,0.04 ,0.06 ,0.07 ,0.05 ,0.06 ,0.07 ,0.03 ,0.05 ,0.04 ,0.05 ,0.05 ,0.06 ,0.06 ,0.06 ,0.06 b,0.08 
LDC,PC,LT,: ,: ,: ,: ,0.01 ,0.02 ,0.03 ,0.06 ,0.05 ,0.04 ,0.06 ,0.05 ,0.06 ,0.04 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 b,0.02 
LDC,PC,LU,0.22 ,0.24 ,0.28 ,0.27 ,0.26 ,0.28 ,0.34 ,0.36 ,0.38 ,0.38 ,0.40 ,0.36 ,0.37 ,0.38 ,0.43 ,0.40 ,0.42 ,0.43 ,0.46 ,0.47 ,0.48 b,0.45 
LDC,PC,LV,: ,: ,: ,: ,: ,0.02 ,0.02 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 b,0.02 
LDC,PC,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.02 ,0.02 ,0.02 ,0.02 ,0.01 ,0.03 ,0.02 ,0.01 ,0.01 b,0.02 
LDC,PC,NL,0.22 ,0.26 ,0.30 ,0.29 ,0.30 ,0.27 ,0.20 ,0.23 ,0.24 ,0.21 ,0.24 ,0.17 ,0.15 ,0.17 ,0.13 ,0.14 ,0.15 ,0.13 ,0.15 ,0.14 ,0.12 b,0.09 
LDC,PC,NO,0.27 ,0.28 ,0.35 ,0.38 ,0.37 ,0.35 ,0.35 ,0.34 ,0.33 ,0.33 ,0.34 ,0.31 ,0.27 ,0.30 ,0.28 ,0.27 ,0.26 ,0.28 ,0.27 ,0.28 ,0.32 b,0.25 
LDC,PC,PL,: ,: ,: ,: ,0.02 ,0.02 ,0.04 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.04 ,0.02 ,0.04 ,0.02 ,0.02 b,0.02 
LDC,PC,PT,0.15 ,0.15 ,0.16 ,0.11 ,0.52 ,0.09 ,0.10 ,0.10 ,0.10 ,0.10 ,0.13 ,0.15 ,0.09 ,0.07 ,0.05 ,0.05 ,0.05 ,0.06 ,0.06 ,0.05 ,0.05 b,0.06 
LDC,PC,RO,: ,: ,: ,: ,: ,: ,: ,: ,0.02 ,0.02 ,0.02 ,0.02 ,0.01 ,0.01 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 b,0.02 
LDC,PC,SE,0.24 ,0.23 ,0.27 ,0.28 ,0.24 ,0.31 ,0.29 ,0.30 ,0.32 ,0.35 ,0.30 ,0.35 ,0.29 ,0.31 ,0.29 ,0.29 ,0.27 ,0.31 ,0.34 ,0.32 ,0.35 b,0.32 
LDC,PC,SI,: ,: ,: ,: ,: ,: ,: ,: ,0.03 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 b,0.03 
LDC,PC,SK,: ,: ,: ,: ,0.02 ,0.07 ,0.05 ,0.04 ,0.05 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 b,0.02 
LDC,PC,UK,0.11 ,0.12 ,0.08 ,0.13 ,0.14 ,0.12 ,0.16 ,0.15 ,0.16 ,0.18 ,0.20 ,0.21 ,0.19 ,0.24 ,0.24 ,0.23 ,0.22 ,0.23 ,0.23 ,0.21 ,: ,: 
