fin_source,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
FLOW_PRV,FI,40 ,638 ,-744 ,-288 ,443 ,711 ,429 ,767 ,-967 ,1248 ,2204 ,-1076 ,140 ,-320 ,964 ,-1266 ,580 ,2259 ,1045 ,956 ,1120 ,: 
FLOW_PRV,FR,1558 ,13273 ,59 ,-688 ,3509 ,6445 ,11606 ,26459 ,20878 ,18450 ,10914 ,15312 ,14071 ,-1119 ,5965 ,-7389 ,9983 ,10451 ,: ,8592 ,: ,: 
FLOW_PRV,HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,-294 ,691 ,10676 ,2675 ,: 
FLOW_PRV,IE,450 ,387 ,1042 ,1368 ,2420 ,3433 ,3088 ,3159 ,3060 ,2151 ,1131 ,718 ,: ,753 ,: ,: ,: ,: ,: ,: ,: ,: 
FLOW_PRV,IT,9425 ,-2676 ,-2761 ,353 ,-1175 ,-1131 ,82 ,-1601 ,139 ,1232 ,4323 ,4638 ,5788 ,8300 ,2933 ,9043 ,12003 ,6542 ,83 ,1390 ,401 ,: 
FLOW_PRV,NL,4070 ,-7893 ,-6523 ,6626 ,4527 ,5207 ,13405 ,8550 ,-14500 ,-949 ,5254 ,11411 ,11016 ,9920 ,48013 ,55856 ,31265 ,28440 ,7830 ,19641 ,4453 ,: 
FLOW_PRV,NO,-39 ,-146 ,24 ,1060 ,511 ,1484 ,2003 ,1925 ,-168 ,639 ,1135 ,0 ,0 ,0 ,1 ,0 ,: ,: ,: ,: ,: ,: 
FLOW_PRV,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,53 ,357 ,385 ,163 ,172 ,: ,: 
FLOW_PRV,PT,4343 ,1421 ,-380 ,601 ,150 ,447 ,35 ,1131 ,167 ,-1673 ,-1064 ,-1506 ,-61 ,1258 ,1532 ,320 ,438 ,2761 ,790 ,-289 ,-733 ,: 
FLOW_PRV,SE,943 ,566 ,313 ,-298 ,477 ,345 ,265 ,1629 ,-213 ,634 ,52 ,984 ,7173 ,3650 ,2653 ,3097 ,2072 ,1885 ,2054 ,2664 ,: ,: 
FLOW_PRV,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,84 ,133 ,-48 ,47 ,47 ,443 ,: 
FLOW_PRV,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,-5 ,24 ,: 
FLOW_PRV,TR,: ,: ,: ,: ,: ,: ,792 ,533 ,494 ,512 ,506 ,632 ,572 ,617 ,1816 ,538 ,535 ,356 ,257 ,193 ,246 ,: 
FLOW_PRV,UK,6184 ,5798 ,3800 ,11067 ,19228 ,16474 ,14991 ,28601 ,17682 ,6791 ,8511 ,22148 ,36604 ,9092 ,9605 ,: ,: ,: ,: ,: ,-1 ,: 
GRNT_NGO,AT,68 ,63 ,61 ,63 ,71 ,112 ,94 ,90 ,93 ,100 ,126 ,131 ,205 ,133 ,144 ,147 ,141 ,132 ,145 ,146 ,162 ,: 
GRNT_NGO,BE,81 ,158 ,78 ,146 ,145 ,201 ,200 ,250 ,245 ,271 ,284 ,373 ,: ,500 ,350 ,350 ,235 ,: ,: ,: ,: ,: 
GRNT_NGO,CH,173 ,201 ,214 ,248 ,254 ,267 ,320 ,214 ,271 ,256 ,312 ,335 ,368 ,379 ,316 ,487 ,498 ,485 ,468 ,478 ,444 ,: 
GRNT_NGO,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
GRNT_NGO,DE,916 ,903 ,871 ,891 ,923 ,1224 ,1073 ,928 ,1105 ,982 ,1104 ,1148 ,1089 ,1066 ,1147 ,1245 ,1286 ,1319 ,1154 ,1365 ,1326 ,: 
GRNT_NGO,DK,35 ,19 ,: ,: ,47 ,65 ,58 ,68 ,87 ,83 ,134 ,142 ,55 ,64 ,129 ,14 ,82 ,111 ,9 ,263 ,157 ,: 
GRNT_NGO,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,: ,: ,0 ,0 ,0 ,: 
GRNT_NGO,EL,: ,: ,6 ,7 ,14 ,0 ,8 ,5 ,1 ,1 ,8 ,0 ,1 ,: ,: ,: ,: ,: ,0 ,: ,: ,: 
GRNT_NGO,ES,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,: ,: ,554 ,: ,0 ,1 ,3 ,: 
GRNT_NGO,EU27_2020,1608 ,1598 ,1415 ,1758 ,1802 ,2313 ,2061 ,1947 ,2048 ,2151 ,2679 ,2461 ,1980 ,3038 ,2356 ,2419 ,4162 ,2026 ,1704 ,3133 ,3449 ,: 
GRNT_NGO,FI,5 ,10 ,11 ,11 ,11 ,13 ,20 ,15 ,9 ,12 ,10 ,10 ,13 ,12 ,75 ,43 ,100 ,: ,: ,: ,: ,: 
GRNT_NGO,IE,97 ,113 ,91 ,250 ,188 ,247 ,270 ,232 ,186 ,131 ,226 ,381 ,115 ,66 ,292 ,459 ,445 ,323 ,367 ,157 ,: ,: 
GRNT_NGO,IT,40 ,36 ,: ,24 ,40 ,75 ,98 ,46 ,72 ,116 ,113 ,80 ,71 ,43 ,91 ,115 ,75 ,57 ,20 ,55 ,25 ,: 
GRNT_NGO,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,: ,: ,: 
GRNT_NGO,LU,7 ,6 ,2 ,6 ,5 ,7 ,7 ,6 ,7 ,9 ,7 ,5 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
GRNT_NGO,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,: ,: ,: 
GRNT_NGO,NL,331 ,268 ,271 ,335 ,331 ,340 ,220 ,250 ,224 ,388 ,495 ,166 ,411 ,1140 ,124 ,35 ,1239 ,76 ,: ,1117 ,1749 ,: 
GRNT_NGO,NO,193 ,234 ,478 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
