fin_source,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
TOTAL,FR,6017 ,18230 ,5001 ,6131 ,10128 ,12655 ,17783 ,31467 ,27632 ,27545 ,26551 ,24580 ,23022 ,7923 ,14469 ,1112 ,18786 ,20465 ,10696 ,19516 ,13669 ,: 
TOTAL,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,17 ,34 ,: ,: ,: ,: ,: ,: ,: ,: 
TOTAL,HU,: ,: ,: ,19 ,56 ,81 ,119 ,75 ,73 ,84 ,86 ,100 ,92 ,97 ,108 ,140 ,180 ,-163 ,932 ,10955 ,3041 ,: 
TOTAL,IE,801 ,820 ,1554 ,2063 ,3096 ,4258 ,4171 ,4261 ,4148 ,3003 ,2033 ,1755 ,744 ,1456 ,906 ,1106 ,1170 ,1064 ,1158 ,1027 ,865 ,: 
TOTAL,IT,11744 ,-211 ,1479 ,3729 ,2604 ,3298 ,4390 ,3227 ,3794 ,3993 ,7248 ,8558 ,8706 ,12577 ,6553 ,14080 ,17445 ,13093 ,6247 ,5907 ,5716 ,: 
TOTAL,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,23 ,: ,21 ,: ,: ,: ,: ,: ,: ,: ,: 
TOTAL,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,38 ,: ,: ,: ,: ,: ,: ,: ,: 
TOTAL,LU,140 ,161 ,157 ,177 ,194 ,213 ,238 ,280 ,289 ,307 ,310 ,299 ,311 ,323 ,319 ,327 ,353 ,375 ,401 ,421 ,396 ,: 
TOTAL,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,18 ,19 ,: ,: ,: ,: ,: ,: ,: 
TOTAL,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,14 ,15 ,: ,: ,: ,: ,: ,: ,: 
TOTAL,NL,7522 ,-3832 ,-1572 ,13433 ,11340 ,18311 ,22791 ,13237 ,-9534 ,4334 ,9816 ,15838 ,15522 ,14628 ,51843 ,61433 ,35050 ,31602 ,12444 ,24557 ,11608 ,: 
TOTAL,NO,1556 ,1658 ,2410 ,2924 ,2239 ,3728 ,4348 ,4653 ,2556 ,3568 ,4433 ,3416 ,3699 ,4201 ,3794 ,4114 ,3873 ,3542 ,3609 ,4062 ,3666 ,: 
TOTAL,PL,31 ,40 ,15 ,24 ,94 ,165 ,239 ,265 ,253 ,269 ,285 ,300 ,328 ,367 ,340 ,450 ,955 ,986 ,826 ,859 ,711 ,: 
TOTAL,PT,5004 ,1982 ,185 ,1012 ,543 ,892 ,530 ,1616 ,1039 ,-760 ,122 ,-933 ,370 ,1751 ,1784 ,468 ,661 ,3047 ,1322 ,75 ,-455 ,: 
TOTAL,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,101 ,: ,: ,: ,: ,: ,: ,: ,: 
TOTAL,SE,4279 ,3436 ,2360 ,1110 ,2375 ,2850 ,3325 ,5043 ,4009 ,5136 ,3868 ,4740 ,11018 ,7866 ,7019 ,9342 ,7631 ,6233 ,5622 ,6343 ,4455 ,: 
TOTAL,SI,: ,: ,: ,: ,: ,28 ,35 ,40 ,46 ,51 ,44 ,45 ,45 ,46 ,46 ,141 ,206 ,20 ,200 ,131 ,525 ,: 
TOTAL,SK,6 ,9 ,7 ,13 ,23 ,46 ,44 ,49 ,62 ,54 ,56 ,62 ,62 ,65 ,63 ,77 ,96 ,106 ,117 ,98 ,144 ,: 
TOTAL,TR,153 ,72 ,77 ,95 ,907 ,846 ,1325 ,975 ,1072 ,1090 ,1296 ,1698 ,2675 ,3273 ,4820 ,4601 ,7176 ,8256 ,: ,: ,: ,: 
TOTAL,UK,11076 ,10735 ,8078 ,16390 ,25486 ,25134 ,21457 ,36400 ,28473 ,17718 ,19335 ,33657 ,49394 ,23145 ,23911 ,16722 ,16309 ,15698 ,16045 ,16931 ,16112 ,: 
