sitc06,partner,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
TOTAL,LMIC,MIO_EUR,LU,45 ,36 ,30 ,64 ,161 ,71 ,154 ,76 ,42 ,40 ,46 ,37 ,26 ,35 ,56 ,84 ,93 ,122 ,77 ,102 ,121 ,162 
TOTAL,LMIC,MIO_EUR,LV,16 ,15 ,16 ,45 ,50 ,77 ,617 ,591 ,210 ,142 ,174 ,220 ,304 ,306 ,281 ,287 ,316 ,414 ,441 ,480 ,482 ,577 
TOTAL,LMIC,MIO_EUR,MT,34 ,31 ,40 ,87 ,93 ,89 ,65 ,78 ,92 ,79 ,124 ,116 ,144 ,158 ,167 ,181 ,207 ,225 ,295 ,260 ,281 ,307 
TOTAL,LMIC,MIO_EUR,NL,13455 ,12265 ,12079 ,11178 ,13504 ,16324 ,20359 ,23050 ,21755 ,17507 ,21852 ,20996 ,26875 ,22674 ,21334 ,22297 ,20002 ,24684 ,27682 ,31380 ,27952 ,33055 
TOTAL,LMIC,MIO_EUR,PL,842 ,972 ,949 ,1720 ,1705 ,1801 ,3203 ,3544 ,4232 ,2442 ,3102 ,3899 ,3940 ,3600 ,4038 ,4374 ,4788 ,5743 ,6655 ,7714 ,7438 ,10836 
TOTAL,LMIC,MIO_EUR,PT,1595 ,1162 ,1170 ,1217 ,2101 ,2879 ,3987 ,3734 ,2828 ,1654 ,2055 ,2969 ,2868 ,3549 ,2616 ,2383 ,1886 ,2206 ,2567 ,3379 ,2951 ,4054 
TOTAL,LMIC,MIO_EUR,RO,604 ,588 ,751 ,1342 ,2037 ,3233 ,3283 ,3348 ,2011 ,1252 ,1785 ,1866 ,1669 ,1503 ,1520 ,1806 ,1969 ,2374 ,2751 ,2903 ,2724 ,3813 
TOTAL,LMIC,MIO_EUR,SE,1452 ,1433 ,1126 ,1692 ,1688 ,1714 ,1718 ,1983 ,1778 ,1453 ,1980 ,1777 ,2702 ,3131 ,3099 ,2820 ,2875 ,3501 ,4271 ,3451 ,3010 ,3475 
TOTAL,LMIC,MIO_EUR,SI,309 ,317 ,325 ,379 ,616 ,909 ,1107 ,1287 ,1043 ,907 ,1243 ,562 ,550 ,601 ,602 ,748 ,761 ,855 ,1172 ,1203 ,1048 ,1325 
TOTAL,LMIC,MIO_EUR,SK,128 ,142 ,155 ,248 ,335 ,333 ,806 ,906 ,932 ,636 ,963 ,1080 ,1045 ,1133 ,1120 ,1068 ,1218 ,1671 ,2034 ,2172 ,2038 ,3123 
TOTAL,LMIC,MIO_EUR,UK,16059 ,17013 ,17267 ,18525 ,19310 ,19244 ,17942 ,16678 ,17297 ,14296 ,17273 ,18760 ,21276 ,20912 ,20919 ,23465 ,22488 ,23285 ,25434 ,27136 ,: ,: 
TOTAL,OLIC,MIO_EUR,AT,557 ,698 ,651 ,597 ,572 ,1000 ,846 ,489 ,321 ,281 ,510 ,2 ,1 ,2 ,1 ,1 ,2 ,2 ,2 ,2 ,1 ,1 
TOTAL,OLIC,MIO_EUR,BE,4135 ,3871 ,4203 ,4112 ,4590 ,4882 ,4756 ,5069 ,1740 ,1378 ,1784 ,54 ,80 ,105 ,144 ,103 ,108 ,110 ,38 ,36 ,131 ,97 
TOTAL,OLIC,MIO_EUR,BG,96 ,192 ,154 ,202 ,160 ,158 ,122 ,153 ,84 ,62 ,55 ,17 ,9 ,20 ,9 ,3 ,1 ,1 ,1 ,1 ,2 ,1 
TOTAL,OLIC,MIO_EUR,CY,55 ,63 ,59 ,58 ,66 ,83 ,50 ,60 ,16 ,25 ,20 ,3 ,2 ,2 ,2 ,2 ,2 ,3 ,0 ,0 ,0 ,0 
TOTAL,OLIC,MIO_EUR,CZ,288 ,450 ,559 ,583 ,521 ,733 ,234 ,305 ,161 ,131 ,164 ,5 ,4 ,1 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 
TOTAL,OLIC,MIO_EUR,DE,8068 ,8260 ,7721 ,7633 ,7997 ,9102 ,8458 ,9248 ,5838 ,4788 ,6132 ,190 ,172 ,172 ,168 ,158 ,168 ,153 ,19 ,20 ,16 ,16 
TOTAL,OLIC,MIO_EUR,DK,565 ,544 ,524 ,561 ,635 ,709 ,587 ,693 ,240 ,220 ,219 ,4 ,4 ,4 ,4 ,3 ,3 ,5 ,1 ,1 ,1 ,0 
TOTAL,OLIC,MIO_EUR,EE,47 ,57 ,74 ,71 ,53 ,30 ,43 ,45 ,45 ,19 ,22 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,: ,0 ,0 ,: 
TOTAL,OLIC,MIO_EUR,EL,463 ,494 ,542 ,648 ,718 ,727 ,824 ,847 ,501 ,255 ,187 ,13 ,57 ,53 ,3 ,3 ,8 ,11 ,2 ,1 ,3 ,1 
TOTAL,OLIC,MIO_EUR,ES,5725 ,5508 ,5066 ,5855 ,5850 ,7517 ,7768 ,8014 ,6250 ,4183 ,5890 ,75 ,46 ,32 ,59 ,63 ,39 ,46 ,10 ,13 ,11 ,12 
TOTAL,OLIC,MIO_EUR,EU27_2020,40452 ,41541 ,40278 ,41958 ,42877 ,50079 ,46720 ,50720 ,31388 ,24557 ,31343 ,1476 ,1432 ,1416 ,1402 ,1388 ,1281 ,1343 ,362 ,361 ,407 ,399 
TOTAL,OLIC,MIO_EUR,EU28,48011 ,49376 ,48012 ,49554 ,51232 ,58780 ,54565 ,59547 ,35685 ,28066 ,35436 ,1970 ,1849 ,1812 ,1756 ,1805 ,1710 ,1796 ,457 ,441 ,: ,: 
TOTAL,OLIC,MIO_EUR,FI,264 ,289 ,244 ,272 ,254 ,330 ,206 ,246 ,152 ,95 ,114 ,17 ,17 ,12 ,14 ,17 ,19 ,12 ,0 ,0 ,0 ,5 
TOTAL,OLIC,MIO_EUR,FR,5989 ,6047 ,5875 ,5604 ,5420 ,6377 ,6400 ,6929 ,5112 ,3795 ,4877 ,129 ,110 ,118 ,102 ,134 ,95 ,128 ,47 ,50 ,35 ,46 
TOTAL,OLIC,MIO_EUR,HR,96 ,72 ,106 ,123 ,152 ,121 ,132 ,159 ,75 ,63 ,62 ,1 ,3 ,1 ,1 ,10 ,1 ,2 ,2 ,1 ,2 ,2 
TOTAL,OLIC,MIO_EUR,HU,292 ,336 ,414 ,451 ,396 ,284 ,297 ,592 ,160 ,80 ,132 ,1 ,2 ,2 ,1 ,2 ,4 ,4 ,3 ,3 ,5 ,4 
TOTAL,OLIC,MIO_EUR,IE,341 ,362 ,349 ,342 ,382 ,444 ,326 ,382 ,104 ,114 ,89 ,12 ,14 ,14 ,14 ,38 ,14 ,17 ,0 ,0 ,0 ,1 
TOTAL,OLIC,MIO_EUR,IT,5638 ,5818 ,5491 ,5702 ,6298 ,7069 ,6378 ,6959 ,3044 ,2373 ,2574 ,251 ,220 ,179 ,222 ,210 ,173 ,171 ,111 ,97 ,74 ,106 
TOTAL,OLIC,MIO_EUR,LT,48 ,62 ,68 ,88 ,57 ,60 ,61 ,67 ,55 ,33 ,31 ,2 ,1 ,12 ,1 ,1 ,7 ,2 ,0 ,: ,0 ,0 
TOTAL,OLIC,MIO_EUR,LU,52 ,51 ,46 ,59 ,67 ,62 ,28 ,26 ,2 ,5 ,6 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
TOTAL,OLIC,MIO_EUR,LV,16 ,14 ,17 ,23 ,26 ,41 ,43 ,45 ,21 ,13 ,18 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
TOTAL,OLIC,MIO_EUR,MT,23 ,23 ,22 ,25 ,20 ,28 ,29 ,27 ,5 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
TOTAL,OLIC,MIO_EUR,NL,4680 ,5178 ,5048 ,5880 ,5416 ,6652 ,5434 ,5853 ,4450 ,4262 ,5753 ,565 ,501 ,588 ,521 ,529 ,522 ,588 ,108 ,107 ,96 ,75 
TOTAL,OLIC,MIO_EUR,PL,667 ,716 ,832 ,796 ,674 ,759 ,1115 ,1311 ,389 ,309 ,414 ,25 ,23 ,31 ,34 ,45 ,45 ,33 ,10 ,21 ,18 ,18 
TOTAL,OLIC,MIO_EUR,PT,1384 ,1324 ,1068 ,1120 ,1235 ,1463 ,1263 ,1589 ,1937 ,1434 ,1591 ,51 ,50 ,24 ,38 ,8 ,10 ,16 ,4 ,3 ,6 ,5 
TOTAL,OLIC,MIO_EUR,RO,161 ,224 ,267 ,242 ,403 ,433 ,475 ,564 ,93 ,96 ,126 ,13 ,59 ,9 ,29 ,19 ,20 ,5 ,2 ,2 ,5 ,6 
TOTAL,OLIC,MIO_EUR,SE,623 ,668 ,606 ,596 ,637 ,754 ,645 ,759 ,452 ,400 ,404 ,42 ,54 ,35 ,31 ,33 ,30 ,31 ,2 ,1 ,1 ,3 
TOTAL,OLIC,MIO_EUR,SI,86 ,105 ,107 ,128 ,107 ,118 ,112 ,123 ,28 ,18 ,25 ,2 ,2 ,2 ,1 ,2 ,4 ,2 ,1 ,2 ,1 ,2 
TOTAL,OLIC,MIO_EUR,SK,94 ,116 ,164 ,185 ,170 ,142 ,90 ,163 ,114 ,119 ,136 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
TOTAL,OLIC,MIO_EUR,UK,7558 ,7835 ,7734 ,7596 ,8355 ,8702 ,7844 ,8827 ,4297 ,3509 ,4093 ,495 ,417 ,396 ,354 ,417 ,429 ,454 ,95 ,80 ,: ,: 
TOTAL,UMIC_X_CN,MIO_EUR,AT,1305 ,1527 ,1798 ,1157 ,1480 ,1547 ,3434 ,3743 ,5379 ,4145 ,4930 ,5930 ,6091 ,6020 ,6831 ,6350 ,5681 ,6430 ,7425 ,7715 ,5515 ,7813 
TOTAL,UMIC_X_CN,MIO_EUR,BE,4848 ,5288 ,5187 ,4186 ,4377 ,4930 ,7442 ,9106 ,12135 ,9005 ,10945 ,18343 ,18929 ,17639 ,20350 ,21065 ,22560 ,23876 ,24378 ,22558 ,19501 ,24036 
TOTAL,UMIC_X_CN,MIO_EUR,BG,412 ,491 ,594 ,256 ,421 ,556 ,1646 ,2009 ,2275 ,1660 ,1692 ,2111 ,2281 ,2432 ,2622 ,2621 ,2693 ,3352 ,3540 ,3548 ,3926 ,5477 
TOTAL,UMIC_X_CN,MIO_EUR,CY,76 ,81 ,89 ,88 ,133 ,172 ,103 ,162 ,231 ,156 ,217 ,182 ,226 ,113 ,150 ,263 ,327 ,363 ,625 ,384 ,273 ,519 
TOTAL,UMIC_X_CN,MIO_EUR,CZ,532 ,830 ,1042 ,1051 ,611 ,386 ,815 ,847 ,1580 ,1190 ,1676 ,4430 ,4263 ,4018 ,4754 ,4358 ,3816 ,5005 ,5903 ,5890 ,4877 ,6350 
TOTAL,UMIC_X_CN,MIO_EUR,DE,17860 ,17431 ,16684 ,10979 ,11894 ,13779 ,28364 ,29829 ,43431 ,31638 ,39879 ,56131 ,56748 ,55323 ,55559 ,55654 ,55660 ,63349 ,63762 ,63764 ,54807 ,70267 
TOTAL,UMIC_X_CN,MIO_EUR,DK,1066 ,1321 ,1292 ,812 ,958 ,1117 ,1619 ,1658 ,2363 ,1759 ,2049 ,3141 ,3253 ,2739 ,2809 ,2837 ,2715 ,2901 ,2624 ,2700 ,2599 ,3341 
TOTAL,UMIC_X_CN,MIO_EUR,EE,35 ,65 ,77 ,60 ,51 ,52 ,99 ,86 ,458 ,237 ,253 ,364 ,456 ,241 ,238 ,221 ,227 ,284 ,639 ,475 ,425 ,969 
TOTAL,UMIC_X_CN,MIO_EUR,EL,1955 ,2380 ,2284 ,1660 ,2003 ,2409 ,4690 ,4786 ,5828 ,4079 ,4909 ,7318 ,7864 ,6194 ,10221 ,7811 ,7464 ,9375 ,12048 ,11007 ,7815 ,12880 
TOTAL,UMIC_X_CN,MIO_EUR,ES,8607 ,8872 ,9386 ,7738 ,8981 ,11928 ,20540 ,20453 ,23053 ,15547 ,19133 ,33873 ,37441 ,37194 ,36493 ,32051 ,29839 ,37433 ,41021 ,37096 ,26377 ,39284 
TOTAL,UMIC_X_CN,MIO_EUR,EU27_2020,86866 ,88809 ,87580 ,68964 ,76577 ,89871 ,155765 ,161845 ,220011 ,155321 ,191867 ,301904 ,311342 ,287646 ,292835 ,281604 ,275201 ,317457 ,330138 ,322559 ,264152 ,356955 
TOTAL,UMIC_X_CN,MIO_EUR,EU28,101459 ,104339 ,103189 ,80303 ,89850 ,104681 ,182053 ,186815 ,247875 ,179088 ,221898 ,340974 ,355532 ,325260 ,329800 ,318653 ,314425 ,354191 ,366777 ,359787 ,: ,: 
TOTAL,UMIC_X_CN,MIO_EUR,FI,696 ,641 ,627 ,550 ,660 ,828 ,980 ,1083 ,2035 ,1276 ,1646 ,2617 ,2591 ,2568 ,2547 ,1928 ,1812 ,1739 ,1536 ,1567 ,1695 ,2318 
TOTAL,UMIC_X_CN,MIO_EUR,FR,14820 ,13992 ,13161 ,9352 ,10148 ,10948 ,16540 ,15818 ,21148 ,16691 ,21981 ,37556 ,36481 ,34725 ,32596 ,31355 ,29714 ,33250 ,29812 ,29284 ,21372 ,28906 
TOTAL,UMIC_X_CN,MIO_EUR,HR,117 ,185 ,241 ,170 ,211 ,254 ,378 ,495 ,1037 ,733 ,945 ,2234 ,1961 ,2095 ,1682 ,1982 ,2206 ,2643 ,2906 ,2758 ,2829 ,3994 
TOTAL,UMIC_X_CN,MIO_EUR,HU,946 ,1225 ,1419 ,1148 ,1149 ,804 ,1031 ,1175 ,1806 ,1378 ,1592 ,2460 ,2684 ,2934 ,2680 ,3375 ,3519 ,4525 ,5137 ,5174 ,4880 ,5844 
TOTAL,UMIC_X_CN,MIO_EUR,IE,1040 ,1095 ,1064 ,946 ,831 ,1020 ,1272 ,1316 ,1348 ,1309 ,1721 ,2339 ,3129 ,2092 ,2537 ,2330 ,2023 ,1968 ,2099 ,2221 ,2234 ,3217 
TOTAL,UMIC_X_CN,MIO_EUR,IT,11548 ,12223 ,11680 ,9139 ,10867 ,12530 ,31559 ,33069 ,40632 ,26316 ,33132 ,56649 ,59629 ,48854 ,45144 ,43161 ,40815 ,47365 ,49687 ,46733 ,33644 ,50901 
TOTAL,UMIC_X_CN,MIO_EUR,LT,77 ,106 ,146 ,90 ,66 ,81 ,233 ,207 ,718 ,411 ,549 ,880 ,1145 ,1280 ,1588 ,1672 ,1326 ,1948 ,2013 ,1925 ,1773 ,3042 
TOTAL,UMIC_X_CN,MIO_EUR,LU,84 ,99 ,23 ,33 ,47 ,385 ,329 ,163 ,109 ,93 ,254 ,522 ,802 ,682 ,793 ,940 ,930 ,861 ,368 ,76 ,83 ,108 
TOTAL,UMIC_X_CN,MIO_EUR,LV,20 ,31 ,39 ,14 ,17 ,20 ,75 ,98 ,544 ,319 ,416 ,665 ,644 ,554 ,500 ,444 ,323 ,407 ,531 ,527 ,476 ,712 
TOTAL,UMIC_X_CN,MIO_EUR,MT,85 ,88 ,102 ,79 ,106 ,60 ,117 ,96 ,99 ,69 ,133 ,160 ,203 ,225 ,301 ,269 ,271 ,306 ,277 ,346 ,201 ,339 
TOTAL,UMIC_X_CN,MIO_EUR,NL,14599 ,14086 ,13770 ,14571 ,16007 ,19999 ,23096 ,22230 ,31463 ,22598 ,25904 ,39692 ,40799 ,37957 ,37396 ,35249 ,36065 ,40191 ,39541 ,43703 ,39479 ,48361 
TOTAL,UMIC_X_CN,MIO_EUR,PL,1041 ,1491 ,1652 ,1010 ,1063 ,831 ,2165 ,2515 ,4115 ,3291 ,3486 ,4998 ,4752 ,5002 ,6651 ,7839 ,6934 ,7897 ,9679 ,9105 ,8783 ,11004 
TOTAL,UMIC_X_CN,MIO_EUR,PT,1706 ,1996 ,1953 ,1603 ,1799 ,2049 ,2479 ,2630 ,4371 ,2568 ,3733 ,5057 ,5414 ,3791 ,4326 ,4228 ,4300 ,5198 ,5877 ,5086 ,4185 ,5835 
TOTAL,UMIC_X_CN,MIO_EUR,RO,584 ,783 ,922 ,379 ,539 ,720 ,2358 ,3153 ,6539 ,3714 ,4020 ,5846 ,5498 ,5078 ,5697 ,5024 ,5359 ,6527 ,7730 ,8316 ,6841 ,8982 
TOTAL,UMIC_X_CN,MIO_EUR,SE,2018 ,1589 ,1412 ,1019 ,1358 ,1451 ,2499 ,2687 ,3733 ,2352 ,3171 ,4719 ,4200 ,4043 ,4163 ,3902 ,3768 ,4263 ,4388 ,3705 ,3151 ,4398 
TOTAL,UMIC_X_CN,MIO_EUR,SI,644 ,657 ,669 ,664 ,618 ,850 ,1529 ,1998 ,2856 ,2267 ,2756 ,2720 ,2755 ,2723 ,2796 ,3152 ,3336 ,4258 ,4746 ,5078 ,4673 ,5837 
TOTAL,UMIC_X_CN,MIO_EUR,SK,143 ,236 ,268 ,207 ,182 ,165 ,374 ,432 ,725 ,517 ,745 ,967 ,1104 ,1129 ,1412 ,1525 ,1518 ,1740 ,1845 ,1817 ,1738 ,2221 
TOTAL,UMIC_X_CN,MIO_EUR,UK,14593 ,15530 ,15609 ,11339 ,13274 ,14811 ,26289 ,24969 ,27863 ,23767 ,30031 ,39071 ,44190 ,37613 ,36965 ,37049 ,39224 ,36735 ,36639 ,37228 ,: ,: 
