unit,sector,na_item,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
MIO_EUR,S13,GD,IT,1353569.3 ,1420026.9 ,1436141.8 ,1471325.7 ,1526400.5 ,1591580.6 ,1657334.2 ,1677649.8 ,1738647.0 ,1839232.6 ,1920620.2 ,1973445.2 ,2054727.9 ,2136202.1 ,2202971.5 ,2239382.9 ,2285669.0 ,2329858.6 ,2381513.3 ,2410010.9 ,2572756.6 ,2678098.3 
MIO_EUR,S13,GD,LT,2912.1 ,3185.2 ,3365.7 ,3395.1 ,3404.5 ,3701.9 ,4151.9 ,4609.7 ,4762.1 ,7528.5 ,10150.9 ,11629.3 ,13264.1 ,13550.8 ,14827.6 ,15880.8 ,15446.7 ,16540.3 ,15321.7 ,17525.7 ,23062.2 ,24535.5 
MIO_EUR,S13,GD,LU,1722.8 ,1823.6 ,1864.4 ,1951.1 ,2208.4 ,2409.2 ,2805.8 ,3048.9 ,5855.4 ,5970.4 ,8095.7 ,8202.4 ,9701.5 ,10995.3 ,11317.5 ,11433.3 ,11011.3 ,12677.1 ,12567.1 ,13959.1 ,15874.2 ,17729.3 
MIO_EUR,S13,GD,LV,1011.0 ,1304.4 ,1251.5 ,1410.2 ,1628.6 ,1638.8 ,1736.5 ,1935.1 ,4511.3 ,6957.0 ,8537.7 ,8948.5 ,9364.1 ,9172.0 ,9817.9 ,9089.1 ,10224.1 ,10492.6 ,10784.0 ,11209.1 ,12710.6 ,14688.4 
MIO_EUR,S13,GD,MT,2654.0 ,2989.2 ,2927.3 ,3267.4 ,3449.6 ,3606.4 ,3472.9 ,3584.6 ,3837.0 ,4152.7 ,4462.5 ,4848.3 ,4907.4 ,5278.4 ,5433.3 ,5623.1 ,5769.7 ,5705.4 ,5662.1 ,5720.2 ,6974.6 ,8267.8 
MIO_EUR,S13,GD,NL,235839.0 ,238641.0 ,244876.0 ,256443.0 ,266292.0 ,274237.0 ,264117.0 ,266181.0 ,353996.0 ,354723.0 ,378722.0 ,401263.0 ,432395.0 ,446999.0 ,455806.0 ,446069.0 ,438462.0 ,420375.0 ,405840.0 ,394732.0 ,435459.0 ,449026.0 
MIO_EUR,S13,GD,PL,70735.4 ,83306.4 ,84224.1 ,83894.0 ,103059.1 ,119592.0 ,131958.8 ,147052.7 ,144651.7 ,166538.0 ,194894.8 ,192144.5 ,216868.9 ,224119.6 ,204509.3 ,216566.3 ,229014.4 ,241130.0 ,240804.6 ,245729.6 ,293124.1 ,306837.2 
MIO_EUR,S13,GD,PT,69591.8 ,77908.0 ,85594.9 ,93333.4 ,102157.9 ,114552.9 ,122499.7 ,127625.5 ,135477.9 ,154014.0 ,179996.0 ,201459.4 ,217160.3 ,224077.6 ,230058.8 ,235746.1 ,245244.8 ,247174.5 ,249260.5 ,249977.5 ,270494.9 ,269249.6 
MIO_EUR,S13,GD,RO,7532.8 ,10917.2 ,10757.1 ,10309.5 ,11768.7 ,12397.6 ,12585.6 ,14099.4 ,16555.6 ,27295.7 ,36728.8 ,43937.9 ,49445.7 ,53429.3 ,58489.2 ,59494.1 ,62788.8 ,64559.5 ,70873.5 ,78088.4 ,102678.2 ,116694.6 
MIO_EUR,S13,GD,SE,137290.4 ,139698.4 ,141390.6 ,146709.7 ,152019.2 ,152005.1 ,150537.7 ,136787.5 ,117711.2 ,132748.4 ,151873.5 ,155456.8 ,163588.9 ,173698.2 ,191314.5 ,202765.0 ,195276.4 ,192748.5 ,184531.9 ,170114.7 ,198525.7 ,193252.7 
MIO_EUR,S13,GD,SI,5483.6 ,6035.5 ,6707.8 ,6943.8 ,7427.5 ,7690.1 ,8201.5 ,8013.6 ,8262.5 ,12517.5 ,13916.2 ,17216.6 ,19417.7 ,25520.1 ,30219.9 ,32087.4 ,31756.0 ,31893.0 ,32245.0 ,31751.0 ,37422.9 ,38877.3 
MIO_EUR,S13,GD,SK,10953.5 ,12369.5 ,12274.1 ,13125.0 ,14977.1 ,13945.3 ,15496.2 ,17194.1 ,19616.1 ,23305.7 ,27928.8 ,30979.9 ,38098.1 ,40742.0 ,40844.0 ,41413.4 ,42481.3 ,43572.4 ,44405.3 ,45306.0 ,55022.9 ,61267.4 
PC_GDP,S13,GD,AT,66.1 ,66.7 ,66.7 ,65.9 ,65.2 ,68.6 ,67.3 ,65.0 ,68.7 ,79.9 ,82.7 ,82.4 ,81.9 ,81.3 ,84.0 ,84.9 ,82.8 ,78.5 ,74.1 ,70.6 ,82.9 ,82.3 
PC_GDP,S13,GD,BE,109.6 ,108.2 ,105.4 ,101.7 ,97.2 ,95.1 ,91.5 ,87.3 ,93.2 ,100.2 ,100.3 ,103.5 ,104.8 ,105.5 ,107.0 ,105.2 ,105.0 ,102.0 ,99.9 ,97.6 ,112.0 ,109.2 
PC_GDP,S13,GD,BG,70.7 ,64.5 ,51.0 ,43.4 ,35.7 ,26.6 ,20.9 ,16.3 ,13.0 ,13.7 ,15.3 ,15.2 ,16.6 ,17.0 ,27.0 ,25.9 ,29.1 ,25.1 ,22.1 ,20.0 ,24.5 ,23.9 
PC_GDP,S13,GD,CY,55.7 ,57.3 ,60.5 ,63.8 ,64.8 ,63.4 ,59.3 ,54.0 ,45.5 ,54.3 ,56.3 ,65.8 ,80.1 ,103.7 ,108.8 ,106.8 ,102.6 ,92.6 ,98.1 ,90.4 ,113.5 ,101.0 
PC_GDP,S13,GD,CZ,17.0 ,22.7 ,25.8 ,28.2 ,28.4 ,27.7 ,27.6 ,27.3 ,28.1 ,33.4 ,37.1 ,39.7 ,44.2 ,44.4 ,41.9 ,39.7 ,36.6 ,34.2 ,32.1 ,30.0 ,37.7 ,42.0 
PC_GDP,S13,GD,DE,59.3 ,58.2 ,59.9 ,63.5 ,65.2 ,67.5 ,66.9 ,64.2 ,65.7 ,73.2 ,82.0 ,79.4 ,80.7 ,78.3 ,75.3 ,71.9 ,69.0 ,64.6 ,61.3 ,58.9 ,68.0 ,68.6 
PC_GDP,S13,GD,DK,52.4 ,48.5 ,49.1 ,46.2 ,44.2 ,37.4 ,31.5 ,27.3 ,33.3 ,40.2 ,42.6 ,46.1 ,44.9 ,44.0 ,44.3 ,39.8 ,37.2 ,35.9 ,34.0 ,33.7 ,42.2 ,36.6 
PC_GDP,S13,GD,EA19,69.2 ,68.1 ,68.1 ,69.4 ,69.7 ,70.4 ,68.4 ,66.0 ,69.7 ,80.3 ,85.7 ,87.6 ,91.1 ,93.0 ,93.2 ,91.3 ,90.5 ,87.9 ,86.0 ,83.9 ,97.0 ,95.4 
PC_GDP,S13,GD,EE,5.1 ,4.8 ,5.7 ,5.6 ,5.1 ,4.7 ,4.6 ,3.8 ,4.5 ,7.2 ,6.7 ,6.2 ,9.8 ,10.2 ,10.6 ,10.1 ,10.0 ,9.1 ,8.2 ,8.5 ,18.5 ,17.6 
PC_GDP,S13,GD,EL,104.9 ,107.1 ,104.9 ,101.5 ,102.9 ,107.4 ,103.6 ,103.1 ,109.4 ,126.7 ,147.5 ,175.2 ,162.0 ,178.2 ,180.3 ,176.7 ,180.5 ,179.5 ,186.4 ,180.6 ,206.3 ,194.5 
PC_GDP,S13,GD,ES,57.8 ,54.0 ,51.2 ,47.7 ,45.4 ,42.4 ,39.1 ,35.8 ,39.7 ,53.3 ,60.5 ,69.9 ,90.0 ,100.5 ,105.1 ,103.3 ,102.7 ,101.8 ,100.4 ,98.2 ,120.4 ,118.3 
PC_GDP,S13,GD,EU27_2020,66.4 ,65.6 ,65.4 ,66.7 ,67.0 ,67.1 ,65.0 ,62.3 ,65.0 ,75.7 ,80.4 ,81.8 ,85.0 ,86.8 ,86.9 ,85.1 ,84.3 ,81.7 ,79.7 ,77.5 ,89.8 ,87.9 
