indicator,statinfo,unit,stk_flow,geo\time,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind13,VAL_A,EUR_HAB,LOSS,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,127.87 ,: ,: ,: ,: ,11.09 ,: ,: ,1.27 ,6.99 ,0.08 ,0.08 ,0.66 ,0.06 ,0.06 ,6.26 ,: ,39.90 ,: ,: ,36.39 ,7.55 ,: ,: ,9.90 ,: ,: ,: ,3.10 ,: ,32.68 
ind13,VAL_A,EUR_HAB,LOSS,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,5.50 ,: ,0.28 ,: ,0.11 ,254.62 ,0.11 ,0.37 ,: ,: ,: ,: ,0.58 ,: ,121.92 ,126.21 ,: ,: ,: ,: ,0.69 
ind13,VAL_A,EUR_HAB,LOSS,CH,: ,: ,5.03 ,4.03 ,10.75 ,7.98 ,66.38 ,447.84 ,29.46 ,0.17 ,115.07 ,: ,29.95 ,97.44 ,16.33 ,0.28 ,: ,14.85 ,10.45 ,442.66 ,4.04 ,: ,12.70 ,52.45 ,2.10 ,561.86 ,4.08 ,96.00 ,0.08 ,125.87 ,1.65 ,: ,: ,28.40 ,11.10 ,0.92 ,: ,41.32 ,15.89 ,19.07 ,14.48 
ind13,VAL_A,EUR_HAB,LOSS,CY,: ,: ,: ,: ,: ,: ,: ,: ,38.01 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,15.70 ,: ,: ,: ,: ,205.23 ,3.17 ,: ,: ,: ,: ,: ,: ,216.01 ,: ,: ,: ,: 
ind13,VAL_A,EUR_HAB,LOSS,CZ,: ,: ,: ,: ,: ,0.69 ,: ,7.31 ,: ,: ,: ,: ,: ,: ,: ,: ,6.74 ,385.83 ,9.68 ,: ,73.33 ,3.89 ,386.99 ,: ,: ,: ,47.17 ,19.75 ,3.68 ,12.33 ,61.43 ,: ,65.74 ,181.80 ,1.26 ,: ,7.82 ,46.84 ,11.10 ,: ,10.61 
ind13,VAL_A,EUR_HAB,LOSS,DE,0.67 ,4.94 ,0.15 ,2.72 ,43.85 ,12.95 ,0.76 ,0.95 ,1.86 ,1.33 ,76.87 ,1.28 ,3.53 ,17.92 ,22.87 ,6.61 ,3.54 ,7.55 ,8.25 ,41.03 ,4.30 ,10.70 ,284.81 ,26.78 ,15.70 ,18.92 ,11.85 ,66.55 ,29.88 ,14.15 ,30.19 ,9.45 ,3.61 ,176.25 ,47.83 ,30.79 ,41.30 ,59.69 ,120.63 ,33.25 ,20.73 
ind13,VAL_A,EUR_HAB,LOSS,DK,: ,147.00 ,: ,: ,: ,: ,: ,: ,: ,: ,53.97 ,: ,191.94 ,: ,: ,: ,: ,: ,: ,705.04 ,16.16 ,: ,: ,: ,0.10 ,: ,: ,17.02 ,: ,: ,18.99 ,146.32 ,: ,186.34 ,14.26 ,: ,: ,: ,13.88 ,: ,9.39 
ind13,VAL_A,EUR_HAB,LOSS,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.22 ,: ,: ,10.71 ,: ,131.33 ,: ,: ,: ,: ,31.67 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind13,VAL_A,EUR_HAB,LOSS,EL,: ,: ,: ,: ,: ,: ,0.00 ,69.90 ,: ,: ,341.81 ,: ,: ,0.26 ,49.28 ,: ,: ,16.12 ,149.06 ,0.08 ,0.58 ,6.45 ,: ,58.56 ,28.51 ,: ,4.50 ,117.77 ,: ,7.64 ,0.10 ,: ,: ,1.01 ,: ,: ,4.58 ,10.13 ,6.00 ,23.24 ,90.60 
ind13,VAL_A,EUR_HAB,LOSS,ES,87.43 ,90.43 ,80.39 ,342.24 ,89.47 ,1.79 ,0.00 ,56.17 ,5.64 ,55.88 ,146.23 ,0.99 ,1.44 ,3.02 ,9.20 ,25.59 ,35.29 ,0.17 ,1.47 ,126.89 ,5.37 ,5.70 ,3.75 ,24.24 ,0.40 ,55.98 ,16.17 ,8.73 ,: ,33.96 ,23.33 ,3.39 ,6.94 ,0.26 ,: ,3.71 ,7.75 ,7.93 ,41.00 ,93.22 ,13.88 
ind13,VAL_A,EUR_HAB,LOSS,EU27_2020,14.52 ,14.11 ,22.02 ,43.83 ,18.26 ,7.46 ,7.30 ,35.98 ,3.13 ,11.19 ,65.13 ,5.76 ,15.62 ,11.12 ,44.34 ,12.31 ,7.64 ,29.45 ,11.43 ,76.37 ,44.45 ,9.59 ,90.05 ,55.80 ,9.33 ,40.90 ,8.16 ,22.37 ,11.52 ,17.16 ,38.43 ,14.29 ,8.44 ,50.78 ,26.39 ,22.45 ,21.56 ,62.51 ,49.40 ,42.17 ,27.13 
ind13,VAL_A,EUR_HAB,LOSS,FI,: ,: ,: ,: ,66.49 ,: ,: ,241.36 ,: ,: ,1.23 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3.79 ,: ,: ,0.39 ,26.08 ,0.11 ,5.11 ,: ,: ,21.13 ,29.30 ,1.23 ,: ,: ,: ,: ,: ,: ,: ,15.57 
ind13,VAL_A,EUR_HAB,LOSS,FR,: ,: ,8.41 ,54.80 ,: ,6.46 ,1.39 ,43.61 ,12.81 ,41.23 ,67.93 ,22.49 ,21.96 ,32.95 ,187.69 ,26.05 ,13.50 ,8.77 ,13.41 ,279.33 ,10.45 ,11.44 ,29.59 ,97.61 ,0.74 ,50.79 ,3.58 ,7.97 ,7.99 ,49.43 ,73.96 ,24.96 ,12.20 ,28.47 ,39.43 ,0.66 ,35.50 ,85.61 ,45.96 ,74.43 ,62.05 
ind13,VAL_A,EUR_HAB,LOSS,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3.02 ,: ,96.40 ,: ,: ,162.03 ,0.13 ,: ,0.13 ,: ,: ,: ,110.35 ,: ,0.39 ,: ,145.12 ,38.26 ,: ,33.73 ,67.23 ,: ,12.51 
ind13,VAL_A,EUR_HAB,LOSS,HU,: ,: ,: ,: ,: ,: ,221.47 ,: ,: ,: ,: ,: ,122.29 ,: ,: ,: ,: ,1.72 ,4.16 ,88.80 ,10.33 ,0.86 ,4.08 ,58.57 ,: ,9.50 ,4.77 ,: ,: ,: ,39.51 ,: ,: ,1.20 ,0.81 ,: ,: ,: ,: ,: ,: 
ind13,VAL_A,EUR_HAB,LOSS,IE,5.63 ,: ,: ,: ,: ,: ,5.72 ,: ,151.00 ,: ,49.46 ,1.54 ,: ,16.74 ,74.00 ,: ,0.37 ,7.17 ,: ,39.29 ,41.74 ,: ,22.49 ,: ,14.14 ,: ,: ,: ,: ,57.36 ,: ,59.35 ,: ,22.08 ,88.21 ,47.68 ,: ,55.60 ,: ,9.27 ,42.16 
ind13,VAL_A,EUR_HAB,LOSS,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,56.55 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,7.67 ,: ,: ,: ,: ,: ,7.86 ,: ,: ,: ,: ,: ,: ,: ,: 
ind13,VAL_A,EUR_HAB,LOSS,IT,1.55 ,18.76 ,85.28 ,11.94 ,6.08 ,0.66 ,8.95 ,127.72 ,0.50 ,0.16 ,21.02 ,8.43 ,36.83 ,15.43 ,81.62 ,9.78 ,9.92 ,18.36 ,1.16 ,17.08 ,237.90 ,7.41 ,94.68 ,115.90 ,1.19 ,1.02 ,: ,: ,11.07 ,5.68 ,11.95 ,40.55 ,19.87 ,10.38 ,27.32 ,46.24 ,32.51 ,196.41 ,85.21 ,80.10 ,41.45 
ind13,VAL_A,EUR_HAB,LOSS,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,26.66 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind13,VAL_A,EUR_HAB,LOSS,LT,: ,9.39 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,150.98 ,8.47 ,: ,: ,: ,: ,: ,0.31 ,: ,: ,1.55 ,: ,: ,12.66 ,80.04 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,150.65 ,: ,: ,: 
ind13,VAL_A,EUR_HAB,LOSS,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,881.23 ,: ,: ,42.33 ,: ,36.33 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,55.74 ,: ,: ,: ,: ,: ,84.26 ,: ,: ,221.03 ,21.68 
ind13,VAL_A,EUR_HAB,LOSS,LV,: ,25.80 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.44 ,: ,: ,: ,: ,: ,189.66 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,198.57 ,48.94 ,: ,: 
ind13,VAL_A,EUR_HAB,LOSS,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,46.38 ,: ,: ,: ,: ,: ,: ,: ,2.87 ,8.22 ,6.61 ,: ,: ,: ,: ,: ,47.53 ,: 
ind13,VAL_A,EUR_HAB,LOSS,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,178.04 ,: ,2.46 ,12.59 ,0.18 ,90.57 ,: ,: ,51.59 ,: ,: ,: ,24.58 ,0.04 ,3.21 ,6.44 ,: ,33.42 ,2.82 ,6.23 ,: ,0.71 ,: ,62.74 ,2.41 ,11.28 ,52.03 ,: ,25.34 ,2.33 ,15.47 
ind13,VAL_A,EUR_HAB,LOSS,NO,: ,: ,: ,: ,: ,: ,: ,79.74 ,: ,: ,44.64 ,: ,43.42 ,1.01 ,: ,88.09 ,: ,: ,: ,: ,1.93 ,0.94 ,: ,0.13 ,0.43 ,23.10 ,: ,: ,: ,: ,: ,3.92 ,: ,22.97 ,: ,: ,14.13 ,15.71 ,7.94 ,2.18 ,: 
ind13,VAL_A,EUR_HAB,LOSS,PL,65.16 ,: ,18.11 ,6.70 ,: ,33.37 ,: ,16.11 ,: ,: ,6.23 ,0.45 ,: ,: ,0.05 ,0.08 ,: ,138.04 ,0.02 ,0.41 ,: ,28.72 ,: ,11.96 ,6.43 ,: ,0.03 ,2.27 ,0.84 ,2.29 ,75.10 ,: ,0.13 ,: ,: ,: ,: ,1.67 ,2.90 ,: ,8.63 
ind13,VAL_A,EUR_HAB,LOSS,PT,: ,: ,0.20 ,72.86 ,: ,33.90 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,10.42 ,4.94 ,: ,: ,: ,: ,: ,396.04 ,133.05 ,159.50 ,: ,: ,: ,3.50 ,128.49 ,: ,: ,60.28 ,: ,0.55 ,23.70 ,191.84 ,15.24 ,51.46 ,8.55 
ind13,VAL_A,EUR_HAB,LOSS,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,12.77 ,: ,: ,0.44 ,1.52 ,: ,15.31 ,16.87 ,33.08 ,108.83 ,28.16 ,0.03 ,42.31 ,3.44 ,120.81 ,4.97 ,: ,23.17 ,: ,57.53 ,: ,1.19 ,0.49 ,23.26 ,141.14 ,: ,1.59 ,5.87 ,: ,19.22 
ind13,VAL_A,EUR_HAB,LOSS,SE,: ,: ,: ,: ,: ,1.08 ,: ,: ,: ,: ,1.24 ,: ,: ,: ,: ,: ,: ,0.49 ,: ,21.65 ,1.11 ,: ,0.09 ,: ,1.51 ,278.39 ,0.06 ,: ,0.05 ,: ,8.69 ,: ,: ,5.93 ,22.90 ,1.60 ,: ,: ,8.70 ,13.73 ,6.07 
ind13,VAL_A,EUR_HAB,LOSS,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,726.22 ,: ,: ,: ,: ,: ,: ,: ,116.13 ,: ,: ,: ,: ,46.72 ,: ,5.28 ,: ,169.76 ,77.76 ,: ,100.81 ,: ,182.55 ,: ,342.06 ,: ,: ,: ,: ,80.02 ,3.65 
ind13,VAL_A,EUR_HAB,LOSS,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,23.68 ,17.12 ,74.10 ,: ,4.28 ,1.08 ,43.51 ,86.35 ,: ,12.14 ,0.10 ,0.07 ,: ,4.19 ,: ,: ,2.28 ,: ,: ,: ,: ,: ,4.95 ,4.10 
ind13,VAL_A,EUR_HAB,LOSS,TR,0.51 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3.14 ,0.53 ,2.06 ,: ,: ,1.41 ,: ,: ,28.01 ,: ,0.57 ,0.47 ,0.32 ,: ,0.01 ,0.18 ,3.82 ,: ,: ,12.00 ,0.04 ,: ,0.07 ,: ,: ,0.10 ,: ,5.79 ,0.10 ,1.33 ,4.27 
ind13,VAL_A,MIO_EUR,LOSS,AT,: ,: ,2 ,: ,: ,: ,: ,379 ,: ,: ,424 ,167 ,: ,1 ,3 ,: ,6 ,282 ,: ,161 ,263 ,1 ,3392 ,352 ,1 ,758 ,626 ,390 ,532 ,596 ,: ,: ,11 ,870 ,: ,135 ,: ,1057 ,338 ,534 ,71 
ind13,VAL_A,MIO_EUR,LOSS,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1274 ,: ,: ,: ,: ,112 ,: ,: ,13 ,72 ,1 ,1 ,7 ,1 ,1 ,66 ,: ,424 ,: ,: ,397 ,83 ,: ,: ,111 ,: ,: ,: ,35 ,: ,377 
ind13,VAL_A,MIO_EUR,LOSS,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,45 ,: ,2 ,: ,1 ,1950 ,1 ,3 ,: ,: ,: ,: ,4 ,: ,881 ,906 ,: ,: ,: ,: ,5 
ind13,VAL_A,MIO_EUR,LOSS,CH,: ,: ,32 ,26 ,69 ,52 ,432 ,2931 ,194 ,1 ,773 ,: ,206 ,676 ,114 ,2 ,: ,105 ,74 ,3162 ,29 ,: ,92 ,385 ,15 ,4179 ,31 ,725 ,1 ,975 ,13 ,: ,: ,230 ,91 ,8 ,: ,349 ,135 ,164 ,125 
ind13,VAL_A,MIO_EUR,LOSS,CY,: ,: ,: ,: ,: ,: ,: ,: ,21 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,11 ,: ,: ,: ,: ,161 ,3 ,: ,: ,: ,: ,: ,: ,184 ,: ,: ,: ,: 
ind13,VAL_A,MIO_EUR,LOSS,CZ,: ,: ,: ,: ,: ,7 ,: ,76 ,: ,: ,: ,: ,: ,: ,: ,: ,70 ,3976 ,100 ,: ,752 ,40 ,3946 ,: ,: ,: ,483 ,203 ,38 ,129 ,643 ,: ,691 ,1912 ,13 ,: ,83 ,496 ,118 ,: ,113 
ind13,VAL_A,MIO_EUR,LOSS,DE,52 ,388 ,12 ,213 ,3414 ,1006 ,59 ,74 ,145 ,104 ,6106 ,102 ,284 ,1455 ,1862 ,540 ,290 ,619 ,677 ,3369 ,354 ,881 ,23494 ,2210 ,1295 ,1560 ,976 ,5475 ,2454 ,1159 ,2469 ,759 ,291 ,14214 ,3874 ,2515 ,3401 ,4934 ,10001 ,2763 ,1724 
ind13,VAL_A,MIO_EUR,LOSS,DK,: ,753 ,: ,: ,: ,: ,: ,: ,: ,: ,277 ,: ,993 ,: ,: ,: ,: ,: ,: ,3752 ,86 ,: ,: ,: ,1 ,: ,: ,93 ,: ,: ,105 ,815 ,: ,1046 ,80 ,: ,: ,: ,80 ,: ,55 
ind13,VAL_A,MIO_EUR,LOSS,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,11 ,: ,: ,15 ,: ,178 ,: ,: ,: ,: ,42 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind13,VAL_A,MIO_EUR,LOSS,EL,: ,: ,: ,: ,: ,: ,0 ,699 ,: ,: ,3485 ,: ,: ,3 ,518 ,: ,: ,172 ,1598 ,1 ,6 ,70 ,: ,640 ,312 ,: ,50 ,1301 ,: ,85 ,1 ,: ,: ,11 ,: ,: ,49 ,109 ,64 ,249 ,969 
ind13,VAL_A,MIO_EUR,LOSS,ES,3278 ,3415 ,3054 ,13064 ,3429 ,69 ,0 ,2173 ,219 ,2170 ,5684 ,39 ,57 ,119 ,364 ,1017 ,1408 ,7 ,59 ,5125 ,218 ,233 ,155 ,1022 ,17 ,2444 ,718 ,395 ,: ,1574 ,1087 ,159 ,325 ,12 ,: ,172 ,360 ,369 ,1919 ,4394 ,658 
ind13,VAL_A,MIO_EUR,LOSS,EU27_2020,5903 ,5760 ,9017 ,17994 ,7512 ,3075 ,3019 ,14921 ,1302 ,4669 ,27273 ,2418 ,6579 ,4699 ,18780 ,5225 ,3248 ,12531 ,4888 ,32719 ,19065 ,4121 ,38762 ,24103 ,4046 ,17794 ,3564 ,9797 ,5061 ,7557 ,16948 ,6292 ,3720 ,22443 ,11700 ,9974 ,9597 ,27873 ,22067 ,18853 ,12137 
ind13,VAL_A,MIO_EUR,LOSS,FI,: ,: ,: ,: ,325 ,: ,: ,1190 ,: ,: ,6 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,20 ,: ,: ,2 ,137 ,1 ,27 ,0 ,: ,113 ,158 ,7 ,: ,: ,: ,: ,: ,: ,0 ,86 
ind13,VAL_A,MIO_EUR,LOSS,FR,148 ,48 ,469 ,3071 ,0 ,366 ,79 ,2494 ,737 ,2386 ,3952 ,1315 ,1290 ,1944 ,11113 ,1548 ,805 ,525 ,805 ,16858 ,635 ,700 ,1824 ,6059 ,46 ,3200 ,227 ,509 ,513 ,3189 ,4794 ,1625 ,798 ,1872 ,2615 ,44 ,2369 ,5729 ,3087 ,5016 ,4192 
ind13,VAL_A,MIO_EUR,LOSS,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,14 ,: ,431 ,: ,: ,698 ,1 ,: ,1 ,: ,: ,: ,474 ,: ,2 ,: ,615 ,161 ,: ,139 ,275 ,: ,51 
ind13,VAL_A,MIO_EUR,LOSS,HU,: ,: ,: ,: ,: ,: ,2354 ,: ,: ,: ,: ,: ,1268 ,: ,: ,: ,: ,18 ,43 ,909 ,106 ,9 ,41 ,593 ,: ,96 ,48 ,: ,: ,: ,395 ,: ,: ,12 ,8 ,: ,: ,: ,: ,: ,: 
ind13,VAL_A,MIO_EUR,LOSS,IE,19 ,: ,: ,: ,: ,: ,20 ,: ,151 ,: ,174 ,5 ,: ,60 ,266 ,: ,1 ,26 ,: ,148 ,159 ,: ,88 ,: ,58 ,: ,: ,: ,: ,260 ,0 ,272 ,: ,102 ,411 ,224 ,: ,267 ,: ,46 ,210 
ind13,VAL_A,MIO_EUR,LOSS,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,15 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2 ,: ,0 ,: ,: ,: ,3 ,: ,: ,: ,: ,: ,: ,: ,: 
ind13,VAL_A,MIO_EUR,LOSS,IT,87 ,1060 ,4822 ,675 ,344 ,37 ,506 ,7229 ,28 ,9 ,1192 ,478 ,2092 ,877 ,4640 ,556 ,564 ,1045 ,66 ,972 ,13547 ,422 ,5402 ,6643 ,69 ,59 ,: ,: ,651 ,335 ,708 ,2408 ,1183 ,625 ,1661 ,2808 ,1971 ,11890 ,5148 ,4785 ,2464 
ind13,VAL_A,MIO_EUR,LOSS,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind13,VAL_A,MIO_EUR,LOSS,LT,: ,32 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,559 ,31 ,: ,: ,: ,: ,: ,1 ,: ,: ,5 ,: ,: ,42 ,262 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,426 ,: ,: ,: 
ind13,VAL_A,MIO_EUR,LOSS,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,336 ,: ,: ,17 ,: ,15 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,28 ,: ,: ,: ,: ,: ,49 ,: ,: ,137 ,14 
ind13,VAL_A,MIO_EUR,LOSS,LV,: ,65 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,: ,425 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,386 ,94 ,: ,: 
ind13,VAL_A,MIO_EUR,LOSS,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,18 ,: ,: ,: ,: ,: ,: ,: ,1 ,3 ,3 ,: ,: ,: ,: ,: ,24 ,: 
ind13,VAL_A,MIO_EUR,LOSS,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2662 ,: ,37 ,193 ,3 ,1400 ,: ,: ,810 ,: ,: ,: ,397 ,1 ,52 ,105 ,: ,547 ,46 ,103 ,: ,12 ,: ,1054 ,41 ,191 ,886 ,: ,437 ,40 ,270 
ind13,VAL_A,MIO_EUR,LOSS,NO,: ,: ,: ,: ,: ,: ,: ,334 ,: ,: ,189 ,: ,186 ,4 ,: ,384 ,: ,: ,: ,: ,9 ,4 ,: ,1 ,2 ,107 ,: ,: ,0 ,: ,: ,19 ,: ,117 ,: ,: ,74 ,83 ,42 ,12 ,: 
ind13,VAL_A,MIO_EUR,LOSS,PL,2318 ,: ,656 ,245 ,: ,1241 ,: ,607 ,: ,: ,238 ,17 ,: ,: ,2 ,3 ,: ,5335 ,1 ,16 ,: ,1099 ,: ,457 ,245 ,: ,1 ,87 ,32 ,87 ,2857 ,: ,5 ,: ,: ,: ,: ,63 ,110 ,: ,327 
ind13,VAL_A,MIO_EUR,LOSS,PT,: ,: ,2 ,726 ,: ,340 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,105 ,50 ,: ,: ,: ,: ,: ,4142 ,1395 ,1675 ,: ,: ,0 ,37 ,1359 ,: ,0 ,630 ,0 ,6 ,245 ,1976 ,157 ,529 ,88 
ind13,VAL_A,MIO_EUR,LOSS,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,294 ,: ,: ,10 ,34 ,: ,345 ,380 ,743 ,2442 ,623 ,1 ,913 ,74 ,2576 ,105 ,: ,476 ,: ,1165 ,: ,24 ,10 ,463 ,2797 ,: ,31 ,114 ,: ,370 
ind13,VAL_A,MIO_EUR,LOSS,SE,: ,: ,: ,: ,: ,9 ,: ,: ,: ,: ,11 ,: ,: ,: ,: ,: ,: ,4 ,: ,192 ,10 ,: ,1 ,: ,14 ,2514 ,1 ,: ,0 ,: ,82 ,: ,: ,57 ,222 ,16 ,: ,: ,89 ,141 ,63 
ind13,VAL_A,MIO_EUR,LOSS,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1451 ,: ,: ,: ,: ,: ,: ,: ,230 ,: ,: ,: ,: ,93 ,: ,11 ,: ,343 ,157 ,: ,207 ,: ,376 ,: ,705 ,: ,: ,: ,: ,167 ,8 
ind13,VAL_A,MIO_EUR,LOSS,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,127 ,92 ,400 ,: ,23 ,6 ,234 ,464 ,: ,65 ,1 ,0 ,: ,23 ,: ,: ,12 ,: ,: ,: ,: ,: ,27 ,22 
ind13,VAL_A,MIO_EUR,LOSS,TR,23 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,176 ,30 ,120 ,: ,: ,87 ,: ,: ,1826 ,: ,38 ,30 ,21 ,: ,1 ,12 ,264 ,: ,0 ,865 ,3 ,: ,5 ,: ,: ,8 ,: ,465 ,8 ,110 ,356 
