indicator,statinfo,unit,stk_flow,geo\time,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind13,AVG_30Y,EUR_HAB,LOSS,HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,18.24 ,19.60 ,19.65 ,19.76 ,19.85 ,19.93 ,19.98 ,12.04 ,12.07 ,12.09 ,12.09 ,12.12 
ind13,AVG_30Y,EUR_HAB,LOSS,IE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,10.56 ,10.36 ,12.29 ,12.24 ,12.91 ,15.76 ,17.20 ,16.86 ,18.53 ,17.27 ,17.34 ,17.41 
ind13,AVG_30Y,EUR_HAB,LOSS,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.84 ,1.84 ,1.83 ,2.08 ,2.07 ,2.04 ,2.02 ,1.99 ,1.95 ,1.90 ,1.85 ,1.82 
ind13,AVG_30Y,EUR_HAB,LOSS,IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,30.69 ,30.95 ,31.65 ,29.53 ,29.16 ,29.61 ,31.16 ,32.02 ,34.64 ,37.53 ,40.63 ,41.54 
ind13,AVG_30Y,EUR_HAB,LOSS,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.80 ,0.79 ,0.79 ,0.78 ,0.77 ,0.77 ,0.76 ,0.76 ,0.75 ,0.75 ,0.74 ,0.74 
ind13,AVG_30Y,EUR_HAB,LOSS,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.82 ,10.03 ,9.91 ,10.04 ,10.14 ,10.23 ,10.33 ,10.46 ,15.63 ,15.78 ,15.82 ,15.82 
ind13,AVG_30Y,EUR_HAB,LOSS,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,24.65 ,26.07 ,25.49 ,24.89 ,24.32 ,23.75 ,23.20 ,25.51 ,24.90 ,24.42 ,31.32 ,13.73 
ind13,AVG_30Y,EUR_HAB,LOSS,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,7.64 ,7.80 ,6.89 ,6.97 ,7.05 ,7.12 ,7.18 ,7.24 ,13.93 ,15.67 ,15.78 ,15.89 
ind13,AVG_30Y,EUR_HAB,LOSS,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.49 ,1.49 ,1.58 ,1.84 ,2.03 ,1.99 ,1.94 ,1.90 ,1.85 ,1.78 ,3.30 ,3.23 
ind13,AVG_30Y,EUR_HAB,LOSS,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,12.82 ,12.75 ,12.72 ,12.67 ,14.72 ,14.75 ,15.06 ,16.72 ,16.62 ,17.37 ,17.33 ,12.66 
