sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
HES,PC_GDP,CZ,0.16 ,0.17 ,0.17 ,0.17 ,0.17 ,0.22 ,0.23 ,0.24 ,0.23 ,0.26 ,0.27 ,0.38 ,0.49 ,0.51 ,0.5 ,0.48 ,0.34 ,0.35 ,0.41 ,0.42 ,0.43 ,0.41 p
HES,PC_GDP,DE,0.4 ,0.4 ,0.42 ,0.42 ,0.41 ,0.41 ,0.41 ,0.4 ,0.44 ,0.49 ,0.5 ,0.5 ,0.51 ,0.51 ,0.51 ,0.51 ,0.53 b,0.53 ,0.55 ,0.55 ,0.59 ,0.57 p
HES,PC_GDP,DK,0.43 ,0.44 ,0.56 b,0.58 ,0.59 ,0.59 ,0.62 ,0.66 b,0.75 ,0.85 ,0.88 ,0.91 ,0.94 ,1.01 ,0.98 ,1.04 ,1 ,0.97 ,1 ,1 p,1.02 ,0.96 p
HES,PC_GDP,EA19,0.38 e,0.39 e,0.4 e,0.4 e,0.39 e,0.39 e,0.39 e,0.39 e,0.42 e,0.46 e,0.47 e,0.46 e,0.46 e,0.47 e,0.47 e,0.46 e,0.46 e,0.46 e,0.46 e,0.46 e,0.5 e,0.48 p
HES,PC_GDP,EA20,0.37 e,0.39 e,0.4 e,0.4 e,0.39 e,0.39 e,0.39 e,0.39 e,0.42 e,0.46 e,0.46 e,0.46 e,0.46 e,0.47 e,0.47 e,0.46 e,0.46 e,0.46 e,0.46 e,0.46 e,0.5 e,0.48 p
HES,PC_GDP,EE,0.31 ,0.35 ,0.34 ,0.36 ,0.38 ,0.38 ,0.45 ,0.44 ,0.54 ,0.59 ,0.6 ,0.64 ,0.68 ,0.73 ,0.63 ,0.61 ,0.44 ,0.51 ,0.63 ,0.58 ,0.59 ,0.59 p
HES,PC_GDP,EL,: ,0.25 ,: ,0.26 ,0.25 e,0.27 ,0.27 e,0.28 e,0.22 be,0.23 e,0.22 e,0.28 ,0.28 ,0.31 ,0.31 ,0.37 ,0.32 ,0.33 ,0.34 ,0.39 ,0.48 ,0.44 p
HES,PC_GDP,ES,0.26 ,0.27 e,0.29 ,0.31 ,0.31 ,0.32 ,0.33 ,0.33 ,0.35 ,0.38 ,0.38 ,0.38 ,0.36 ,0.36 ,0.35 ,0.34 ,0.33 ,0.33 ,0.33 ,0.33 ,0.37 ,0.38 p
HES,PC_GDP,EU27_2020,0.38 e,0.39 e,0.4 e,0.41 e,0.4 e,0.39 e,0.39 e,0.39 e,0.42 e,0.46 e,0.47 e,0.47 e,0.48 e,0.48 e,0.48 e,0.48 e,0.47 e,0.47 e,0.47 e,0.48 e,0.51 e,0.49 p
HES,PC_GDP,FI,0.58 ,0.58 ,0.62 ,0.63 ,0.66 ,0.63 ,0.62 ,0.62 ,0.61 ,0.71 ,0.76 ,0.72 ,0.73 ,0.7 ,0.72 ,0.7 ,0.68 ,0.69 ,0.7 ,0.71 ,0.72 ,0.69 
HES,PC_GDP,FR,0.39 b,0.4 ,0.41 ,0.41 ,0.39 b,0.39 ,0.39 ,0.39 ,0.41 ,0.46 ,0.47 ,0.46 ,0.46 ,0.47 ,0.46 ,0.46 ,0.46 ,0.45 ,0.45 ,0.44 ,0.47 ,0.45 
HES,PC_GDP,HR,: ,: ,0.33 ,0.37 ,0.38 ,0.29 ,0.27 ,0.26 ,0.27 ,0.27 ,0.21 ,0.21 ,0.2 ,0.19 ,0.2 ,0.2 ,0.28 ,0.25 ,0.3 ,0.35 ,0.4 ,0.4 
HES,PC_GDP,HU,0.19 d,0.24 d,0.25 d,0.25 d,0.21 d,0.23 d,0.24 d,0.22 d,0.22 d,0.24 d,0.22 d,0.24 d,0.23 d,0.2 d,0.18 d,0.16 d,0.13 d,0.18 d,0.19 bd,0.21 d,0.21 d,0.23 d
HES,PC_GDP,IE,0.22 ,0.23 ,0.24 ,0.28 ,0.31 ,0.32 ,0.32 ,0.33 ,0.4 ,0.43 e,0.42 ,0.39 e,0.36 ,0.37 e,0.37 ,0.28 ,0.28 ,0.27 ,0.27 ,0.27 ,0.28 e,0.17 p
HES,PC_GDP,IS,0.42 e,0.53 ,0.45 e,0.58 ,: ,0.59 ,0.68 ,0.64 ,0.62 ,0.65 ,0.64 b,0.63 b,: ,0.63 b,0.64 ,0.64 ,0.65 ,0.66 ,0.63 ,0.65 ,0.71 ,0.71 
HES,PC_GDP,IT,0.31 ,0.34 ,0.35 ,0.36 ,0.34 ,0.32 b,0.33 ,0.34 ,0.35 ,0.37 ,0.35 ,0.34 ,0.35 ,0.37 ,0.36 e,0.34 e,0.33 e,0.32 e,0.32 e,0.33 e,0.35 e,0.35 e
HES,PC_GDP,JP,0.42 ,0.42 ,0.41 ,0.41 ,0.4 ,0.42 ,0.41 ,0.41 ,0.38 b,0.43 ,0.4 ,0.42 ,0.42 ,0.44 b,0.42 ,0.4 ,0.38 ,0.38 ,0.37 b,0.37 ,0.38 ,: 
HES,PC_GDP,KR,0.24 d,0.24 d,0.23 d,0.23 d,0.25 d,0.25 d,0.27 d,0.31 b,0.33 ,0.35 ,0.36 ,0.36 ,0.37 ,0.37 ,0.37 ,0.36 ,0.36 ,0.36 ,0.37 ,0.38 ,0.43 ,: 
HES,PC_GDP,LT,0.21 ,0.21 ,0.33 ,0.35 ,0.41 ,0.41 ,0.39 ,0.41 ,0.42 ,0.43 ,0.42 ,0.49 ,0.48 ,0.52 ,0.54 ,0.58 ,0.33 ,0.32 ,0.34 ,0.36 ,0.42 ,0.39 
HES,PC_GDP,LU,0 ,0.01 ,: ,0.01 e,0.02 ,0.02 ,0.04 ,0.05 e,0.09 ,0.13 ,0.18 ,0.15 ,0.2 ,0.23 ,0.21 ,0.23 ,0.24 ,0.25 ,0.24 ,0.26 ,0.26 e,0.26 ep
HES,PC_GDP,LV,0.16 ,0.17 ,0.16 ,0.15 ,0.14 ,0.21 ,0.22 ,0.24 ,0.27 ,0.17 ,0.24 ,0.35 ,0.33 ,0.26 ,0.28 ,0.31 ,0.19 ,0.24 ,0.33 ,0.35 ,0.35 ,0.33 p
HES,PC_GDP,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.14 d,: ,0.12 d,0.14 d,0.17 ,0.19 ,0.17 ,0.17 ,: ,: ,: 
HES,PC_GDP,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.3 ,0.27 ,0.22 ,0.21 ,0.23 ,0.24 ,: 
HES,PC_GDP,MT,: ,: ,0.15 ,0.15 ,0.15 ,0.15 ,0.17 ,0.17 ,0.16 ,0.16 ,0.21 ,0.21 ,0.28 ,0.29 ,0.24 ,0.23 ,0.2 ,0.19 ,0.21 ,0.21 ,0.23 ,0.23 
HES,PC_GDP,NL,0.57 ,0.57 ,0.61 ,0.61 ,0.59 ,0.61 ,0.59 ,0.58 ,0.62 ,0.67 ,0.69 ,0.61 ,0.61 ,0.62 b,0.63 ,0.64 ,0.61 ,0.61 ,0.59 ,0.6 ,0.64 ,0.61 p
HES,PC_GDP,NO,: ,0.4 ,0.44 ,0.46 ,0.46 ,0.46 ,0.44 ,0.5 b,0.5 ,0.55 ,0.53 ,0.51 ,0.5 ,0.52 ,0.53 ,0.6 ,0.66 ,0.7 ,0.7 ,0.73 ,0.75 ,0.64 
HES,PC_GDP,PL,0.2 ,0.2 ,0.19 ,0.17 ,0.18 ,0.18 ,0.17 ,0.19 ,0.2 ,0.25 ,0.27 ,0.26 ,0.3 ,0.26 ,0.28 ,0.29 ,0.3 ,0.34 ,0.38 ,0.47 ,0.48 ,0.5 p
HES,PC_GDP,PT,0.27 e,0.28 ,0.27 e,0.27 ,0.27 e,0.27 ,0.3 e,0.33 ,0.5 b,0.58 ,0.57 ,0.53 ,0.5 ,0.59 b,0.59 ,0.57 ,0.57 ,0.56 ,0.56 ,0.56 ,0.58 ,0.56 p
HES,PC_GDP,RO,0.04 ,0.04 ,0.06 ,0.04 ,0.04 ,0.06 ,0.08 ,0.12 ,0.16 ,0.11 ,0.11 ,0.11 b,0.09 ,0.08 ,0.06 ,0.09 ,0.05 ,0.05 ,0.05 ,0.05 ,0.04 ,0.04 p
HES,PC_GDP,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.45 ,0.36 ,0.39 ,0.39 ,0.36 ,0.33 ,0.33 ,0.3 ,0.32 ,0.3 ,0.31 ,0.29 ,0.28 
HES,PC_GDP,RU,0.04 ,0.06 ,0.06 ,0.07 ,0.06 ,0.06 ,0.06 ,0.07 ,0.07 ,0.08 ,0.09 ,0.09 ,0.1 ,0.09 ,0.1 ,0.11 ,: ,0.1 ,0.1 ,0.11 ,: ,: 
HES,PC_GDP,SE,: ,0.76 ,: ,0.78 ,0.77 ,0.74 ,0.72 e,0.71 ,0.74 e,0.84 ,0.83 e,0.84 ,0.88 e,0.89 ,0.9 e,0.86 ,0.87 e,0.84 ,0.84 ,0.8 b,0.81 ,0.79 
HES,PC_GDP,SI,0.23 ,0.24 ,0.22 ,0.17 ,0.18 ,0.24 ,0.23 ,0.22 ,0.22 ,0.26 ,0.29 ,0.28 b,0.28 ,0.27 ,0.25 ,0.22 ,0.22 ,0.21 ,0.23 ,0.24 ,0.26 ,0.26 p
HES,PC_GDP,SK,0.06 ,0.06 ,0.05 ,0.07 ,0.1 ,0.1 ,0.11 ,0.11 ,0.11 ,0.12 ,0.17 ,0.23 ,0.27 ,0.27 ,0.3 ,0.51 ,0.22 ,0.22 ,0.2 ,0.21 ,0.24 ,0.24 
HES,PC_GDP,TR,0.28 ,0.31 ,0.33 ,0.31 ,0.34 ,0.31 ,0.28 ,0.33 ,0.3 ,0.38 ,0.37 ,0.36 ,0.36 ,0.34 ,0.35 ,0.35 ,0.34 ,0.32 ,0.31 ,0.31 ,0.31 ,: 
HES,PC_GDP,UK,0.33 ,0.36 ,0.39 ,0.38 ,0.38 ,0.4 ,0.41 ,0.42 ,0.43 ,0.47 ,0.44 ,0.43 ,0.42 ,0.43 ,0.42 ,0.42 ,0.4 ,0.4 ,0.41 ,0.41 p,: ,: 
HES,PC_GDP,US,0.3 d,0.32 d,0.35 d,0.37 bd,0.37 p,0.36 d,0.35 d,0.35 d,0.37 d,0.39 d,0.4 d,0.4 d,0.37 d,0.37 d,0.36 d,0.36 d,0.36 d,0.37 d,0.36 d,0.37 d,0.39 d,: 
PNP,PC_GDP,AT,: ,: ,0.01 ,: ,0.01 ,0.01 e,0.01 ,0.01 ,0.01 e,0.01 b,0.01 e,0.01 ,0.01 e,0.01 ,0.01 e,0.01 ,0.02 e,0.02 ,0.02 e,0.02 ,0.02 e,0.02 e
PNP,PC_GDP,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,: ,: ,: ,: ,0 ,0 ,: 
PNP,PC_GDP,BE,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.01 b,0.01 ,0.01 ,0.01 ,0.02 ,0.01 ,0.02 ,0.02 ,0.03 e,0.02 p
PNP,PC_GDP,BG,0 ,0 ,0 ,0 ,0 ,0.01 ,0 ,0 ,0 ,0 ,0 ,0 ,0.01 ,0 ,0.01 ,0.01 ,0 ,0.01 ,0 ,0.01 ,0.01 ,0 p
PNP,PC_GDP,CH,0.04 ,: ,: ,: ,0.06 ,: ,: ,: ,0.04 ,: ,: ,: ,0.05 ,: ,: ,0.08 ,: ,0.08 ,: ,0.08 ,: ,: 
PNP,PC_GDP,CY,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.06 ,0.06 ,0.07 ,0.06 ,0.06 ,0.08 ,0.07 ,0.07 ,0.06 ,0.07 ,0.08 ,0.11 ,0.12 p
PNP,PC_GDP,CZ,0.01 ,0.01 ,0 ,0 ,0 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0 ,0 ,0 ,0.01 ,0.01 ,0.01 p
PNP,PC_GDP,DE,: ,: ,: ,: d,: d,: d,: d,: d,: d,: d,: d,: d,: d,: d,: d,: d,: ,: ,: ,: ,: ,: 
PNP,PC_GDP,DK,0.02 ,0.02 ,0.01 ,0.02 ,0.02 ,0.02 ,0.01 ,0.01 b,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 p,0.01 ,0.01 p
PNP,PC_GDP,EA19,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.01 e,0.01 e,0.01 e,0.02 e,0.02 p
PNP,PC_GDP,EA20,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.01 e,0.01 e,0.01 e,0.02 e,0.02 p
PNP,PC_GDP,EE,0.01 ,0.01 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 p
PNP,PC_GDP,EL,: ,0 ,: ,0.01 ,0 e,0.01 ,0.01 e,0.01 e,0.01 be,0.01 e,0.01 e,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 p
PNP,PC_GDP,ES,0.01 ,0.01 ,0 b,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 p
PNP,PC_GDP,EU27_2020,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.02 e,0.01 e,0.01 e,0.02 e,0.02 e,0.02 e,0.02 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.01 e,0.02 e,0.01 p
PNP,PC_GDP,FI,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 
PNP,PC_GDP,FR,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,0.03 ,0.04 ,0.05 ,0.04 
PNP,PC_GDP,HR,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: d,: d,: d,: d,: ,: ,: ,: ,: ,: 
PNP,PC_GDP,IS,0.05 e,0.06 ,0.06 e,0.06 ,: ,0.08 ,0.08 ,0.06 ,0.06 ,0.06 ,: ,0.07 be,: ,0 b,0 ,0 ,0 ,0 ,0 ,: ,: ,: 
PNP,PC_GDP,IT,: ,: ,0.01 ,0.01 ,0.02 ,0.02 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.03 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 
PNP,PC_GDP,JP,0.13 ,0.07 b,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.05 ,0.05 ,0.05 ,0.05 ,0.04 ,0.04 ,0.05 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,: 
PNP,PC_GDP,KR,0.03 d,0.02 d,0.03 d,0.03 d,0.03 d,0.03 d,0.03 d,0.04 b,0.04 ,0.05 ,0.06 ,0.06 ,0.05 ,0.05 ,0.06 ,0.07 ,0.06 ,0.06 ,0.06 ,0.07 ,0.09 ,: 
PNP,PC_GDP,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: d,: ,: ,: ,: 
PNP,PC_GDP,LV,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
PNP,PC_GDP,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.01 ,: ,0.01 ,0.01 ,0.01 ,0.02 ,0.01 ,0.01 ,: ,: ,: 
PNP,PC_GDP,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0.01 ,0.01 ,0.01 ,0.01 ,0 ,: 
PNP,PC_GDP,MT,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
PNP,PC_GDP,NL,0.02 ,: d,0.01 ,: d,: d,: d,: d,: d,: d,: d,: d,: d,: d,0 bd,0 d,0 d,0 d,0 d,0 d,0 d,0 d,0 dp
PNP,PC_GDP,PL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 p
PNP,PC_GDP,PT,0.08 e,0.08 ,0.08 e,0.08 ,0.08 e,0.09 ,0.1 e,0.11 ,0.12 ,0.14 ,0.16 ,0.13 ,0.12 ,0.02 b,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.03 ,0.04 p
PNP,PC_GDP,RO,: ,: ,: ,0 ,0 ,0.01 ,0.01 ,0 ,0 ,0 ,0 ,0 b,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 p
PNP,PC_GDP,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
PNP,PC_GDP,RU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,0 ,0 ,0 ,: ,: 
PNP,PC_GDP,SE,: ,0 ,: ,0.01 ,0.01 ,0.01 b,0.01 e,0.01 b,0.01 e,0 be,0 e,0.01 b,0.01 e,0.01 ,0.01 e,0.01 ,0.01 e,0 ,0 ,0 e,0 e,0 e
PNP,PC_GDP,SI,0.02 ,0.02 ,0.02 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 b,0 ,0 ,0 ,0 ,0 ,0 ,0.01 ,0.01 ,0.02 ,0.02 p
PNP,PC_GDP,SK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
PNP,PC_GDP,TR,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
PNP,PC_GDP,UK,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.04 ,0.04 ,0.04 e,0.04 e,0.04 e,0.03 ,0.03 e,0.03 ,0.03 e,0.03 ,0.04 e,0.04 ,0.04 ,0.04 p,: ,: 
PNP,PC_GDP,US,0.1 de,0.11 de,0.11 de,0.12 de,0.11 dp,0.11 de,0.1 de,0.11 de,0.11 de,0.13 de,0.12 de,0.12 de,0.11 de,0.11 de,0.11 de,0.11 de,0.12 de,0.13 de,0.13 de,0.13 de,0.14 de,: 
TOTAL,PC_GDP,AT,1.89 e,1.99 e,2.07 ,2.17 e,2.17 ,2.37 e,2.36 ,2.42 ,2.57 e,2.6 ,2.73 e,2.67 ,2.91 e,2.95 ,3.08 e,3.05 ,3.12 e,3.06 ,3.09 e,3.13 ,3.2 e,3.19 p
TOTAL,PC_GDP,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.27 ,0.32 ,0.26 ,: ,: ,: ,: ,0.19 ,0.21 ,: 
TOTAL,PC_GDP,BE,1.94 ,2.03 ,1.9 ,1.84 ,1.82 ,1.79 ,1.82 ,1.85 ,1.94 ,2 ,2.06 ,2.17 ,2.28 ,2.33 ,2.37 ,2.43 ,2.52 ,2.67 ,2.86 ,3.16 ,3.35 e,3.22 p
TOTAL,PC_GDP,BG,0.5 ,0.45 ,0.46 ,0.47 ,0.47 ,0.44 ,0.44 ,0.43 ,0.45 ,0.49 ,0.56 ,0.53 ,0.6 ,0.63 ,0.79 ,0.95 ,0.77 ,0.74 ,0.75 ,0.83 ,0.85 ,0.77 p
TOTAL,PC_GDP,CH,2.26 ,: ,: ,: ,2.6 ,: ,: ,: ,2.64 ,: ,: ,: ,2.85 ,: ,: ,3.04 ,: ,3.03 ,: ,3.15 ,: ,: 
TOTAL,PC_GDP,CY,0.23 ,0.24 ,0.28 ,0.32 ,0.34 ,0.37 ,0.38 ,0.4 ,0.39 ,0.44 ,0.44 ,0.45 ,0.44 ,0.48 ,0.51 ,0.48 ,0.52 ,0.54 ,0.61 ,0.71 ,0.84 ,0.87 p
TOTAL,PC_GDP,CZ,1.11 ,1.1 ,1.1 ,1.14 ,1.14 ,1.16 ,1.23 ,1.3 ,1.23 ,1.29 ,1.33 ,1.54 ,1.77 ,1.88 ,1.96 ,1.92 ,1.67 ,1.77 ,1.9 ,1.93 ,1.99 ,2 p
TOTAL,PC_GDP,DE,2.41 ,2.4 ,2.44 ,2.47 ,2.44 ,2.44 ,2.47 ,2.46 ,2.62 ,2.74 ,2.73 ,2.81 ,2.88 ,2.84 ,2.88 ,2.93 ,2.94 ,3.05 ,3.11 ,3.17 ,3.13 e,3.13 p
TOTAL,PC_GDP,DK,2.19 ,2.32 ,2.44 ,2.51 ,2.42 ,2.39 ,2.4 ,2.52 b,2.77 ,3.06 ,2.92 ,2.94 ,2.98 ,2.97 ,2.91 ,3.06 ,3.09 ,2.93 ,2.97 ,2.93 p,2.96 ,2.81 p
TOTAL,PC_GDP,EA19,1.78 e,1.8 e,1.81 e,1.81 e,1.79 e,1.78 e,1.81 e,1.81 e,1.89 e,1.99 e,2 e,2.04 e,2.1 e,2.12 e,2.14 e,2.14 e,2.14 e,2.18 e,2.22 e,2.26 e,2.34 e,2.3 p
TOTAL,PC_GDP,EA20,1.78 e,1.8 e,1.81 e,1.81 e,1.78 e,1.78 e,1.8 e,1.81 e,1.89 e,1.98 e,1.99 e,2.04 e,2.09 e,2.11 e,2.13 e,2.13 e,2.14 e,2.18 e,2.21 e,2.25 e,2.34 e,2.29 p
TOTAL,PC_GDP,EE,0.6 ,0.7 ,0.71 ,0.76 ,0.85 ,0.92 ,1.11 ,1.06 ,1.25 ,1.4 ,1.58 ,2.31 ,2.12 ,1.72 ,1.43 ,1.47 ,1.24 ,1.28 ,1.41 ,1.63 ,1.75 ,1.75 p
TOTAL,PC_GDP,EL,: ,0.56 ,: ,0.55 ,0.53 e,0.58 ,0.56 e,0.58 e,0.66 be,0.63 e,0.6 e,0.68 ,0.71 ,0.81 ,0.84 ,0.97 ,1.01 ,1.15 ,1.21 ,1.28 ,1.51 ,1.45 p
TOTAL,PC_GDP,ES,0.88 ,0.89 ,0.96 ,1.02 ,1.04 ,1.1 ,1.18 ,1.24 ,1.33 ,1.36 ,1.36 ,1.33 ,1.3 ,1.27 ,1.24 ,1.22 ,1.19 ,1.21 ,1.24 ,1.25 ,1.41 ,1.43 p
TOTAL,PC_GDP,EU27_2020,1.81 e,1.82 e,1.83 e,1.83 e,1.8 e,1.78 e,1.8 e,1.8 e,1.87 e,1.97 e,1.97 e,2.02 e,2.08 e,2.1 e,2.11 e,2.12 e,2.12 e,2.15 e,2.19 e,2.22 e,2.3 e,2.26 p
TOTAL,PC_GDP,FI,3.24 ,3.19 ,3.25 ,3.3 ,3.31 ,3.32 ,3.33 ,3.34 ,3.54 ,3.73 ,3.71 ,3.62 ,3.4 ,3.27 ,3.15 ,2.87 ,2.72 ,2.73 ,2.76 ,2.8 ,2.91 ,2.98 
TOTAL,PC_GDP,FR,2.09 b,2.14 ,2.17 ,2.12 ,2.09 b,2.05 ,2.05 ,2.02 ,2.06 ,2.21 ,2.18 b,2.19 ,2.23 ,2.24 ,2.23 ,2.23 ,2.22 ,2.2 ,2.2 ,2.19 ,2.3 ,2.21 
TOTAL,PC_GDP,HR,: ,: ,0.94 ,0.94 ,1.02 ,0.85 ,0.73 ,0.78 ,0.88 ,0.84 ,0.73 ,0.74 ,0.74 ,0.8 ,0.77 ,0.83 ,0.85 ,0.85 ,0.95 ,1.08 ,1.24 ,1.24 
TOTAL,PC_GDP,HU,0.79 d,0.91 d,0.98 d,0.92 d,0.86 b,0.92 ,0.98 ,0.95 ,0.98 ,1.13 ,1.13 ,1.18 ,1.25 ,1.38 ,1.34 ,1.34 ,1.18 ,1.32 ,1.51 b,1.47 ,1.59 ,1.65 
TOTAL,PC_GDP,IE,1.08 ,1.05 ,1.06 ,1.12 ,1.18 ,1.19 ,1.2 ,1.23 ,1.39 ,1.61 e,1.59 e,1.55 e,1.56 e,1.57 e,1.52 ,1.18 ,1.18 ,1.25 ,1.17 e,1.23 ,1.23 e,1.06 p
TOTAL,PC_GDP,IS,2.57 e,2.84 ,2.82 e,2.71 ,: ,2.68 ,2.85 ,2.53 ,2.46 ,2.6 ,: ,2.4 be,: ,1.69 b,1.94 ,2.18 ,2.11 ,2.08 ,2 ,2.32 ,2.47 ,2.77 
TOTAL,PC_GDP,IT,1 ,1.04 ,1.08 ,1.06 ,1.05 ,1.04 ,1.08 ,1.13 ,1.16 ,1.22 ,1.22 ,1.2 ,1.26 ,1.3 ,1.34 e,1.34 ,1.37 b,1.37 ,1.42 ,1.46 ,1.51 ,1.49 
TOTAL,PC_GDP,JP,2.86 ,2.92 ,2.97 ,2.99 ,2.98 ,3.13 ,3.23 ,3.29 ,3.29 b,3.2 ,3.11 ,3.21 ,3.17 ,3.28 b,3.37 ,3.24 ,3.11 ,3.17 ,3.22 b,3.2 ,3.26 ,: 
TOTAL,PC_GDP,KR,2.13 d,2.28 d,2.21 d,2.28 d,2.44 d,2.52 d,2.72 d,2.87 b,2.99 ,3.15 ,3.32 ,3.59 ,3.85 ,3.95 ,4.08 ,3.98 ,3.99 ,4.29 ,4.52 ,4.63 ,4.8 ,: 
TOTAL,PC_GDP,LT,0.59 ,0.67 ,0.66 ,0.66 ,0.75 ,0.75 ,0.79 ,0.8 ,0.79 ,0.83 ,0.78 ,0.9 ,0.89 ,0.95 ,1.03 ,1.04 ,0.84 ,0.9 ,0.94 ,0.99 ,1.14 ,1.11 
TOTAL,PC_GDP,LU,1.58 ,: ,: ,1.62 ,1.59 ,1.56 ,1.65 ,1.57 e,1.55 ,1.59 ,1.42 ,1.42 ,1.21 b,1.23 ,1.22 ,1.25 ,1.27 ,1.24 ,1.17 ,1.18 ,1.09 e,1.02 p
TOTAL,PC_GDP,LV,0.43 ,0.4 ,0.41 ,0.36 ,0.4 ,0.53 ,0.65 ,0.55 ,0.58 ,0.45 ,0.61 ,0.72 ,0.66 ,0.61 ,0.69 ,0.62 ,0.44 ,0.51 ,0.64 ,0.64 ,0.69 ,0.69 p
TOTAL,PC_GDP,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.31 ,: ,0.37 ,0.36 ,0.37 ,0.32 ,0.35 ,0.5 ,: ,: ,: 
TOTAL,PC_GDP,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.44 ,0.44 ,0.35 ,0.36 ,0.37 ,0.37 ,: 
