sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
BES,PC_GDP,JP,2.03 ,2.15 ,2.21 ,2.24 ,2.24 ,2.39 ,2.49 ,2.56 ,2.58 ,2.42 ,2.38 ,2.47 ,2.43 ,2.5 ,2.62 ,2.54 ,2.45 ,2.5 ,2.56 ,2.53 ,2.57 ,: 
BES,PC_GDP,KR,1.57 d,1.74 d,1.65 d,1.73 d,1.87 d,1.94 d,2.1 d,2.19 ,2.25 ,2.34 ,2.48 ,2.75 ,3 ,3.1 ,3.19 ,3.08 ,3.1 ,3.41 ,3.63 ,3.72 ,3.79 ,: 
BES,PC_GDP,LT,0.13 ,0.19 ,0.11 ,0.14 ,0.16 ,0.15 ,0.22 ,0.23 ,0.19 ,0.2 ,0.23 ,0.24 ,0.24 ,0.24 ,0.32 ,0.29 ,0.29 ,0.33 ,0.39 ,0.43 ,0.53 ,0.54 
BES,PC_GDP,LU,1.47 ,: ,: ,1.45 ,1.39 ,1.35 ,1.42 ,1.32 ,1.2 ,1.21 ,0.94 ,0.94 ,0.67 b,0.65 ,0.64 ,0.66 ,0.7 ,0.69 ,0.62 ,0.64 ,0.54 ,0.47 p
BES,PC_GDP,LV,0.18 ,0.15 ,0.17 ,0.12 ,0.18 ,0.21 ,0.33 ,0.18 ,0.14 ,0.16 ,0.22 ,0.2 ,0.15 ,0.17 ,0.24 ,0.15 ,0.11 ,0.14 ,0.16 ,0.17 ,0.21 ,0.23 p
BES,PC_GDP,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.09 ,: ,0.18 ,0.14 ,0.11 ,0.05 ,0.07 ,0.19 ,: ,: ,: 
BES,PC_GDP,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.08 ,0.1 ,0.09 ,0.11 ,0.1 ,0.1 ,: 
BES,PC_GDP,MT,: ,: ,0.06 ,0.07 ,0.32 b,0.35 ,0.38 ,0.36 ,0.35 ,0.32 ,0.36 ,0.43 ,0.46 ,0.38 ,0.38 ,0.37 ,0.35 ,0.36 ,0.36 ,0.35 ,0.42 ,0.4 
BES,PC_GDP,NL,0.99 ,0.98 ,0.91 ,0.94 ,0.96 ,0.94 ,0.94 ,0.89 ,0.81 ,0.78 ,0.82 ,1.06 b,1.08 b,1.41 b,1.41 ,1.38 ,1.41 ,1.45 ,1.42 ,1.46 ,1.54 ,1.52 p
BES,PC_GDP,NO,: ,0.93 ,0.93 ,0.96 ,0.84 ,0.79 ,0.77 ,0.82 ,0.82 ,0.89 ,0.84 ,0.84 ,0.84 ,0.86 ,0.92 ,1.04 ,1.08 ,1.1 ,1.05 ,1.13 ,1.22 ,1.04 p
BES,PC_GDP,PL,0.23 ,0.22 ,0.11 ,0.15 ,0.16 ,0.18 ,0.17 ,0.17 ,0.19 ,0.19 ,0.19 ,0.23 ,0.33 ,0.38 ,0.44 ,0.47 ,0.63 ,0.67 ,0.8 ,0.83 ,0.87 ,0.91 p
BES,PC_GDP,PT,0.2 e,0.24 ,0.23 e,0.23 ,0.26 e,0.29 ,0.44 e,0.58 ,0.72 ,0.75 ,0.71 ,0.69 ,0.69 ,0.63 ,0.6 ,0.58 ,0.62 ,0.67 ,0.69 ,0.73 ,0.92 ,0.98 p
BES,PC_GDP,RO,0.25 ,0.24 ,0.23 ,0.23 ,0.22 ,0.21 ,0.22 ,0.21 ,0.17 ,0.18 ,0.17 ,0.17 b,0.18 ,0.12 ,0.16 ,0.21 ,0.27 ,0.29 ,0.3 ,0.28 ,0.27 ,0.29 p
BES,PC_GDP,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.12 ,0.08 ,0.06 ,0.21 ,0.09 ,0.21 b,0.26 ,0.31 ,0.32 ,0.36 ,0.35 ,0.35 ,0.45 
BES,PC_GDP,RU,0.69 ,0.77 ,0.81 ,0.82 ,0.74 ,0.68 ,0.67 ,0.67 ,0.61 ,0.73 ,0.64 ,0.62 ,0.6 ,0.62 ,0.64 ,0.65 ,: ,0.67 ,0.55 ,0.63 ,: ,: 
BES,PC_GDP,SE,: ,3 e,: ,2.66 e,2.47 e,2.45 b,2.6 e,2.36 ,2.57 e,2.41 ,2.18 e,2.2 ,2.19 e,2.25 ,2.08 e,2.24 ,2.26 e,2.4 ,2.36 ,2.43 ,2.52 ,2.41 
