nace_r2,ceparema,na_item,ty,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,NL,: ,9339.03 ,9555.03 ,9777.13 ,9825.9 ,9828.36 ,10516.22 ,10977.99 ,11742.06 ,11491.87 ,12109.58 ,12863.38 ,12450.7 ,12919.55 ,13802.22 ,14108.78 ,14880.55 ,15915.47 ,16037.05 ,17016.97 ,17267.12 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9983.61 ,10339.38 ,10129.19 ,10762.14 ,10565.95 ,11893.58 ,12308.08 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3990.43 ,3931.36 ,4115.46 ,4207.67 ,4282 b,4313.87 ,4304.3 bp,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,RO,: ,: ,: ,: ,: ,: ,: ,: ,5816.5 ,3270.75 ,3511.65 ,4367.52 ,3350 ,4714.51 ,5139.51 ,5013.35 ,4916.88 ,4446.12 ,4902.97 ,4586.94 ,4400.64 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,285.25 p,319 p,312.19 p,328.39 p,344.82 p,: ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,SE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,12463.14 ,12810.73 ,12503.76 ,: c,13618.5 ,14959.44 ,16131.99 ,16348.71 ,18119.19 ,17902.33 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,549.96 ,553.04 ,616.15 ,605.53 ,668.62 ,594.42 ,658.63 ,647.39 ,689.91 ,706.07 ,727.44 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1053.93 e,1040.91 e,1359.02 e,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,UK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,34951.08 ep,35920.67 ep,35363.46 ep,35633.38 ep,36785.23 ep,39308.92 bep,39240.37 ep,39788.77 ep,43399.26 ep,: ,: ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,AT,: ,: ,: ,: ,: ,: ,: ,: ,4.56 ,4.41 ,4.47 ,4.28 ,4.42 ,4.44 ,4.3 ,4.09 ,4.28 ,4.34 ,4.25 ,4.26 ,4.38 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.53 ,1.54 ,1.56 ,1.59 ,1.58 ,1.57 ,1.67 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.38 ,1.56 ,1.82 ,1.92 ,1.92 ,1.89 ,2.22 b,2.5 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,CH,2.29 ,2.31 ,2.47 ,2.44 ,2.44 ,2.55 ,2.59 ,2.7 ,2.89 ,3.08 ,3.46 ,3.63 ,3.75 ,3.84 ,3.69 ,3.75 ,3.65 ,3.58 ,3.34 ,3.16 ,3.28 p,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,CY,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.58 ,1.83 ,1.89 ,: 
