indicator,coop_ptn,unit,geo\time,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 
ind9,INVT,P_MHAB,HU,19.73 p,25.33 ,23.33 ,25.06 ,21.66 ,20.28 ,20.12 ,23.92 ,23.25 ,22.68 b,19.15 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,IE,159.80 p,132.39 ,118.96 e,110.33 e,113.78 ,117.13 ,104.21 ,121.30 ,97.75 ,98.27 ,97.38 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,IS,165.40 p,109.15 ,127.58 ,87.89 ,131.04 ,86.45 ,120.91 ,100.80 ,83.39 ,112.25 ,100.31 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,IT,87.85 p,90.31 ,87.24 b,86.51 ,83.55 ,79.73 ,77.01 ,71.84 ,73.15 ,76.50 ,80.72 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,LI,8270.39 p,1388.14 ,1270.65 ,1385.77 ,1001.00 ,1034.04 ,1760.28 ,1181.27 ,1081.55 ,818.40 ,1184.18 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,LT,26.11 p,19.32 ,12.17 ,13.56 ,9.90 ,8.72 ,14.11 ,8.53 ,7.44 ,6.02 ,5.28 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,LU,474.22 p,210.97 ,193.55 ,169.42 ,177.75 b,202.74 ,149.23 ,179.75 ,141.71 ,184.58 b,196.78 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,LV,12.15 p,20.00 ,12.02 ,9.34 ,8.24 ,5.61 ,15.17 ,4.51 ,39.75 ,14.26 ,15.05 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,ME,3.22 p,11.27 ,0.00 ,3.21 ,1.61 ,3.21 ,0.00 ,0.00 ,1.61 ,1.61 ,0.00 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,MK,2.42 p,0.48 ,0.00 ,0.00 ,0.00 ,0.97 ,0.48 ,0.48 ,0.48 ,0.00 ,0.00 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,MT,75.57 p,40.75 ,45.63 ,28.89 ,38.46 ,15.37 ,24.72 ,9.20 ,11.74 ,4.76 ,14.41 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,NL,363.08 p,336.61 ,361.84 ,371.35 ,370.08 ,374.74 ,373.44 ,373.55 ,316.76 ,257.24 ,293.95 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,NO,118.89 p,116.55 ,112.19 ,110.88 ,102.71 ,107.56 ,108.89 ,115.82 ,115.95 ,121.15 ,105.59 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,PL,16.73 ep,17.55 ep,17.99 e,20.20 e,17.77 ,14.99 ,18.69 ,16.49 ,12.67 ,13.06 ,9.04 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,PT,29.13 p,25.74 ,29.94 ,26.35 ,16.80 ,17.72 ,14.67 ,13.75 ,11.48 ,8.84 ,9.95 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,RO,2.40 p,5.55 e,8.36 e,11.25 ,8.07 ,6.45 ,6.46 ,4.52 ,3.70 ,3.14 ,2.68 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,RS,4.22 p,3.04 ,2.30 ,2.72 ,3.70 ,1.13 ,1.69 ,2.95 ,2.37 ,1.81 ,1.24 b,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,SE,446.95 p,382.29 ,391.09 ,377.39 ,350.58 ,333.67 ,324.41 ,322.60 ,317.07 ,329.43 ,325.11 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,SI,64.49 p,105.59 ,80.92 ,65.58 ,73.56 ,78.45 ,72.21 ,80.02 ,74.27 ,61.25 ,81.84 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,SK,10.81 p,17.59 ,14.30 ,14.50 ,12.32 ,11.60 ,11.80 ,7.75 ,8.31 ,8.69 ,10.00 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,TR,8.83 p,7.77 ,6.21 be,7.53 be,11.97 ,6.95 ,6.41 ,5.79 ,5.52 ,5.79 ,5.60 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,UK,: p,: ,110.54 ,104.30 ,103.65 ,101.31 ,101.93 ,97.67 ,94.90 ,98.95 ,100.54 ,: ,: ,: ,: ,: ,: ,: 
