indicator,coop_ptn,unit,geo\time,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 
ind9,APPL,NR,RS,22 p,8 ,9 ,9 ,10 ,1 ,4 ,11 ,11 ,5 ,6 ,8 ,4 ,: ,: ,: ,: ,: 
ind9,APPL,NR,SE,4954 p,4422 ,4395 ,4055 ,3783 ,3547 ,3839 ,3873 ,3674 ,3518 ,3638 ,3590 ,3147 ,3134 ,2730 ,2548 ,2486 ,2429 
ind9,APPL,NR,SI,116 p,165 ,122 ,100 ,98 ,113 ,118 ,125 ,135 ,108 ,129 ,131 ,115 ,128 ,115 ,90 ,87 ,51 
ind9,APPL,NR,SK,42 p,54 ,42 ,51 ,41 ,44 ,47 ,26 ,29 ,35 ,43 ,25 ,26 ,28 ,19 ,19 ,16 ,12 
ind9,APPL,NR,TR,732 p,605 ,471 ,574 ,911 ,523 ,447 ,403 ,377 ,397 ,371 ,283 ,190 ,195 ,146 ,144 ,68 ,66 
ind9,APPL,NR,UK,5627 p,5698 ,6129 ,5761 ,5321 ,5175 ,5051 ,4764 ,4587 ,4716 ,4746 ,5381 ,4801 ,5029 ,4995 ,4722 ,4649 ,4791 
ind9,APPL,P_MHAB,AL,1.06 p,0.00 ,0.70 ,0.00 ,0.00 ,0.70 ,0.00 ,1.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.34 ,: ,: ,: ,: ,: 
ind9,APPL,P_MHAB,AT,259.39 p,258.61 ,264.19 ,258.02 ,251.09 ,231.67 ,230.14 ,229.81 ,235.03 ,222.30 ,206.63 ,208.53 ,179.31 ,180.62 ,166.60 ,138.60 ,127.98 ,122.37 
ind9,APPL,P_MHAB,BA,: ,: ,: ,0.29 p,0.00 ,0.57 ,0.00 ,0.00 ,0.26 ,0.78 ,0.00 ,0.52 ,0.26 ,: ,: ,: ,: ,: 
ind9,APPL,P_MHAB,BE,215.06 p,208.52 ,210.81 ,205.48 ,189.18 ,195.12 ,181.03 ,171.91 ,168.65 ,169.80 b,182.46 b,187.69 ,150.88 ,177.31 ,178.62 ,174.63 ,158.23 ,143.27 
ind9,APPL,P_MHAB,BG,5.78 p,7.79 ,5.02 ,4.41 ,4.52 ,2.81 ,4.60 ,4.71 ,3.17 ,1.78 ,2.18 ,1.49 ,2.55 ,2.00 ,2.12 ,1.58 ,1.44 ,2.07 
ind9,APPL,P_MHAB,CH,973.67 p,940.59 ,963.93 ,935.01 ,870.11 ,872.05 ,859.17 ,843.85 ,833.44 ,843.58 ,828.19 b,877.20 ,760.22 ,776.97 ,777.50 ,735.31 ,675.93 ,631.02 
ind9,APPL,P_MHAB,CY,49.11 p,72.87 ,54.42 ,56.32 ,57.01 ,42.28 ,46.01 ,51.61 ,47.57 ,64.82 ,64.64 ,59.08 ,51.98 ,71.19 ,54.75 ,62.59 ,47.39 ,27.47 
ind9,APPL,P_MHAB,CZ,18.97 p,19.26 ,19.02 ,23.33 ,19.44 ,17.89 ,20.20 ,15.87 ,14.36 ,13.32 ,15.43 ,15.94 ,12.93 ,10.59 ,9.32 ,8.01 ,7.15 ,8.24 
ind9,APPL,P_MHAB,DE,312.30 p,311.23 ,322.07 ,321.61 ,308.98 ,302.76 ,303.69 ,316.53 ,328.72 ,338.81 ,326.40 b,334.18 ,306.68 ,324.77 ,306.20 ,301.13 ,288.46 ,279.27 
ind9,APPL,P_MHAB,DK,452.39 p,414.99 ,415.35 ,411.66 ,362.36 ,323.85 ,337.82 ,351.38 ,345.86 ,287.04 ,319.90 ,327.52 ,267.42 ,288.33 ,256.34 ,229.16 ,216.63 ,182.07 
ind9,APPL,P_MHAB,EE,51.88 p,42.87 ,36.17 ,35.55 ,40.99 ,32.68 ,24.33 b,28.91 ,31.11 ,31.00 ,21.09 ,20.28 ,23.98 ,5.24 ,9.70 ,5.20 ,2.21 ,2.94 
ind9,APPL,P_MHAB,EL,18.54 p,12.62 ,13.15 ,11.18 ,9.48 ,6.96 ,8.41 ,8.72 ,6.20 ,7.15 ,7.02 ,7.46 ,9.18 ,8.03 ,7.51 ,6.35 ,6.10 ,6.30 
ind9,APPL,P_MHAB,ES,41.22 p,37.88 ,39.99 ,38.06 ,35.86 ,33.86 ,32.68 ,31.65 ,32.26 ,33.01 ,30.04 ,30.70 ,27.07 ,28.88 ,28.37 ,24.80 ,22.27 ,19.71 
ind9,APPL,P_MHAB,EU27_2020,151.41 ep,147.37 ep,148.78 bep,148.17 e,143.31 b,139.40 ,140.96 b,141.26 b,138.10 ,137.11 b,135.43 b,138.84 b,129.65 ,137.47 b,130.72 ,126.45 ,123.52 ,118.79 
ind9,APPL,P_MHAB,EU28,: ,: ,141.36 bep,140.21 e,135.21 b,131.62 ,132.85 b,132.67 b,129.66 ,129.14 b,127.84 b,132.23 b,123.14 ,130.55 b,124.67 ,120.47 ,117.84 ,114.06 
ind9,APPL,P_MHAB,FI,381.47 p,343.43 ,308.79 ,313.30 ,326.24 ,326.82 ,363.72 ,399.52 ,348.23 ,341.89 ,287.29 ,301.49 ,264.66 ,339.14 ,384.97 ,317.87 ,288.60 ,307.56 
