indicator,sex,prof_pos,sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind9,T,TOTAL,BES,PC_ACT_FTE,IE,0.4783 ,0.4885 ,0.4829 ,0.4766 ,0.4806 ,0.4923 ,0.4846 ,0.4776 ,0.5084 ,0.5292 ,0.553 e,0.6474 ,0.7047 e,0.7802 ,0.8044 e,0.8292 ,0.8058 e,0.8571 ,0.8199 e,0.8379 ,0.8824 e,0.8341 p
ind9,T,TOTAL,BES,PC_ACT_FTE,IS,: ,: ,: ,0.8779 ,: ,0.9684 ,0.9704 ,0.819 ,0.8413 ,0.7861 ,: ,0.8719 b,: ,0.7198 b,: ,0.8862 ,0.8624 ,0.9519 ,0.9321 ,: ,: ,1.3455 d
ind9,T,TOTAL,BES,PC_ACT_FTE,IT,0.2754 ,0.2786 ,0.2972 ,0.2856 ,0.2818 ,0.2955 ,0.3331 ,0.3907 ,0.4378 ,0.4562 ,0.4669 ,0.4663 ,0.4884 ,0.5093 ,0.5239 ,0.555 ,0.6604 b,0.7671 ,0.8743 ,0.9014 ,0.8821 ,0.9176 
ind9,T,TOTAL,BES,PC_ACT_FTE,KR,0.3936 d,0.5208 d,0.5267 d,0.5595 d,0.5659 d,0.6461 d,0.7158 d,0.7623 b,0.8561 ,0.8705 ,0.9303 ,1.0131 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind9,T,TOTAL,BES,PC_ACT_FTE,LT,0.0346 ,0.04 ,0.0257 ,0.0412 ,0.0624 ,0.0771 ,0.0855 ,0.1453 ,0.131 ,0.1018 ,0.1385 ,0.1435 ,0.1229 ,0.1672 ,0.2289 ,0.1893 ,0.1835 ,0.2687 ,0.3046 ,0.3399 ,0.3774 ,0.3997 
ind9,T,TOTAL,BES,PC_ACT_FTE,LU,1.8235 ,: ,: ,1.8135 ,1.846 ,1.8128 ,1.731 ,1.7398 ,1.6507 ,1.4617 ,1.4795 ,1.4474 ,1.1555 b,1.1607 ,1.1689 ,1.1191 ,1.1676 ,1.1372 ,1.0462 ,1.066 ,0.9738 ,0.9228 p
ind9,T,TOTAL,BES,PC_ACT_FTE,LV,0.1272 ,0.1275 ,0.1188 ,0.0833 ,0.0829 ,0.1306 ,0.1656 ,0.0871 ,0.1122 ,0.0965 ,0.1222 ,0.0867 ,0.0881 ,0.0997 ,0.1434 ,0.1187 ,0.0938 ,0.1012 ,0.1293 ,0.1263 ,0.1487 ,0.2056 p
ind9,T,TOTAL,BES,PC_ACT_FTE,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.051 ,: ,0.0512 ,0.0466 ,0.0394 ,0.0285 ,0.0261 ,0.0437 ,0.0391 ,: ,: 
ind9,T,TOTAL,BES,PC_ACT_FTE,MK,: ,: ,: ,: ,: ,: ,0.0081 ,0.0081 ,0.0086 ,0.0099 ,0.0112 ,0.0178 ,0.0148 ,0.0161 ,0.0252 ,0.0413 ,0.0446 ,0.0442 ,0.0523 ,0.0574 ,0.0625 ,: 
ind9,T,TOTAL,BES,PC_ACT_FTE,MT,: ,: ,0.0478 ,0.0585 p,0.2424 b,0.3069 ,0.3152 ,0.3142 ,0.3283 ,0.3274 ,0.4381 ,0.5722 ,0.5681 ,0.4753 ,0.4801 ,0.4449 ,0.4686 ,0.4544 ,0.4053 ,0.3863 ,0.4528 ,0.4349 
ind9,T,TOTAL,BES,PC_ACT_FTE,NL,0.5896 ,0.5906 ,0.5654 ,0.5328 ,0.5957 ,0.5775 ,0.6228 ,0.5712 ,0.5517 ,0.4771 ,0.6115 ,0.8355 b,0.8568 b,1.0546 b,1.0568 ,1.0833 ,1.1364 ,1.1837 ,1.2315 ,1.242 ,1.2718 ,1.3251 p
ind9,T,TOTAL,BES,PC_ACT_FTE,NO,: ,0.6257 ,0.6093 ,0.6751 ,0.6739 ,0.6561 ,0.6707 ,0.6929 ,0.7329 ,0.7146 ,0.6983 ,0.7012 ,0.7114 ,0.7196 ,0.7746 ,0.8029 ,0.8187 ,0.8796 ,0.8705 ,0.9127 ,0.9444 ,0.975 dp
ind9,T,TOTAL,BES,PC_ACT_FTE,PL,0.1098 ,0.1015 ,0.0503 ,0.0684 ,0.0776 ,0.0828 ,0.0849 ,0.0905 ,0.0764 ,0.0832 ,0.1125 ,0.1184 ,0.1546 ,0.1812 ,0.222 ,0.2506 ,0.3338 ,0.4366 ,0.5176 ,0.526 ,0.5867 ,0.6293 p
ind9,T,TOTAL,BES,PC_ACT_FTE,PT,0.072 e,0.0771 ,0.0983 e,0.12 ,0.1201 e,0.1194 ,0.1829 e,0.246 ,0.2789 ,0.2785 ,0.2802 ,0.3206 ,0.317 ,0.332 ,0.3555 ,0.3752 ,0.3976 ,0.448 ,0.4797 ,0.5416 ,0.6338 ,0.6954 p
ind9,T,TOTAL,BES,PC_ACT_FTE,RO,0.2165 ,0.1939 ,0.1893 ,0.1823 ,0.1735 ,0.1727 ,0.1439 ,0.1382 ,0.1219 ,0.1324 ,0.1045 ,0.1275 b,0.1383 ,0.1335 ,0.1312 ,0.126 ,0.1351 ,0.1424 ,0.1498 ,0.1437 ,0.1469 ,0.1688 p
ind9,T,TOTAL,BES,PC_ACT_FTE,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0333 ,0.0152 ,0.024 ,0.0262 ,0.1013 ,0.1037 ,0.1192 ,0.1027 ,0.0961 ,0.0977 ,0.1009 ,0.1049 
ind9,T,TOTAL,BES,PC_ACT_FTE,RU,0.8642 ,0.8716 ,0.8392 ,0.82 ,0.7785 ,0.7122 ,0.6925 ,0.674 ,0.6305 ,0.6011 ,0.5884 ,0.5802 ,0.5468 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind9,T,TOTAL,BES,PC_ACT_FTE,SE,: ,1.1064 ,: ,1.0689 ,1.0428 ,1.216 b,1.2298 ,1.1461 b,1.2254 e,1.174 ,1.1461 e,1.1315 ,1.1478 e,1.1471 ,1.1556 e,1.1543 ,1.2718 e,1.2396 ,1.2984 ,1.2289 ,1.2966 ,1.6677 bd
ind9,T,TOTAL,BES,PC_ACT_FTE,SI,0.4363 ,0.446 ,0.4736 ,0.389 ,0.393 ,0.4386 ,0.4821 ,0.5262 ,0.6077 b,0.6724 ,0.7007 ,0.9729 b,0.9566 ,0.9991 ,0.9864 ,0.9372 ,0.9824 ,0.9924 ,1.0409 ,1.1247 ,1.1032 ,1.1372 p
ind9,T,TOTAL,BES,PC_ACT_FTE,SK,0.2005 ,0.1814 ,0.1716 ,0.1397 ,0.1315 ,0.1337 ,0.1186 ,0.102 ,0.1024 ,0.0954 ,0.1166 ,0.1187 ,0.1369 ,0.1303 ,0.1486 ,0.1576 ,0.1649 ,0.2017 ,0.2339 ,0.256 ,0.2922 ,0.305 
ind9,T,TOTAL,BES,PC_ACT_FTE,TR,: ,: ,: ,: ,: ,: ,0.0826 ,0.1091 ,0.1199 ,0.1326 ,0.152 ,0.1762 ,0.1981 ,0.214 ,0.2206 ,0.2307 ,0.2439 ,0.2855 ,0.3327 ,0.3632 ,0.4332 ,: 
ind9,T,TOTAL,BES,PC_ACT_FTE,UK,0.5102 ,0.538 b,0.5483 ,0.5383 ,0.5115 ,0.4915 ,0.4975 ,0.5203 ,0.4978 ,0.494 ,0.504 ,0.5119 ,0.5138 ,0.5679 ,0.6096 ,0.6495 ,0.6548 ,0.7178 ,0.7708 ,0.8287 p,: ,: 
ind9,T,TOTAL,GOV,PC_ACT_FTE,AT,: ,: ,0.0537 ,: ,0.0527 ,0.0589 e,0.0607 ,0.0612 ,0.0661 e,0.0646 ,0.0644 e,0.0613 ,0.06 e,0.0593 ,0.0615 e,0.0616 ,0.1175 e,0.1183 ,0.1241 e,0.1216 ,0.1238 e,0.1296 e
ind9,T,TOTAL,GOV,PC_ACT_FTE,BE,0.0798 ,0.0851 ,0.0842 ,0.0852 ,0.0775 ,0.0782 ,0.0801 ,0.0818 ,0.0911 ,0.0962 ,0.0906 ,0.0949 ,0.1199 b,0.1209 ,0.1295 ,0.1313 ,0.1348 ,0.1405 ,0.1505 ,0.1539 ,0.1639 e,0.17 bp
ind9,T,TOTAL,GOV,PC_ACT_FTE,BG,0.3196 ,0.3105 ,0.3163 ,0.3222 ,0.3169 ,0.31 ,0.3038 ,0.2936 ,0.2787 ,0.2758 ,0.2766 ,0.2804 ,0.2813 ,0.2711 ,0.2637 ,0.2546 ,0.2519 ,0.2442 ,0.2528 ,0.254 ,0.2577 ,0.2583 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,CH,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0167 d,: ,0.0177 ,: ,0.0198 d,0.0198 ,: ,0.0187 ,: ,0.022 ,: ,: 
ind9,T,TOTAL,GOV,PC_ACT_FTE,CY,0.1149 ,0.1126 ,0.1174 ,0.1115 ,0.1024 ,0.1025 ,0.0967 ,0.0851 ,0.0735 ,0.065 ,0.0671 ,0.0601 ,0.0582 ,0.054 ,0.0511 ,0.0552 ,0.0575 ,0.059 ,0.0552 ,0.056 ,0.051 ,0.0498 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,CZ,0.1408 ,0.1541 ,0.1456 ,0.1581 ,0.1513 ,0.216 b,0.2232 ,0.2292 ,0.2266 ,0.2211 ,0.2193 ,0.2259 ,0.2293 ,0.2355 ,0.2378 ,0.2491 ,0.2507 ,0.2608 ,0.2689 ,0.2763 ,0.2764 ,0.2769 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,DE,0.1828 ,0.1836 ,0.1853 ,0.1873 ,0.1918 ,0.1887 ,0.1917 ,0.1967 ,0.2024 d,0.2149 d,0.2293 d,0.2355 d,0.2405 d,0.2445 d,0.2505 d,0.2514 d,0.25 d,0.2558 d,0.2641 d,0.2694 d,0.2786 d,0.2805 dp
ind9,T,TOTAL,GOV,PC_ACT_FTE,DK,0.2024 ,0.1939 ,0.1202 b,0.122 ,0.114 ,0.1139 ,0.1139 ,0.0596 b,0.0531 ,0.0512 ,0.0554 ,0.0538 ,0.0553 ,0.0558 ,0.0607 ,0.0639 ,0.0606 ,0.0761 ,0.0765 ,0.0746 p,0.0753 p,0.0746 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,EA19,0.1605 e,0.1565 e,0.1533 e,0.1543 e,0.1549 e,0.1575 e,0.1621 e,0.1644 e,0.1677 e,0.1722 e,0.1747 e,0.1758 e,0.1774 e,0.175 e,0.1763 e,0.1779 e,0.1781 e,0.1801 e,0.1842 e,0.1871 e,0.194 e,0.1977 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,EE,0.1423 ,0.1138 ,0.1231 ,0.1273 ,0.1252 ,0.1076 ,0.107 ,0.1178 ,0.1115 ,0.1072 ,0.1156 ,0.116 ,0.1162 ,0.1287 ,0.1223 ,0.1196 ,0.117 ,0.1276 ,0.1024 ,0.1063 ,0.1122 ,0.1051 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,EL,: ,0.102 ,: ,0.1078 ,: ,0.0895 ,0.0937 e,0.0937 e,: ,: ,: ,0.1983 b,0.2074 ,0.2394 ,0.2349 ,0.2879 ,0.2485 ,0.2571 ,0.2872 ,0.2997 ,0.3226 ,0.3298 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,ES,0.1251 ,0.1308 ,0.1231 ,0.1312 ,0.1341 ,0.1528 ,0.1599 ,0.1702 ,0.1796 ,0.1963 ,0.1982 ,0.1886 ,0.1795 ,0.1708 ,0.1699 ,0.1743 ,0.1764 ,0.1786 ,0.1784 ,0.1814 ,0.1876 ,0.1927 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,EU27_2020,0.1532 e,0.1497 e,0.1503 e,0.1509 e,0.1504 e,0.1532 e,0.1562 e,0.157 e,0.1602 e,0.1639 e,0.1671 e,0.1699 e,0.1711 e,0.1697 e,0.1703 e,0.1721 e,0.1633 e,0.1657 e,0.1706 e,0.1723 e,0.1785 e,0.1812 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,FI,0.2844 ,0.2816 ,0.2849 ,0.285 ,0.285 ,0.2858 ,0.2828 ,0.2772 ,0.2668 ,0.2595 ,0.2629 ,0.2641 ,0.2439 ,0.2435 ,0.227 ,0.175 ,0.1563 ,0.1628 ,0.1601 ,0.1584 ,0.1662 ,0.1675 d
ind9,T,TOTAL,GOV,PC_ACT_FTE,FR,: ,: ,: ,0.172 ,0.1726 ,0.1766 d,0.1792 d,0.1787 d,0.1814 d,0.1837 d,0.1719 b,0.1713 ,0.1709 ,0.1703 ,0.1695 ,0.168 ,0.1679 ,0.1671 ,0.1665 ,0.1676 ,0.1705 ep,0.1793 
ind9,T,TOTAL,GOV,PC_ACT_FTE,HR,: ,: ,: ,0.1882 ,0.2073 ,0.1813 ,0.1838 ,0.1775 ,0.1774 ,0.1931 ,0.1936 ,0.1959 ,0.1917 d,0.1917 d,0.1797 d,0.1749 d,0.1665 d,0.1692 d,0.1776 d,0.1812 d,0.2023 d,0.1978 
ind9,T,TOTAL,GOV,PC_ACT_FTE,HU,0.2017 ,0.1901 d,0.1951 d,0.1897 d,0.184 b,0.1831 ,0.1935 ,0.1872 ,0.1943 ,0.1923 ,0.1907 ,0.1957 ,0.173 ,0.175 ,0.1591 ,0.1761 ,0.1595 ,0.155 ,0.2253 b,0.2054 ,0.2117 ,0.2059 
