asyl_app,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
NASY_APP,EL,: ,: ,: ,838 ,867 ,717 ,696 ,1051 ,4628 ,5294 ,6054 ,6987 ,3539 ,2129 e
NASY_APP,ES,: ,: ,55 ,64 ,50 ,92 ,117 ,314 ,335 ,709 ,1127 ,2444 ,1824 ,1309 p
NASY_APP,EU27_2020,: ,: ,: ,: ,: ,: ,1197 b,2739 b,2621 ,1391 b,1263 e,1412 bep,932 ep,1202 bep
NASY_APP,FI,: ,: ,: ,: ,537 ,549 ,639 ,5867 ,960 ,786 ,535 ,443 ,261 ,245 
NASY_APP,FR,: ,652 ,741 ,801 ,829 ,919 ,887 b,1060 ,1151 ,1374 ,1885 ,2052 p,1210 p,1532 p
NASY_APP,HR,: ,: ,: ,: ,: ,246 ,90 ,33 ,515 ,213 ,165 ,311 ,381 ,689 bp
NASY_APP,HU,: ,: ,: ,: ,: ,1877 ,4177 ,17722 ,2875 ,318 ,65 ,48 ,9 ,4 
NASY_APP,IE,845 ,584 ,420 ,279 ,204 ,203 ,309 ,695 ,470 ,605 ,751 e,961 e,308 ,520 
NASY_APP,IS,: ,: ,: ,: ,: ,: ,: ,1088 ,3279 ,3101 ,2070 ,2233 ,1705 ,2322 
NASY_APP,IT,512 ,294 ,169 ,679 ,288 ,427 ,1047 ,1363 ,1999 ,2090 ,884 ,586 b,359 ,765 p
NASY_APP,LI,: ,: ,: ,: ,: ,: ,: ,: ,1989 ,3820 ,3791 ,1037 ,643 ,2042 p
NASY_APP,LT,: ,66 ,119 ,134 ,187 ,85 ,131 ,95 ,145 ,184 ,137 ,224 ,93 ,1394 
NASY_APP,LU,: ,: ,: ,3694 ,3767 b,1822 ,1851 ,4143 ,3548 ,3890 b,3660 ,3548 ,2054 ,2133 
NASY_APP,LV,23 ,23 ,29 ,163 ,93 ,92 ,183 ,167 ,176 ,183 ,91 ,94 ,76 ,308 
NASY_APP,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,4982 ,3087 ,869 ,436 
