indicator,sex,age,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind1,T,Y_LT18,THS_PER,EA19,5333 ,5544 ,4978 ,4432 ,4167 ,5088 ,5674 
ind1,T,Y_LT18,THS_PER,EE,12 ,9 ,10 ,9 ,9 ,8 ,10 
ind1,T,Y_LT18,THS_PER,EL,199 ,201 ,175 ,164 ,144 ,140 ,135 
ind1,T,Y_LT18,THS_PER,ES,986 ,963 ,808 ,611 ,669 ,588 ,746 
ind1,T,Y_LT18,THS_PER,EU,8741 ,8691 ,7708 ,6923 ,6485 e,: ,: 
ind1,T,Y_LT18,THS_PER,EU27_2007,: ,: ,: ,: ,6438 e,: ,: 
ind1,T,Y_LT18,THS_PER,EU27_2020,6823 ,7005 ,6213 ,5625 ,5186 e,6123 ,6642 
ind1,T,Y_LT18,THS_PER,EU28,8741 ,8691 ,7708 ,6923 ,6485 e,: ,: 
ind1,T,Y_LT18,THS_PER,FI,77 ,88 ,92 ,92 ,72 ,79 ,71 
ind1,T,Y_LT18,THS_PER,FR,1006 ,1034 ,1016 ,1011 ,934 ,1287 b,1485 
ind1,T,Y_LT18,THS_PER,HR,96 ,81 ,79 ,63 ,46 ,46 ,42 
ind1,T,Y_LT18,THS_PER,HU,185 ,151 ,125 ,78 ,79 ,88 ,99 
ind1,T,Y_LT18,THS_PER,IE,236 ,238 ,216 ,184 ,185 ,153 b,165 
ind1,T,Y_LT18,THS_PER,IS,4 ,3 ,3 ,3 ,: ,: ,: 
ind1,T,Y_LT18,THS_PER,IT,884 ,914 ,786 ,709 ,603 ,714 ,783 p
ind1,T,Y_LT18,THS_PER,LT,46 ,51 ,48 ,52 ,37 ,33 ,39 
ind1,T,Y_LT18,THS_PER,LU,3 ,4 ,5 ,4 ,5 ,7 b,5 b
ind1,T,Y_LT18,THS_PER,LV,26 ,22 ,23 ,21 ,20 ,25 ,22 
ind1,T,Y_LT18,THS_PER,ME,33 ,33 ,35 ,39 ,26 ,20 ,: 
ind1,T,Y_LT18,THS_PER,MK,78 ,76 ,83 ,75 ,55 ,62 ,: 
ind1,T,Y_LT18,THS_PER,MT,8 ,6 ,6 ,5 ,4 ,5 ,5 
ind1,T,Y_LT18,THS_PER,NL,224 ,266 ,222 ,195 ,221 ,241 ,231 
ind1,T,Y_LT18,THS_PER,NO,60 ,58 ,67 ,70 ,77 ,74 ,: 
ind1,T,Y_LT18,THS_PER,PL,342 ,339 ,275 ,291 ,241 ,217 ,202 p
ind1,T,Y_LT18,THS_PER,PT,157 ,116 ,107 ,95 ,90 ,66 ,69 
ind1,T,Y_LT18,THS_PER,RO,287 ,307 ,218 ,259 ,182 ,207 ,117 
ind1,T,Y_LT18,THS_PER,RS,241 ,255 ,230 ,197 ,186 ,162 ,: 
ind1,T,Y_LT18,THS_PER,SE,171 ,168 ,172 ,198 ,204 ,197 ,186 
ind1,T,Y_LT18,THS_PER,SI,14 ,13 ,13 ,9 ,10 ,9 ,6 
ind1,T,Y_LT18,THS_PER,SK,77 ,84 ,70 ,63 ,67 ,39 ,49 
ind1,T,Y_LT18,THS_PER,TR,1933 ,1630 ,1752 ,1617 ,1751 ,1842 ,: 
ind1,T,Y_LT18,THS_PER,UK,1918 ,1685 ,1495 ,1298 ,: ,: ,: 
ind1,T,Y_LT65,PC_Y_LT65,AL,: ,: ,13.3 ,12.9 ,11.8 ,11.3 ,: 
ind1,T,Y_LT65,PC_Y_LT65,AT,6.3 ,7.0 ,7.2 ,6.4 ,6.6 ,6.1 ,7.4 
ind1,T,Y_LT65,PC_Y_LT65,BE,15.0 ,15.2 ,14.5 ,13.1 ,12.8 ,12.3 ,11.9 
ind1,T,Y_LT65,PC_Y_LT65,BG,11.5 ,11.5 ,11.1 ,9.0 ,9.2 ,8.4 ,8.4 
ind1,T,Y_LT65,PC_Y_LT65,CH,5.2 ,5.2 ,5.6 ,6.1 ,6.2 ,5.5 ,: 
ind1,T,Y_LT65,PC_Y_LT65,CY,10.4 ,10.1 ,8.7 ,8.1 ,6.6 ,5.3 ,5.8 
ind1,T,Y_LT65,PC_Y_LT65,CZ,6.8 ,6.7 ,5.7 ,4.5 ,4.4 ,4.4 ,5.4 
