indicator,age,sex,reason,unit,quantile,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,LV,11.6 ,11.3 ,17.2 ,17.9 ,13.5 ,15.5 ,13.9 ,9.4 b,9.2 ,6.9 ,6.9 ,5.0 ,6.3 ,4.7 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,ME,: ,: ,: ,: ,: ,12.9 ,9.7 ,5.1 ,3.2 ,3.2 ,2.8 ,3.4 ,2.7 ,: ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,MK,: ,: ,12.7 ,9.5 ,8.6 ,7.6 ,5.1 ,3.2 ,3.2 ,2.5 ,2.6 ,2.4 ,1.8 ,: ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,MT,0.9 ,1.5 ,2.1 ,1.2 ,1.4 ,1.1 ,1.3 ,0.8 ,1.3 ,0.2 ,0.2 ,0.0 n,0.1 ,0.1 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,NL,0.4 ,0.2 ,0.4 ,0.5 ,0.6 ,0.6 ,0.6 ,0.0 ,0.2 ,0.1 ,0.1 ,0.1 ,0.2 ,0.3 ,0.4 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,NO,1.2 ,1.3 ,1.4 ,1.4 ,1.6 ,1.8 ,1.0 ,1.2 ,1.2 ,1.2 ,1.6 ,0.9 ,1.1 ,: ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,PL,7.1 ,9.0 ,9.6 ,9.2 ,10.4 ,10.0 ,8.7 ,8.3 ,7.5 ,3.5 b,4.6 ,4.7 ,2.1 ,3.1 p,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,PT,1.3 ,3.7 ,2.5 ,1.6 ,3.6 ,3.6 ,4.3 ,3.6 ,2.8 ,2.7 ,2.6 ,2.1 ,2.0 ,3.0 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,RO,12.9 ,10.3 ,12.9 ,13.3 ,13.8 ,13.2 ,11.9 ,11.4 ,8.0 ,5.9 ,5.9 ,6.0 ,5.9 ,5.3 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,RS,: ,: ,: ,: ,: ,9.2 ,7.6 ,7.0 ,5.0 ,5.3 ,6.1 ,5.2 ,4.1 ,6.0 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,SE,2.5 ,2.8 ,2.5 ,1.9 ,1.6 ,2.1 ,1.5 b,1.4 ,1.8 ,1.8 ,1.6 ,1.7 ,1.6 ,1.3 ,: 
