indicator,age,sex,reason,unit,quantile,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,PL,6.0 ,7.6 ,8.3 ,7.9 ,9.0 ,8.8 ,7.8 ,7.3 ,6.6 ,3.3 b,4.2 ,4.2 ,1.9 ,2.7 p,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,PT,1.1 ,3.3 ,2.0 ,1.4 ,3.3 ,3.0 ,3.5 ,3.0 ,2.4 ,2.3 ,2.1 ,1.7 ,1.6 ,2.3 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,RO,11.1 ,8.9 ,11.1 ,12.2 ,11.5 ,10.9 ,9.8 ,9.4 ,6.5 ,4.7 ,4.9 ,4.9 ,4.7 ,4.4 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,RS,: ,: ,: ,: ,: ,8.7 ,7.4 ,6.3 ,4.5 ,4.8 ,5.8 ,4.8 ,3.8 ,5.3 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,SE,2.6 ,2.1 ,1.9 ,1.5 ,1.5 ,2.1 ,1.7 b,1.3 ,1.6 ,1.4 ,1.5 ,1.4 ,1.5 ,1.3 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,SI,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.0 ,0.2 ,0.2 ,0.4 ,3.5 ,3.3 ,2.9 ,2.7 ,4.8 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,SK,1.3 ,1.7 ,1.7 ,2.2 ,2.2 ,1.9 ,2.1 ,2.1 ,2.3 ,2.4 ,2.6 ,2.7 ,3.2 ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,TR,13.2 ,14.9 ,16.4 ,12.2 ,10.4 ,10.5 ,9.2 ,6.8 ,3.8 ,2.6 ,2.9 ,3.0 ,1.9 ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,UK,1.0 ,1.2 ,1.0 ,1.2 ,1.4 ,1.6 ,2.1 ,2.8 ,1.0 ,3.3 b,4.5 ,: ,: ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.7 ,: ,: ,: ,: 
