indicator,age,incgrp,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind1,TOTAL,TOTAL,T,PC,EU27_2020,: ,: ,: ,: ,: ,: ,: ,6.1 e,5.8 e,5.5 e,5.5 e,5.4 e,5.3 e,5.1 e,4.5 e,4.3 e,4.0 e,4.3 e
ind1,TOTAL,TOTAL,T,PC,EU28,: ,: ,: ,: ,: ,: ,: ,5.7 ,5.4 ,5.0 ,5.1 ,5.0 ,4.9 ,4.8 ,4.0 ,4.0 ,3.7 e,: 
ind1,TOTAL,TOTAL,T,PC,FI,: ,0.9 ,1.0 ,0.8 ,0.7 ,0.7 ,0.7 ,0.9 ,0.7 ,0.8 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.9 ,0.9 ,1.0 
ind1,TOTAL,TOTAL,T,PC,FR,: ,3.4 ,3.0 ,2.7 ,3.3 ,3.4 ,3.0 ,3.0 ,2.5 ,2.6 ,2.1 ,2.3 ,2.3 ,2.7 ,2.1 ,2.7 ,2.3 ,3.8 b
ind1,TOTAL,TOTAL,T,PC,HR,: ,: ,: ,: ,: ,: ,: ,12.3 ,9.9 ,9.6 b,9.0 ,7.8 ,7.3 ,7.1 ,6.5 ,6.2 ,5.9 ,5.1 
ind1,TOTAL,TOTAL,T,PC,HU,: ,: ,22.6 ,19.0 ,14.4 ,20.6 ,11.6 ,17.7 ,15.8 ,16.9 ,17.3 ,17.3 ,15.5 ,16.9 ,15.9 ,7.5 ,7.8 ,7.6 
ind1,TOTAL,TOTAL,T,PC,IE,1.6 ,2.0 ,1.6 ,2.4 ,1.7 ,0.8 ,1.0 ,0.5 ,0.7 ,0.6 ,1.4 ,1.3 ,1.2 ,1.0 ,0.7 ,0.8 ,1.1 ,1.4 b
ind1,TOTAL,TOTAL,T,PC,IS,: ,2.1 ,1.5 ,1.4 ,1.6 ,1.2 ,1.7 ,1.6 ,2.0 ,2.4 ,2.8 ,2.2 ,2.5 ,1.5 ,1.6 ,1.6 ,: ,: 
ind1,TOTAL,TOTAL,T,PC,IT,: ,9.0 ,8.0 ,8.1 ,7.5 ,7.3 ,7.5 ,7.0 ,8.7 ,8.4 ,8.8 ,9.5 ,9.6 ,7.6 ,5.5 ,5.0 ,5.0 ,6.1 
ind1,TOTAL,TOTAL,T,PC,LT,: ,: ,28.3 ,26.0 ,21.9 ,18.8 ,16.4 ,13.5 ,7.6 b,7.1 ,9.1 ,10.1 ,8.9 ,8.6 ,8.1 ,6.9 ,7.8 ,5.4 
ind1,TOTAL,TOTAL,T,PC,LU,2.7 ,2.5 ,2.2 ,1.8 ,2.1 ,2.4 ,1.7 ,2.3 ,1.9 ,2.4 ,1.8 ,1.6 ,1.7 ,2.1 b,2.3 ,2.2 ,2.0 ,1.6 b
ind1,TOTAL,TOTAL,T,PC,LV,: ,: ,31.6 ,26.9 ,25.2 ,22.3 b,22.3 ,21.9 ,17.5 ,16.4 ,16.3 ,16.6 ,15.5 ,14.6 ,15.2 ,14.9 ,12.7 ,11.5 
ind1,TOTAL,TOTAL,T,PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,23.3 ,21.2 ,24.2 ,18.3 ,16.6 ,18.3 ,19.0 ,18.2 
ind1,TOTAL,TOTAL,T,PC,MK,: ,: ,: ,: ,: ,: ,: ,: ,13.8 ,12.3 ,11.6 ,11.8 b,9.8 ,12.2 ,10.1 ,11.1 ,9.7 ,9.9 
ind1,TOTAL,TOTAL,T,PC,MT,: ,: ,1.0 ,0.8 ,0.9 ,1.0 ,1.3 ,1.4 ,1.6 ,1.0 ,1.3 ,1.3 ,1.3 ,1.6 ,1.4 ,1.2 ,1.3 ,1.0 
ind1,TOTAL,TOTAL,T,PC,NL,: ,: ,0.5 ,0.5 ,0.8 ,0.6 ,0.5 ,0.5 ,0.5 ,0.9 ,0.8 ,0.6 ,1.0 ,1.4 b,1.0 ,1.3 ,1.5 ,1.5 
ind1,TOTAL,TOTAL,T,PC,NO,1.2 ,1.3 ,1.4 ,1.3 ,1.2 ,1.3 ,1.0 ,1.3 ,1.3 ,1.2 ,1.3 ,0.7 ,0.7 ,1.0 ,0.8 ,0.9 ,1.0 ,1.0 
ind1,TOTAL,TOTAL,T,PC,PL,: ,: ,29.7 ,28.6 ,25.9 ,18.1 ,15.2 ,13.3 ,11.4 ,10.5 ,10.1 ,9.1 ,9.8 ,9.4 ,9.8 ,8.6 ,7.9 ,: 
ind1,TOTAL,TOTAL,T,PC,PT,: ,7.1 ,7.7 ,7.5 ,7.6 ,6.9 ,4.7 ,5.6 ,4.0 ,4.3 ,5.6 ,5.5 ,4.7 ,4.9 ,4.0 ,4.1 ,4.1 ,3.9 
ind1,TOTAL,TOTAL,T,PC,RO,: ,: ,: ,: ,32.0 ,29.1 ,27.2 ,25.3 ,24.0 ,22.8 ,22.8 ,20.6 ,19.8 ,19.8 ,17.2 ,16.1 ,14.2 ,14.3 
ind1,TOTAL,TOTAL,T,PC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,16.4 ,17.5 ,16.6 ,15.7 ,15.2 ,11.8 ,13.9 ,8.8 
ind1,TOTAL,TOTAL,T,PC,SE,: ,1.4 ,1.0 ,1.4 ,1.2 ,1.6 b,1.5 ,2.0 ,2.1 ,1.7 ,1.8 ,2.1 ,2.6 ,2.7 ,2.5 ,2.9 ,2.6 ,2.5 
ind1,TOTAL,TOTAL,T,PC,SI,: ,: ,12.3 ,13.1 ,12.3 ,16.6 ,17.5 ,15.4 ,8.7 b,8.1 ,6.5 ,6.5 ,5.6 ,4.5 ,4.4 ,4.8 ,3.9 ,3.1 
ind1,TOTAL,TOTAL,T,PC,SK,: ,: ,6.3 ,5.4 ,4.5 ,5.5 b,4.2 ,3.8 ,4.8 ,5.1 ,4.5 ,4.3 ,4.2 ,4.3 ,5.2 ,3.7 ,3.6 ,3.2 
ind1,TOTAL,TOTAL,T,PC,TR,: ,: ,: ,32.2 ,29.2 ,28.0 ,30.9 ,30.5 ,28.9 ,29.1 ,27.4 ,27.0 ,26.4 ,26.1 ,25.1 ,23.9 ,23.4 ,21.9 
ind1,TOTAL,TOTAL,T,PC,UK,: ,: ,2.3 ,2.1 ,2.2 ,2.3 ,2.9 ,2.8 ,2.6 ,2.0 b,2.5 ,2.4 ,2.2 ,2.2 ,1.0 b,1.9 ,: ,: 
ind1,TOTAL,TOTAL,T,PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,20.3 ,: ,: 
