indicator,nrg_bal,unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind7,REN,PC,IS,58.899 ,60.270 ,60.921 ,71.925 ,67.981 ,70.238 ,70.909 ,72.298 ,73.727 ,73.787 ,73.043 ,71.949 ,75.329 ,74.104 ,77.173 ,78.612 ,83.725 ,85.785 
ind7,REN,PC,IT,6.316 ,7.549 ,8.328 ,9.807 ,11.492 ,12.775 ,13.023 ,12.881 ,15.441 ,16.741 ,17.082 ,17.525 ,17.415 ,18.267 ,17.796 ,18.181 ,20.359 ,19.034 
ind7,REN,PC,LT,17.221 ,16.768 ,16.887 ,16.482 ,17.824 ,19.798 ,19.639 ,19.943 ,21.437 ,22.689 ,23.592 ,25.748 ,25.612 ,26.038 ,24.695 ,25.474 ,26.773 ,28.230 
ind7,REN,PC,LU,0.899 ,1.402 ,1.469 ,2.725 ,2.809 ,2.929 ,2.851 ,2.855 ,3.112 ,3.494 ,4.471 ,4.987 ,5.364 ,6.194 ,8.942 ,7.046 ,11.699 ,11.735 
ind7,REN,PC,LV,32.794 ,32.264 ,31.141 ,29.615 ,29.811 ,34.317 ,30.375 ,33.478 ,35.709 ,37.037 ,38.629 ,37.538 ,37.138 ,39.008 ,40.019 ,40.929 ,42.132 ,42.107 
ind7,REN,PC,ME,: ,35.694 ,34.842 ,32.925 ,32.290 ,39.371 ,40.640 ,40.648 ,41.513 ,43.696 ,44.098 ,43.073 ,41.529 ,39.693 ,38.801 ,37.722 ,43.770 ,39.891 
ind7,REN,PC,MK,15.702 ,16.466 ,16.527 ,14.976 ,15.555 ,17.238 ,16.451 ,16.407 ,18.128 ,18.509 ,19.559 ,19.526 ,18.044 ,19.636 ,18.179 ,17.485 ,19.222 ,17.287 
ind7,REN,PC,MT,0.102 ,0.123 ,0.149 ,0.177 ,0.195 ,0.221 ,0.979 ,1.850 ,2.862 ,3.760 ,4.744 ,5.119 ,6.208 ,7.219 ,7.914 ,8.230 ,10.714 ,12.154 
ind7,REN,PC,NL,2.030 ,2.478 ,2.778 ,3.298 ,3.596 ,4.266 ,3.917 ,4.524 ,4.659 ,4.691 ,5.415 ,5.714 ,5.846 ,6.507 ,7.394 ,8.886 ,13.999 ,12.280 
ind7,REN,PC,NO,58.417 ,60.069 ,60.521 ,60.398 ,62.003 ,65.071 ,61.889 ,64.638 ,64.932 ,66.480 ,68.406 ,68.545 ,69.235 ,70.036 ,71.566 ,74.406 ,77.358 ,74.086 
ind7,REN,PC,PL,6.882 ,6.867 ,6.859 ,6.903 ,7.686 ,8.676 ,9.281 ,10.337 ,10.955 ,11.452 ,11.605 ,11.881 ,11.396 ,11.059 ,14.936 ,15.377 ,16.102 ,15.624 
