indicator,nrg_bal,unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind7,REN_HEAT_CL,PC,PL,10.207 ,10.161 ,10.168 ,10.460 ,10.846 ,11.607 ,11.812 ,13.240 ,13.497 ,14.265 ,14.237 ,14.795 ,14.919 ,14.779 ,21.473 ,22.005 ,22.143 ,21.031 
ind7,REN_HEAT_CL,PC,PT,32.490 ,32.075 ,34.234 ,34.951 ,37.451 ,37.931 ,33.814 ,35.184 ,33.153 ,34.628 ,40.454 ,40.100 ,41.614 ,41.022 ,40.924 ,41.657 ,41.546 ,42.681 
ind7,REN_HEAT_CL,PC,RO,17.337 ,17.928 ,17.582 ,19.465 ,23.167 ,26.433 ,27.227 ,24.306 ,25.745 ,26.195 ,26.739 ,25.886 ,26.865 ,26.581 ,25.434 ,25.739 ,25.327 ,24.483 
ind7,REN_HEAT_CL,PC,RS,14.027 ,15.563 ,15.758 ,13.189 ,16.730 ,26.503 ,23.196 ,21.089 ,23.205 ,25.145 ,28.844 ,26.929 ,25.079 ,24.896 ,24.294 ,26.648 ,35.680 ,35.473 
ind7,REN_HEAT_CL,PC,SE,45.929 ,49.022 ,52.496 ,54.465 ,55.778 ,59.203 ,57.070 ,58.519 ,60.635 ,61.708 ,62.566 ,63.235 ,63.412 ,63.620 ,63.301 ,64.394 ,66.381 ,68.642 
ind7,REN_HEAT_CL,PC,SI,22.824 ,26.404 ,24.354 ,29.311 ,27.527 ,28.874 ,29.537 ,31.785 ,33.146 ,35.116 ,34.641 ,36.150 ,35.563 ,34.639 ,32.337 ,32.132 ,32.141 ,35.215 
ind7,REN_HEAT_CL,PC,SK,5.062 ,5.031 ,4.451 ,6.232 ,6.097 ,8.178 ,7.898 ,9.258 ,8.803 ,7.875 ,8.865 ,10.791 ,9.879 ,9.837 ,10.599 ,19.696 ,19.427 ,19.521 
ind7,REN_HEAT_CL,PC,XK,51.857 ,49.490 ,48.926 ,49.214 ,47.794 ,47.761 ,45.549 ,44.683 ,49.341 ,49.720 ,51.816 ,46.725 ,51.785 ,50.531 ,56.739 ,54.793 ,55.888 ,53.393 
ind7,REN_TRA,PC,AL,0.099 ,0.095 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.203 ,0.347 ,0.331 
ind7,REN_TRA,PC,AT,4.532 ,5.070 ,7.532 ,8.241 ,9.560 ,11.175 ,10.705 ,10.077 ,10.031 ,9.695 ,10.983 ,11.409 ,10.583 ,9.703 ,9.931 ,10.051 ,10.283 ,9.355 
ind7,REN_TRA,PC,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.456 ,0.530 ,0.525 ,0.533 ,0.439 ,0.396 ,0.464 ,: 
ind7,REN_TRA,PC,BE,0.642 ,0.663 ,0.676 ,0.671 ,0.712 ,2.190 ,4.800 ,4.802 ,4.914 ,5.088 ,5.845 ,3.921 ,6.029 ,6.637 ,6.709 ,6.817 ,11.035 ,10.262 
ind7,REN_TRA,PC,BG,0.971 ,0.884 ,1.049 ,0.956 ,0.938 ,1.092 ,1.498 ,0.898 ,0.650 ,5.886 ,5.742 ,6.492 ,7.203 ,7.273 ,8.076 ,7.893 ,9.101 ,7.613 
ind7,REN_TRA,PC,CY,0.000 ,0.000 ,0.000 ,0.000 ,1.921 ,2.036 ,1.994 ,0.000 ,0.000 ,1.127 ,2.680 ,2.521 ,2.671 ,2.561 ,2.661 ,3.316 ,7.401 ,7.188 
ind7,REN_TRA,PC,CZ,1.203 ,1.099 ,1.073 ,1.048 ,2.843 ,4.312 ,5.220 ,1.285 ,6.249 ,6.445 ,6.997 ,6.537 ,6.496 ,6.616 ,6.556 ,7.841 ,9.383 ,7.492 
ind7,REN_TRA,PC,DE,2.136 ,3.953 ,6.701 ,7.532 ,6.316 ,5.877 ,6.413 ,6.461 ,7.322 ,7.299 ,6.900 ,6.569 ,7.013 ,7.028 ,7.941 ,7.630 ,10.008 ,7.972 
ind7,REN_TRA,PC,DK,0.445 ,0.443 ,0.521 ,0.535 ,0.540 ,0.693 ,1.150 ,3.609 ,6.278 ,6.456 ,6.556 ,6.432 ,6.732 ,6.935 ,6.920 ,7.110 ,9.701 ,10.546 
ind7,REN_TRA,PC,EA20,1.292 ,1.737 ,2.470 ,2.929 ,4.162 ,4.907 ,5.491 ,3.710 ,5.499 ,5.724 ,6.202 ,6.375 ,6.818 ,7.173 ,7.952 ,8.483 ,9.960 ,: 
ind7,REN_TRA,PC,EE,0.200 ,0.235 ,0.184 ,0.168 ,0.185 ,0.438 ,0.433 ,0.445 ,0.451 ,0.448 ,0.418 ,0.413 ,0.431 ,0.417 ,3.315 ,6.243 ,12.165 ,11.236 
ind7,REN_TRA,PC,EL,0.087 ,0.059 ,0.735 ,1.269 ,1.062 ,1.102 ,1.915 ,0.600 ,0.903 ,0.980 ,1.326 ,1.100 ,1.624 ,4.001 ,4.108 ,4.049 ,5.341 ,4.310 
ind7,REN_TRA,PC,ES,1.035 ,1.267 ,0.837 ,1.375 ,2.165 ,3.710 ,5.018 ,0.767 ,0.869 ,0.950 ,1.024 ,1.088 ,5.167 ,5.798 ,6.938 ,7.610 ,9.528 ,9.194 
ind7,REN_TRA,PC,EU27_2020,1.432 ,1.819 ,2.472 ,2.887 ,4.133 ,4.891 ,5.500 ,4.115 ,5.767 ,6.070 ,6.552 ,6.753 ,7.165 ,7.471 ,8.265 ,8.804 ,10.253 ,9.090 
ind7,REN_TRA,PC,FI,1.010 ,0.910 ,0.957 ,1.025 ,2.910 ,4.556 ,4.387 ,1.004 ,1.049 ,10.665 ,24.124 ,24.567 ,8.816 ,18.679 ,14.772 ,14.845 ,14.311 ,20.512 
ind7,REN_TRA,PC,FR,0.783 ,0.784 ,0.792 ,0.828 ,6.245 ,6.649 ,6.577 ,0.987 ,7.414 ,7.600 ,8.249 ,8.366 ,8.405 ,8.765 ,8.963 ,9.248 ,9.207 ,8.209 
ind7,REN_TRA,PC,HR,0.995 ,1.025 ,1.005 ,1.121 ,1.072 ,1.291 ,1.123 ,1.029 ,1.049 ,2.715 ,2.652 ,2.361 ,1.218 ,1.174 ,2.582 ,5.855 ,6.593 ,6.983 
ind7,REN_TRA,PC,HU,1.016 ,1.006 ,1.217 ,1.633 ,5.183 ,5.887 ,6.163 ,6.174 ,5.998 ,6.341 ,7.001 ,7.169 ,7.768 ,7.731 ,7.746 ,8.057 ,11.571 ,6.159 
ind7,REN_TRA,PC,IE,0.044 ,0.075 ,0.102 ,0.503 ,1.305 ,1.962 ,2.491 ,3.844 ,4.044 ,4.898 ,5.204 ,5.942 ,5.159 ,7.442 ,7.186 ,8.917 ,10.187 ,4.296 
ind7,REN_TRA,PC,IS,0.000 ,0.000 ,0.000 ,0.072 ,0.107 ,0.135 ,0.194 ,0.872 ,1.338 ,2.039 ,2.256 ,6.095 ,6.297 ,6.999 ,8.396 ,9.292 ,11.959 ,12.721 
ind7,REN_TRA,PC,IT,1.213 ,1.048 ,0.995 ,0.964 ,2.616 ,3.999 ,4.916 ,5.060 ,6.155 ,5.411 ,5.020 ,6.505 ,7.414 ,6.484 ,7.659 ,9.047 ,10.736 ,10.001 
ind7,REN_TRA,PC,LT,0.446 ,0.657 ,1.905 ,3.821 ,4.318 ,4.481 ,3.794 ,3.828 ,4.973 ,4.835 ,4.355 ,4.582 ,3.649 ,4.300 ,4.333 ,4.049 ,5.511 ,6.462 
ind7,REN_TRA,PC,LU,0.138 ,0.159 ,0.189 ,2.203 ,2.173 ,2.233 ,2.093 ,2.360 ,2.827 ,4.074 ,5.550 ,6.700 ,5.965 ,6.478 ,6.596 ,7.707 ,12.581 ,7.962 
ind7,REN_TRA,PC,LV,2.139 ,2.389 ,2.165 ,1.666 ,1.688 ,1.888 ,3.978 ,4.090 ,3.995 ,4.029 ,4.075 ,3.639 ,2.449 ,2.270 ,4.729 ,4.554 ,6.733 ,6.436 
ind7,REN_TRA,PC,ME,: ,0.498 ,0.505 ,0.996 ,0.881 ,0.697 ,0.787 ,0.613 ,0.736 ,1.097 ,1.071 ,1.188 ,1.102 ,0.952 ,0.860 ,0.865 ,0.632 ,0.278 
ind7,REN_TRA,PC,MK,0.203 ,0.243 ,0.280 ,0.282 ,0.283 ,0.233 ,0.198 ,0.175 ,0.188 ,0.182 ,0.211 ,0.182 ,0.140 ,0.135 ,0.118 ,0.136 ,0.148 ,0.062 
ind7,REN_TRA,PC,MT,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.016 ,3.216 ,3.484 ,4.667 ,4.679 ,5.269 ,6.826 ,8.019 ,8.902 ,10.586 ,10.580 
ind7,REN_TRA,PC,NL,0.515 ,0.499 ,0.850 ,3.182 ,2.981 ,4.570 ,3.397 ,5.068 ,5.217 ,5.343 ,6.562 ,5.597 ,4.761 ,5.842 ,9.483 ,12.326 ,12.631 ,8.991 
ind7,REN_TRA,PC,NO,3.095 ,3.074 ,3.314 ,3.742 ,5.294 ,5.569 ,5.391 ,2.683 ,3.007 ,3.190 ,6.156 ,7.710 ,13.763 ,19.228 ,20.318 ,25.668 ,28.690 ,20.374 
ind7,REN_TRA,PC,PL,1.581 ,1.746 ,1.817 ,1.746 ,4.143 ,5.408 ,6.640 ,6.918 ,6.533 ,6.666 ,6.319 ,5.686 ,3.974 ,4.232 ,5.720 ,6.200 ,6.575 ,5.665 
ind7,REN_TRA,PC,PT,0.424 ,0.450 ,1.631 ,2.433 ,2.515 ,3.885 ,5.548 ,0.695 ,0.807 ,0.925 ,3.667 ,7.431 ,7.647 ,7.914 ,9.037 ,9.089 ,9.701 ,8.609 
ind7,REN_TRA,PC,RO,1.819 ,1.872 ,1.538 ,1.641 ,1.345 ,1.297 ,1.366 ,5.535 ,4.962 ,5.445 ,4.675 ,5.488 ,6.169 ,6.558 ,6.342 ,7.846 ,8.540 ,7.669 
ind7,REN_TRA,PC,RS,0.452 ,0.445 ,0.429 ,0.665 ,0.677 ,1.465 ,0.672 ,1.879 ,2.001 ,1.682 ,1.166 ,1.178 ,1.232 ,1.208 ,1.185 ,1.137 ,1.174 ,0.618 
ind7,REN_TRA,PC,SE,6.288 ,6.596 ,7.509 ,8.421 ,8.693 ,9.356 ,9.627 ,11.938 ,13.777 ,15.315 ,18.831 ,21.490 ,26.560 ,26.842 ,29.696 ,30.309 ,31.854 ,30.426 
ind7,REN_TRA,PC,SI,0.850 ,0.831 ,1.056 ,1.473 ,1.773 ,2.251 ,3.118 ,2.477 ,3.252 ,3.769 ,2.876 ,2.242 ,1.601 ,2.571 ,5.480 ,7.983 ,10.911 ,10.641 
ind7,REN_TRA,PC,SK,1.500 ,1.660 ,3.295 ,3.994 ,4.278 ,5.364 ,5.292 ,5.727 ,5.596 ,6.212 ,7.951 ,8.631 ,7.765 ,6.950 ,6.988 ,8.308 ,9.259 ,8.753 
ind7,REN_TRA,PC,XK,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
