sex,wstatus,unit,age,citizen,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
T,POP,PC,Y18-24,EU27_2020_FOR,PL,: ,: ,: ,: ,: b,: ,: bu,: u,: u,: bu,: bu,: u,: u,: u,: bu,: u,: u,: 
T,POP,PC,Y18-24,EU27_2020_FOR,PT,: ,: ,: bu,: u,: u,: u,: u,: bu,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,RO,: ,: ,: b,: ,: u,: ,: ,: ,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,RS,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: bu,: u,: u,: u,: u,: ,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,SE,: ,: ,: bu,: bu,: bu,: u,: u,18.7 u,11.5 u,12.4 u,12.6 bu,: u,16.4 ,12.9 u,: bu,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,SI,: ,: ,: b,: u,: u,: ,: u,: u,: u,: ,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,SK,: ,: ,: ,: ,: ,: ,: ,: bu,: ,: u,: bu,: u,: u,: u,: u,: ,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,UK,: ,: ,15.7 b,15.7 b,15.5 b,15.0 ,14.4 b,16.8 b,16.5 ,13.5 ,14.4 b,11.9 ,14.7 ,13.3 ,13.9 ,12.5 ,: ,: 
T,POP,PC,Y18-24,NAT,AT,7.8 ,7.3 ,7.5 b,8.4 ,8.1 ,7.0 ,6.6 ,7.1 ,6.1 ,5.8 ,5.4 b,5.5 ,5.8 ,5.2 ,5.3 ,5.5 ,5.1 ,5.6 b
T,POP,PC,Y18-24,NAT,BE,12.1 ,11.7 ,11.4 b,10.9 ,10.7 b,10.1 ,11.0 ,11.3 ,10.8 ,9.7 ,9.0 b,9.1 ,7.8 ,8.0 b,7.4 ,7.3 ,7.4 ,5.9 b
T,POP,PC,Y18-24,NAT,BG,21.5 ,20.5 ,17.4 b,15.0 ,14.8 ,14.8 ,12.7 b,11.9 b,12.6 ,12.5 ,12.9 b,13.5 ,13.8 ,12.8 ,12.7 ,14.0 ,12.8 ,12.2 b
T,POP,PC,Y18-24,NAT,CH,5.4 ,6.1 ,6.5 ,4.4 ,4.5 ,6.2 ,4.1 b,4.0 ,3.4 ,3.8 ,4.4 b,3.7 ,3.1 ,2.7 ,2.7 ,3.1 ,2.9 ,3.5 b
T,POP,PC,Y18-24,NAT,CY,17.0 ,14.0 ,13.1 b,10.7 ,10.5 ,8.4 b,7.6 ,7.0 ,7.4 ,7.0 ,4.5 b,3.2 ,5.1 ,5.7 ,6.0 ,4.9 ,4.8 ,4.0 b
T,POP,PC,Y18-24,NAT,CZ,6.1 ,6.1 ,5.0 b,5.2 ,5.6 ,5.3 ,4.8 ,4.9 b,5.5 ,5.4 b,5.4 b,6.1 ,6.5 ,6.7 ,6.2 ,6.7 ,7.4 ,6.2 b
T,POP,PC,Y18-24,NAT,DE,9.8 ,11.5 b,11.8 b,10.8 ,10.0 b,9.4 ,10.2 b,10.1 ,9.0 ,8.3 ,7.9 b,8.3 ,7.7 ,7.6 ,7.8 ,7.6 ,7.4 b,8.7 b
T,POP,PC,Y18-24,NAT,DK,8.4 ,8.6 ,8.7 ,12.3 b,12.2 b,11.1 ,11.3 ,9.9 ,9.4 ,8.0 ,7.8 b,7.9 ,7.3 b,8.6 b,10.2 ,9.6 ,9.1 ,9.7 b
T,POP,PC,Y18-24,NAT,EA20,15.5 ,16.1 ,15.7 b,15.0 ,14.4 ,13.9 ,13.6 ,12.9 ,12.0 ,11.2 ,10.3 b,10.2 ,9.5 ,9.4 ,9.3 ,8.8 ,8.5 ,8.2 b
T,POP,PC,Y18-24,NAT,EE,11.7 ,10.6 ,12.8 ,14.3 ,13.4 ,12.3 b,10.2 ,10.3 ,10.4 ,9.2 ,12.1 b,13.5 ,10.9 ,11.7 ,11.6 ,10.6 ,8.0 ,8.9 b
T,POP,PC,Y18-24,NAT,EL,11.7 ,11.0 ,12.9 b,11.8 ,11.0 b,9.9 b,9.5 ,9.3 ,8.4 ,7.6 ,7.5 b,6.9 ,5.5 ,5.4 ,3.9 ,3.0 ,3.0 ,2.8 b
T,POP,PC,Y18-24,NAT,ES,30.6 ,28.6 b,28.0 b,28.3 ,28.6 ,27.9 ,25.3 ,23.2 ,21.6 ,20.8 ,19.1 b,17.8 ,16.4 ,15.9 ,15.3 ,14.7 ,13.6 ,11.4 b
T,POP,PC,Y18-24,NAT,EU27_2020,14.2 ,14.6 ,14.0 b,13.5 ,13.0 ,12.6 ,12.5 ,11.9 ,11.3 ,10.7 ,10.0 b,10.0 ,9.5 ,9.4 ,9.2 ,8.9 ,8.6 ,8.4 b
T,POP,PC,Y18-24,NAT,FI,9.7 ,10.1 ,9.5 ,8.9 ,9.7 ,9.5 ,9.9 ,9.4 ,8.8 ,9.0 ,9.2 b,8.8 ,7.5 ,8.0 ,8.1 ,7.1 ,7.8 ,7.8 b
T,POP,PC,Y18-24,NAT,FR,11.5 ,11.9 ,12.2 ,12.1 ,11.1 ,11.6 ,12.1 ,11.7 ,11.1 ,9.1 b,8.4 b,8.8 ,8.3 ,8.3 ,8.2 ,7.8 ,7.6 ,7.5 b
T,POP,PC,Y18-24,NAT,HR,: ,: ,4.7 bu,4.5 ,4.3 ,4.5 ,4.4 b,5.0 ,5.1 ,4.4 ,2.8 bu,2.8 u,2.8 u,3.1 ,3.3 ,3.0 u,2.1 u,2.3 bu
