sex,unit,geo\time,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
M,PC,LT,83.1 ,85.5 ,87.0 ,87.9 ,89.0 ,89.0 ,89.6 ,90.8 
M,PC,LU,89.7 ,87.7 ,86.4 ,85.9 ,87.6 b,87.5 ,88.6 ,89.9 
M,PC,LV,91.1 ,92.0 ,92.5 ,93.4 ,94.0 ,93.7 ,93.5 ,93.4 
M,PC,MK,29.4 ,29.7 ,31.2 ,35.5 ,36.1 ,39.2 ,41.9 ,29.4 
M,PC,MT,99.6 ,96.8 ,97.7 ,96.0 ,93.2 ,94.2 ,92.0 ,88.7 
M,PC,NL,94.1 ,91.9 ,92.2 ,94.1 ,94.5 ,88.8 ,90.6 ,91.0 
M,PC,NO,96.5 ,96.5 ,96.6 ,96.8 ,97.0 ,97.2 ,97.2 ,96.9 
M,PC,PL,76.0 d,79.5 ,83.9 ,87.5 ,85.6 ,87.9 e,90.0 e,90.4 
M,PC,PT,90.0 ,88.9 ,89.0 d,88.8 d,: d,: d,92.5 d,93.5 d
M,PC,RO,83.4 ,83.7 e,84.3 ,84.2 ,83.6 ,81.6 ,78.4 ,78.1 
M,PC,RS,63.0 ,63.0 ,62.0 ,62.4 ,64.4 ,66.3 ,67.2 ,69.0 
M,PC,SE,95.1 ,95.3 ,94.1 ,94.8 ,95.5 ,95.1 ,95.6 ,96.0 
M,PC,SI,88.5 ,87.7 ,88.1 ,89.3 ,90.2 ,91.0 ,92.0 ,92.5 
M,PC,SK,71.9 ,72.7 ,72.0 ,73.1 ,74.5 ,77.3 ,77.4 ,77.8 
M,PC,TR,: ,37.4 ,38.3 ,37.5 ,39.9 ,43.1 ,43.4 ,42.5 
M,PC,UK,98.2 ,90.7 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,: 
T,PC,AT,86.5 ,86.9 ,88.1 ,88.5 ,89.3 ,89.7 ,89.9 ,89.7 
T,PC,BE,98.3 ,98.3 ,98.2 d,98.2 d,98.6 bd,98.5 d,98.3 ,98.5 
T,PC,BG,83.8 ,85.5 ,84.8 ,82.8 ,81.0 ,79.8 ,79.9 ,80.1 
T,PC,CH,46.7 ,: ,49.1 ,49.8 ,49.5 ,49.6 ,49.4 ,49.7 
T,PC,CY,69.4 ,68.5 ,81.3 ,82.6 ,86.5 ,88.4 ,90.1 ,91.1 
T,PC,CZ,76.8 ,80.5 ,84.6 ,86.6 ,87.7 ,86.7 ,86.3 ,85.8 
T,PC,DE,95.8 ,95.8 ,96.0 ,94.9 ,94.6 ,94.2 ,94.0 ,93.7 
T,PC,DK,97.6 ,97.5 ,98.0 ,97.6 ,97.5 ,99.5 ,97.7 ,97.6 
T,PC,EE,89.6 ,90.3 ,90.6 ,91.3 ,91.5 ,91.6 ,91.5 ,91.9 
T,PC,EL,85.3 d,71.0 ,63.0 d,63.1 d,65.3 d,50.8 d,68.8 d,71.3 de
T,PC,ES,96.6 ,96.7 d,96.8 ,96.9 ,97.1 ,97.5 ,97.3 ,97.2 
T,PC,EU27_2020,91.8 ,91.2 ,92.0 ,92.5 ,92.5 ,92.3 ,92.9 ,93.0 
T,PC,EU28,92.2 ,91.2 ,92.8 ,93.4 ,93.4 ,93.1 ,93.7 ,: 
