indicator,partner,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind17,DAC,PC,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.18 ,0.18 ,0.25 ,0.23 ,0.20 ,0.20 ,0.17 ,0.20 ,0.21 ,0.25 b,0.30 ,0.40 ,0.34 
ind17,DAC,PC,NL,0.84 ,0.82 ,0.81 ,0.80 ,0.73 ,0.82 ,0.81 ,0.81 ,0.80 ,0.82 ,0.81 ,0.75 ,0.71 ,0.67 ,0.64 ,0.75 ,0.65 ,0.60 ,0.62 b,0.59 ,0.59 ,0.52 
ind17,DAC,PC,NO,0.76 ,0.80 ,0.89 ,0.92 ,0.87 ,0.94 ,0.89 ,0.95 ,0.89 ,1.06 ,1.05 ,0.96 ,0.93 ,1.07 ,1.00 ,1.05 ,1.12 ,0.99 ,0.94 b,1.03 ,1.11 ,0.93 
ind17,DAC,PC,PL,: ,: ,: ,: ,0.05 ,0.07 ,0.09 ,0.10 ,0.08 ,0.09 ,0.08 ,0.08 ,0.09 ,0.10 ,0.09 ,0.10 ,0.15 ,0.13 ,0.14 b,0.14 ,0.14 ,0.15 
ind17,DAC,PC,PT,0.26 ,0.25 ,0.27 ,0.22 ,0.63 ,0.21 ,0.21 ,0.22 ,0.27 ,0.23 ,0.29 ,0.31 ,0.28 ,0.23 ,0.19 ,0.16 ,0.17 ,0.18 ,0.18 b,0.17 ,0.18 ,0.18 
ind17,DAC,PC,RO,: ,: ,: ,: ,: ,: ,: ,: ,0.09 ,0.08 ,0.07 ,0.09 ,0.09 ,0.07 ,0.11 ,0.09 ,0.11 ,0.11 ,0.11 b,0.10 ,0.13 ,0.15 
ind17,DAC,PC,SE,0.80 ,0.77 ,0.84 ,0.79 ,0.78 ,0.94 ,1.02 ,0.93 ,0.98 ,1.12 ,0.97 ,1.02 ,0.97 ,1.01 ,1.09 ,1.40 ,0.94 ,1.02 ,1.07 b,0.96 ,1.14 ,0.91 
ind17,DAC,PC,SI,: ,: ,: ,: ,: ,0.11 ,0.12 ,0.12 ,0.13 ,0.15 ,0.13 ,0.13 ,0.13 ,0.13 ,0.12 ,0.15 ,0.19 ,0.16 ,0.16 b,0.17 ,0.17 ,0.19 
ind17,DAC,PC,SK,: ,: ,: ,: ,0.07 ,0.12 ,0.10 ,0.09 ,0.10 ,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.10 ,0.12 ,0.13 ,0.13 b,0.11 ,0.14 ,0.14 
ind17,DAC,PC,UK,0.32 ,0.32 ,0.31 ,0.34 ,0.36 ,0.47 ,0.51 ,0.36 ,0.43 ,0.51 ,0.57 ,0.56 ,0.56 ,0.70 ,0.70 ,0.70 ,0.70 ,0.70 ,0.70 b,0.70 ,: ,: 
