indicator,sex,age,unit,isced11,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind4,F,Y25-34,PC,ED5-8,IT,12.0 ,12.8 ,13.6 ,14.8 ,17.4 b,19.4 ,20.9 ,22.9 ,24.4 ,24.6 ,25.2 ,25.7 ,27.4 ,28.0 ,29.8 b,31.0 ,31.7 ,33.5 ,34.0 ,33.9 ,35.0 ,34.4 b
ind4,F,Y25-34,PC,ED5-8,LT,45.3 ,32.6 ,33.9 b,35.1 ,40.4 ,42.6 ,44.9 ,44.3 ,49.3 ,50.9 ,54.8 ,56.8 ,57.6 ,58.9 ,61.1 b,64.9 ,66.1 ,65.6 ,65.2 ,66.1 ,68.1 ,67.9 b
ind4,F,Y25-34,PC,ED5-8,LU,22.0 ,22.1 ,21.7 ,18.6 b,32.9 ,38.7 ,35.4 ,39.8 b,42.7 ,46.7 b,46.0 ,48.7 ,52.0 ,54.0 ,57.8 b,55.5 b,54.4 u,55.4 u,57.9 ,60.9 ,66.3 ,67.4 b
ind4,F,Y25-34,PC,ED5-8,LV,21.2 ,20.8 ,21.4 b,23.4 ,24.2 ,27.5 ,29.0 ,32.0 ,36.8 ,41.1 ,45.6 ,46.4 ,51.2 ,53.1 ,51.4 b,54.4 ,54.6 ,53.9 ,53.8 ,54.6 ,55.3 ,55.4 b
ind4,F,Y25-34,PC,ED5-8,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,30.9 ,29.9 ,35.5 ,37.7 b,36.3 ,39.6 ,43.9 ,39.9 ,42.2 ,45.0 ,: 
ind4,F,Y25-34,PC,ED5-8,MK,: ,: ,: ,: ,: ,: ,14.6 ,17.0 ,16.9 ,22.8 ,23.7 ,28.5 ,29.6 ,31.4 ,34.0 b,37.4 ,38.2 ,39.8 ,40.2 ,41.0 ,44.1 ,: 
ind4,F,Y25-34,PC,ED5-8,MT,8.9 du,15.0 d,12.5 d,16.9 d,19.5 d,17.5 b,23.0 ,24.9 ,24.3 ,26.1 ,28.1 ,29.2 b,32.1 ,36.7 ,36.1 b,36.9 ,38.3 ,37.7 ,44.4 ,47.7 ,44.7 ,49.7 b
ind4,F,Y25-34,PC,ED5-8,NL,27.2 ,27.8 ,29.9 ,33.9 ,36.0 ,34.2 b,36.7 ,38.3 ,41.0 ,41.6 ,43.5 ,43.9 b,45.0 ,47.2 b,48.7 b,49.6 ,50.2 ,51.5 ,52.5 ,54.0 b,57.1 ,60.5 b
ind4,F,Y25-34,PC,ED5-8,NO,43.5 ,47.3 ,47.6 ,44.8 ,45.9 ,45.4 ,47.0 b,49.1 ,52.3 ,53.5 ,53.5 ,53.9 ,53.7 ,56.7 ,58.7 b,57.5 ,57.6 ,54.9 ,55.8 ,57.3 ,60.6 ,64.9 b
ind4,F,Y25-34,PC,ED5-8,PL,17.3 b,18.0 ,20.4 ,24.2 b,27.2 ,30.5 ,33.4 ,35.9 ,38.7 ,42.7 ,44.7 b,47.3 ,49.9 ,51.1 ,51.7 b,52.8 ,53.6 ,53.8 ,53.7 ,53.5 ,52.6 ,50.3 b
ind4,F,Y25-34,PC,ED5-8,PT,15.7 ,18.0 ,20.2 ,21.4 ,23.1 b,23.9 ,25.1 ,27.6 ,29.6 ,29.0 ,32.1 ,33.1 b,34.2 ,37.4 ,39.0 b,40.6 ,42.9 ,42.3 ,44.3 ,45.1 ,49.0 ,56.5 b
ind4,F,Y25-34,PC,ED5-8,RO,9.2 ,10.0 ,11.0 ,11.3 b,13.6 ,14.4 ,15.8 ,17.7 ,20.4 ,21.7 ,22.0 b,23.9 ,25.6 ,26.8 ,28.1 b,28.3 ,27.4 ,28.8 ,28.2 ,29.2 ,28.3 ,26.2 b
ind4,F,Y25-34,PC,ED5-8,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,24.6 ,27.2 ,30.0 ,30.3 ,33.7 b,36.2 ,38.1 ,39.0 ,40.1 ,40.8 ,39.3 ,41.4 b
ind4,F,Y25-34,PC,ED5-8,SE,35.9 ,31.8 b,34.2 ,36.6 ,40.2 ,42.4 b,44.8 b,45.8 ,46.5 ,48.4 ,48.9 ,50.2 ,50.2 ,51.7 ,53.6 b,54.5 ,55.4 ,54.8 ,55.1 b,56.3 ,58.3 ,58.2 b
ind4,F,Y25-34,PC,ED5-8,SI,25.8 ,23.6 ,26.8 ,32.5 ,33.1 ,31.9 ,35.2 ,40.3 ,38.4 ,39.5 ,40.3 ,44.4 ,45.6 ,47.0 ,49.1 b,52.7 ,54.9 ,56.3 ,53.1 ,55.0 ,56.6 ,60.8 b
ind4,F,Y25-34,PC,ED5-8,SK,11.6 ,12.4 ,13.8 ,14.4 ,15.3 ,16.8 ,18.1 ,19.9 ,21.1 ,23.8 ,29.8 ,30.7 b,32.8 ,35.4 ,36.5 b,39.6 ,41.4 ,43.3 ,44.8 ,47.7 ,49.2 ,51.2 b
ind4,F,Y25-34,PC,ED5-8,TR,: ,: ,: ,: ,: ,: ,11.0 ,11.8 ,13.2 ,14.7 ,15.2 ,16.5 ,18.4 ,20.1 ,22.5 b,25.5 ,28.7 ,30.1 ,32.1 ,34.2 ,36.8 ,: 
ind4,F,Y25-34,PC,ED5-8,UK,30.2 ,32.3 ,34.4 ,33.7 ,36.0 b,36.6 ,38.0 ,39.3 b,40.2 b,41.7 ,43.9 b,46.2 b,47.4 ,47.5 ,48.7 b,50.2 ,49.2 ,49.9 ,51.4 ,52.8 ,: ,: 
ind4,M,Y25-34,PC,ED5-8,AT,: u,: u,: u,: u,20.2 b,18.9 ,18.7 b,18.4 ,18.5 ,19.6 ,18.7 ,19.5 ,21.3 ,23.3 ,35.8 b,35.8 ,36.2 ,36.4 ,36.1 ,37.4 ,37.3 ,38.2 b
ind4,M,Y25-34,PC,ED5-8,BE,33.1 ,34.0 ,32.8 ,35.1 ,36.3 ,35.8 ,36.5 ,35.8 ,36.1 b,36.3 ,38.2 ,36.5 ,35.9 ,35.9 ,37.1 b,37.1 ,37.8 ,40.0 b,40.6 ,39.9 ,40.8 ,44.0 b
ind4,M,Y25-34,PC,ED5-8,BG,13.8 ,16.5 b,16.1 ,16.1 ,17.3 ,16.5 ,16.6 b,18.2 ,19.5 ,19.2 ,19.7 b,20.1 b,20.9 ,22.0 ,23.9 b,24.6 ,26.1 ,26.8 ,27.3 ,26.4 ,27.2 ,28.0 b
