indicator,sex,age,unit,isced11,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind4,T,Y25-34,PC,ED5-8,FI,37.8 b,38.2 ,37.8 ,37.9 ,38.2 ,37.5 ,38.5 ,39.3 ,38.3 ,39.4 ,39.2 ,39.4 ,39.7 ,40.0 ,40.3 b,40.2 ,40.7 ,40.3 ,40.3 ,42.0 ,43.8 ,40.1 b
ind4,T,Y25-34,PC,ED5-8,FR,31.4 ,33.3 ,35.2 ,38.0 b,38.5 ,39.9 ,41.5 ,41.4 ,40.6 ,42.9 ,42.7 ,42.8 ,42.6 ,43.9 b,44.3 b,44.8 ,44.2 ,44.5 ,47.0 ,48.2 ,49.4 ,50.3 b
ind4,T,Y25-34,PC,ED5-8,HR,: ,: ,16.9 ,17.7 ,17.4 ,18.0 ,17.7 ,17.8 ,19.9 ,21.3 ,25.8 b,24.4 ,23.6 ,27.3 ,31.9 b,30.8 ,32.8 ,32.7 ,35.4 ,35.5 ,36.6 ,35.7 b
ind4,T,Y25-34,PC,ED5-8,HU,14.6 ,14.8 b,15.0 ,16.8 ,18.9 ,19.6 ,20.7 ,22.0 ,24.1 ,25.1 ,26.1 ,28.2 ,30.5 ,31.2 ,32.1 b,32.1 ,30.4 ,30.2 ,30.6 ,30.6 ,30.7 ,32.9 b
ind4,T,Y25-34,PC,ED5-8,IE,30.6 ,34.1 ,35.5 ,37.7 ,40.1 ,40.9 ,43.5 ,46.2 b,47.2 ,49.1 ,49.6 ,48.6 ,50.3 ,52.1 ,53.4 b,54.0 ,54.3 ,54.7 b,56.2 ,55.4 ,58.4 ,61.7 b
ind4,T,Y25-34,PC,ED5-8,IS,29.5 ,27.2 ,28.1 ,32.7 b,33.3 ,35.8 ,31.4 u,32.5 ,32.8 ,35.8 ,36.2 ,39.4 ,38.4 ,40.0 ,40.8 b,40.2 ,43.4 ,47.6 ,47.1 ,47.2 ,41.7 b,41.5 b
ind4,T,Y25-34,PC,ED5-8,IT,10.6 ,11.3 ,12.2 ,13.0 ,14.7 b,16.2 ,17.3 ,18.8 ,19.9 ,20.2 ,20.8 ,21.1 ,22.5 ,22.9 ,24.2 b,25.2 ,25.6 ,26.9 ,27.7 ,27.7 ,28.9 ,28.3 b
ind4,T,Y25-34,PC,ED5-8,LT,39.9 ,26.7 ,28.0 b,29.3 ,35.7 ,36.9 ,38.2 ,38.1 ,41.5 ,43.5 ,46.3 ,48.2 ,48.6 ,50.5 ,52.6 b,54.8 ,54.9 ,55.6 ,55.6 ,55.2 ,56.2 ,57.5 b
ind4,T,Y25-34,PC,ED5-8,LU,22.9 ,23.4 ,22.6 ,18.8 b,32.4 ,37.0 ,33.5 ,35.7 b,38.7 ,44.5 b,44.2 ,46.6 ,49.9 ,48.1 ,52.9 b,50.3 b,51.5 ,51.3 u,53.7 ,56.1 ,60.6 ,62.6 b
ind4,T,Y25-34,PC,ED5-8,LV,17.3 ,16.6 ,17.3 b,18.5 ,19.7 ,21.7 ,23.0 ,25.7 ,28.8 ,31.6 ,34.7 ,35.1 ,38.7 ,40.7 ,39.4 b,39.9 ,42.1 ,41.6 ,41.6 ,43.8 ,44.2 ,45.5 b
ind4,T,Y25-34,PC,ED5-8,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,25.9 ,26.8 ,31.5 ,32.6 b,31.9 ,34.3 ,35.5 ,34.2 ,39.3 ,40.4 ,: 
ind4,T,Y25-34,PC,ED5-8,MK,: ,: ,: ,: ,: ,: ,12.2 ,14.8 ,15.1 ,19.3 ,21.8 ,25.1 ,26.3 ,26.3 ,28.1 b,30.6 ,32.2 ,33.0 ,33.6 ,35.8 ,37.7 ,: 
ind4,T,Y25-34,PC,ED5-8,MT,8.8 d,14.8 d,12.0 d,16.3 d,18.4 d,17.8 b,20.8 ,22.2 ,23.1 ,22.8 ,24.3 ,26.2 b,28.3 ,31.1 ,31.3 b,31.9 ,34.3 ,34.9 ,39.9 ,40.8 ,40.1 ,42.5 b
ind4,T,Y25-34,PC,ED5-8,NL,26.9 ,27.1 ,28.3 ,32.1 ,34.5 ,33.3 b,34.6 ,35.7 ,38.3 ,38.4 ,40.3 ,40.0 b,41.4 ,43.0 b,44.3 b,45.1 ,45.2 ,46.6 ,47.6 ,49.1 b,52.3 ,55.6 b
ind4,T,Y25-34,PC,ED5-8,NO,38.6 ,42.7 ,42.8 ,39.7 ,39.8 ,39.5 ,41.0 b,41.7 ,43.7 ,44.3 ,45.0 ,46.1 ,45.0 ,46.7 ,50.2 b,49.0 ,49.2 ,48.3 ,48.5 ,48.4 ,50.9 ,55.0 b
ind4,T,Y25-34,PC,ED5-8,PL,14.3 b,15.0 ,16.8 ,20.3 b,23.0 ,25.4 ,28.0 ,30.0 ,32.1 ,35.5 ,37.1 b,39.0 ,40.8 ,41.8 ,42.6 b,43.2 ,43.5 ,43.6 ,43.5 ,43.5 ,42.4 ,40.6 b
ind4,T,Y25-34,PC,ED5-8,PT,12.8 ,14.1 ,15.3 ,16.7 ,18.4 b,19.0 ,20.0 ,21.4 ,23.2 ,23.5 ,25.5 ,27.5 b,29.0 ,30.0 ,31.4 b,33.1 ,35.0 ,34.0 ,35.1 ,37.4 ,41.9 ,47.5 b
ind4,T,Y25-34,PC,ED5-8,RO,9.2 ,9.5 ,10.4 ,10.7 b,12.6 ,13.5 ,14.8 ,16.6 ,18.8 ,19.5 ,20.7 b,22.5 ,23.6 ,24.4 ,25.4 b,25.5 ,24.8 ,25.6 ,24.9 ,25.5 ,24.9 ,23.3 b
ind4,T,Y25-34,PC,ED5-8,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,18.9 ,22.0 ,24.9 ,25.1 ,27.1 b,29.8 ,31.4 ,32.2 ,32.8 ,33.4 ,32.6 ,33.9 b
ind4,T,Y25-34,PC,ED5-8,SE,33.1 ,28.2 b,30.7 ,32.5 ,34.5 ,37.3 b,39.2 b,39.9 ,40.9 ,42.4 ,42.3 ,42.8 ,43.5 ,44.9 ,46.0 b,46.5 ,47.3 ,47.4 ,47.6 b,48.4 ,49.2 ,49.3 b
ind4,T,Y25-34,PC,ED5-8,SI,19.3 ,17.4 ,19.7 ,23.7 ,24.9 ,24.7 ,27.0 ,30.1 ,30.0 ,30.4 ,31.3 ,33.8 ,35.3 ,37.4 ,38.0 b,40.8 ,43.0 ,44.5 ,40.7 ,44.1 ,45.4 ,47.9 b
ind4,T,Y25-34,PC,ED5-8,SK,11.1 ,11.7 ,11.9 ,13.2 ,14.3 ,16.2 ,16.6 ,17.5 ,18.4 ,20.6 ,24.0 ,25.5 b,27.0 ,29.7 ,29.8 b,31.3 ,33.4 ,35.1 ,37.2 ,39.2 ,39.0 ,39.5 b
ind4,T,Y25-34,PC,ED5-8,TR,: ,: ,: ,: ,: ,: ,12.8 ,13.5 ,14.7 ,15.9 ,16.8 ,18.1 ,20.1 ,21.5 ,23.8 b,26.5 ,29.4 ,30.5 ,32.1 ,34.1 ,36.2 ,: 
ind4,T,Y25-34,PC,ED5-8,UK,31.5 ,33.0 ,34.7 ,33.9 ,35.5 b,35.8 ,36.8 ,37.8 b,38.6 b,40.1 ,41.6 b,43.8 b,45.1 ,45.2 ,45.8 b,46.9 ,47.1 ,47.2 ,48.1 ,49.4 ,: ,: 
