indicator,ind_type,indic_is,unit,geo\time,2015 ,2016 ,2017 ,2019 ,2021 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,DK,74.91 ,77.57 ,71.19 ,69.98 ,68.65 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,EA,56.72 ,57.05 ,57.71 ,58.78 ,: 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,EE,64.51 ,60.32 ,60.31 ,61.58 ,56.37 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,EL,44.01 ,45.85 ,46.16 ,50.52 ,52.48 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,ES,53.90 ,53.35 ,54.77 ,57.20 ,64.16 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,EU15,59.09 ,59.65 ,60.52 ,: ,: 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,EU27_2007,55.37 ,56.17 ,57.32 ,: ,: 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,EU27_2020,53.74 ,54.34 ,55.25 ,56.06 ,53.92 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,EU28,55.33 ,56.16 ,57.19 ,58.32 ,: 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,FI,73.97 ,73.05 ,75.55 ,76.47 ,79.18 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,FR,56.78 ,55.65 ,57.13 ,57.30 ,61.96 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,HR,50.91 ,54.61 ,40.92 ,53.35 ,63.37 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,HU,49.52 ,51.36 ,49.59 ,48.68 ,49.09 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,IE,44.38 ,44.19 ,47.64 ,53.38 ,70.49 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,IS,: ,: ,85.40 ,85.37 ,80.99 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,IT,43.30 ,43.65 ,: u,41.51 b,45.60 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,LT,51.24 ,51.59 ,54.78 ,56.15 ,48.84 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,LU,86.21 ,86.15 ,85.18 ,64.58 b,63.79 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,LV,49.20 ,50.36 b,48.07 ,42.96 b,50.80 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,ME,: ,: ,49.60 ,: u,47.21 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,MK,37.08 ,33.90 ,32.49 ,31.55 ,34.62 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,MT,52.68 ,49.61 ,56.59 ,55.82 ,61.23 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,NL,72.43 ,76.51 ,79.49 ,79.37 ,78.94 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,NO,79.86 ,74.76 ,77.02 ,82.55 ,78.71 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,PL,40.04 ,44.42 ,46.38 ,44.45 ,42.93 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,PT,47.63 ,47.65 ,50.26 ,51.76 ,55.31 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,RO,26.28 ,27.65 ,29.05 ,30.97 ,27.82 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,RS,31.89 ,: ,38.87 ,45.72 ,41.30 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,SE,71.58 ,68.64 b,77.20 ,72.42 u,66.52 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,SI,50.90 ,52.91 ,54.00 ,55.13 ,49.67 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,SK,53.15 ,55.26 ,59.01 ,53.87 ,55.18 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,TR,23.31 ,28.39 ,34.11 ,35.81 ,30.12 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,UK,67.27 ,68.75 ,70.55 ,73.89 ,: 
ind4,IND_TOTAL,I_DSK2_BAB,PC_IND,XK,: ,: ,21.06 ,27.57 ,: 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,AL,: ,: ,: ,22.81 ,24.15 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,AT,71.45 ,70.31 ,72.52 ,69.96 ,65.64 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,BA,: ,: ,: ,28.98 ,36.34 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,BE,62.28 ,64.12 ,61.93 ,63.39 ,56.85 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,BG,31.05 ,25.08 ,28.83 ,28.44 ,31.12 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,CH,: ,: ,77.04 b,77.44 b,78.75 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,CY,45.31 ,40.52 ,49.56 ,42.74 ,48.34 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,CZ,58.52 ,55.10 ,62.75 ,62.47 b,59.68 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,DE,70.48 ,70.97 ,71.39 ,72.90 ,52.10 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,DK,76.92 ,79.34 ,74.90 ,72.31 ,71.51 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,EA,59.77 ,59.52 ,60.13 ,60.97 ,: 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,EE,65.23 ,60.65 ,60.96 ,62.46 ,57.53 
