age,sex,unit,geo\time,2006 ,2009 ,2012 ,2014 ,2017 ,2020 
Y_GE15,T,PC_POP,FR,33 ,33 ,28 ,32 ,36 ,28 
Y_GE15,T,PC_POP,HR,33 ,33 ,: ,33 ,35 ,36 
Y_GE15,T,PC_POP,HU,36 ,38 ,32 ,30 ,27 ,28 
Y_GE15,T,PC_POP,IE,29 ,31 ,29 ,22 ,19 ,18 
Y_GE15,T,PC_POP,IT,31 ,26 ,24 ,21 ,25 ,23 
Y_GE15,T,PC_POP,LT,34 ,30 ,30 ,26 ,29 ,28 
Y_GE15,T,PC_POP,LU,26 ,25 ,27 ,21 ,21 ,23 
Y_GE15,T,PC_POP,LV,36 ,36 ,36 ,30 ,32 ,32 
Y_GE15,T,PC_POP,MT,25 ,26 ,27 ,20 ,24 ,20 
Y_GE15,T,PC_POP,NL,29 ,23 ,23 ,23 ,19 ,12 
Y_GE15,T,PC_POP,PL,35 ,33 ,32 ,28 ,30 ,26 
Y_GE15,T,PC_POP,PT,24 ,23 ,23 ,26 ,26 ,21 
Y_GE15,T,PC_POP,RO,31 ,30 ,30 ,27 ,28 ,30 
Y_GE15,T,PC_POP,SE,18 ,16 ,13 ,11 ,7 ,7 
Y_GE15,T,PC_POP,SI,23 ,26 ,27 ,31 ,28 ,27 
Y_GE15,T,PC_POP,SK,25 ,26 ,23 ,21 ,26 ,25 
Y_GE15,T,PC_POP,UK,33 ,28 ,27 ,22 ,17 ,12 
