indicator,sex,age,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind8,F,Y15-29,PC_POP,MT,: ,: ,: ,: ,: ,: ,16.4 ,16.1 ,14.9 ,14.7 ,12.7 ,14.5 ,15.0 ,12.1 ,9.8 ,8.9 ,9.6 ,10.5 ,10.9 
ind8,F,Y15-29,PC_POP,NL,: ,: ,: ,: ,: ,: ,8.2 ,8.2 ,8.0 ,8.9 ,9.4 ,9.9 ,8.8 ,8.2 ,7.9 ,7.4 ,6.9 ,7.2 ,6.0 
ind8,F,Y15-29,PC_POP,NO,: ,: ,: ,: ,: ,: ,8.5 ,8.5 ,9.2 ,8.9 ,9.5 ,9.8 ,9.4 ,9.0 ,9.1 ,8.7 ,8.8 ,8.5 ,7.3 
ind8,F,Y15-29,PC_POP,PL,: ,: ,: ,: ,: ,: ,17.0 ,16.7 b,17.7 ,18.2 ,18.8 ,17.9 ,16.5 ,16.8 ,16.7 ,16.2 ,16.2 ,17.1 ,16.9 
ind8,F,Y15-29,PC_POP,PT,: ,: ,: ,: ,: ,: ,13.6 ,14.4 ,14.8 ,15.7 ,16.9 ,15.3 ,14.4 ,13.2 ,10.7 ,10.0 ,10.1 ,11.1 ,9.7 
ind8,F,Y15-29,PC_POP,RO,: ,: ,: ,: ,: ,: ,21.4 ,28.4 ,27.3 ,27.4 ,27.9 ,28.1 ,30.6 ,29.1 ,26.5 ,26.3 ,25.8 ,25.9 ,26.3 
ind8,F,Y15-29,PC_POP,RS,: ,: ,: ,: ,: ,: ,: ,30.9 ,32.3 ,33.1 ,33.2 ,27.6 ,26.6 ,24.8 ,23.9 ,22.7 ,21.2 ,21.9 ,20.4 
ind8,F,Y15-29,PC_POP,SE,: ,: ,: ,: ,: ,: ,9.1 ,7.9 ,7.6 ,8.0 ,7.4 ,7.3 ,6.8 ,6.6 ,6.6 ,6.6 b,5.9 ,6.8 ,6.3 
ind8,F,Y15-29,PC_POP,SI,: ,: ,: ,: ,: ,: ,8.2 ,8.1 ,7.7 ,10.5 ,11.5 ,12.1 ,10.6 ,9.3 ,8.7 ,8.4 ,9.2 ,8.9 ,8.2 
ind8,F,Y15-29,PC_POP,SK,: ,: ,: ,: ,: ,: ,19.1 ,19.4 ,19.0 b,19.6 ,19.4 ,19.2 ,18.9 ,18.5 ,19.1 ,17.6 ,17.2 ,17.8 ,17.5 
ind8,F,Y15-29,PC_POP,TR,: ,: ,: ,: ,: ,: ,54.3 ,51.3 ,48.7 ,46.7 ,43.8 ,42.3 b,41.6 ,40.9 ,40.7 ,40.2 ,40.8 ,42.8 ,: 
ind8,M,Y15-29,PC_POP,AT,: ,: ,: ,: ,: ,: ,8.1 ,7.8 ,7.4 ,7.1 ,7.7 ,8.6 ,8.4 ,8.6 ,7.9 ,7.2 ,7.0 ,9.6 ,8.5 
ind8,M,Y15-29,PC_POP,BE,: ,: ,: ,: ,: ,: ,9.9 ,10.4 ,10.9 ,11.8 ,12.5 ,12.3 ,12.2 ,10.6 ,10.5 b,9.7 ,9.8 ,10.3 ,10.4 b
ind8,M,Y15-29,PC_POP,BG,: ,: ,: ,: ,: ,: ,17.8 ,21.2 b,23.0 b,23.0 ,23.7 ,21.2 ,19.8 ,19.0 ,14.8 ,14.6 ,13.2 ,14.8 ,14.5 
ind8,M,Y15-29,PC_POP,CH,: ,: ,: ,: ,: ,: ,: ,6.7 b,7.3 ,6.8 ,7.4 ,7.4 ,7.0 ,7.3 ,7.3 ,6.6 ,6.5 ,6.6 ,: 
ind8,M,Y15-29,PC_POP,CY,: ,: ,: ,: ,: ,: ,8.6 ,10.8 ,14.2 ,17.2 ,20.7 ,20.5 ,17.7 ,16.4 ,15.7 ,14.2 ,12.2 ,14.2 ,14.5 
ind8,M,Y15-29,PC_POP,CZ,: ,: ,: ,: ,: ,: ,8.0 ,8.3 ,7.6 b,8.4 ,8.2 ,7.0 ,6.6 ,5.6 ,4.6 ,4.0 ,4.0 ,4.7 ,4.8 
ind8,M,Y15-29,PC_POP,DE,: ,: ,: ,: ,: ,: ,10.5 ,9.6 b,8.5 b,7.9 ,7.5 ,7.4 ,7.3 ,7.8 ,7.4 ,6.8 ,6.5 ,8.6 b,7.9 
ind8,M,Y15-29,PC_POP,DK,: ,: ,: ,: ,: ,: ,7.5 ,8.6 ,7.9 ,8.9 ,7.8 ,7.4 ,8.2 ,8.2 b,9.1 b,9.5 ,9.5 ,9.9 ,7.9 
ind8,M,Y15-29,PC_POP,EA19,: ,: ,: ,: ,: ,: ,13.3 ,13.6 ,13.5 ,14.3 ,14.8 ,14.4 ,13.9 ,13.1 ,12.5 ,11.9 ,11.5 ,13.1 ,12.3 
ind8,M,Y15-29,PC_POP,EA20,: ,: ,: ,: ,: ,: ,13.2 ,13.6 ,13.6 ,14.3 ,14.9 ,14.5 ,14.0 ,13.2 ,12.6 ,11.9 ,11.5 ,13.1 ,12.3 
ind8,M,Y15-29,PC_POP,EE,: ,: ,: ,: ,: ,: ,16.5 ,16.3 ,12.8 ,11.6 ,11.1 ,11.2 ,8.7 ,8.9 ,8.5 ,9.7 ,7.3 ,9.3 ,10.7 
ind8,M,Y15-29,PC_POP,EL,: ,: ,: ,: ,: ,: ,11.2 ,14.6 ,20.3 ,25.1 ,27.7 ,25.7 ,23.0 ,20.5 ,18.8 ,17.8 ,16.9 ,18.5 ,16.5 
ind8,M,Y15-29,PC_POP,ES,: ,: ,: ,: ,: ,: ,20.4 ,20.3 ,20.8 ,22.8 ,22.8 ,20.5 ,19.2 ,17.4 ,15.7 ,14.7 ,14.4 ,17.3 ,14.4 d
ind8,M,Y15-29,PC_POP,EU27_2020,: ,: ,: ,: ,: ,: ,13.0 ,13.7 ,13.8 ,14.4 ,14.8 ,14.4 ,13.9 ,13.0 ,12.1 ,11.4 ,11.0 ,12.5 ,11.8 
ind8,M,Y15-29,PC_POP,FI,: ,: ,: ,: ,: ,: ,10.0 ,9.2 ,8.8 ,9.0 ,10.0 ,11.4 ,11.2 ,10.7 ,9.9 ,8.6 ,8.3 ,9.6 ,9.7 
ind8,M,Y15-29,PC_POP,FR,9.0 ,9.1 ,9.4 ,9.4 ,9.1 ,9.1 ,11.3 ,11.3 ,10.9 ,11.7 ,12.3 ,12.9 ,13.4 ,12.9 ,12.7 ,12.6 ,12.1 ,13.1 ,12.5 d
ind8,M,Y15-29,PC_POP,HR,: ,: ,: ,: ,: ,: ,12.6 ,18.0 ,19.3 ,20.0 ,22.5 ,22.4 ,20.5 ,19.5 ,16.7 ,13.6 ,12.2 ,13.3 ,13.8 
ind8,M,Y15-29,PC_POP,HU,: ,: ,: ,: ,: ,: ,14.1 ,14.3 ,13.7 ,15.3 ,14.5 ,12.2 ,11.1 ,9.6 ,7.9 ,7.5 ,8.7 ,10.0 ,8.7 
ind8,M,Y15-29,PC_POP,IE,: ,: ,: ,: ,: ,: ,22.0 ,23.2 ,23.8 ,23.0 ,19.0 ,17.3 ,16.3 ,14.3 ,11.8 ,10.7 ,10.5 ,13.8 ,9.9 
ind8,M,Y15-29,PC_POP,IS,: ,: ,: ,: ,: ,: ,10.2 ,9.1 ,7.4 ,7.5 ,6.8 ,7.2 ,5.6 ,4.3 ,3.4 ,4.9 ,6.6 ,6.7 b,6.9 
ind8,M,Y15-29,PC_POP,IT,: ,: ,: ,: ,: ,: ,17.3 ,19.0 ,19.7 ,21.4 ,24.1 ,24.3 ,23.8 ,22.0 ,22.0 ,21.1 ,19.9 ,21.0 ,21.2 
ind8,M,Y15-29,PC_POP,LT,: ,: ,: ,: ,: ,: ,16.3 ,19.3 ,15.9 ,14.8 ,13.2 ,11.5 ,10.7 ,10.8 ,9.8 ,8.8 ,10.9 ,13.6 ,11.9 
ind8,M,Y15-29,PC_POP,LU,: ,: ,: ,: ,: ,: ,6.2 ,5.1 ,5.0 ,6.1 ,6.7 ,7.3 ,6.5 b,5.4 ,6.4 ,5.4 ,7.0 ,8.7 ,9.0 
ind8,M,Y15-29,PC_POP,LV,: ,: ,: ,: ,: ,: ,20.9 ,20.5 ,17.9 ,16.0 ,13.9 ,12.6 ,12.2 ,12.9 ,11.1 ,10.8 ,10.0 ,11.3 ,11.5 
ind8,M,Y15-29,PC_POP,ME,: ,: ,: ,: ,: ,: ,: ,: ,23.7 ,23.3 ,23.9 ,22.5 ,22.8 ,21.6 ,20.3 ,21.2 ,21.0 ,26.2 ,: 
ind8,M,Y15-29,PC_POP,MK,: ,: ,: ,: ,: ,: ,28.6 ,28.6 ,28.6 ,30.2 ,28.1 ,27.8 ,29.9 ,28.7 ,26.7 ,25.9 ,20.9 ,23.6 ,: 
ind8,M,Y15-29,PC_POP,MT,: ,: ,: ,: ,: ,: ,8.9 ,8.4 ,9.4 ,9.3 ,9.1 ,8.9 ,8.8 ,6.9 ,7.8 ,5.9 ,6.3 ,8.5 ,8.3 
ind8,M,Y15-29,PC_POP,NL,: ,: ,: ,: ,: ,: ,4.9 ,5.4 ,5.1 ,5.6 ,6.9 ,6.6 ,5.9 ,5.8 ,5.3 ,5.2 ,5.7 ,5.5 ,5.1 
ind8,M,Y15-29,PC_POP,NO,: ,: ,: ,: ,: ,: ,6.2 ,7.4 ,6.5 ,6.4 ,7.1 ,7.1 ,7.3 ,7.7 ,6.3 ,6.7 ,6.3 ,7.2 ,7.5 
ind8,M,Y15-29,PC_POP,PL,: ,: ,: ,: ,: ,: ,11.6 ,13.1 b,13.3 ,13.6 ,14.2 ,13.7 ,13.3 ,11.3 ,9.6 ,8.4 ,8.0 ,9.3 ,10.1 
ind8,M,Y15-29,PC_POP,PT,: ,: ,: ,: ,: ,: ,11.5 ,12.1 ,12.9 ,15.5 ,16.0 ,14.0 ,12.1 ,12.4 ,10.4 ,9.2 ,8.3 ,11.0 ,9.3 
ind8,M,Y15-29,PC_POP,RO,: ,: ,: ,: ,: ,: ,14.6 ,20.3 ,21.6 ,21.3 ,21.3 ,21.7 ,21.4 ,19.9 ,17.9 ,16.6 ,16.2 ,15.7 ,14.6 
ind8,M,Y15-29,PC_POP,RS,: ,: ,: ,: ,: ,: ,: ,28.1 ,29.0 ,28.4 ,26.7 ,24.5 ,23.7 ,20.8 ,20.3 ,18.2 ,17.5 ,18.8 ,17.3 
ind8,M,Y15-29,PC_POP,SE,: ,: ,: ,: ,: ,: ,9.5 ,7.7 ,7.3 ,7.8 ,7.4 ,7.5 ,7.1 ,6.8 ,6.3 ,6.5 b,6.0 ,6.9 ,5.8 
ind8,M,Y15-29,PC_POP,SI,: ,: ,: ,: ,: ,: ,7.8 ,7.9 ,8.3 ,9.7 ,10.4 ,10.0 ,10.4 ,9.4 ,7.2 ,6.6 ,5.9 ,6.9 ,6.6 
ind8,M,Y15-29,PC_POP,SK,: ,: ,: ,: ,: ,: ,14.0 ,17.1 ,16.9 b,16.5 ,17.2 ,15.8 ,14.0 ,11.8 ,11.3 ,10.1 ,10.3 ,11.1 ,11.1 
ind8,M,Y15-29,PC_POP,TR,: ,: ,: ,: ,: ,: ,21.3 ,18.7 ,16.4 ,16.6 ,14.8 ,14.6 b,14.2 ,14.8 ,14.6 ,15.3 ,18.3 ,21.3 ,: 
ind8,T,Y15-29,PC_POP,AT,: ,: ,: ,: ,: ,: ,10.0 ,9.5 ,8.9 ,8.6 ,9.0 ,9.7 ,9.0 ,9.3 ,8.8 ,8.8 ,8.6 ,9.9 ,9.4 
ind8,T,Y15-29,PC_POP,BE,: ,: ,: ,: ,: ,: ,12.2 ,12.3 ,13.1 ,13.6 ,14.1 ,13.3 ,13.6 ,12.2 ,11.8 b,11.4 ,11.2 ,11.3 ,10.1 b
ind8,T,Y15-29,PC_POP,BG,: ,: ,: ,: ,: ,: ,20.8 ,23.5 b,24.8 b,24.7 ,25.8 ,24.0 ,22.2 ,22.4 ,18.9 ,18.2 ,16.7 ,18.2 ,17.6 
ind8,T,Y15-29,PC_POP,CH,: ,: ,: ,: ,: ,: ,: ,8.1 b,7.9 ,7.7 ,8.0 ,7.7 ,7.3 ,7.5 ,7.2 ,6.6 ,6.2 ,6.3 ,: 
ind8,T,Y15-29,PC_POP,CY,: ,: ,: ,: ,: ,: ,11.5 ,12.9 ,14.8 ,17.3 ,20.4 ,19.5 ,18.5 ,18.0 ,17.6 ,14.9 ,14.1 ,15.3 ,15.4 
ind8,T,Y15-29,PC_POP,CZ,: ,: ,: ,: ,: ,: ,12.7 ,12.9 ,12.1 b,12.9 ,12.8 ,12.1 ,11.8 ,11.1 ,10.0 ,9.5 ,9.8 ,11.0 ,10.9 
ind8,T,Y15-29,PC_POP,DE,: ,: ,: ,: ,: ,: ,12.9 ,12.2 b,11.0 b,10.6 ,9.9 ,9.8 ,9.6 ,10.0 ,9.6 ,9.0 ,8.6 ,9.6 b,9.2 
ind8,T,Y15-29,PC_POP,DK,: ,: ,: ,: ,: ,: ,7.4 ,8.2 ,8.4 ,9.0 ,8.2 ,8.0 ,8.5 ,8.4 b,9.8 b,9.6 ,9.6 ,10.2 ,8.3 
ind8,T,Y15-29,PC_POP,EA19,: ,: ,: ,: ,: ,: ,14.8 ,15.1 ,15.1 ,15.6 ,16.1 ,15.8 ,15.3 ,14.6 ,14.0 ,13.3 ,12.8 ,14.0 ,13.0 
ind8,T,Y15-29,PC_POP,EA20,: ,: ,: ,: ,: ,: ,14.8 ,15.2 ,15.1 ,15.7 ,16.2 ,15.8 ,15.3 ,14.7 ,14.0 ,13.4 ,12.8 ,14.0 ,13.1 
ind8,T,Y15-29,PC_POP,EE,: ,: ,: ,: ,: ,: ,17.7 ,17.1 ,14.1 ,14.1 ,13.5 ,13.2 ,12.4 ,13.3 ,10.5 ,11.5 ,9.7 ,11.1 ,11.2 
ind8,T,Y15-29,PC_POP,EL,: ,: ,: ,: ,: ,: ,15.5 ,18.2 ,22.7 ,26.4 ,28.1 ,26.3 ,23.8 ,21.9 ,21.0 ,19.2 ,17.5 ,18.5 ,17.2 
ind8,T,Y15-29,PC_POP,ES,: ,: ,: ,: ,: ,: ,19.9 ,20.0 ,20.6 ,22.2 ,22.5 ,20.7 ,19.4 ,18.1 ,16.4 ,15.3 ,14.9 ,17.3 ,14.1 d
ind8,T,Y15-29,PC_POP,EU27_2020,: ,: ,: ,: ,: ,: ,14.8 ,15.4 ,15.5 ,16.0 ,16.4 ,16.0 ,15.5 ,14.8 ,14.0 ,13.3 ,12.8 ,13.9 ,13.1 
ind8,T,Y15-29,PC_POP,FI,: ,: ,: ,: ,: ,: ,10.8 ,10.0 ,9.6 ,9.9 ,10.4 ,11.2 ,11.8 ,11.2 ,10.4 ,9.6 ,9.1 ,9.8 ,9.2 
ind8,T,Y15-29,PC_POP,FR,10.6 ,10.8 ,10.9 ,10.9 ,10.6 ,10.4 ,12.0 ,12.1 ,12.0 ,12.4 ,13.0 ,13.4 ,13.9 ,13.6 ,13.2 ,12.9 ,12.4 ,13.4 ,12.8 d
ind8,T,Y15-29,PC_POP,HR,: ,: ,: ,: ,: ,: ,14.9 ,17.6 ,19.1 ,19.7 ,22.3 ,21.8 ,19.9 ,19.5 ,17.9 ,15.6 ,14.2 ,14.6 ,14.9 
ind8,T,Y15-29,PC_POP,HU,: ,: ,: ,: ,: ,: ,15.5 ,15.6 ,15.5 ,16.9 ,16.7 ,14.7 ,13.1 ,12.0 ,11.2 ,10.6 ,11.0 ,12.3 ,11.7 
ind8,T,Y15-29,PC_POP,IE,: ,: ,: ,: ,: ,: ,20.2 ,21.7 ,22.4 ,21.6 ,18.8 ,17.8 ,16.5 ,14.5 ,12.8 ,11.6 ,11.4 ,14.1 ,9.8 
ind8,T,Y15-29,PC_POP,IS,: ,: ,: ,: ,: ,: ,9.3 ,10.0 ,7.6 ,7.0 ,6.4 ,6.9 ,5.3 ,4.6 ,4.1 ,5.4 ,5.7 ,7.0 b,7.2 
ind8,T,Y15-29,PC_POP,IT,: ,: ,: ,: ,: ,: ,20.7 ,22.2 ,22.7 ,23.9 ,26.2 ,26.3 ,25.8 ,24.4 ,24.2 ,23.5 ,22.3 ,23.5 ,23.1 
