indicator,unit,indic,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind8,PC,INV_HH,EU28,: ,: ,5.96 ,6.09 ,6.24 ,6.39 ,6.60 ,6.67 ,6.38 ,5.70 ,5.51 ,5.40 ,5.15 ,4.93 ,4.88 ,4.79 ,4.95 ,5.08 ,5.13 ,5.22 ,: ,: 
ind8,PC,INV_HH,FI,6.43 ,5.76 ,5.66 ,6.12 ,6.60 ,7.01 ,7.17 ,7.16 ,6.54 ,6.02 ,6.82 ,7.03 ,7.09 ,6.78 ,6.41 ,6.15 ,6.71 ,6.90 ,7.15 ,7.04 ,6.97 ,7.11 
ind8,PC,INV_HH,FR,5.72 ,5.68 ,5.80 ,5.98 ,6.18 ,6.41 ,6.74 ,6.87 ,6.83 ,6.11 ,6.11 ,6.13 ,6.01 ,5.88 ,5.74 ,5.56 ,5.64 ,5.89 ,5.94 ,6.05 ,5.75 p,6.41 p
ind8,PC,INV_HH,HR,3.04 ,3.49 ,3.44 ,2.90 ,3.37 ,3.60 ,3.43 ,3.73 ,3.91 ,3.45 ,3.88 ,3.64 ,3.54 ,3.23 ,3.05 ,3.12 ,3.15 ,3.16 ,3.39 ,4.03 ,4.38 ,4.21 p
ind8,PC,INV_HH,HU,5.29 ,5.89 ,6.04 ,6.21 ,6.38 ,5.43 ,4.59 ,5.01 ,5.18 ,5.11 ,3.97 ,3.06 ,2.88 ,2.92 ,2.96 ,3.17 ,3.33 ,3.74 ,4.18 ,4.34 ,5.20 ,4.86 p
ind8,PC,INV_HH,IE,8.96 ,8.79 ,8.77 ,10.37 ,11.95 ,13.40 ,14.04 ,11.78 ,9.15 ,5.21 ,3.33 ,2.53 ,2.10 ,2.13 ,2.05 ,1.70 ,1.92 ,1.95 ,2.12 ,1.61 ,1.42 ,1.65 
ind8,PC,INV_HH,IS,3.69 ,4.00 ,4.67 ,4.90 ,5.27 ,5.56 ,6.23 ,6.64 ,5.22 ,2.52 ,2.19 ,2.35 ,2.52 ,2.69 ,2.93 ,: ,: ,: ,: ,: ,: ,: 
ind8,PC,INV_HH,IT,6.81 ,6.72 ,7.10 ,7.08 ,7.01 ,7.40 ,7.59 ,7.63 ,7.44 ,7.03 ,7.05 ,6.72 ,6.22 ,5.76 ,5.31 ,5.15 ,5.17 ,5.19 ,5.20 ,5.08 ,5.06 ,5.90 
ind8,PC,INV_HH,LT,3.62 ,3.78 ,3.54 ,4.14 ,4.35 ,4.00 ,3.65 ,3.73 ,3.92 ,3.56 ,3.29 ,3.33 ,3.00 ,3.54 ,3.75 ,4.19 ,4.47 ,4.05 ,4.17 ,4.43 ,4.68 ,4.57 
ind8,PC,INV_HH,LU,4.52 ,3.94 ,3.75 ,5.29 ,5.14 ,3.82 ,4.93 ,5.36 ,6.07 ,4.99 ,3.76 ,4.41 ,4.08 ,4.47 ,4.93 ,4.63 ,4.63 ,4.73 ,4.40 ,4.06 ,3.90 ,4.19 
ind8,PC,INV_HH,LV,2.63 ,2.52 ,2.32 ,2.88 ,4.01 ,5.48 ,6.64 ,7.64 ,6.77 ,3.07 ,2.41 ,3.05 ,3.74 ,2.78 ,3.10 ,3.61 ,3.13 ,3.09 ,3.62 ,3.75 ,3.52 ,3.06 
ind8,PC,INV_HH,NL,6.80 ,6.83 ,6.69 ,6.85 ,7.05 ,7.34 ,7.42 ,7.74 ,7.53 ,6.70 ,5.30 ,5.08 ,4.57 ,4.03 ,4.42 ,4.90 ,5.70 ,5.68 ,6.07 ,6.47 ,6.85 p,7.15 p
ind8,PC,INV_HH,NO,4.18 ,4.50 ,4.44 ,4.33 ,4.88 ,5.06 ,5.06 ,5.37 ,4.65 ,4.63 ,4.48 ,4.97 ,5.29 ,5.65 ,5.56 ,5.79 ,6.41 ,6.59 ,5.94 ,6.02 ,6.26 ,5.63 
ind8,PC,INV_HH,PL,4.95 ,4.66 ,4.78 ,5.01 ,5.09 ,5.25 ,5.24 ,5.61 ,5.83 ,5.39 ,5.31 ,5.06 ,5.28 ,4.86 ,5.04 ,4.87 ,4.75 ,4.27 ,3.56 ,3.59 ,3.30 ,3.82 
ind8,PC,INV_HH,PT,9.06 ,8.72 ,8.30 ,7.10 ,6.92 ,6.82 ,6.30 ,5.87 ,5.33 ,4.71 ,4.56 ,4.19 ,3.74 ,3.16 ,3.20 ,3.17 ,3.32 ,3.49 ,3.78 ,3.90 ,4.14 ,4.30 p
ind8,PC,INV_HH,RO,1.94 ,1.94 ,0.85 ,0.99 ,1.04 ,1.16 ,1.28 ,6.02 ,6.30 ,2.63 ,5.70 ,5.56 ,5.88 ,5.57 ,5.46 ,5.45 ,5.70 ,8.11 ,7.00 ,6.51 ,8.57 p,: 
ind8,PC,INV_HH,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.90 p,2.23 p,2.14 p,2.28 p,2.32 p,2.10 p,: 
ind8,PC,INV_HH,SE,2.08 ,2.15 ,2.48 ,2.71 ,2.97 ,3.00 ,3.20 ,3.44 ,3.17 ,2.86 ,3.15 ,2.94 ,2.51 ,2.58 ,2.63 ,3.07 ,3.35 ,3.63 ,3.40 ,3.23 ,3.54 ,3.69 
ind8,PC,INV_HH,SI,6.09 ,5.98 ,5.28 ,5.23 ,5.48 ,5.79 ,6.27 ,6.25 ,6.41 ,5.01 ,4.44 ,4.01 ,3.65 ,3.48 ,3.50 ,3.55 ,3.58 ,3.79 ,3.92 ,3.83 ,3.66 ,3.90 
ind8,PC,INV_HH,SK,5.51 ,4.56 ,4.99 ,4.09 ,3.91 ,4.42 ,3.74 ,3.78 ,3.98 ,4.33 ,3.92 ,4.20 ,4.00 ,4.18 ,3.76 ,3.60 ,4.07 ,4.08 ,4.23 ,4.24 ,4.50 ,4.49 
ind8,PC,INV_HH,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,5.58 p,6.11 p,7.82 p,7.32 p,8.41 p,8.61 p,8.42 p,8.11 p,8.76 p,8.23 p,6.78 p,6.59 p,6.37 p
ind8,PC,INV_HH,UK,3.70 ,3.65 ,4.11 ,4.23 ,4.62 ,4.69 ,4.76 ,4.76 ,4.28 ,3.52 ,3.60 ,3.57 ,3.52 ,3.73 ,4.01 ,4.17 ,4.32 ,4.63 ,4.56 ,4.66 ,: ,: 
ind8,PC,INV_TOT,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,26.08 ,24.16 ,24.41 ,24.37 ,24.58 ,: ,: ,: ,: 
ind8,PC,INV_TOT,AT,25.61 ,24.80 ,23.53 ,24.11 ,23.59 ,23.05 ,22.60 ,22.92 ,23.28 ,22.41 ,21.60 ,22.47 ,22.65 ,23.04 ,22.66 ,22.70 ,23.10 ,23.63 ,24.10 ,24.91 ,25.01 ,26.48 
ind8,PC,INV_TOT,BE,22.51 ,22.39 ,20.70 ,20.49 ,21.46 ,22.15 ,22.33 ,23.29 ,24.12 ,22.78 ,22.12 ,23.01 ,22.96 ,22.17 ,22.81 ,22.96 ,23.28 ,23.28 ,23.62 ,24.28 ,24.20 ,24.19 
ind8,PC,INV_TOT,BG,16.85 ,19.41 ,19.12 ,19.96 ,21.11 ,25.87 ,27.64 ,28.30 ,33.02 ,27.86 ,22.21 ,20.92 ,21.26 ,21.21 ,21.08 ,21.01 ,18.57 ,18.52 ,: ,: ,: ,: 
ind8,PC,INV_TOT,CH,27.09 ,26.36 ,26.45 ,25.81 ,26.44 ,26.42 ,26.29 ,26.47 ,26.05 ,24.54 ,24.45 ,24.63 ,25.25 ,25.12 ,25.28 ,25.24 ,25.40 ,25.97 ,25.58 ,25.50 ,25.74 ,: 
ind8,PC,INV_TOT,CY,20.08 ,19.02 ,20.95 ,20.29 ,20.65 ,21.52 ,25.08 ,25.55 ,27.18 ,23.44 ,22.39 ,18.98 ,15.46 ,14.08 ,13.30 ,12.83 ,18.03 ,20.79 ,18.78 ,18.95 ,21.29 ,19.45 
ind8,PC,INV_TOT,CZ,31.19 ,31.11 ,29.77 ,29.39 ,28.77 ,28.79 ,28.44 ,29.93 ,29.25 ,27.61 ,27.15 ,26.75 ,26.16 ,25.36 ,25.40 ,26.54 ,24.94 ,24.92 ,26.30 ,27.07 ,26.55 ,26.01 
ind8,PC,INV_TOT,DE,23.11 ,21.78 ,20.12 ,19.52 ,19.09 ,19.08 ,19.80 ,20.06 ,20.30 ,19.27 ,19.54 ,20.37 ,20.32 ,19.90 ,20.04 ,20.02 ,20.30 ,20.41 ,21.07 ,21.37 ,21.62 ,21.76 
ind8,PC,INV_TOT,DK,21.51 ,21.30 ,20.64 ,20.70 ,20.66 ,21.17 ,23.27 ,23.51 ,22.94 ,20.17 ,18.11 ,18.16 ,18.78 ,19.05 ,19.16 ,19.85 ,21.02 ,21.23 ,21.73 ,21.24 ,22.29 ,22.61 
ind8,PC,INV_TOT,EA19,23.15 ,22.64 ,21.95 ,21.81 ,21.92 ,22.29 ,22.97 ,23.42 ,23.11 ,21.29 ,20.82 ,20.91 ,20.42 ,19.78 ,19.72 ,20.13 ,20.49 ,20.81 ,21.19 ,22.39 ,22.21 ,22.19 
ind8,PC,INV_TOT,EE,26.69 ,27.43 ,30.56 ,32.76 ,31.72 ,32.86 ,36.80 ,36.39 ,31.13 ,22.68 ,21.23 ,26.46 ,28.71 ,27.90 ,25.74 ,24.49 ,24.43 ,25.92 ,27.09 ,25.41 ,31.18 ,28.86 
ind8,PC,INV_TOT,EL,24.64 ,24.74 ,23.60 ,25.32 ,24.40 ,20.83 ,23.69 ,26.01 ,23.81 ,20.79 ,16.56 ,13.68 ,11.53 ,11.20 ,10.83 ,10.77 ,11.01 ,11.79 ,11.15 ,10.69 ,11.96 ,13.27 
ind8,PC,INV_TOT,ES,25.94 ,25.88 ,26.16 ,27.10 ,27.81 ,29.01 ,30.03 ,29.86 ,27.84 ,23.11 ,21.79 ,20.02 ,18.53 ,17.36 ,17.77 ,18.01 ,17.95 ,18.66 ,19.44 ,20.03 ,20.35 ,19.77 
ind8,PC,INV_TOT,EU27_2020,23.22 ,22.71 ,22.03 ,21.89 ,22.02 ,22.40 ,23.18 ,23.78 ,23.56 ,21.56 ,20.99 ,21.08 ,20.68 ,20.08 ,20.15 ,20.58 ,20.80 ,21.11 ,21.52 ,22.58 ,22.47 ,22.42 
ind8,PC,INV_TOT,EU28,22.41 ,22.04 ,21.46 ,21.27 ,21.30 ,21.84 ,22.43 ,22.84 ,22.73 ,20.88 ,20.37 ,20.41 ,20.00 ,19.54 ,19.67 ,20.10 ,20.43 ,20.79 ,21.09 ,21.87 ,: ,: 
ind8,PC,INV_TOT,FI,23.06 ,22.88 ,21.60 ,21.78 ,22.26 ,22.92 ,22.76 ,24.20 ,24.49 ,22.95 ,22.30 ,22.62 ,23.08 ,22.01 ,21.47 ,21.23 ,22.74 ,23.35 ,24.08 ,23.83 ,24.04 ,23.66 
ind8,PC,INV_TOT,FR,21.51 ,21.51 ,20.95 ,21.03 ,21.36 ,21.80 ,22.45 ,23.18 ,23.60 ,22.07 ,22.11 ,22.42 ,22.46 ,22.04 ,21.82 ,21.50 ,21.82 ,22.50 ,22.89 ,23.48 ,22.93 ,24.24 
ind8,PC,INV_TOT,HR,19.92 ,20.41 ,22.13 ,25.56 ,25.42 ,25.18 ,26.33 ,26.55 ,27.91 ,24.93 ,20.92 ,19.91 ,19.31 ,19.38 ,19.00 ,19.27 ,19.75 ,19.65 ,20.06 ,21.29 ,22.23 ,20.73 
ind8,PC,INV_TOT,HU,25.50 ,24.85 ,24.71 ,23.63 ,24.04 ,23.83 ,23.49 ,23.69 ,23.34 ,22.64 ,20.07 ,19.54 ,19.15 ,20.80 ,22.01 ,22.17 ,19.49 ,22.15 ,24.73 ,27.01 ,26.53 ,27.19 
ind8,PC,INV_TOT,IE,23.74 ,23.94 ,23.59 ,24.91 ,26.95 ,29.83 ,30.99 ,28.71 ,24.84 ,21.16 ,17.58 ,16.70 ,19.58 ,18.60 ,20.64 ,24.10 ,35.83 ,33.16 ,28.39 ,54.30 ,42.40 ,23.27 
ind8,PC,INV_TOT,IS,24.17 ,22.99 ,19.63 ,21.32 ,24.77 ,29.52 ,35.68 ,29.35 ,25.23 ,14.99 ,13.99 ,15.37 ,16.00 ,15.70 ,17.24 ,18.97 ,: ,: ,: ,: ,: ,: 
ind8,PC,INV_TOT,IT,20.73 ,20.72 ,21.36 ,20.88 ,20.96 ,21.28 ,21.58 ,21.66 ,21.28 ,20.11 ,20.02 ,19.71 ,18.31 ,17.20 ,16.72 ,16.94 ,17.17 ,17.48 ,17.85 ,17.99 ,17.94 ,19.96 
ind8,PC,INV_TOT,LT,19.15 ,20.54 ,20.72 ,21.56 ,22.92 ,23.41 ,25.95 ,28.61 ,26.07 ,17.88 ,16.86 ,18.46 ,17.32 ,18.42 ,18.87 ,19.61 ,19.86 ,20.11 ,20.94 ,21.43 ,21.33 ,21.39 
ind8,PC,INV_TOT,LU,20.63 ,21.88 ,21.30 ,21.05 ,21.24 ,19.35 ,18.22 ,18.92 ,20.14 ,18.02 ,16.82 ,19.21 ,19.18 ,18.45 ,19.15 ,17.31 ,17.28 ,17.81 ,16.20 ,17.40 ,16.51 ,16.55 
ind8,PC,INV_TOT,LV,24.98 ,27.12 ,24.31 ,24.68 ,28.60 ,31.02 ,33.86 ,36.20 ,31.86 ,22.23 ,19.05 ,23.00 ,26.03 ,24.28 ,22.80 ,21.86 ,19.31 ,20.60 ,22.12 ,23.15 ,23.12 ,22.26 
ind8,PC,INV_TOT,MT,22.70 ,20.44 ,16.71 ,21.12 ,21.03 ,22.84 ,22.48 ,22.95 ,20.04 ,18.28 ,20.99 ,18.16 ,17.61 ,16.52 ,16.66 ,24.20 ,22.68 ,20.63 ,20.26 ,20.50 ,20.51 ,22.05 
ind8,PC,INV_TOT,NL,22.53 ,22.14 ,21.08 ,20.60 ,20.29 ,20.41 ,21.04 ,23.29 ,22.12 ,21.31 ,19.70 ,20.14 ,18.76 ,18.36 ,17.59 ,22.11 ,20.00 ,20.14 ,20.43 ,21.25 ,21.71 ,21.56 
ind8,PC,INV_TOT,NO,19.80 ,19.50 ,19.39 ,18.84 ,19.59 ,20.30 ,20.87 ,23.49 ,22.49 ,23.15 ,20.64 ,21.38 ,22.31 ,23.43 ,23.71 ,23.69 ,25.06 ,24.36 ,23.77 ,26.63 ,27.44 ,23.14 
ind8,PC,INV_TOT,PL,23.69 ,20.44 ,18.41 ,18.14 ,18.33 ,18.89 ,20.41 ,22.47 ,23.11 ,21.44 ,19.72 ,20.49 ,19.58 ,18.97 ,20.13 ,20.42 ,18.47 ,17.57 ,18.74 ,18.92 ,18.31 ,17.04 
ind8,PC,INV_TOT,PT,28.00 ,27.38 ,25.86 ,23.76 ,23.42 ,23.13 ,22.53 ,22.51 ,22.85 ,21.20 ,20.57 ,18.42 ,15.82 ,14.75 ,15.03 ,15.52 ,15.49 ,16.78 ,17.52 ,18.11 ,19.21 ,20.32 
ind8,PC,INV_TOT,RO,19.12 ,21.04 ,21.46 ,22.74 ,22.30 ,23.36 ,26.62 ,35.34 ,37.29 ,26.00 ,26.07 ,27.24 ,27.53 ,24.70 ,24.36 ,24.79 ,22.95 ,22.41 ,21.05 ,22.61 ,23.84 ,: 
ind8,PC,INV_TOT,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,17.68 ,17.51 ,20.21 ,16.47 ,15.95 ,16.97 ,17.06 ,17.74 ,20.04 ,22.46 ,21.45 ,: 
ind8,PC,INV_TOT,SE,22.26 ,22.68 ,22.05 ,21.65 ,21.88 ,22.41 ,23.23 ,24.17 ,24.55 ,22.49 ,22.49 ,22.89 ,22.72 ,22.45 ,23.23 ,23.75 ,24.21 ,25.14 ,25.18 ,24.41 ,25.12 ,25.64 
ind8,PC,INV_TOT,SI,27.42 ,26.35 ,24.57 ,25.03 ,26.02 ,26.59 ,27.75 ,28.65 ,29.44 ,24.13 ,21.08 ,19.94 ,19.03 ,19.63 ,19.11 ,18.65 ,17.38 ,18.32 ,19.33 ,19.57 ,18.86 ,20.34 
ind8,PC,INV_TOT,SK,26.11 ,28.91 ,27.62 ,24.35 ,23.84 ,26.20 ,25.58 ,25.43 ,24.75 ,20.80 ,21.02 ,23.18 ,20.37 ,20.46 ,20.48 ,23.68 ,21.03 ,21.10 ,20.90 ,21.49 ,19.51 ,18.94 
ind8,PC,INV_TOT,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,21.86 ,24.29 ,27.37 ,26.68 ,28.00 ,28.46 ,29.32 ,28.90 ,29.65 ,29.45 ,25.59 ,26.51 ,27.86 
ind8,PC,INV_TOT,UK,17.89 ,17.85 ,17.75 ,17.36 ,17.21 ,17.28 ,17.56 ,17.90 ,17.47 ,16.07 ,15.98 ,15.60 ,15.71 ,15.96 ,16.63 ,17.23 ,17.71 ,18.00 ,17.80 ,18.04 ,: ,: 
