indicator,unit,indic,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind8,PC,INV_BSN,LT,13.10 ,14.48 ,14.21 ,14.34 ,14.96 ,15.80 ,18.03 ,19.45 ,16.76 ,9.91 ,8.60 ,10.39 ,10.35 ,11.13 ,11.59 ,11.73 ,12.35 ,12.84 ,13.58 ,13.92 ,12.21 ,13.72 
ind8,PC,INV_BSN,LU,12.03 ,13.34 ,12.43 ,10.59 ,10.97 ,10.06 ,9.64 ,9.78 ,10.38 ,8.78 ,8.41 ,10.61 ,11.18 ,10.51 ,10.56 ,8.81 ,8.84 ,9.05 ,7.88 ,9.22 ,7.93 ,8.31 
ind8,PC,INV_BSN,LV,20.54 ,23.09 ,20.41 ,18.91 ,20.90 ,21.99 ,22.24 ,22.53 ,19.70 ,14.09 ,11.81 ,14.56 ,17.04 ,16.84 ,15.08 ,13.45 ,12.61 ,12.89 ,12.88 ,14.34 ,13.95 ,14.01 
ind8,PC,INV_BSN,NL,11.99 ,11.42 ,10.21 ,9.50 ,9.32 ,9.33 ,9.70 ,11.72 ,10.63 ,10.29 ,10.22 ,10.97 ,10.41 ,10.64 ,9.67 ,13.64 ,10.81 ,11.02 ,10.94 ,11.39 ,11.19 p,10.97 p
ind8,PC,INV_BSN,NO,12.21 ,11.62 ,11.31 ,10.60 ,10.88 ,11.77 ,12.28 ,14.31 ,13.99 ,13.98 ,12.04 ,12.39 ,13.16 ,13.52 ,13.57 ,13.04 ,13.35 ,12.53 ,12.41 ,14.65 ,14.90 ,12.39 
ind8,PC,INV_BSN,PL,15.85 ,12.97 ,10.79 ,10.34 ,10.35 ,10.34 ,11.31 ,12.48 ,12.56 ,11.08 ,8.69 ,9.38 ,9.40 ,9.80 ,10.37 ,11.01 ,10.42 ,9.50 ,10.52 ,11.02 ,10.55 ,9.09 
ind8,PC,INV_BSN,PT,14.34 ,13.63 ,12.95 ,12.29 ,12.07 ,12.23 ,12.87 ,13.43 ,13.81 ,12.38 ,10.74 ,10.74 ,9.62 ,9.42 ,9.84 ,10.09 ,10.63 ,11.51 ,11.90 ,12.38 ,12.75 ,13.45 p
ind8,PC,INV_BSN,RO,13.73 ,16.36 ,17.38 ,18.13 ,18.43 ,19.35 ,20.08 ,23.16 ,24.51 ,17.61 ,14.66 ,16.20 ,16.82 ,14.69 ,14.65 ,14.17 ,13.59 ,11.74 ,11.40 ,12.63 ,10.65 p,: 
ind8,PC,INV_BSN,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,11.69 p,11.20 p,11.28 p,12.79 p,14.46 p,13.58 p,: 
ind8,PC,INV_BSN,SE,16.28 ,16.42 ,15.27 ,14.77 ,14.83 ,15.32 ,15.92 ,16.65 ,17.13 ,15.19 ,14.88 ,15.58 ,15.71 ,15.45 ,16.25 ,16.54 ,16.49 ,16.90 ,16.91 ,16.31 ,16.58 ,17.17 
