airpol,src_crf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
GHG,CRF4,T_KM2,EE,-92.8 ,-95.5 ,-89.2 ,-133.6 ,-95.3 ,-28.1 ,-59.2 ,-65.2 ,-60.1 ,-83.9 ,-106.7 ,-106.4 ,-78.2 ,-47.7 ,-37.1 ,-46.9 ,-46.2 ,-27.9 ,-31.7 ,-7.4 ,28.6 
GHG,CRF4,T_KM2,EL,-14.7 ,-18.3 ,-21.0 ,-19.0 ,-18.7 ,-24.9 ,-25.1 ,-11.1 ,-22.4 ,-23.1 ,-23.1 ,-23.8 ,-23.4 ,-12.0 ,-1.0 ,-28.2 ,-26.4 ,-24.7 ,-30.6 ,-23.3 ,-30.0 
GHG,CRF4,T_KM2,ES,-78.2 ,-80.3 ,-77.3 ,-75.6 ,-75.5 ,-74.4 ,-78.4 ,-73.9 ,-73.2 ,-68.2 ,-72.6 ,-72.5 ,-68.5 ,-66.4 ,-70.2 ,-75.0 ,-74.8 ,-75.3 ,-75.4 ,-73.3 ,-70.3 
GHG,CRF4,T_KM2,EU27_2020,-70.8 ,-78.1 ,-73.0 ,-67.6 ,-74.5 ,-73.3 ,-78.8 ,-67.8 ,-78.1 ,-79.5 ,-76.3 ,-75.9 ,-77.5 ,-77.6 ,-73.4 ,-71.7 ,-70.3 ,-57.7 ,-59.3 ,-56.1 ,-54.3 
GHG,CRF4,T_KM2,FI,-44.5 ,-49.1 ,-52.8 ,-55.4 ,-58.6 ,-60.6 ,-76.6 ,-50.0 ,-59.0 ,-98.4 ,-64.2 ,-64.9 ,-72.7 ,-54.2 ,-61.6 ,-55.4 ,-52.2 ,-48.1 ,-21.8 ,-40.2 ,-51.1 
GHG,CRF4,T_KM2,FR,-30.9 ,-49.6 ,-63.5 ,-68.0 ,-73.0 ,-74.1 ,-76.7 ,-75.7 ,-75.4 ,-58.9 ,-60.1 ,-60.2 ,-64.2 ,-69.8 ,-60.2 ,-54.2 ,-40.0 ,-26.2 ,-22.1 ,-19.2 ,-21.9 
GHG,CRF4,T_KM2,HR,-112.8 ,-135.2 ,-140.2 ,-125.7 ,-131.6 ,-136.1 ,-132.8 ,-117.0 ,-120.5 ,-122.5 ,-121.4 ,-99.1 ,-91.4 ,-103.7 ,-101.4 ,-95.9 ,-95.6 ,-86.2 ,-92.3 ,-94.6 ,-93.8 
GHG,CRF4,T_KM2,HU,-9.1 ,-27.4 ,-20.7 ,-46.5 ,-35.9 ,-63.1 ,-39.0 ,-42.3 ,-60.3 ,-45.0 ,-47.5 ,-43.8 ,-49.4 ,-41.4 ,-52.5 ,-60.8 ,-48.3 ,-55.0 ,-47.7 ,-52.8 ,-73.4 
GHG,CRF4,T_KM2,IE,108.7 ,127.0 ,120.9 ,125.8 ,105.2 ,112.1 ,115.0 ,102.3 ,94.4 ,87.8 ,112.0 ,100.3 ,89.0 ,98.7 ,94.8 ,103.9 ,93.5 ,117.7 ,97.9 ,98.5 ,99.0 
GHG,CRF4,T_KM2,IS,89.5 ,89.7 ,89.9 ,89.9 ,89.9 ,89.9 ,90.5 ,89.6 ,90.0 ,89.9 ,89.6 ,89.3 ,89.3 ,89.1 ,88.9 ,88.7 ,88.4 ,88.0 ,87.8 ,87.8 ,87.7 
GHG,CRF4,T_KM2,IT,-69.9 ,-104.2 ,-118.6 ,-92.3 ,-113.2 ,-116.7 ,-119.2 ,-43.4 ,-102.9 ,-116.5 ,-137.5 ,-111.0 ,-81.1 ,-131.2 ,-134.2 ,-142.7 ,-133.2 ,-65.8 ,-117.6 ,-134.7 ,-107.3 
GHG,CRF4,T_KM2,LI,155.0 ,8.1 ,13.8 ,39.4 ,53.1 ,53.1 ,83.8 ,141.9 ,155.0 ,136.3 ,126.9 ,150.6 ,151.9 ,103.8 ,103.1 ,69.4 ,57.5 ,66.3 ,136.9 ,: ,: 
GHG,CRF4,T_KM2,LT,-144.5 ,-111.3 ,-96.9 ,-86.0 ,-79.1 ,-67.1 ,-60.8 ,-90.2 ,-100.1 ,-115.2 ,-159.7 ,-162.3 ,-153.2 ,-144.0 ,-129.9 ,-120.2 ,-109.2 ,-99.5 ,-97.3 ,-81.2 ,-82.8 
GHG,CRF4,T_KM2,LU,-233.7 ,-229.8 ,-218.9 ,-204.4 ,-215.0 ,-196.8 ,-162.7 ,-130.1 ,-137.2 ,-131.8 ,-11.9 ,-79.8 ,-117.2 ,-185.4 ,-154.3 ,-135.2 ,-173.7 ,-123.2 ,-53.5 ,-101.6 ,-129.8 
GHG,CRF4,T_KM2,LV,-182.0 ,-189.3 ,-162.5 ,-156.3 ,-98.8 ,-90.3 ,-102.0 ,-95.8 ,-101.8 ,-56.6 ,-29.1 ,-35.4 ,-56.5 ,-36.8 ,22.6 ,2.9 ,-25.5 ,-48.0 ,-8.9 ,-37.3 ,10.0 
GHG,CRF4,T_KM2,MT,-16.1 ,-7.9 ,67.1 ,67.1 ,-1.3 ,-1.9 ,-5.7 ,-4.7 ,37.7 ,36.1 ,35.4 ,-6.3 ,-5.7 ,-5.1 ,-13.3 ,-12.0 ,-12.0 ,-6.0 ,-3.5 ,-4.4 ,-7.0 
GHG,CRF4,T_KM2,NL,138.4 ,140.3 ,138.8 ,147.3 ,140.9 ,136.0 ,134.2 ,133.4 ,127.8 ,131.9 ,131.8 ,132.3 ,130.9 ,123.9 ,120.7 ,120.9 ,120.4 ,99.7 ,98.1 ,95.9 ,94.5 
GHG,CRF4,T_KM2,NO,-48.5 ,-53.6 ,-56.4 ,-60.6 ,-59.8 ,-52.9 ,-58.0 ,-58.2 ,-61.6 ,-70.5 ,-61.7 ,-65.1 ,-55.6 ,-56.9 ,-47.1 ,-34.1 ,-33.4 ,-36.1 ,-38.0 ,-42.7 ,-52.9 
GHG,CRF4,T_KM2,PL,-117.3 ,-92.9 ,-119.9 ,-126.1 ,-161.9 ,-160.4 ,-142.2 ,-119.5 ,-118.8 ,-118.8 ,-113.1 ,-130.7 ,-131.2 ,-138.8 ,-113.8 ,-98.7 ,-122.7 ,-126.0 ,-124.1 ,-65.2 ,-67.2 
GHG,CRF4,T_KM2,PT,-57.1 ,-91.4 ,-84.8 ,35.8 ,-74.6 ,30.1 ,-89.4 ,-130.6 ,-147.9 ,-146.2 ,-96.3 ,-109.1 ,-94.5 ,-81.1 ,-103.7 ,-94.6 ,-48.9 ,110.4 ,-72.6 ,-85.3 ,-73.7 
GHG,CRF4,T_KM2,RO,-131.7 ,-135.5 ,-127.0 ,-129.0 ,-128.0 ,-133.4 ,-131.8 ,-135.5 ,-137.9 ,-124.3 ,-118.4 ,-119.1 ,-129.4 ,-130.8 ,-142.9 ,-138.3 ,-146.4 ,-136.4 ,-124.6 ,-119.5 ,-138.0 
GHG,CRF4,T_KM2,SE,-93.3 ,-95.2 ,-93.7 ,-86.1 ,-72.1 ,-71.5 ,-92.4 ,-78.8 ,-91.9 ,-92.1 ,-96.2 ,-96.1 ,-97.1 ,-92.4 ,-92.0 ,-86.0 ,-86.9 ,-77.7 ,-77.1 ,-82.1 ,-88.9 
GHG,CRF4,T_KM2,SI,-305.2 ,-307.2 ,-362.7 ,-343.3 ,-353.8 ,-355.6 ,-353.8 ,-372.2 ,-359.9 ,-356.5 ,-353.1 ,-348.2 ,-343.3 ,-266.7 ,30.2 ,35.2 ,43.1 ,49.8 ,52.4 ,-241.1 ,-233.6 
GHG,CRF4,T_KM2,SK,-211.2 ,-197.3 ,-207.2 ,-197.4 ,-198.5 ,-127.0 ,-185.4 ,-176.7 ,-156.2 ,-151.3 ,-135.6 ,-142.2 ,-162.0 ,-175.8 ,-135.5 ,-145.8 ,-147.5 ,-145.2 ,-126.7 ,-140.5 ,-178.4 
GHG,CRF4,T_KM2,TR,-78.9 ,-83.2 ,-93.0 ,-95.6 ,-94.4 ,-95.5 ,-95.9 ,-95.5 ,-89.1 ,-93.8 ,-94.4 ,-99.3 ,-95.9 ,-98.6 ,-99.8 ,-125.0 ,-123.0 ,-127.9 ,-121.0 ,-107.7 ,-73.0 
GHG,CRF4,T_KM2,UK,33.6 ,31.0 ,27.6 ,27.0 ,23.5 ,22.0 ,20.3 ,17.8 ,14.9 ,14.6 ,14.4 ,11.9 ,12.7 ,12.5 ,11.3 ,12.6 ,13.0 ,12.2 ,14.9 ,16.4 ,15.0 
