airpol,src_crf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
GHG,CRF4,THS_T,IE,7604.4 ,8883.3 ,8454.7 ,8801.0 ,7355.1 ,7838.5 ,8044.2 ,7153.6 ,6601.0 ,6143.7 ,7830.8 ,7018.1 ,6226.0 ,6900.4 ,6628.6 ,7266.0 ,6543.5 ,8232.1 ,6847.4 ,6886.9 ,6926.2 
GHG,CRF4,THS_T,IS,9194.1 ,9206.8 ,9227.6 ,9228.4 ,9230.5 ,9232.1 ,9296.0 ,9200.7 ,9241.4 ,9232.9 ,9196.1 ,9170.2 ,9164.5 ,9150.3 ,9130.0 ,9107.1 ,9080.0 ,9040.5 ,9015.5 ,9020.1 ,9009.8 
GHG,CRF4,THS_T,IT,-21113.1 ,-31478.2 ,-35826.4 ,-27883.3 ,-34205.4 ,-35241.4 ,-36005.4 ,-13114.6 ,-31080.7 ,-35181.5 ,-41535.8 ,-33520.0 ,-24494.0 ,-39625.1 ,-40535.3 ,-43092.6 ,-40234.9 ,-19882.1 ,-35522.6 ,-40679.8 ,-32401.0 
GHG,CRF4,THS_T,LI,24.8 ,1.3 ,2.2 ,6.3 ,8.5 ,8.5 ,13.4 ,22.7 ,24.8 ,21.8 ,20.3 ,24.1 ,24.3 ,16.6 ,16.5 ,11.1 ,9.2 ,10.6 ,21.9 ,: ,: 
GHG,CRF4,THS_T,LT,-9432.2 ,-7268.9 ,-6323.4 ,-5617.3 ,-5164.6 ,-4378.1 ,-3971.6 ,-5891.5 ,-6537.4 ,-7519.3 ,-10423.1 ,-10592.6 ,-10000.9 ,-9403.4 ,-8479.1 ,-7844.5 ,-7131.8 ,-6498.7 ,-6353.5 ,-5302.1 ,-5407.4 
GHG,CRF4,THS_T,LU,-606.4 ,-596.3 ,-568.0 ,-530.4 ,-557.8 ,-510.7 ,-422.1 ,-337.6 ,-356.0 ,-342.1 ,-30.9 ,-207.2 ,-304.1 ,-481.1 ,-400.4 ,-350.9 ,-450.8 ,-319.6 ,-138.9 ,-263.6 ,-336.9 
GHG,CRF4,THS_T,LV,-11754.2 ,-12223.1 ,-10496.3 ,-10093.9 ,-6383.0 ,-5830.4 ,-6588.6 ,-6188.4 ,-6575.8 ,-3656.1 ,-1879.5 ,-2284.2 ,-3646.6 ,-2377.8 ,1456.5 ,189.5 ,-1649.1 ,-3102.2 ,-576.9 ,-2405.9 ,646.6 
GHG,CRF4,THS_T,MT,-5.1 ,-2.5 ,21.2 ,21.2 ,-0.4 ,-0.6 ,-1.8 ,-1.5 ,11.9 ,11.4 ,11.2 ,-2.0 ,-1.8 ,-1.6 ,-4.2 ,-3.8 ,-3.8 ,-1.9 ,-1.1 ,-1.4 ,-2.2 
GHG,CRF4,THS_T,NL,5172.4 ,5244.6 ,5187.4 ,5504.2 ,5266.2 ,5083.8 ,5016.0 ,4984.6 ,4775.1 ,4928.5 ,4926.0 ,4946.4 ,4892.3 ,4629.4 ,4511.3 ,4518.5 ,4500.8 ,3726.2 ,3666.0 ,3583.1 ,3531.3 
GHG,CRF4,THS_T,NO,-18640.9 ,-20606.6 ,-21704.2 ,-23317.0 ,-22993.8 ,-20329.2 ,-22283.2 ,-22370.0 ,-23699.4 ,-27118.9 ,-23715.8 ,-25014.6 ,-21362.3 ,-21877.5 ,-18097.6 ,-13100.9 ,-12836.4 ,-13862.7 ,-14601.5 ,-16436.0 ,-20332.3 
GHG,CRF4,THS_T,PL,-36603.1 ,-28963.0 ,-37404.4 ,-39329.6 ,-50513.7 ,-50036.3 ,-44352.2 ,-37270.8 ,-37066.6 ,-37071.3 ,-35290.5 ,-40778.8 ,-40929.5 ,-43310.6 ,-35482.5 ,-30778.5 ,-38280.9 ,-39311.9 ,-38721.7 ,-20323.9 ,-20976.6 
GHG,CRF4,THS_T,PT,-5265.5 ,-8432.6 ,-7818.2 ,3299.0 ,-6880.6 ,2773.7 ,-8243.6 ,-12048.7 ,-13641.3 ,-13480.9 ,-8882.1 ,-10062.5 ,-8716.3 ,-7481.0 ,-9560.0 ,-8727.7 ,-4507.7 ,10184.2 ,-6699.6 ,-7868.2 ,-6796.2 
GHG,CRF4,THS_T,RO,-31393.6 ,-32312.8 ,-30275.9 ,-30750.0 ,-30513.2 ,-31810.4 ,-31409.5 ,-32293.9 ,-32875.4 ,-29622.0 ,-28235.8 ,-28395.9 ,-30860.4 ,-31194.3 ,-34066.0 ,-32970.6 ,-34910.3 ,-32521.7 ,-29716.1 ,-28476.7 ,-32894.0 
