wstatus,age,unit,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
UEMP_PT,Y20-64,PC_PNT,FI,-1.6 ,-1.5 ,-1.4 ,-1.4 ,-1.5 ,-1.6 ,-1.5 ,-1.8 ,-1.7 ,-2.0 ,-1.4 ,-1.4 ,-2.2 
UEMP_PT,Y20-64,PC_PNT,FR,-7.9 ,-8.0 ,-7.3 ,-7.2 ,-7.4 ,-7.0 ,-6.9 ,-6.5 ,-6.3 ,-5.9 ,-5.5 ,-5.0 ,-4.5 d
UEMP_PT,Y20-64,PC_PNT,HR,0.1 ,-0.1 ,-0.5 ,-0.1 ,0.2 ,-1.2 ,-0.6 ,-0.5 ,-0.3 ,-0.7 ,-1.0 u,-0.8 ,-0.7 
UEMP_PT,Y20-64,PC_PNT,HU,-0.5 ,-0.6 ,-0.6 ,-1.2 ,-1.0 ,-0.6 ,-0.5 ,-0.5 ,-0.4 ,-0.3 ,-0.4 ,-0.2 ,-0.2 
UEMP_PT,Y20-64,PC_PNT,IE,-2.5 ,-2.4 ,-2.9 ,-2.8 ,-3.1 ,-2.0 ,-1.7 ,-1.6 ,-2.3 ,-2.5 ,-2.9 ,-2.5 ,-2.3 
UEMP_PT,Y20-64,PC_PNT,IS,: ,: ,: ,: ,: ,-3.8 ,-3.7 ,-2.5 ,-3.2 ,-3.2 ,-2.3 ,-2.5 b,-1.5 
UEMP_PT,Y20-64,PC_PNT,IT,-2.4 ,-2.3 ,-2.2 ,-2.7 ,-2.5 ,-2.9 ,-2.9 ,-2.6 ,-2.5 ,-2.5 ,-2.3 ,-3.8 ,-2.9 
UEMP_PT,Y20-64,PC_PNT,LT,-0.1 ,-1.2 ,-0.8 ,-1.0 ,-0.8 ,-0.9 ,-0.9 ,-0.6 ,-0.5 ,-0.3 ,-0.5 u,-0.3 ,-0.5 
UEMP_PT,Y20-64,PC_PNT,LU,-2.7 ,-2.7 u,-2.0 ,-3.4 u,-3.2 u,-2.7 u,-2.9 b,-2.5 ,-2.8 ,-2.5 u,-1.7 ,-1.2 ,-3.4 
UEMP_PT,Y20-64,PC_PNT,LV,-0.5 ,-1.6 ,-0.7 ,-2.0 ,-1.1 ,-1.3 ,-1.6 ,-0.9 ,-1.5 ,-1.2 ,-1.0 ,-0.5 ,-0.7 
UEMP_PT,Y20-64,PC_PNT,ME,: ,: ,0.6 u,: u,: u,0.8 u,-0.9 ,-0.4 u,-0.1 u,-0.1 u,: u,: u,: 
UEMP_PT,Y20-64,PC_PNT,MK,0.6 ,-0.1 ,0.6 ,0.9 ,0.7 ,1.7 ,0.7 ,0.2 ,0.7 ,0.6 ,1.1 ,0.9 ,: 
UEMP_PT,Y20-64,PC_PNT,MT,-1.4 ,-2.0 ,-2.8 ,-2.4 ,-2.7 ,-2.2 ,-1.6 ,-1.1 ,-0.7 ,-0.7 ,-1.2 ,-0.9 u,-0.3 
UEMP_PT,Y20-64,PC_PNT,NL,-3.5 ,-3.5 ,-3.5 ,-3.5 ,-7.8 b,-8.1 ,-8.0 ,-7.2 ,-6.5 ,-5.6 ,-4.9 ,-4.8 ,-4.0 
UEMP_PT,Y20-64,PC_PNT,NO,-4.1 ,-4.2 ,-4.4 ,-3.8 ,-3.6 ,-3.6 ,-3.3 ,-2.7 ,-2.8 ,-2.8 ,-3.0 ,-3.1 ,-2.9 
UEMP_PT,Y20-64,PC_PNT,PL,-1.0 ,-1.2 b,-1.3 ,-1.6 b,-1.7 ,-1.8 ,-1.5 ,-1.3 ,-1.2 ,-0.8 ,-0.7 ,-0.6 ,-0.5 
UEMP_PT,Y20-64,PC_PNT,PT,-3.4 ,-3.4 ,-3.2 ,-3.3 ,-3.5 ,-3.1 ,-3.2 ,-2.9 ,-2.6 ,-2.4 ,-2.5 ,-1.9 ,-1.3 
UEMP_PT,Y20-64,PC_PNT,RO,1.0 ,1.4 ,1.2 ,1.0 ,1.1 ,1.2 ,1.3 ,1.0 ,0.9 ,0.7 ,0.7 ,0.6 ,1.2 
UEMP_PT,Y20-64,PC_PNT,RS,: ,: ,0.8 ,0.6 ,0.6 ,0.9 ,0.8 ,0.6 ,0.6 ,0.9 ,0.9 ,0.5 ,0.6 
UEMP_PT,Y20-64,PC_PNT,SE,-4.7 ,-4.5 ,-4.4 ,-4.2 ,-4.0 ,-3.9 ,-3.1 ,-2.4 ,-2.2 ,-2.2 b,-2.2 ,-2.2 ,-2.2 
UEMP_PT,Y20-64,PC_PNT,SI,-0.6 ,-1.2 ,-0.8 ,-0.8 ,-1.0 ,-1.5 ,-2.2 ,-2.6 ,-2.3 ,-1.8 ,-1.3 ,-0.8 ,-0.8 
UEMP_PT,Y20-64,PC_PNT,SK,0.0 ,0.1 ,0.0 b,0.0 ,0.0 ,0.1 ,-0.2 ,0.0 ,-0.1 ,-0.2 ,-0.1 ,-0.1 ,: u
UEMP_PT,Y20-64,PC_PNT,TR,-0.9 ,-1.1 ,-0.9 ,-0.6 ,-0.6 ,-0.4 b,-0.3 ,-0.2 ,-0.2 ,-0.2 ,0.1 ,-0.3 ,: 
