wstatus,age,unit,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
EMP,Y20-64,PC_PNT,SK,11.8 ,9.9 ,10.5 b,10.9 ,9.8 ,9.8 ,9.9 ,9.2 ,7.6 ,8.5 ,7.7 ,7.3 ,8.5 
EMP,Y20-64,PC_PNT,TR,44.6 ,44.7 ,45.4 ,44.1 ,43.5 ,43.4 b,42.8 ,42.3 ,41.6 ,40.8 ,38.8 ,38.1 ,: 
EMP_PT,Y20-64,PC_PNT,AT,-36.8 ,-36.7 ,-37.4 ,-38.1 ,-37.4 ,-38.1 ,-38.4 ,-37.7 ,-37.7 ,-38.0 ,-38.7 ,-38.2 ,-39.3 
EMP_PT,Y20-64,PC_PNT,BE,-32.2 ,-32.5 ,-32.9 ,-33.3 ,-32.6 ,-31.6 ,-31.0 ,-31.4 ,-29.9 b,-29.8 ,-29.5 ,-28.4 ,-29.3 
EMP_PT,Y20-64,PC_PNT,BG,-0.2 ,0.0 b,0.1 b,0.0 ,-0.3 ,0.0 ,-0.1 ,0.0 ,0.1 ,0.1 ,0.0 ,-0.1 ,-0.5 
EMP_PT,Y20-64,PC_PNT,CH,: ,-49.9 b,-48.5 ,-49.3 ,-48.8 ,-47.8 ,-47.0 ,-46.7 ,-46.0 ,-46.0 ,-46.2 ,-45.3 ,-45.1 
EMP_PT,Y20-64,PC_PNT,CY,-7.5 ,-6.6 ,-6.0 ,-6.5 ,-7.1 ,-6.3 ,-5.4 ,-4.3 ,-6.6 ,-6.8 ,-8.3 ,-6.7 ,-4.7 
EMP_PT,Y20-64,PC_PNT,CZ,-6.5 ,-6.9 ,-6.6 b,-6.4 ,-7.6 ,-7.0 ,-7.1 ,-7.6 ,-8.5 ,-8.3 ,-7.7 ,-7.7 ,-7.1 
EMP_PT,Y20-64,PC_PNT,DE,-42.9 ,-43.4 b,-43.0 b,-42.7 ,-44.0 ,-43.5 ,-43.7 ,-43.5 ,-43.0 ,-42.9 ,-42.9 ,-38.2 b,-37.5 
EMP_PT,Y20-64,PC_PNT,DK,-23.0 ,-24.3 ,-23.0 ,-21.1 ,-20.7 ,-19.5 ,-18.8 ,-20.7 b,-19.5 b,-19.5 ,-18.3 ,-17.9 ,-18.2 
EMP_PT,Y20-64,PC_PNT,EA19,-28.0 ,-28.3 ,-28.2 ,-28.3 ,-28.8 ,-28.4 ,-28.3 ,-28.0 ,-27.7 ,-27.6 ,-27.4 ,-25.6 ,-25.2 
EMP_PT,Y20-64,PC_PNT,EA20,-27.7 ,-28.0 ,-27.9 ,-28.1 ,-28.5 ,-28.2 ,-28.0 ,-27.8 ,-27.5 ,-27.3 ,-27.2 ,-25.4 ,-24.9 
EMP_PT,Y20-64,PC_PNT,EE,-6.2 ,-7.0 ,-8.4 ,-7.9 ,-6.7 ,-5.1 ,-7.3 ,-6.2 ,-7.0 ,-7.6 ,-8.0 ,-8.1 ,-9.0 
EMP_PT,Y20-64,PC_PNT,EL,-7.8 ,-7.3 ,-6.4 ,-7.7 ,-7.8 ,-7.2 ,-7.0 ,-7.4 ,-8.2 ,-7.8 ,-8.3 ,-8.0 ,-7.4 
EMP_PT,Y20-64,PC_PNT,ES,-17.6 ,-17.5 ,-17.0 ,-17.4 ,-17.5 ,-17.8 ,-17.3 ,-16.5 ,-17.0 ,-17.2 ,-16.9 ,-16.3 ,-16.0 d
EMP_PT,Y20-64,PC_PNT,EU27_2020,-23.1 ,-23.4 ,-23.5 ,-23.5 ,-23.8 ,-23.6 ,-23.3 ,-23.2 ,-22.9 ,-22.7 ,-22.7 ,-21.1 ,-20.7 
EMP_PT,Y20-64,PC_PNT,FI,-10.2 ,-10.3 ,-10.0 ,-10.5 ,-10.7 ,-10.2 ,-9.2 ,-10.4 ,-10.8 ,-10.9 ,-11.3 ,-9.7 ,-11.3 
EMP_PT,Y20-64,PC_PNT,FR,-25.2 ,-24.9 ,-24.6 ,-24.8 ,-25.0 ,-24.6 ,-23.9 ,-23.5 ,-23.2 ,-22.4 ,-21.6 ,-20.5 ,-19.9 d
EMP_PT,Y20-64,PC_PNT,HR,-3.8 ,-4.3 ,-3.6 ,-2.3 ,-1.7 ,-2.7 ,-2.6 ,-2.7 ,-2.2 ,-3.1 ,-3.5 ,-2.9 ,-2.3 
