prof_pos,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
BRD,F,PC,MK,: ,: ,: ,: ,: ,10.3 ,16.4 ,20.3 ,19.2 ,15.8 ,16.9 ,23.6 ,21.1 ,21.7 ,23.0 ,19.7 ,16.7 ,21.3 ,21.0 ,23.7 
BRD,F,PC,MT,: ,2.3 ,3.3 ,4.1 ,4.1 ,4.3 ,4.1 ,2.4 ,2.3 ,3.5 ,2.1 ,2.7 ,4.5 ,4.5 ,8.4 ,9.6 ,10.0 ,9.9 ,10.8 ,15.5 
BRD,F,PC,NL,7.6 ,4.9 ,6.9 ,8.4 ,13.9 ,14.5 ,15.0 ,14.9 ,17.8 ,21.5 ,25.1 ,24.9 ,25.5 ,27.5 ,29.5 ,30.7 ,34.2 ,36.6 ,38.1 ,41.6 
BRD,F,PC,NO,20.9 ,22.4 ,28.8 ,34.5 ,34.2 ,42.9 ,41.6 ,38.9 ,41.3 ,43.7 ,42.0 ,37.6 ,38.8 ,42.6 ,42.1 ,40.2 ,40.2 ,40.4 ,41.5 ,43.2 
BRD,F,PC,PL,: ,9.1 ,10.7 ,9.4 ,11.9 ,10.4 ,9.5 ,11.6 ,11.8 ,11.8 ,12.3 ,14.6 ,19.4 ,18.8 ,20.1 ,21.0 ,23.5 ,22.8 ,24.7 ,24.2 
BRD,F,PC,PT,3.5 ,4.1 ,6.1 ,6.8 ,3.2 ,2.6 ,3.7 ,5.4 ,5.9 ,7.4 ,8.8 ,9.5 ,13.5 ,14.3 ,16.2 ,21.6 ,24.6 ,26.6 ,31.0 ,33.3 
BRD,F,PC,RO,21.4 ,17.2 ,12.8 ,13.0 ,17.6 ,12.0 ,11.7 ,21.3 ,10.4 ,11.9 ,7.8 ,11.0 ,11.8 ,10.1 ,11.0 ,11.0 ,12.6 ,12.8 ,17.5 ,17.7 
BRD,F,PC,RS,: ,: ,: ,: ,: ,13.5 ,14.3 ,12.4 ,17.3 ,17.6 ,17.0 ,15.3 ,21.4 ,20.0 ,19.1 ,21.2 ,15.6 ,21.7 ,23.4 ,19.2 
BRD,F,PC,SE,17.5 ,21.3 ,24.0 ,24.4 ,23.8 ,26.9 ,26.8 ,26.4 ,24.7 ,25.5 ,26.5 ,27.6 ,32.6 ,36.9 ,35.9 ,36.1 ,37.5 ,38.0 ,37.9 ,35.2 
BRD,F,PC,SI,22.9 ,19.0 ,18.9 ,19.3 ,15.4 ,18.4 ,10.0 ,9.8 ,14.2 ,18.7 ,21.6 ,19.9 ,21.5 ,24.8 ,22.6 ,27.9 ,24.6 ,22.9 ,19.4 ,23.1 
BRD,F,PC,SK,7.6 ,8.4 ,11.1 ,9.7 ,23.5 ,18.0 ,18.2 ,21.6 ,14.6 ,13.8 ,24.0 ,18.2 ,12.7 ,12.5 ,15.1 ,24.1 ,29.1 ,31.4 ,27.7 ,30.3 
BRD,F,PC,TR,: ,: ,7.0 ,8.0 ,7.8 ,8.7 ,9.0 ,9.7 ,11.0 ,9.6 ,8.5 ,8.7 ,10.4 ,12.6 ,13.4 ,15.3 ,18.1 ,17.5 ,18.0 ,17.3 
BRD,F,PC,UK,15.2 ,13.2 ,12.7 ,12.1 ,11.4 ,12.4 ,12.3 ,13.3 ,16.3 ,18.8 ,21.0 ,24.2 ,27.8 ,27.0 ,27.2 ,29.9 ,32.6 ,34.7 ,37.8 ,: 
EXEC,F,PC,AT,: ,: ,: ,: ,: ,: ,: ,: ,: ,4.7 ,2.8 ,4.2 ,4.3 ,5.4 ,4.1 ,5.1 ,7.5 ,5.7 ,5.7 ,9.5 
EXEC,F,PC,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,20.8 ,27.5 ,22.5 ,23.4 ,17.6 
EXEC,F,PC,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.6 ,11.8 ,13.3 ,15.2 ,17.1 ,13.4 ,14.4 ,14.8 ,15.2 ,18.5 ,15.1 
EXEC,F,PC,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,11.5 ,9.6 ,15.3 ,27.1 ,26.1 ,22.0 ,26.5 ,26.9 ,30.9 ,25.4 ,22.0 
EXEC,F,PC,CY,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.6 ,13.8 ,14.9 ,17.6 ,15.2 ,15.2 ,17.4 ,17.5 ,23.1 ,14.7 ,17.9 
EXEC,F,PC,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.3 ,3.9 ,4.4 ,8.8 ,6.8 ,6.9 ,6.1 ,10.9 ,13.2 ,16.1 ,12.3 
EXEC,F,PC,DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,7.2 ,6.8 ,7.0 ,8.4 ,10.6 ,13.4 ,13.8 ,14.2 ,13.5 ,17.8 ,22.1 
EXEC,F,PC,DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,11.2 ,11.8 ,11.7 ,8.3 ,9.4 ,15.9 ,11.0 ,17.1 ,20.2 ,22.5 ,22.0 
EXEC,F,PC,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,20.0 ,24.4 ,17.1 ,18.4 ,34.8 ,30.2 ,23.9 ,32.6 ,31.1 ,31.1 ,25.0 
EXEC,F,PC,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,5.2 ,12.0 ,13.0 ,12.9 ,15.5 ,16.5 ,17.8 ,17.6 ,16.6 ,20.2 ,15.9 
EXEC,F,PC,ES,: ,: ,: ,: ,: ,: ,: ,: ,: ,5.7 ,9.1 ,9.6 ,10.6 ,11.5 ,13.2 ,14.7 ,16.2 ,17.1 ,16.6 ,18.8 
EXEC,F,PC,EU27_2020,: ,: ,: ,: ,: ,: ,: ,: ,: ,10.3 ,11.7 ,12.4 ,13.7 ,14.7 ,15.5 ,16.5 ,18.0 ,19.3 ,20.2 ,21.1 
EXEC,F,PC,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,10.4 ,11.8 ,12.9 ,14.3 ,14.9 ,15.8 ,16.8 ,18.6 ,: ,: ,: 
EXEC,F,PC,FI,: ,: ,: ,: ,: ,: ,: ,: ,: ,14.5 ,13.0 ,16.4 ,16.1 ,16.3 ,18.6 ,18.0 ,20.9 ,25.0 ,26.7 ,27.4 
EXEC,F,PC,FR,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.4 ,11.3 ,11.4 ,13.1 ,14.9 ,15.2 ,17.0 ,19.7 ,20.8 ,23.6 ,27.4 
EXEC,F,PC,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,16.7 ,18.1 ,16.3 ,22.0 ,22.2 ,19.1 ,20.6 ,12.3 ,13.4 ,14.3 ,19.7 
EXEC,F,PC,HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.5 ,7.3 ,10.6 ,11.9 ,11.1 ,13.3 ,13.3 ,20.9 ,18.2 ,17.9 ,17.9 
EXEC,F,PC,IE,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.5 ,9.0 ,6.4 ,12.3 ,10.6 ,11.9 ,15.5 ,21.5 ,25.3 ,25.0 ,25.4 
EXEC,F,PC,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,7.9 ,15.2 ,15.3 ,17.0 ,16.3 ,21.4 ,23.7 ,20.4 ,25.4 ,31.0 ,30.7 
EXEC,F,PC,IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,4.3 ,7.5 ,8.1 ,8.3 ,10.0 ,9.9 ,9.9 ,11.8 ,13.1 ,14.4 ,13.9 
EXEC,F,PC,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,11.5 ,16.0 ,19.0 ,18.0 ,21.5 ,25.3 ,28.0 ,28.9 ,29.1 ,28.4 ,28.9 
EXEC,F,PC,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,10.2 ,13.3 ,8.9 ,7.8 ,12.5 ,12.0 ,12.7 ,6.0 ,4.2 ,4.1 ,6.0 
EXEC,F,PC,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,21.9 ,22.4 ,20.4 ,22.2 ,23.9 ,23.5 ,27.3 ,28.6 ,28.9 ,25.0 ,25.7 
EXEC,F,PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,30.0 ,25.5 ,28.3 ,34.5 ,31.4 ,36.0 ,21.4 ,36.2 
EXEC,F,PC,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,32.4 ,35.4 ,28.8 ,29.5 ,30.4 ,27.9 ,26.2 ,28.2 ,25.0 ,25.0 ,26.8 
EXEC,F,PC,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.8 ,10.6 ,12.8 ,15.6 ,12.6 ,13.8 ,20.3 ,20.9 ,19.1 ,21.5 ,24.3 
EXEC,F,PC,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.8 ,6.2 ,9.2 ,12.5 ,11.8 ,12.4 ,16.5 ,14.5 ,21.0 ,18.5 ,18.7 
