indicator,waste,hazard,nace_r2,unit,geo\time,2004 ,2006 ,2008 ,2010 ,2012 ,2014 ,2016 ,2018 ,2020 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BG,2174 ,1891 ,2298 ,2002 ,2456 ,2474 ,2527 ,3097 ,2681 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CY,2607 ,1185 ,1052 ,1042 ,767 ,757 ,845 ,930 ,1048 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CZ,1736 ,1276 ,1193 ,1182 ,1197 ,1118 ,1214 ,1542 b,1449 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,DE,1473 ,1466 ,1577 ,1713 ,1810 ,1908 ,1897 ,1872 ,1822 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,DK,1520 ,1644 ,1711 ,1915 ,1747 ,1805 ,1657 ,1774 ,1710 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,EE,10791 ,8586 ,8238 ,8612 ,8589 ,9514 ,8965 ,9711 ,6291 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,EL,2551 ,2678 ,2098 ,2016 ,2051 ,1928 ,1326 ,1445 ,1196 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,ES,1906 ,1718 ,1538 ,1332 ,1379 ,1428 ,1480 ,1540 ,1420 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,EU27_2020,1800 ,1810 ,1731 ,1720 ,1720 ,1735 ,1763 ,1820 ,1733 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,EU28,1907 ,1895 ,1803 ,1713 ,1716 ,1733 ,1764 ,1828 ,: 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,FI,4479 ,4916 ,4350 ,4517 ,3912 ,2508 ,2595 ,2569 ,2223 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,FR,1491 ,1456 ,1473 ,1505 ,1508 ,1439 ,1448 ,1514 ,1456 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,HR,1134 ,1095 ,750 ,716 ,677 ,723 ,850 ,922 ,1025 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,HU,1864 ,1591 ,1194 ,1156 ,1136 ,1214 ,1119 ,1099 ,1045 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,IE,1316 ,1238 ,607 ,2704 ,1761 ,1666 ,1765 ,1611 ,1495 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,IS,1682 ,: ,2161 ,1517 ,1599 ,1311 ,1467 ,1570 ,1442 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,IT,1441 ,1533 ,1595 ,1674 ,1709 ,1751 ,1796 ,1850 ,1845 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,LI,: ,: ,1955 ,1836 ,1990 ,1149 ,1217 ,1118 ,: 
