indicator,indic_env,material,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind12,RMC,TOTAL,THS_T,MT,: ,: ,: ,: ,: ,: ,: ,: ,6488.975 ,5725.717 ,5834.85 ,5264.759 ,5126.856 ,5001.925 ,4772.016 ,5782.193 ,5348.065 ,5321.587 ,5130.797 ,6051.817 ,9325.177 s
ind12,RMC,TOTAL,THS_T,NL,: ,: ,: ,: ,: ,: ,: ,: ,167391.729 s,138768.121 s,171047.609 ,158220.697 s,137801.137 ,133073.203 s,126168.263 ,140665.79 s,134545.065 ,125626.664 ,127351.678 ,133002.022 s,135087.835 s
ind12,RMC,TOTAL,THS_T,PL,: ,: ,: ,: ,: ,: ,: ,: ,569798.592 s,563903.089 s,585730.095 s,743379.657 s,633035.669 s,581493.469 s,585772.662 s,612606.246 s,632214.732 s,688574.342 s,722988.036 s,706515.568 s,667610.52 s
ind12,RMC,TOTAL,THS_T,PT,: ,: ,: ,: ,: ,: ,: ,: ,261188.015 ,229400.107 ,214652.191 ,192406.088 ,170907.448 ,149818.503 ,162631.6 ,165148.354 ,154457.523 ,175279.776 ,172849.214 ,176280.655 ,176047.153 s
ind12,RMC,TOTAL,THS_T,RO,: ,: ,: ,: ,: ,: ,: ,: ,470069.277 ,366668.18 ,280162.694 ,388226.923 ,359251.617 ,356124.809 ,376427.252 ,448372.942 ,456184.228 ,426587.541 ,461435.575 ,545604.941 ,570559.098 s
ind12,RMC,TOTAL,THS_T,SE,: ,: ,: ,: ,: ,: ,: ,: ,236440.333 s,206068.406 s,237961.327 s,234074.868 s,229671.61 s,248961.998 s,224364.854 s,227969.306 s,251218.675 s,241761.076 s,262415.54 s,271474.498 s,258129.44 s
ind12,RMC,TOTAL,THS_T,SI,: ,: ,: ,: ,: ,: ,: ,: ,56629.786 s,41255.766 s,39940.652 s,35735.916 s,32421.386 s,34199.663 s,32867.633 s,32700.394 s,30926.179 s,31244.576 s,34242.223 s,33754.134 s,35547.307 s
ind12,RMC,TOTAL,THS_T,SK,: ,: ,: ,: ,: ,: ,: ,: ,137303.051 s,88162.954 s,101633.665 s,81717.872 s,74357.275 s,80850.027 s,80619.252 s,70052.486 s,72858.026 s,76484.407 s,79656.385 s,75442.619 s,72479.823 s
ind12,RMC,TOTAL,T_HAB,AT,: ,: ,: ,: ,: ,: ,: ,: ,25.544 ,24.843 ,25.106 ,26.609 ,25.781 ,25.077 ,25.08 ,24.362 ,25.373 ,25.087 ,24.866 s,24.41 s,21.267 s
ind12,RMC,TOTAL,T_HAB,BE,: ,: ,: ,: ,: ,: ,: ,: ,17.014 ,12.683 ,14.12 ,15.658 ,14.63 ,12.841 ,13.813 ,14.001 ,13.062 ,12.552 ,14.678 s,14.447 s,13.049 s
ind12,RMC,TOTAL,T_HAB,BG,: ,: ,: ,: ,: ,: ,: ,: ,19.873 s,16.541 s,14.901 s,15.855 s,15.374 s,16.193 s,17.918 s,18.901 s,17.478 s,18.278 s,21.199 s,21.696 s,20.671 s
ind12,RMC,TOTAL,T_HAB,CH,18.68 ,19.382 ,18.88 ,18.198 ,18.289 ,18.388 ,18.441 ,18.645 ,18.739 ,18.78 ,17.726 ,18.469 ,17.549 ,17.638 ,17.603 ,17.375 ,17.645 ,17.549 ,16.832 ,17.15 ,: 
ind12,RMC,TOTAL,T_HAB,CY,: ,: ,: ,: ,: ,: ,: ,: ,41.282 s,33.027 s,31.778 s,29.392 s,22.572 s,16.459 s,17.161 s,17.48 s,18.23 s,21.375 s,20.181 s,22.042 s,21.979 s
ind12,RMC,TOTAL,T_HAB,CZ,: ,: ,: ,: ,: ,: ,: ,: ,13.585 s,15.876 s,12.89 s,16.539 s,13.856 s,12.307 s,15.297 s,16.699 s,15.685 s,16.891 s,16.807 s,17.088 s,15.597 s
ind12,RMC,TOTAL,T_HAB,DE,: ,: ,: ,: ,: ,: ,: ,: ,15.572 s,14.488 s,15.252 ,16.986 ,15.984 ,15.847 ,15.96 ,15.226 ,15.744 ,16.12 ,15.961 ,15.699 s,14.959 s
ind12,RMC,TOTAL,T_HAB,DK,: ,: ,: ,: ,: ,: ,: ,: ,27.29 ,20.729 ,18.88 ,21.868 ,22.395 ,20.87 ,21.338 ,22.188 ,22.661 ,23.428 ,23.029 ,24.229 s,25.603 s
ind12,RMC,TOTAL,T_HAB,EE,: ,: ,: ,: ,: ,: ,: ,: ,26.703 ,24.456 ,23.091 ,25.275 ,26.035 ,25.952 ,24.055 ,24.6 ,24.05 ,28.413 ,30.321 ,27.777 ,27.87 s
ind12,RMC,TOTAL,T_HAB,EL,: ,: ,: ,: ,: ,: ,: ,: ,26.374 s,22.628 s,18.57 s,16.534 s,15.67 s,14.439 s,14.725 s,14.078 s,12.971 s,13.11 s,12.119 s,12.299 s,11.095 s
ind12,RMC,TOTAL,T_HAB,ES,: ,: ,: ,: ,: ,: ,: ,: ,19.805 s,15.81 s,13.998 s,12.511 s,9.926 s,9.039 s,8.815 s,9.602 s,9.62 s,9.897 s,11.016 s,10.28 s,9.922 s
ind12,RMC,TOTAL,T_HAB,EU27_2020,16.752 s,17.13 s,17.053 s,17.118 s,17.726 s,17.91 s,18.569 s,18.965 s,18.529 s,16.193 s,14.764 s,15.476 s,14.265 s,13.935 s,13.995 s,14.011 s,14.013 s,14.226 s,14.472 s,14.472 s,13.654 s
ind12,RMC,TOTAL,T_HAB,FI,: ,: ,: ,: ,: ,: ,: ,: ,46.899 s,35.54 s,36.617 s,37.863 s,36.472 s,41.406 s,34.669 s,31.898 s,31.419 s,32.569 s,35.258 s,32.554 s,33.617 s
ind12,RMC,TOTAL,T_HAB,FR,: ,: ,: ,: ,: ,: ,: ,: ,16.154 ,14.38 ,13.966 ,14.181 ,13.641 ,13.649 ,13.628 ,12.796 ,12.639 ,13.97 ,13.844 ,13.64 ,10.901 s
ind12,RMC,TOTAL,T_HAB,HR,: ,: ,: ,: ,: ,: ,: ,: ,20.362 s,15.417 s,12.819 s,13.205 s,12.524 s,12.75 s,11.569 s,12.499 s,12.465 s,13.341 s,13.681 s,14.354 s,13.085 s
ind12,RMC,TOTAL,T_HAB,HU,: ,: ,: ,: ,: ,: ,: ,: ,12.25 s,10.498 s,9.353 s,9.011 s,8.005 s,9.247 s,12.222 s,12.207 s,11.719 s,13.472 s,14.818 s,15.824 s,14.741 s
ind12,RMC,TOTAL,T_HAB,IE,: ,: ,: ,: ,: ,: ,: ,: ,23.882 s,13.294 s,12.158 s,10.476 s,11.7 s,14.871 s,12.725 s,11.245 s,12.363 s,12.699 s,12.944 s,14.403 s,10.758 s
ind12,RMC,TOTAL,T_HAB,IT,: ,: ,: ,: ,: ,: ,: ,: ,17.254 ,14.538 ,15.2 ,14.938 ,12.365 ,11.136 ,10.969 ,10.998 ,10.923 ,11.195 ,11.597 ,10.928 ,9.846 
ind12,RMC,TOTAL,T_HAB,LT,: ,: ,: ,: ,: ,: ,: ,: ,18.407 ,12.722 ,13.696 ,15.698 ,14.466 ,17.419 ,17.407 ,16.791 ,17.985 ,20.242 ,20.229 ,20.852 ,22.681 s
ind12,RMC,TOTAL,T_HAB,LU,: ,: ,: ,: ,: ,: ,: ,: ,38.46 ,34.499 ,35.495 ,34.632 ,28.842 ,29.759 ,29.275 ,32.556 ,29.062 ,31.493 ,28.705 ,27.492 ,28.587 
ind12,RMC,TOTAL,T_HAB,LV,7.78 ,8.662 ,9.925 ,11.305 ,12.504 ,14.467 ,16.575 ,18.22 ,16.253 ,10.157 ,11.654 ,14.446 ,13.607 ,14.804 s,14.792 s,15.929 s,14.355 s,16.152 s,17.518 s,17.771 s,18.04 s
ind12,RMC,TOTAL,T_HAB,MT,: ,: ,: ,: ,: ,: ,: ,: ,15.851 ,13.881 ,14.077 ,12.648 ,12.206 ,11.743 ,10.981 ,12.992 ,11.745 ,11.371 ,10.587 ,12.006 ,18.095 s
ind12,RMC,TOTAL,T_HAB,NL,: ,: ,: ,: ,: ,: ,: ,: ,10.179 s,8.395 s,10.295 ,9.478 s,8.224 ,7.919 s,7.481 ,8.304 s,7.9 ,7.333 ,7.391 ,7.668 s,7.745 s
ind12,RMC,TOTAL,T_HAB,PL,: ,: ,: ,: ,: ,: ,: ,: ,14.945 s,14.781 s,15.397 s,19.53 s,16.631 s,15.286 s,15.41 s,16.127 s,16.65 s,18.132 s,19.039 s,18.609 s,17.615 s
ind12,RMC,TOTAL,T_HAB,PT,: ,: ,: ,: ,: ,: ,: ,: ,24.738 ,21.707 ,20.302 ,18.224 ,16.254 ,14.327 ,15.636 ,15.944 ,14.959 ,17.017 ,16.808 ,17.137 ,17.097 s
ind12,RMC,TOTAL,T_HAB,RO,: ,: ,: ,: ,: ,: ,: ,: ,22.888 ,18.003 ,13.837 ,19.269 ,17.911 ,17.821 ,18.907 ,22.627 ,23.154 ,21.777 ,23.695 ,28.165 ,29.616 s
ind12,RMC,TOTAL,T_HAB,SE,: ,: ,: ,: ,: ,: ,: ,: ,25.645 s,22.161 s,25.374 s,24.772 s,24.127 s,25.933 s,23.14 s,23.264 s,25.317 s,24.037 s,25.79 s,26.411 s,24.932 s
ind12,RMC,TOTAL,T_HAB,SI,: ,: ,: ,: ,: ,: ,: ,: ,28.016 s,20.227 s,19.497 s,17.408 s,15.76 s,16.602 s,15.94 s,15.847 s,14.976 s,15.12 s,16.511 s,16.163 s,16.908 s
ind12,RMC,TOTAL,T_HAB,SK,: ,: ,: ,: ,: ,: ,: ,: ,25.525 s,16.368 s,18.851 s,15.137 s,13.751 s,14.935 s,14.878 s,12.916 s,13.416 s,14.062 s,14.625 s,13.832 s,13.278 s
