indicator,unit,hhtyp,incgrp,sex,age,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind6,PC,TOTAL,A_MD60,T,TOTAL,IT,: ,0.1 ,0.1 ,0.1 ,0.0 ,0.1 ,0.1 ,0.1 ,0.0 ,0.1 ,0.0 ,0.1 ,0.0 ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 
ind6,PC,TOTAL,A_MD60,T,TOTAL,LT,: ,: ,15.9 ,14.7 ,11.6 ,11.6 ,10.0 ,10.9 ,11.0 ,9.8 ,7.9 ,7.0 ,5.4 ,5.8 ,5.9 ,4.6 ,5.0 ,3.3 
ind6,PC,TOTAL,A_MD60,T,TOTAL,LU,0.2 ,0.2 ,0.1 ,0.1 ,0.2 ,0.1 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.6 b,0.1 ,0.0 ,0.0 ,0.0 b
ind6,PC,TOTAL,A_MD60,T,TOTAL,LV,: ,: ,14.6 ,11.6 ,14.7 ,9.7 b,8.6 ,10.2 ,10.7 ,10.1 ,9.6 ,8.6 ,7.2 ,6.7 ,5.6 ,5.6 ,4.0 ,4.1 
ind6,PC,TOTAL,A_MD60,T,TOTAL,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.6 ,1.2 ,1.1 ,1.1 ,1.5 ,0.3 ,0.4 ,0.4 
ind6,PC,TOTAL,A_MD60,T,TOTAL,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,3.2 ,2.5 ,3.2 ,2.2 ,2.0 ,0.9 ,0.6 ,1.0 ,0.9 
ind6,PC,TOTAL,A_MD60,T,TOTAL,MT,: ,: ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,A_MD60,T,TOTAL,NL,: ,: ,: ,: ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 b,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,A_MD60,T,TOTAL,NO,0.3 ,0.1 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,A_MD60,T,TOTAL,PL,: ,: ,4.9 ,4.1 ,3.7 ,3.0 ,2.6 ,2.2 ,2.3 ,1.8 ,1.6 ,1.6 ,1.5 ,1.4 ,1.5 ,1.1 ,0.8 ,0.6 
ind6,PC,TOTAL,A_MD60,T,TOTAL,PT,: ,2.2 ,2.1 ,2.3 ,1.9 ,1.4 ,1.6 ,1.2 ,0.8 ,0.7 ,0.7 ,0.6 ,0.6 ,0.4 ,0.4 ,0.4 ,0.3 ,0.3 
ind6,PC,TOTAL,A_MD60,T,TOTAL,RO,: ,: ,: ,: ,29.4 ,29.0 ,29.5 ,28.0 ,26.1 ,25.1 ,23.6 ,21.3 ,18.9 ,19.4 ,17.7 ,14.4 ,11.4 ,10.4 
ind6,PC,TOTAL,A_MD60,T,TOTAL,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.7 ,1.9 ,1.6 ,1.4 ,0.9 ,0.6 ,0.5 ,0.5 
ind6,PC,TOTAL,A_MD60,T,TOTAL,SE,: ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,A_MD60,T,TOTAL,SI,: ,: ,0.7 ,0.5 ,0.3 ,0.3 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 
ind6,PC,TOTAL,A_MD60,T,TOTAL,SK,: ,: ,0.9 ,0.9 ,0.8 ,0.1 b,0.1 ,0.0 ,0.2 ,0.1 ,0.1 ,0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 
ind6,PC,TOTAL,A_MD60,T,TOTAL,TR,: ,: ,: ,2.1 ,2.1 ,1.6 ,1.6 ,1.5 ,1.0 ,1.1 ,1.0 ,0.8 ,0.7 ,0.6 ,0.5 ,0.4 ,0.5 ,0.5 
ind6,PC,TOTAL,A_MD60,T,TOTAL,UK,: ,: ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 b,0.1 ,0.3 ,0.3 ,0.3 ,0.0 u,0.0 u,: ,: 
ind6,PC,TOTAL,A_MD60,T,TOTAL,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.0 ,: ,: 
ind6,PC,TOTAL,B_MD60,T,TOTAL,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.7 ,10.2 ,5.8 ,5.0 
ind6,PC,TOTAL,B_MD60,T,TOTAL,AT,2.1 ,3.1 ,1.4 ,1.3 ,2.6 ,1.4 b,1.7 ,1.4 ,0.7 ,0.8 ,0.2 ,0.4 ,0.6 ,0.3 ,0.2 ,0.7 ,0.3 ,0.6 
ind6,PC,TOTAL,B_MD60,T,TOTAL,BE,1.7 ,2.0 ,1.8 ,1.0 ,0.9 ,1.2 ,1.0 ,0.6 ,1.2 ,0.6 ,1.1 ,0.7 ,0.9 ,0.2 ,0.3 ,0.2 ,0.1 b,0.2 
ind6,PC,TOTAL,B_MD60,T,TOTAL,BG,: ,: ,: ,50.7 ,51.1 ,44.9 b,40.4 ,43.6 ,42.0 ,36.6 ,39.4 ,33.6 b,31.8 ,30.0 b,29.4 ,27.7 ,22.5 ,20.6 
ind6,PC,TOTAL,B_MD60,T,TOTAL,CH,: ,: ,: ,: ,1.4 ,0.0 ,0.0 ,0.2 ,0.2 ,0.0 ,0.0 ,0.0 b,0.1 ,0.0 ,0.0 ,0.2 ,0.0 ,0.0 
ind6,PC,TOTAL,B_MD60,T,TOTAL,CY,: ,: ,4.6 ,6.5 ,5.6 ,3.6 b,3.7 ,4.9 ,3.7 ,2.7 ,2.4 ,3.2 ,2.8 ,1.9 ,2.2 ,1.8 ,1.5 ,1.0 
ind6,PC,TOTAL,B_MD60,T,TOTAL,CZ,: ,: ,6.4 ,4.1 ,3.0 ,2.9 ,1.8 ,1.6 ,1.1 ,2.2 ,2.0 ,0.9 ,0.9 ,1.3 ,0.5 ,0.8 ,0.6 ,0.4 
ind6,PC,TOTAL,B_MD60,T,TOTAL,DE,: ,: ,0.5 ,0.5 ,0.5 ,0.5 ,0.2 ,0.6 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,B_MD60,T,TOTAL,DK,3.3 ,2.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.4 ,2.3 ,3.5 ,1.6 ,2.7 ,1.8 ,2.0 ,1.2 ,0.8 ,1.8 
ind6,PC,TOTAL,B_MD60,T,TOTAL,EA18,: ,: ,1.7 e,1.5 e,1.6 ,1.3 ,1.1 ,0.9 ,0.7 ,0.6 ,0.7 ,0.7 ,0.7 ,0.8 ,0.8 ,0.6 ,0.8 ,0.5 
