indicator,unit,hhtyp,incgrp,sex,age,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind6,PC,TOTAL,TOTAL,T,TOTAL,EA18,: ,: ,0.6 e,0.6 e,0.6 ,0.5 ,0.4 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 
ind6,PC,TOTAL,TOTAL,T,TOTAL,EA19,: ,: ,0.9 e,0.8 e,0.7 ,0.6 ,0.5 ,0.6 ,0.5 ,0.4 ,0.4 ,0.4 ,0.3 ,0.4 ,0.4 ,0.3 ,0.4 ,0.4 
ind6,PC,TOTAL,TOTAL,T,TOTAL,EE,: ,15.5 ,14.2 ,13.0 ,12.5 ,10.5 ,9.6 ,8.9 ,7.7 ,6.8 ,6.4 ,5.5 b,4.9 ,5.1 ,4.5 ,4.0 ,3.5 ,2.9 
ind6,PC,TOTAL,TOTAL,T,TOTAL,EL,1.5 ,1.5 ,1.3 ,1.1 ,0.8 ,1.2 ,1.0 ,0.6 ,0.7 ,0.3 ,0.7 ,0.5 ,0.4 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 
ind6,PC,TOTAL,TOTAL,T,TOTAL,ES,: ,0.2 ,0.3 ,0.2 ,0.3 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.3 ,0.1 ,0.2 ,0.3 ,0.2 
ind6,PC,TOTAL,TOTAL,T,TOTAL,EU,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.3 e,2.1 e,2.0 e,1.9 e,1.9 e,1.7 e,1.6 e,1.5 e,: 
ind6,PC,TOTAL,TOTAL,T,TOTAL,EU27_2007,: ,: ,: ,: ,3.1 ,2.9 ,2.7 ,2.6 ,2.4 ,2.3 ,2.2 ,2.1 ,1.9 ,1.9 ,1.7 e,1.6 e,1.5 e,: 
ind6,PC,TOTAL,TOTAL,T,TOTAL,EU27_2020,: ,: ,: ,: ,: ,: ,: ,2.9 e,2.7 e,2.6 e,2.4 e,2.3 e,2.2 e,2.1 e,2.0 e,1.8 e,1.6 e,1.5 
ind6,PC,TOTAL,TOTAL,T,TOTAL,EU28,: ,: ,: ,: ,: ,: ,: ,2.5 ,2.4 ,2.3 ,2.1 ,2.0 ,1.9 ,1.9 ,1.7 e,1.6 e,1.5 e,: 
ind6,PC,TOTAL,TOTAL,T,TOTAL,FI,: ,0.5 ,0.7 ,0.6 ,0.6 ,0.6 ,0.4 ,0.5 ,0.6 ,0.5 ,0.4 ,0.3 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 
ind6,PC,TOTAL,TOTAL,T,TOTAL,FR,: ,0.6 ,0.5 ,0.5 ,0.5 ,0.4 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 ,0.2 ,0.4 b
ind6,PC,TOTAL,TOTAL,T,TOTAL,HR,: ,: ,: ,: ,: ,: ,: ,0.2 ,1.2 ,1.9 b,1.5 ,1.6 ,1.5 ,1.4 ,1.2 ,1.1 ,0.8 ,0.7 
ind6,PC,TOTAL,TOTAL,T,TOTAL,HU,: ,: ,6.5 ,4.1 ,3.2 ,3.5 ,3.9 ,4.2 ,3.8 ,4.2 ,4.0 ,4.0 ,3.4 ,3.8 ,3.3 ,3.4 ,2.7 ,1.5 
ind6,PC,TOTAL,TOTAL,T,TOTAL,IE,0.4 ,0.5 ,0.5 ,0.2 ,0.3 ,0.3 ,0.2 ,0.2 ,2.6 ,0.3 ,0.3 ,0.0 ,0.0 ,0.2 ,0.1 ,0.0 ,0.1 ,0.1 bu
ind6,PC,TOTAL,TOTAL,T,TOTAL,IS,: ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,: ,: 
ind6,PC,TOTAL,TOTAL,T,TOTAL,IT,: ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.1 ,0.3 ,0.3 ,0.5 ,0.5 
ind6,PC,TOTAL,TOTAL,T,TOTAL,LT,: ,: ,21.5 ,20.7 ,17.1 ,17.7 ,15.1 ,14.3 ,15.0 ,13.9 ,12.0 ,10.9 ,10.6 ,12.0 ,10.8 ,9.1 ,8.7 ,6.4 
ind6,PC,TOTAL,TOTAL,T,TOTAL,LU,0.3 ,0.3 ,0.2 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 b,0.1 ,0.0 ,0.1 ,0.0 b
ind6,PC,TOTAL,TOTAL,T,TOTAL,LV,: ,: ,19.9 ,16.8 ,19.7 ,15.7 b,14.9 ,15.1 ,14.5 ,14.4 ,13.5 ,13.3 ,12.3 ,11.7 ,9.8 ,9.0 ,7.7 ,7.0 
ind6,PC,TOTAL,TOTAL,T,TOTAL,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.3 ,2.2 ,1.9 ,2.1 ,2.0 ,0.8 ,0.8 ,0.9 
ind6,PC,TOTAL,TOTAL,T,TOTAL,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.8 ,5.8 ,6.6 ,3.6 ,3.4 ,2.0 ,1.4 ,2.0 ,1.6 
ind6,PC,TOTAL,TOTAL,T,TOTAL,MT,: ,: ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,TOTAL,T,TOTAL,NL,: ,: ,: ,: ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 b,0.1 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,TOTAL,T,TOTAL,NO,0.5 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,TOTAL,T,TOTAL,PL,: ,: ,7.0 ,6.5 ,5.6 ,4.9 ,4.5 ,3.8 ,3.7 ,3.3 ,3.0 ,2.9 ,2.6 ,2.3 ,2.4 ,2.0 ,1.6 ,1.3 
ind6,PC,TOTAL,TOTAL,T,TOTAL,PT,: ,3.3 ,3.0 ,3.1 ,2.9 ,2.4 ,2.2 ,1.6 ,1.0 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.8 ,0.6 ,0.5 ,0.4 
ind6,PC,TOTAL,TOTAL,T,TOTAL,RO,: ,: ,: ,: ,41.5 ,40.8 ,40.4 ,38.5 ,36.6 ,35.0 ,33.7 ,32.0 ,30.5 ,30.0 ,27.2 ,25.6 ,22.4 ,21.2 
ind6,PC,TOTAL,TOTAL,T,TOTAL,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,4.0 ,3.4 ,3.5 ,3.4 ,3.2 ,2.3 ,2.1 ,1.6 
ind6,PC,TOTAL,TOTAL,T,TOTAL,SE,: ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,TOTAL,T,TOTAL,SI,: ,: ,1.3 ,0.9 ,0.7 ,0.6 ,0.5 ,0.4 ,0.4 ,0.3 ,0.4 ,0.5 ,0.3 ,0.2 ,0.2 ,0.1 ,0.1 ,0.1 
ind6,PC,TOTAL,TOTAL,T,TOTAL,SK,: ,: ,1.3 ,1.3 ,1.3 ,0.1 b,0.3 ,0.3 ,0.3 ,0.3 ,0.2 ,0.6 ,0.7 ,0.8 ,0.9 ,1.0 ,1.3 ,0.7 
ind6,PC,TOTAL,TOTAL,T,TOTAL,TR,: ,: ,: ,6.0 ,5.0 ,4.9 ,4.6 ,4.7 ,2.6 ,2.5 ,2.2 ,1.9 ,1.8 ,1.4 ,1.2 ,1.0 ,0.9 ,0.9 
ind6,PC,TOTAL,TOTAL,T,TOTAL,UK,: ,: ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 b,0.2 ,0.3 ,0.4 ,0.3 ,0.0 u,0.1 u,: ,: 
ind6,PC,TOTAL,TOTAL,T,TOTAL,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.5 ,: ,: 
