indicator,ww_tp,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind6,WWT_GE2,PC,NL,98.10 ,98.40 ,98.50 ,98.60 ,98.90 ,99.00 ,99.10 ,: ,99.30 ,: ,99.30 ,99.40 ,99.50 ,99.40 ,99.40 ,99.43 ,99.45 ,99.50 ,99.50 ,99.50 ,99.52 p
ind6,WWT_GE2,PC,NO,: ,: ,: ,: ,: ,: ,: ,47.99 d,47.91 d,48.14 d,48.30 d,48.91 d,49.53 d,49.73 d,49.85 d,50.89 d,55.68 d,58.55 d,66.82 d,66.97 d,67.87 d
ind6,WWT_GE2,PC,PL,50.20 ,52.10 ,54.00 ,55.50 ,56.80 ,58.10 d,60.70 d,61.80 d,62.90 ,64.10 ,64.50 ,65.50 ,68.50 ,70.20 ,71.40 ,72.60 ,73.40 ,73.50 ,74.00 ,74.44 ,74.78 
ind6,WWT_GE2,PC,PT,: ,: ,27.00 ,32.00 ,: ,42.60 ,37.00 ,51.00 ,52.00 ,55.80 ,: ,: ,: ,: ,: ,: ,: ,84.64 ,: ,: ,: 
ind6,WWT_GE2,PC,RO,: ,: ,: ,: ,16.90 ,16.90 e,: ,: ,: ,: ,22.70 ,31.70 ,35.30 ,36.10 ,38.20 ,39.70 ,43.80 ,46.50 ,48.10 ,49.40 ,51.80 
ind6,WWT_GE2,PC,RS,4.50 ,4.79 ,5.11 ,5.47 ,5.79 ,6.37 ,6.84 ,6.73 ,7.15 ,8.44 ,8.63 ,8.81 ,8.98 ,9.39 ,9.98 ,10.82 ,12.50 ,12.60 ,12.87 ,13.14 ,13.77 
ind6,WWT_GE2,PC,SE,94.00 ,93.90 s,93.00 ,94.00 ,94.00 ,94.00 e,94.00 e,94.00 e,94.00 e,94.00 e,94.00 e,94.00 e,95.00 e,95.00 e,95.00 ,95.00 ,95.00 ,95.00 ,96.00 ,96.00 ,: 
ind6,WWT_GE2,PC,SI,12.30 ,15.50 ,18.40 ,19.90 ,29.30 ,32.10 ,47.60 ,48.80 ,51.10 ,52.90 ,51.60 ,54.40 ,53.70 ,55.20 ,55.60 ,57.40 ,63.22 ,67.61 ,68.95 ,69.52 ,69.32 
ind6,WWT_GE2,PC,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,63.60 ,65.00 ,65.70 ,68.10 ,68.80 
ind6,WWT_GE2,PC,TR,18.30 ,19.20 ,19.20 ,21.10 ,24.80 ,28.50 e,29.60 e,31.10 ,31.40 ,35.20 ,37.60 ,: ,42.00 ,: ,49.05 e,55.41 e,56.30 e,60.48 e,60.79 e,61.03 e,61.12 e
ind6,WWT_GE2,PC,UK,91.00 e,98.00 e,99.00 e,99.00 e,99.00 e,99.00 e,: ,: ,96.90 ,97.00 ,99.50 ,: ,: ,: ,100.00 e,: ,: ,: ,: ,: ,: 
ind6,WWT_GE2,PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.55 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
