indicator,unit,bmi,geo\time,2008 ,2014 ,2019 ,2017 
ind3,PC,BMI_GE30,DK,: ,14.9 ,16.5 ,: 
ind3,PC,BMI_GE30,EA18,: ,: ,: ,14.6 e
ind3,PC,BMI_GE30,EA19,: ,: ,: ,14.6 e
ind3,PC,BMI_GE30,EE,18.5 ,20.4 ,21.8 ,21.0 u
ind3,PC,BMI_GE30,EL,17.6 ,17.3 ,16.7 ,: 
ind3,PC,BMI_GE30,ES,15.7 ,16.7 ,16.0 ,14.1 
ind3,PC,BMI_GE30,EU27_2007,: ,: ,: ,15.2 e
ind3,PC,BMI_GE30,EU27_2020,: ,15.4 ,16.5 ,14.9 e
ind3,PC,BMI_GE30,EU28,: ,15.9 ,: ,15.2 e
ind3,PC,BMI_GE30,FI,: ,18.3 ,20.9 ,20.6 
ind3,PC,BMI_GE30,FR,12.2 ,15.3 ,15.0 ,15.4 
ind3,PC,BMI_GE30,HR,: ,18.7 ,23.0 ,18.2 
ind3,PC,BMI_GE30,HU,20.0 ,21.2 ,24.5 ,20.0 
ind3,PC,BMI_GE30,IE,: ,18.7 ,: u,15.2 u
ind3,PC,BMI_GE30,IS,: ,19.0 ,22.3 ,: 
ind3,PC,BMI_GE30,IT,: ,10.8 ,11.7 ,: 
ind3,PC,BMI_GE30,LT,: ,17.3 ,18.9 ,17.4 
ind3,PC,BMI_GE30,LU,: ,15.6 ,16.5 ,16.0 
ind3,PC,BMI_GE30,LV,16.9 ,21.3 ,23.0 ,21.6 
ind3,PC,BMI_GE30,MK,: ,: ,: ,10.5 
ind3,PC,BMI_GE30,MT,22.9 u,26.0 ,28.7 ,25.7 
ind3,PC,BMI_GE30,NL,: ,13.3 ,14.7 ,12.7 
ind3,PC,BMI_GE30,NO,: ,13.1 ,14.1 ,14.2 
ind3,PC,BMI_GE30,PL,16.4 ,17.2 ,19.0 ,16.9 
ind3,PC,BMI_GE30,PT,: ,16.6 ,17.7 ,15.7 
ind3,PC,BMI_GE30,RO,7.9 ,9.4 ,10.9 ,10.4 
ind3,PC,BMI_GE30,RS,: ,: ,17.3 ,13.3 
ind3,PC,BMI_GE30,SE,: ,14.0 ,15.3 ,: 
ind3,PC,BMI_GE30,SI,16.8 ,19.2 ,19.9 ,16.2 
ind3,PC,BMI_GE30,SK,15.1 ,16.3 ,19.7 ,14.4 
ind3,PC,BMI_GE30,TR,16.2 ,21.2 ,22.3 ,: 
ind3,PC,BMI_GE30,UK,: ,20.1 ,: ,21.0 u
