indicator,mortalit,sex,icd10,unit,geo\time,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,TOTAL,T,TOTAL,RT,BG,417.95 ,442.59 ,431.63 ,444.78 ,442.26 ,426.5 ,422.07 ,414.48 p,419.74 p,529.44 
ind3,TOTAL,T,TOTAL,RT,CH,185.86 ,182.15 ,179.14 ,172.11 ,172.39 ,163.88 ,161.38 ,159.51 p,153.42 p,164.86 
ind3,TOTAL,T,TOTAL,RT,CY,187.9 ,196.93 ,182.29 ,182 ,189.74 ,171.15 ,185.41 ,182.73 p,176.9 p,182.65 
ind3,TOTAL,T,TOTAL,RT,CZ,373.46 ,364.9 ,362.66 ,336.57 ,341.89 ,323.26 ,324.18 ,319.25 p,308.6 p,340 
ind3,TOTAL,T,TOTAL,RT,DE,257.93 ,252.8 ,253.78 ,243.34 ,249.22 ,244.56 ,241.05 ,240.92 p,231.32 p,238.07 
ind3,TOTAL,T,TOTAL,RT,DK,274.59 ,269.53 ,252.94 ,251.22 ,242.02 ,236.78 ,229.93 ,224.93 p,217.37 p,209.32 
ind3,TOTAL,T,TOTAL,RT,EE,462.64 ,466.27 ,436 ,432.35 ,418.95 ,405.36 ,383.86 ,386.47 p,363.52 p,375.65 
ind3,TOTAL,T,TOTAL,RT,EL,242.84 ,247.36 ,240.91 ,236.86 ,241.8 ,236.31 ,235.6 ,228.58 p,231.11 p,245.27 
ind3,TOTAL,T,TOTAL,RT,ES,202.44 ,198.27 ,193.81 ,188.6 ,187.73 ,184.65 ,181.38 ,177.92 p,172.5 p,205.59 
ind3,TOTAL,T,TOTAL,RT,EU27_2020,281.35 ,276.75 ,269.66 ,260.65 ,262.14 ,255.64 ,252.09 ,249.83 p,243.15 p,271.7 
ind3,TOTAL,T,TOTAL,RT,EU28,278 ,273.39 ,266.66 ,258.25 ,259.85 ,254.32 ,250.75 ,248.45 p,: ,: 
ind3,TOTAL,T,TOTAL,RT,FI,274.53 ,267.92 ,259.75 ,246.23 ,238.15 ,242.82 ,236.59 ,230.22 p,222.82 p,228.61 
ind3,TOTAL,T,TOTAL,RT,FR,214.83 ,208.84 ,205.16 ,198.33 ,199.34 ,196.06 ,191.95 ,188.65 p,185.79 p,201.71 
ind3,TOTAL,T,TOTAL,RT,HR,414.76 ,404.92 ,384.47 ,383.23 ,393.71 ,371.26 ,370.95 ,371.74 p,360.89 p,395.15 
ind3,TOTAL,T,TOTAL,RT,HU,556.06 ,542.36 ,516.64 ,512.73 ,518.21 ,501.24 ,506.76 ,501.52 p,488.54 p,529.99 
ind3,TOTAL,T,TOTAL,RT,IE,251.71 ,242.57 ,236.64 ,230.95 ,220.73 ,218.24 ,202.72 ,207.96 p,197.91 p,211.42 
ind3,TOTAL,T,TOTAL,RT,IS,202.3 ,192.02 ,200.06 ,180.86 ,192.87 ,201.69 ,180.48 ,178.4 p,162.1 p,156.33 
ind3,TOTAL,T,TOTAL,RT,IT,200.23 ,197.18 ,187.83 ,181.87 ,184.92 ,176.65 ,175.07 ,168.97 p,164.86 p,197.05 
ind3,TOTAL,T,TOTAL,RT,LI,209.42 ,179.51 ,210.18 ,151.12 ,165.82 ,181.75 ,158.31 ,149.74 p,158.1 p,184.92 
ind3,TOTAL,T,TOTAL,RT,LT,602.34 ,591.03 ,579.86 ,546.46 ,556.71 ,541.71 ,492.78 ,478.54 p,465.99 p,540.06 
ind3,TOTAL,T,TOTAL,RT,LU,233.01 ,228.08 ,231.21 ,213.29 ,205.48 ,211.19 ,203.31 ,198.04 p,177.78 p,193.94 
ind3,TOTAL,T,TOTAL,RT,LV,606.08 ,591.8 ,581.64 ,558.07 ,547.82 ,535.05 ,525.32 ,521.88 p,485.06 p,502.57 
ind3,TOTAL,T,TOTAL,RT,MT,240.98 ,239.33 ,209.74 ,215.6 ,200.85 ,202.5 ,203.13 ,202.51 p,186.9 p,204.17 
ind3,TOTAL,T,TOTAL,RT,NL,220.45 ,218.25 ,210.35 ,200.87 ,205.98 ,202.84 ,193.19 ,193.09 p,184.8 p,200.43 
ind3,TOTAL,T,TOTAL,RT,NO,219.85 ,211.89 ,208.06 ,195.7 ,192.6 ,192.01 ,180.86 ,178.48 p,172.18 p,171.75 
ind3,TOTAL,T,TOTAL,RT,PL,395.4 ,389.06 ,377.51 ,355.18 ,352.57 ,348.26 ,351.47 ,354.93 p,352.19 p,418.88 
ind3,TOTAL,T,TOTAL,RT,PT,244.04 ,236.26 ,231.22 ,233.11 ,228.64 ,229.33 ,222.28 ,221.12 p,214.5 p,224.82 
ind3,TOTAL,T,TOTAL,RT,RO,563.26 ,552.27 ,529.09 ,526.28 ,522.99 ,518.22 ,512.89 ,517.47 p,504.58 p,593.2 
ind3,TOTAL,T,TOTAL,RT,RS,437.03 ,426.2 ,411.26 ,401.92 ,417.53 ,408.12 ,407.04 ,398.63 p,399.83 p,488.65 
