indicator,unit,sex,nace_r2,severity,geo\time,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,RT_INC,M,TOTAL,FAT,BE,3.64 ,4.93 ,3.26 ,4.27 ,2.86 ,2.55 ,3.15 ,3.01 ,3.44 ,2.47 ,2.54 b
ind3,RT_INC,M,TOTAL,FAT,BG,6.5 ,7 ,7.03 ,6.11 ,8.45 ,6.61 ,5.85 ,6.34 ,5.92 ,6.7 ,6.97 b
ind3,RT_INC,M,TOTAL,FAT,CH,3.69 ,2.54 ,3 ,3.48 ,3.39 ,2.46 ,3.06 ,1.66 ,2.2 ,2.36 ,1.77 b
ind3,RT_INC,M,TOTAL,FAT,CY,9.02 ,3.06 ,4.99 ,4.21 ,3.69 ,1.97 ,2.71 ,1.04 ,3.93 ,4.64 ,8.67 b
ind3,RT_INC,M,TOTAL,FAT,CZ,3.93 ,5.32 ,4.17 ,3.79 ,4.12 ,4.51 ,3.59 ,3.12 ,4.89 ,3.78 ,4.46 b
ind3,RT_INC,M,TOTAL,FAT,DE,2.12 ,2.16 ,2.07 ,1.91 ,2.05 ,1.83 ,1.75 ,1.58 ,1.4 ,1.4 ,1.33 b
ind3,RT_INC,M,TOTAL,FAT,DK,2.73 ,3.03 ,3.19 ,2.55 ,2.51 ,1.64 ,1.85 ,1.65 ,2.22 ,2.27 ,2.42 b
ind3,RT_INC,M,TOTAL,FAT,EE,6.56 ,6.3 ,4.2 ,6.04 ,4.69 ,5.2 ,8.98 ,2.07 ,3.21 ,4.74 ,3.54 b
ind3,RT_INC,M,TOTAL,FAT,EL,1.18 ,1.52 ,1.16 ,1.07 ,1.26 ,2.2 ,2.24 ,2.19 ,1.61 ,1.53 ,1.41 b
ind3,RT_INC,M,TOTAL,FAT,ES,3.89 ,4.5 b,3.95 ,3.46 ,3.46 ,4.13 ,3.52 ,3.66 ,3.57 ,3.11 b,3.65 b
ind3,RT_INC,M,TOTAL,FAT,EU27_2007,3.64 ,3.62 ,3.35 ,3.14 ,3.2 ,3.22 ,2.96 ,2.9 ,2.87 ,: ,: 
ind3,RT_INC,M,TOTAL,FAT,EU27_2020,4.02 ,4.02 ,3.78 ,3.4 ,3.5 ,3.54 ,3.24 ,3.15 ,3.14 ,3.06 ,3.06 b
ind3,RT_INC,M,TOTAL,FAT,EU28,3.64 ,3.63 ,3.38 ,3.15 ,3.2 ,3.23 ,2.97 ,2.91 ,2.89 ,: ,: 
ind3,RT_INC,M,TOTAL,FAT,FI,2.7 ,2.58 ,2.51 ,1.66 ,2.48 ,2.48 ,2.58 ,1.71 ,1.91 ,1.97 ,1.53 b
ind3,RT_INC,M,TOTAL,FAT,FR,4.24 ,5.32 ,4.66 ,4.39 ,4.42 ,4.68 ,4.53 ,4.5 ,4.71 ,5.98 ,4.04 b
ind3,RT_INC,M,TOTAL,FAT,HR,4.55 ,4.64 ,7.21 ,3.66 ,3.51 ,3.99 ,4.51 ,5.05 ,5.46 ,5.28 ,5.32 b
ind3,RT_INC,M,TOTAL,FAT,HU,4.6 ,4.63 ,3.03 ,2.54 ,4.02 ,3.93 ,3.84 ,3.62 ,3.59 ,3.75 ,2.79 b
ind3,RT_INC,M,TOTAL,FAT,IE,4.24 ,4.85 ,4.38 ,3.94 ,4.33 ,4.43 ,4.04 ,3.37 ,2.7 ,3.27 ,3.3 b
ind3,RT_INC,M,TOTAL,FAT,IS,: ,0 ,0 ,0 ,1.09 ,2.08 ,3.95 ,1.93 ,2.81 ,1.85 ,2.86 b
ind3,RT_INC,M,TOTAL,FAT,IT,4.91 ,4.27 ,4.28 ,3.67 ,3.79 ,3.93 ,3.47 ,3.39 ,3.72 ,3.44 ,5.15 b
ind3,RT_INC,M,TOTAL,FAT,LT,7.87 ,7.59 ,10.01 ,8.96 ,9.35 ,7.52 ,7.48 ,5.51 ,6.35 ,6.14 ,6.05 b
ind3,RT_INC,M,TOTAL,FAT,LU,6.42 ,4.59 ,5.75 ,2.25 ,6.54 ,5.71 ,9.96 ,3.44 ,6.69 ,4.91 ,2.76 b
ind3,RT_INC,M,TOTAL,FAT,LV,5.34 ,7.89 ,7.95 ,6.91 ,8.67 ,6.42 ,8.08 ,4.68 ,6.44 ,5.4 ,4.97 b
ind3,RT_INC,M,TOTAL,FAT,MT,2.77 ,0.91 ,7.03 ,3.65 ,3.58 ,4.39 ,5.97 ,0.75 ,2.82 ,1.97 ,4.53 b
ind3,RT_INC,M,TOTAL,FAT,NL,1.51 ,1.25 ,0.93 ,1.14 ,1.2 ,0.94 ,0.88 ,1.05 ,1.12 ,0.85 ,0.55 b
ind3,RT_INC,M,TOTAL,FAT,NO,3.02 ,3.12 ,2.47 ,3.21 ,3.02 ,2.63 ,2.98 ,2.37 ,2.44 ,1.98 ,2.63 b
ind3,RT_INC,M,TOTAL,FAT,PL,6.56 ,4.36 ,3.91 ,3.17 ,3.02 ,3.24 ,2.65 ,3.58 ,2.79 ,1.9 ,2.45 b
ind3,RT_INC,M,TOTAL,FAT,PT,7.45 ,8.28 ,8.08 ,6.73 ,6.6 ,6.81 ,5.67 ,5.53 ,4.06 ,3.91 ,5.21 b
ind3,RT_INC,M,TOTAL,FAT,RO,8.76 ,12.23 ,11.55 ,11.17 ,11.17 ,10.13 ,8.16 ,8.19 ,7.79 ,5.64 ,5.96 b
ind3,RT_INC,M,TOTAL,FAT,SE,2.32 ,2.09 ,1.7 ,1.42 ,1.62 ,1.31 ,1.32 ,1.6 ,1.82 ,1.19 ,0.89 b
ind3,RT_INC,M,TOTAL,FAT,SI,5.06 ,4.05 ,4.79 ,4.13 ,4.9 ,4.62 ,2.98 ,3.16 ,3.03 ,2.92 ,2.97 b
ind3,RT_INC,M,TOTAL,FAT,SK,3.36 ,2.94 ,4.31 ,4.17 ,3.04 ,4.85 ,3.68 ,3.48 ,3.31 ,2.8 ,2.86 b
ind3,RT_INC,M,TOTAL,FAT,UK,1.12 ,1.22 ,0.97 ,1.58 ,1.37 ,1.42 ,1.4 ,1.5 ,1.37 ,: ,: 
ind3,RT_INC,T,TOTAL,FAT,AT,4.44 ,3.01 ,3.44 ,3.43 ,3.06 ,3.23 ,2.91 ,2.53 ,2.87 ,2.49 ,2.36 b
ind3,RT_INC,T,TOTAL,FAT,BE,2.25 ,2.77 ,1.78 ,2.46 ,1.53 b,1.41 ,1.8 ,1.68 ,1.91 ,1.27 ,1.33 b
ind3,RT_INC,T,TOTAL,FAT,BG,3.6 ,3.63 ,3.82 ,3.35 ,4.45 ,3.57 ,3 ,3.4 ,3.14 ,3.37 ,3.68 b
ind3,RT_INC,T,TOTAL,FAT,CH,2.13 ,1.5 ,1.72 ,2.02 ,1.91 ,1.34 ,1.97 ,0.91 ,1.24 ,1.35 ,1.08 b
ind3,RT_INC,T,TOTAL,FAT,CY,4.93 ,1.5 ,2.74 ,2.47 ,1.74 ,1.29 ,1.4 ,0.54 ,2.29 ,2.45 ,4.45 b
ind3,RT_INC,T,TOTAL,FAT,CZ,2.48 ,3.2 ,2.4 ,2.29 ,2.37 ,2.76 ,2.07 ,1.82 ,2.59 ,2.01 ,2.3 b
ind3,RT_INC,T,TOTAL,FAT,DE,1.2 ,1.18 ,1.18 ,1.04 ,1.15 ,1.02 ,0.96 ,0.89 ,0.78 ,0.79 ,0.73 b
ind3,RT_INC,T,TOTAL,FAT,DK,1.53 ,1.64 ,1.75 ,1.45 ,1.4 ,1.02 ,1.23 ,0.92 ,1.28 ,1.43 ,1.34 b
ind3,RT_INC,T,TOTAL,FAT,EE,3.24 ,3.12 ,2.24 ,3.22 ,2.56 ,2.93 ,4.45 ,1.21 ,1.81 ,2.51 ,1.73 b
ind3,RT_INC,T,TOTAL,FAT,EL,0.73 ,0.9 ,0.69 ,0.63 ,0.79 b,1.19 ,1.29 ,1.22 ,0.97 ,0.92 ,0.88 b
ind3,RT_INC,T,TOTAL,FAT,ES,2.19 ,2.5 b,2.16 ,1.88 ,1.93 ,2.3 ,1.92 ,1.99 ,1.96 ,1.78 b,2.06 b
ind3,RT_INC,T,TOTAL,FAT,EU27_2007,2.09 ,2.07 ,1.9 ,1.78 ,1.83 ,1.83 ,1.68 ,1.65 ,1.62 ,: ,: 
ind3,RT_INC,T,TOTAL,FAT,EU27_2020,2.31 ,2.3 ,2.14 ,1.92 ,2 ,2.01 ,1.84 ,1.79 ,1.77 ,1.74 ,1.77 b
ind3,RT_INC,T,TOTAL,FAT,EU28,2.09 ,2.07 ,1.91 ,1.78 ,1.83 ,1.83 ,1.69 ,1.65 ,1.63 ,: ,: 
ind3,RT_INC,T,TOTAL,FAT,FI,1.51 ,1.33 ,1.45 ,0.9 ,1.44 ,1.44 ,1.43 ,0.93 ,0.99 ,1.13 ,0.95 b
ind3,RT_INC,T,TOTAL,FAT,FR,2.36 ,3.09 ,2.53 ,2.42 ,2.7 b,2.57 ,2.74 ,2.64 b,2.74 ,3.53 ,2.54 b
ind3,RT_INC,T,TOTAL,FAT,HR,2.45 ,2.69 ,3.87 ,2.09 ,1.94 ,2.16 ,2.37 ,2.63 ,3.04 ,2.96 ,2.89 b
ind3,RT_INC,T,TOTAL,FAT,HU,2.61 ,2.41 ,1.68 ,1.4 ,2.22 ,2.29 ,2.14 ,2.01 ,1.97 ,2.09 ,1.63 b
ind3,RT_INC,T,TOTAL,FAT,IE,2.27 ,2.65 ,2.34 ,2.13 ,2.46 ,2.51 ,2.24 ,1.87 ,1.51 ,1.77 ,1.79 b
ind3,RT_INC,T,TOTAL,FAT,IS,: ,0 ,0 ,0 ,1.14 ,1.09 ,2.1 ,1.03 ,1.51 ,0.99 ,1.54 b
ind3,RT_INC,T,TOTAL,FAT,IT,3.09 ,2.71 ,2.64 ,2.31 ,2.34 ,2.42 ,2.11 ,2.1 ,2.25 ,2.1 ,3.39 b
ind3,RT_INC,T,TOTAL,FAT,LT,4.02 ,4.06 ,4.98 ,4.49 ,4.74 ,3.84 ,3.69 ,2.77 ,3.05 ,3.01 ,3.17 b
ind3,RT_INC,T,TOTAL,FAT,LU,3.82 ,2.73 ,3.38 ,1.6 ,4.02 ,3.3 ,6.32 ,2.7 ,4.22 ,3.13 ,1.71 b
ind3,RT_INC,T,TOTAL,FAT,LV,2.74 ,4.21 ,4.12 ,3.59 ,4.5 ,3.32 ,4.22 ,2.29 ,3.27 ,2.78 ,2.47 b
ind3,RT_INC,T,TOTAL,FAT,MT,1.83 ,0.59 ,4.59 ,2.27 ,2.2 ,2.69 ,3.65 ,0.45 ,1.68 ,1.18 ,3.07 b
ind3,RT_INC,T,TOTAL,FAT,NL,0.88 ,0.67 ,0.49 ,0.6 ,0.64 b,0.5 ,0.5 ,0.59 ,0.6 ,0.48 ,0.3 b
ind3,RT_INC,T,TOTAL,FAT,NO,1.7 ,2.12 ,1.43 ,1.85 ,1.71 ,1.48 ,1.66 ,1.59 ,1.31 ,1.09 ,1.45 b
ind3,RT_INC,T,TOTAL,FAT,PL,3.65 ,2.5 ,2.3 ,1.83 ,1.75 ,1.89 ,1.54 ,2 ,1.56 ,1.1 ,1.35 b
ind3,RT_INC,T,TOTAL,FAT,PT,4.1 ,5.07 ,4.8 ,3.61 ,3.56 ,3.54 ,3 ,2.94 ,2.12 ,2.12 ,2.72 b
ind3,RT_INC,T,TOTAL,FAT,RO,4.91 ,6.37 ,5.78 ,5.6 ,5.5 ,5.56 ,4.52 ,4.49 ,4.33 ,3 ,3.31 b
ind3,RT_INC,T,TOTAL,FAT,SE,1.23 ,1.25 ,0.98 ,0.77 ,0.87 ,0.73 ,0.77 ,0.9 ,1.01 ,0.72 ,0.49 b
ind3,RT_INC,T,TOTAL,FAT,SI,2.77 ,2.35 ,2.61 ,2.38 ,3.09 ,2.79 ,1.65 ,1.85 ,1.67 ,1.61 ,1.85 b
ind3,RT_INC,T,TOTAL,FAT,SK,2.04 ,1.56 ,2.17 ,2.36 ,1.69 ,2.67 ,2.13 ,2 ,1.83 ,1.5 ,1.49 b
ind3,RT_INC,T,TOTAL,FAT,UK,0.62 ,0.68 ,0.55 ,0.92 ,0.81 ,0.83 ,0.8 ,0.88 ,0.78 ,: ,: 
