indicator,icd10,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,B20-B24,MT,0.50 ,: ,0.40 ,0.20 ,0.50 ,0.20 ,1.20 ,0.20 ,: ,: ,0.30 ,0.48 ,0.23 ,0.23 ,0.68 ,0.65 ,1.45 ,0.25 ,0.00 p,0.78 p,0.43 
ind3,B20-B24,NL,0.80 ,0.70 ,0.50 ,0.50 ,0.50 ,0.50 ,0.30 ,0.40 ,0.30 ,0.40 ,0.30 ,0.32 ,0.27 ,0.20 ,0.23 ,0.19 ,0.25 ,0.14 ,0.15 p,0.16 p,0.13 
ind3,B20-B24,NO,0.30 ,0.20 ,0.30 ,0.40 ,0.50 ,0.60 ,0.30 ,0.20 ,0.20 ,0.40 ,0.20 ,0.27 ,0.21 ,0.08 ,0.22 ,0.20 ,0.17 ,0.18 ,0.25 p,0.14 p,0.13 
ind3,B20-B24,PL,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.30 ,0.40 ,0.20 ,0.30 ,0.34 ,0.31 ,0.32 ,0.32 ,0.36 ,0.26 ,0.23 ,0.25 p,0.25 p,0.26 
ind3,B20-B24,PT,8.70 ,9.30 ,9.20 ,8.90 ,8.30 ,8.10 ,6.60 ,7.30 ,6.60 ,6.10 ,5.90 ,5.08 ,4.59 ,4.19 ,3.87 ,3.62 ,3.04 ,2.72 ,2.89 p,2.27 p,2.01 
ind3,B20-B24,RO,1.70 ,1.80 ,1.40 ,1.10 ,1.00 ,0.90 ,0.80 ,0.70 ,0.60 ,0.60 ,0.60 ,0.90 ,0.83 ,0.81 ,0.97 ,0.90 ,1.05 ,0.90 ,0.88 p,0.68 p,0.64 
ind3,B20-B24,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.48 ,0.31 ,0.38 ,0.16 ,0.33 ,0.15 ,0.19 ,0.49 p,0.34 p,0.37 
ind3,B20-B24,SE,0.30 ,0.40 ,0.30 ,0.30 ,0.20 ,0.40 ,0.30 ,0.30 ,0.20 ,0.30 ,0.10 ,0.26 ,0.15 ,0.16 ,0.10 ,0.16 ,0.13 ,0.14 ,0.10 p,0.09 p,0.09 
ind3,B20-B24,SI,0.20 ,0.40 ,0.10 ,0.00 ,0.10 ,0.10 ,: ,0.10 ,0.20 ,0.10 ,: ,0.05 ,0.09 ,0.22 ,0.23 ,0.09 ,: ,0.22 ,0.05 p,0.00 p,0.00 
ind3,B20-B24,SK,0.00 ,0.00 ,0.00 ,: ,0.00 ,: ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.05 ,0.04 ,0.03 ,0.08 ,0.03 ,0.08 ,0.11 p,0.14 p,0.10 
ind3,B20-B24,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.06 d,0.11 d,0.10 d,0.11 d,0.14 d,0.12 d,0.13 d,0.12 dp,0.14 dp,: 
ind3,B20-B24,UK,0.30 ,0.30 ,0.40 ,0.40 ,0.30 ,0.40 ,0.40 ,0.40 ,0.40 ,0.40 ,0.40 ,0.31 d,0.37 ,0.36 ,0.29 ,0.28 ,0.29 ,0.25 ,0.24 p,: ,: 
ind3,TOTAL,AL,: ,: ,: ,: ,2.00 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind3,TOTAL,AT,2.20 ,2.10 ,5.00 ,5.90 ,5.40 ,6.30 ,4.70 ,4.40 ,4.80 ,4.80 ,4.50 ,4.67 ,3.92 ,4.41 ,4.46 ,4.27 ,2.91 ,2.53 ,2.47 p,2.55 p,2.27 
ind3,TOTAL,BE,: ,: ,: ,2.80 ,2.90 ,2.70 ,2.30 ,2.50 ,2.60 ,2.20 ,2.00 ,1.78 ,1.71 ,1.77 ,1.35 ,1.43 ,1.10 ,1.20 ,1.02 p,1.11 p,0.96 
ind3,TOTAL,BG,5.10 ,5.00 ,4.40 ,4.20 ,4.10 ,4.40 ,4.30 ,4.20 ,3.60 ,3.10 ,3.10 ,2.67 ,2.66 ,2.38 ,2.43 ,2.06 ,2.16 ,2.07 ,1.95 p,2.00 p,1.80 
ind3,TOTAL,CH,4.00 ,3.70 ,3.20 ,3.20 ,2.90 ,2.60 ,2.60 ,2.20 ,2.20 ,1.90 ,2.00 ,1.99 ,1.97 ,1.93 ,1.75 ,1.60 ,1.25 ,1.05 ,0.68 p,0.49 p,0.52 
ind3,TOTAL,CY,: ,: ,: ,: ,1.30 ,2.10 ,1.20 ,1.00 ,: ,: ,0.70 ,1.70 ,1.50 ,0.95 ,1.59 ,1.58 ,: ,0.68 ,0.61 p,0.51 p,1.11 
ind3,TOTAL,CZ,1.80 ,1.40 ,: ,: ,: ,1.00 ,0.90 ,1.20 ,1.10 ,1.10 ,0.80 ,2.08 ,1.90 ,1.13 ,1.02 ,1.01 ,0.88 ,0.75 ,0.69 p,0.45 p,0.55 
ind3,TOTAL,DE,3.20 ,2.90 ,2.90 ,2.90 ,2.70 ,2.50 ,2.40 ,2.30 ,2.10 ,2.20 ,2.20 ,2.19 ,2.09 ,2.05 ,1.78 ,1.83 ,1.60 ,1.51 ,1.38 p,1.25 p,1.16 
ind3,TOTAL,DK,1.70 ,1.90 ,1.90 ,1.90 ,2.20 ,1.70 ,1.50 ,1.50 ,1.30 ,1.60 ,: ,1.01 ,1.29 ,1.32 ,1.08 ,0.86 ,1.19 ,0.92 ,0.65 p,0.73 p,0.64 
ind3,TOTAL,EE,8.70 ,8.50 ,7.00 ,8.20 ,9.80 ,6.40 ,9.00 ,8.30 ,7.70 ,8.70 ,6.50 ,8.66 ,7.27 ,6.48 ,6.42 ,5.40 ,5.93 ,5.39 ,5.44 p,4.43 p,3.59 
ind3,TOTAL,EL,1.70 ,2.00 ,2.10 ,2.30 ,1.80 ,2.00 ,1.90 ,1.90 ,1.70 ,1.60 ,1.60 ,1.42 ,2.04 ,1.85 ,1.81 ,1.35 ,1.47 ,1.55 ,1.45 p,1.26 p,1.17 
ind3,TOTAL,ES,7.80 ,7.70 ,7.60 ,7.70 ,7.50 ,7.00 ,6.30 ,6.10 ,5.50 ,5.60 ,5.20 ,4.50 ,4.36 ,3.98 ,3.95 ,3.68 ,3.09 ,2.63 ,2.43 p,2.16 p,1.99 
ind3,TOTAL,EU27_2020,: ,: ,5.20 e,5.30 e,4.90 e,4.80 e,4.30 e,4.30 e,4.10 e,4.00 e,3.70 e,3.66 ,3.61 ,3.36 ,3.20 ,3.12 ,2.79 ,2.56 ,2.31 p,2.10 p,1.90 
ind3,TOTAL,EU28,: ,: ,4.80 e,4.90 e,4.60 e,4.40 e,4.00 e,4.00 e,3.90 e,3.70 e,3.60 e,3.39 d,3.33 d,3.11 d,2.97 ,2.91 ,2.59 ,2.37 ,2.14 p,: ,: 
ind3,TOTAL,FI,3.80 ,3.00 ,2.80 ,2.30 ,2.10 ,2.20 ,1.70 ,1.70 ,1.60 ,1.60 ,1.20 ,1.47 ,1.15 ,0.80 ,1.01 ,: ,0.73 ,0.73 ,0.79 p,0.65 p,0.54 
ind3,TOTAL,FR,: ,5.80 ,5.40 ,5.00 ,4.70 ,4.50 ,4.00 ,3.70 ,3.60 ,3.00 ,2.90 ,2.73 ,2.56 ,2.54 ,2.18 ,2.14 ,1.97 ,2.06 ,1.59 p,1.52 p,1.19 
ind3,TOTAL,HR,: ,: ,5.80 ,4.90 ,5.40 ,4.40 ,5.00 ,3.90 ,3.60 ,4.00 ,3.30 ,2.59 ,2.71 d,2.38 d,2.19 ,2.74 ,3.20 ,2.76 ,2.28 p,2.09 p,1.55 
ind3,TOTAL,HU,4.80 ,4.90 ,4.10 ,3.60 ,3.50 ,3.10 ,2.00 ,2.60 ,2.20 ,2.40 ,2.10 ,1.87 d,3.23 d,3.20 d,3.06 ,3.27 ,2.55 ,2.22 ,2.14 p,1.91 p,1.72 
ind3,TOTAL,IE,3.20 ,2.00 ,2.50 ,2.30 ,2.40 ,1.70 ,2.30 ,2.70 ,2.10 ,2.20 ,2.40 ,1.78 ,1.72 ,1.69 ,1.55 ,1.31 ,1.23 ,1.16 ,1.13 p,0.55 p,0.91 
ind3,TOTAL,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.00 ,0.30 p,0.60 p,0.59 
ind3,TOTAL,IT,5.20 ,5.10 ,5.80 ,7.10 ,: ,: ,6.20 ,6.50 ,6.40 ,6.20 ,6.20 ,6.43 ,6.46 ,5.75 ,5.46 ,5.50 ,4.80 ,4.30 ,3.70 p,3.34 p,3.11 
ind3,TOTAL,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3.32 ,0.00 p,0.00 p,0.00 
ind3,TOTAL,LT,12.90 ,12.40 ,12.20 ,12.30 ,11.10 ,12.30 ,12.80 ,12.20 ,12.10 ,9.50 ,8.80 ,9.04 ,10.19 ,9.11 ,9.47 ,7.84 ,8.20 ,7.44 ,5.70 p,5.36 p,5.24 
ind3,TOTAL,LU,1.90 ,3.00 ,2.40 ,2.80 ,: ,0.90 ,1.70 ,2.10 ,: ,: ,1.60 ,2.10 ,: ,: ,2.34 ,1.49 ,1.07 ,2.47 ,0.82 p,0.42 p,1.44 
ind3,TOTAL,LV,14.20 ,13.70 ,10.50 ,11.50 ,10.10 ,10.40 ,10.70 ,10.00 ,10.10 ,10.30 ,8.40 ,8.84 ,8.92 ,13.12 ,10.66 ,11.59 ,10.54 ,10.83 ,9.48 p,10.53 p,7.87 
ind3,TOTAL,MK,: ,8.10 ,: ,: ,: ,: ,4.70 ,4.50 ,4.10 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind3,TOTAL,MT,: ,: ,3.20 ,1.90 ,1.50 ,1.40 ,2.10 ,3.20 ,: ,: ,: ,3.03 ,1.23 ,1.82 ,1.66 ,: ,2.35 ,0.72 ,0.47 p,0.97 p,0.43 
ind3,TOTAL,NL,2.00 ,1.90 ,1.50 ,1.50 ,1.50 ,1.40 ,1.30 ,1.10 ,1.10 ,1.20 ,1.10 ,0.90 ,0.89 ,0.84 ,0.66 ,0.78 ,0.70 ,0.48 ,0.50 p,0.49 p,0.51 
ind3,TOTAL,NO,2.10 ,2.00 ,1.40 ,2.10 ,2.00 ,2.10 ,1.40 ,1.30 ,1.40 ,1.60 ,1.10 ,1.24 ,0.86 ,0.75 ,0.87 ,0.86 ,0.91 ,0.63 ,0.75 p,0.62 p,0.46 
ind3,TOTAL,PL,5.40 ,5.00 ,4.50 ,4.50 ,4.00 ,3.90 ,3.60 ,3.50 ,3.80 ,3.30 ,2.80 ,3.10 ,3.01 ,2.57 ,2.78 ,2.79 ,2.56 ,2.22 ,2.15 p,1.85 p,1.84 
ind3,TOTAL,PT,13.90 ,14.00 ,14.10 ,14.20 ,12.50 ,12.20 ,9.90 ,11.40 ,9.90 ,9.70 ,9.00 ,8.16 ,7.73 ,7.43 ,7.22 ,6.76 ,5.96 ,5.21 ,5.78 p,4.59 p,4.40 
ind3,TOTAL,RO,12.60 ,14.30 ,13.50 ,12.60 ,11.80 ,10.10 ,9.50 ,9.00 ,9.10 ,8.60 ,8.30 ,7.79 ,7.63 ,6.96 ,7.17 ,6.80 ,6.57 ,6.41 ,6.34 p,6.15 p,5.35 
ind3,TOTAL,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.76 ,3.04 ,2.87 ,2.23 ,2.07 ,1.93 ,1.73 ,2.07 p,1.29 p,1.35 
ind3,TOTAL,SE,1.50 ,1.80 ,2.10 ,1.50 ,1.30 ,1.90 ,1.70 ,1.80 ,1.60 ,1.80 ,1.10 ,1.36 ,1.15 ,1.47 ,1.05 ,1.22 ,0.97 ,0.82 ,0.91 p,0.63 p,0.52 
ind3,TOTAL,SI,1.90 ,2.60 ,1.90 ,2.30 ,0.80 ,2.20 ,: ,2.60 ,3.00 ,1.70 ,: ,1.02 ,0.92 ,0.91 ,1.69 ,0.84 ,: ,0.65 ,0.56 p,0.74 p,1.12 
ind3,TOTAL,SK,2.10 ,2.00 ,2.10 ,: ,1.80 ,: ,1.50 ,1.30 ,1.10 ,1.20 ,1.30 ,0.83 ,0.84 ,0.86 ,1.34 ,0.93 ,1.15 ,1.03 ,0.88 p,0.52 p,0.64 
ind3,TOTAL,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,4.63 d,4.07 d,4.36 d,3.68 d,3.32 d,2.99 d,2.49 d,2.21 dp,1.73 dp,: 
ind3,TOTAL,UK,1.70 ,1.70 ,1.80 ,1.80 ,1.60 ,1.70 ,1.70 ,1.50 ,1.60 ,1.60 ,1.50 ,1.37 d,1.35 ,1.38 ,1.32 ,1.37 ,1.17 ,0.99 ,0.90 p,: ,: 
