indicator,icd10,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,A15-A19_B90,LU,0.90 ,1.70 ,0.90 ,0.60 ,: ,0.20 ,0.30 ,0.50 ,: ,: ,0.30 ,0.69 ,: ,: ,0.27 ,0.30 ,0.25 ,0.78 ,0.00 p,0.00 p,0.24 
ind3,A15-A19_B90,LV,13.80 ,13.10 ,9.80 ,10.30 ,8.70 ,8.70 ,8.60 ,6.80 ,5.50 ,5.00 ,4.10 ,3.76 ,2.93 ,5.15 ,3.29 ,4.70 ,3.86 ,3.58 ,3.11 p,3.74 p,2.96 
ind3,A15-A19_B90,MK,7.60 ,7.50 ,5.10 ,6.10 ,4.20 ,4.80 ,4.20 ,3.90 ,3.70 ,1.20 ,2.20 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind3,A15-A19_B90,MT,0.90 ,0.40 ,1.20 ,0.40 ,0.60 ,0.30 ,0.40 ,2.30 ,0.30 ,0.40 ,0.30 ,0.90 ,0.32 ,1.05 ,0.28 ,0.50 ,0.47 ,0.00 ,0.00 p,0.19 p,0.00 
ind3,A15-A19_B90,NL,0.80 ,0.70 ,0.60 ,0.60 ,0.60 ,0.60 ,0.60 ,0.40 ,0.40 ,0.50 ,0.40 ,0.26 ,0.23 ,0.28 ,0.23 ,0.24 ,0.19 ,0.15 ,0.18 p,0.12 p,0.19 
ind3,A15-A19_B90,NO,1.40 ,1.40 ,0.90 ,1.40 ,1.10 ,1.10 ,0.90 ,0.80 ,0.60 ,0.70 ,0.60 ,0.69 ,0.47 ,0.43 ,0.25 ,0.25 ,0.38 ,0.29 ,0.19 p,0.30 p,0.14 
ind3,A15-A19_B90,PL,4.20 ,3.90 ,3.40 ,3.30 ,2.90 ,2.80 ,2.50 ,2.40 ,2.60 ,2.40 ,1.80 ,1.99 ,1.85 ,1.56 ,1.53 ,1.52 ,1.51 ,1.39 ,1.44 p,1.26 p,1.29 
ind3,A15-A19_B90,PT,3.90 ,3.90 ,3.80 ,3.80 ,3.30 ,3.00 ,2.40 ,2.70 ,2.40 ,2.50 ,2.00 ,2.00 ,1.95 ,1.96 ,1.90 ,1.87 ,1.73 ,1.64 ,1.99 p,1.47 p,1.44 
ind3,A15-A19_B90,RO,10.70 ,12.20 ,11.90 ,11.20 ,10.50 ,8.90 ,8.50 ,8.00 ,8.20 ,7.70 ,7.50 ,6.67 ,6.53 ,5.89 ,5.76 ,5.44 ,4.99 ,4.78 ,4.69 p,4.73 p,3.99 
ind3,A15-A19_B90,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.87 ,2.18 ,1.89 ,1.51 ,1.15 ,1.26 ,1.16 ,0.99 p,0.59 p,0.59 
ind3,A15-A19_B90,SE,0.80 ,1.00 ,1.10 ,0.60 ,0.50 ,0.70 ,0.70 ,0.70 ,0.70 ,0.60 ,0.40 ,0.48 ,0.39 ,0.42 ,0.31 ,0.24 ,0.24 ,0.22 ,0.22 p,0.18 p,0.13 
ind3,A15-A19_B90,SI,1.40 ,1.70 ,1.30 ,1.70 ,0.60 ,1.20 ,1.20 ,1.90 ,2.20 ,1.40 ,1.20 ,0.71 ,0.61 ,0.48 ,1.13 ,0.66 ,0.32 ,0.34 ,0.28 p,0.65 p,0.80 
ind3,A15-A19_B90,SK,1.70 ,1.70 ,1.80 ,1.90 ,1.40 ,1.30 ,1.10 ,0.90 ,0.90 ,1.00 ,0.80 ,0.72 ,0.36 ,0.46 ,0.87 ,0.35 ,0.63 ,0.65 ,0.59 p,0.30 p,0.40 
ind3,A15-A19_B90,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.01 d,1.68 d,1.53 d,1.39 d,1.31 d,1.29 d,1.04 d,1.09 dp,0.85 dp,: 
ind3,A15-A19_B90,UK,1.00 ,1.00 ,1.00 ,1.00 ,0.90 ,0.90 ,0.90 ,0.70 ,0.80 ,0.70 ,0.70 ,0.59 d,0.56 ,0.57 ,0.58 ,0.54 ,0.48 ,0.41 ,0.39 p,: ,: 
