indicator,nabs07,unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind2,NABS08,EUR_HAB,MT,0.40 ,1.20 ,0.70 ,0.20 ,1.10 ,1.20 ,0.90 ,1.00 ,1.00 ,1.30 ,1.10 ,1.60 ,0.60 ,0.60 ,2.30 ,3.00 ,1.60 ,1.90 
ind2,NABS08,EUR_HAB,NL,12.80 ,13.20 ,12.80 ,12.30 ,14.50 ,10.00 ,10.60 ,9.80 ,8.90 ,8.90 ,9.90 ,5.90 ,6.20 ,6.10 ,7.20 ,8.20 ,12.60 ,12.60 
ind2,NABS08,EUR_HAB,NO,29.70 ,31.80 ,34.30 ,36.00 ,34.80 ,36.20 ,39.00 ,41.30 ,43.50 ,47.60 ,50.40 ,53.30 ,50.10 ,64.90 ,49.40 ,48.20 ,48.90 ,48.80 
ind2,NABS08,EUR_HAB,PL,0.10 ,0.20 ,0.20 ,0.50 ,0.60 ,: ,: ,: ,1.70 b,1.80 ,1.40 ,1.60 ,1.40 ,1.50 ,1.70 ,2.60 ,3.80 ,0.10 
ind2,NABS08,EUR_HAB,PT,1.60 ,1.80 ,1.70 ,2.30 ,2.60 ,3.20 ,3.00 ,2.50 ,0.90 ,1.60 ,1.70 ,1.80 ,1.80 ,1.70 ,1.80 ,1.70 ,1.70 ,1.90 
ind2,NABS08,EUR_HAB,RO,0.30 ,0.30 ,1.40 ,1.40 ,2.40 ,1.40 ,2.90 ,1.90 ,1.50 ,0.70 b,0.80 ,1.20 ,1.20 ,1.10 ,0.70 ,1.10 ,1.00 ,1.20 
ind2,NABS08,EUR_HAB,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.50 ,1.60 ,2.00 ,1.60 ,1.80 ,1.90 ,2.20 ,2.60 ,2.90 
ind2,NABS08,EUR_HAB,RU,: ,: ,: ,0.30 ,0.40 ,0.70 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind2,NABS08,EUR_HAB,SE,7.80 ,6.20 ,6.60 ,4.30 ,4.70 ,4.40 d,5.10 e,5.50 e,6.10 e,5.50 e,5.60 e,4.80 e,5.30 e,4.80 e,4.20 e,4.50 e,4.80 e,7.70 e
ind2,NABS08,EUR_HAB,SI,1.90 ,2.70 ,2.00 ,3.70 ,3.80 ,4.00 ,4.00 ,4.50 ,3.60 ,3.40 ,3.30 ,2.90 ,3.40 ,4.40 ,6.00 ,4.80 ,6.00 ,6.50 
ind2,NABS08,EUR_HAB,SK,1.90 ,2.30 ,2.00 ,1.90 ,2.00 ,2.10 ,2.50 ,3.30 ,1.80 ,2.20 ,1.80 ,1.90 ,1.80 ,2.30 ,2.10 ,2.90 ,2.90 ,6.50 
ind2,NABS08,EUR_HAB,TR,: ,: ,: ,: ,0.60 ,0.90 ,0.80 ,0.90 ,0.80 ,0.70 ,0.60 ,1.10 ,0.90 ,0.80 ,0.60 ,0.50 ,0.50 ,0.40 
ind2,NABS08,EUR_HAB,UK,6.90 ,6.60 ,6.90 ,6.00 ,5.10 ,6.10 ,5.70 ,6.50 ,7.40 ,7.40 ,6.50 ,7.40 ,6.90 ,7.20 ,6.30 ,6.00 ,: ,: 
ind2,NABS08,MIO_EUR,AT,34.572 d,30.536 d,32.028 d,37.248 d,40.021 d,37.747 d,39.372 d,41.121 d,38.554 d,45.013 d,34.433 d,32.304 d,32.130 ,39.613 d,38.483 d,36.059 d,39.288 d,51.138 d
ind2,NABS08,MIO_EUR,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.241 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.728 ,: 
ind2,NABS08,MIO_EUR,BE,32.562 ,23.847 ,24.965 ,29.292 ,30.097 ,31.742 ,32.205 ,37.425 ,39.496 ,34.822 ,38.953 ,37.268 ,37.101 ,36.742 ,64.210 ,57.014 ,58.547 ,78.685 
ind2,NABS08,MIO_EUR,BG,: ,: ,: ,13.025 ,24.964 ,23.011 ,13.869 ,14.747 ,16.634 ,20.470 ,17.582 ,17.294 ,15.713 ,21.095 ,21.484 ,24.801 ,25.422 ,29.034 
ind2,NABS08,MIO_EUR,CH,47.791 ,: ,48.981 ,: ,47.932 ,: ,59.537 ,: ,74.801 ,: ,105.572 ,125.825 ,: ,124.452 b,131.904 ,141.622 ,150.331 ,198.276 
ind2,NABS08,MIO_EUR,CY,10.646 ,10.320 ,9.926 ,11.043 ,9.494 ,9.970 ,9.633 ,9.663 ,9.037 ,7.015 ,6.010 ,5.933 ,5.507 ,5.750 ,5.947 ,6.245 ,7.077 ,7.746 
ind2,NABS08,MIO_EUR,CZ,24.608 ,28.801 ,33.389 ,36.979 ,43.407 ,45.258 ,44.694 ,46.686 ,40.670 ,39.215 ,40.683 ,42.105 ,41.070 ,46.571 ,48.338 ,59.655 ,58.972 ,62.694 
ind2,NABS08,MIO_EUR,DE,332.270 d,310.220 d,397.186 d,489.177 d,559.813 d,662.900 d,770.700 d,743.400 d,691.200 d,719.100 d,728.180 d,812.920 d,824.670 ,881.190 ,916.740 ,917.460 ,1028.530 ,1121.618 
ind2,NABS08,MIO_EUR,DK,79.114 ,82.745 ,93.885 ,91.389 ,74.960 ,74.481 ,72.590 ,80.410 ,68.541 ,91.634 ,69.070 ,93.435 ,96.572 ,76.950 e,87.426 e,101.753 e,90.486 ,139.102 
ind2,NABS08,MIO_EUR,EA19,1880.834 e,2013.952 e,2127.860 e,2465.301 e,2620.320 e,2491.608 e,2549.078 e,2577.842 e,2177.443 e,2225.122 e,2255.413 e,2299.589 e,2348.070 e,2439.428 e,2541.573 e,2559.443 e,2766.207 e,2952.622 e
ind2,NABS08,MIO_EUR,EA20,1883.432 e,2016.676 e,2130.694 e,2468.272 e,2623.515 e,2493.886 e,2551.583 e,2581.137 e,2179.644 e,2225.981 e,2261.879 e,2304.152 e,2356.487 e,2450.256 e,2549.576 e,2570.845 e,2777.047 e,2958.416 e
ind2,NABS08,MIO_EUR,EE,5.317 e,6.097 e,6.896 e,7.439 e,7.407 e,7.286 e,8.191 e,12.214 e,16.009 e,14.585 e,9.151 e,8.600 ,6.500 ,8.800 ,5.400 ,6.860 ,9.960 ,10.147 
ind2,NABS08,MIO_EUR,EL,27.990 ,34.000 ,41.100 ,42.534 ,38.020 b,31.090 ,28.930 ,31.430 ,27.450 ,28.130 ,29.610 ,30.030 ,32.980 ,18.730 ,32.000 ,56.710 ,43.650 ,51.059 
ind2,NABS08,MIO_EUR,ES,354.928 ,454.151 ,585.795 ,711.502 ,717.838 ,664.078 ,585.967 ,548.888 ,388.166 ,375.130 ,366.294 ,401.797 ,401.443 ,397.853 ,434.049 ,449.018 ,472.570 ,499.703 
ind2,NABS08,MIO_EUR,EU27_2020,2131.181 e,2267.561 e,2411.838 e,2734.422 e,2923.589 e,2772.707 e,2855.682 e,2872.429 e,2479.402 e,2569.092 e,2529.895 e,2602.473 e,2670.863 e,2755.757 e,2864.629 e,2960.646 e,3217.361 e,3337.329 e
ind2,NABS08,MIO_EUR,FI,92.060 ,95.397 ,97.934 ,101.138 ,98.450 ,100.635 ,99.510 ,96.999 ,99.243 ,96.568 ,94.000 ,96.650 ,76.280 ,72.790 ,56.800 ,57.100 ,60.200 ,69.912 
ind2,NABS08,MIO_EUR,FR,340.500 d,362.840 d,220.578 d,236.989 d,269.000 d,289.300 d,312.100 d,368.000 d,287.691 d,306.515 d,353.152 d,391.358 d,402.239 e,458.966 e,397.093 e,362.225 e,369.530 e,354.849 
ind2,NABS08,MIO_EUR,HR,: ,: ,: ,: ,3.198 ,2.271 ,2.516 ,3.490 ,2.323 ,0.943 ,6.497 ,4.550 ,8.418 ,10.828 ,8.004 ,11.402 ,10.840 ,5.794 
ind2,NABS08,MIO_EUR,HU,: ,55.018 ,46.859 ,36.433 e,42.284 ,36.861 ,18.760 ,9.141 ,19.113 ,54.017 d,15.970 ,16.863 ,31.968 ,35.698 ,35.747 ,38.753 ,51.613 ,41.962 
ind2,NABS08,MIO_EUR,IE,71.800 ,90.400 ,80.700 ,101.300 ,103.900 ,92.200 ,85.200 ,93.300 ,91.100 ,90.100 ,90.200 ,91.000 ,95.400 ,98.400 ,109.600 ,96.400 ,92.900 ,96.358 
ind2,NABS08,MIO_EUR,IS,17.829 ,22.096 ,21.970 ,23.374 ,19.600 ,15.365 ,16.122 ,20.698 ,22.373 ,18.272 ,3.377 u,4.381 u,5.577 u,17.521 u,9.453 u,6.243 u,: ,8.390 
ind2,NABS08,MIO_EUR,IT,: ,326.030 ,364.530 ,433.300 ,440.706 ,335.300 ,334.400 ,311.000 ,268.400 ,285.700 ,268.800 ,243.800 ,274.800 ,262.025 ,297.752 ,307.117 ,296.990 ,301.520 
ind2,NABS08,MIO_EUR,JP,885.466 d,870.311 d,828.571 d,800.167 d,863.136 d,1035.860 d,1076.024 d,1025.361 d,1028.022 d,767.762 d,753.417 d,770.069 bd,1099.638 bd,1132.642 bd,1460.540 dp,1978.247 dp,1972.504 dp,1923.066 dp
ind2,NABS08,MIO_EUR,KR,352.519 ,398.820 b,475.646 ,439.075 ,392.363 be,443.076 e,484.301 e,478.757 e,608.258 ,635.658 ,670.278 ,782.225 ,839.781 ,846.479 ,799.336 ,808.749 ,834.158 ,: 
ind2,NABS08,MIO_EUR,LT,12.595 ,12.951 ,6.517 ,6.872 b,8.569 ,7.053 ,5.494 ,6.200 ,6.019 ,6.658 ,7.183 ,7.697 ,7.708 ,8.223 ,8.590 ,8.878 ,10.185 ,9.169 
ind2,NABS08,MIO_EUR,LU,0.034 ,0.002 ,0.056 ,0.031 ,0.051 ,0.036 ,0.586 ,0.633 ,0.490 ,0.293 ,0.255 ,0.147 ,0.138 ,0.222 ,0.143 ,0.203 ,0.688 ,0.561 
ind2,NABS08,MIO_EUR,LV,: ,1.867 ,8.618 ,9.427 ,12.380 ,6.093 ,4.515 ,2.690 ,4.876 ,5.280 ,6.900 ,8.700 ,11.000 ,6.100 ,7.200 ,11.700 ,10.900 ,11.069 
ind2,NABS08,MIO_EUR,MT,0.151 ,0.498 ,0.290 ,0.099 ,0.468 ,0.503 ,0.375 ,0.395 ,0.401 ,0.528 ,0.468 ,0.709 ,0.281 ,0.267 ,1.116 ,1.492 ,0.849 ,0.982 
ind2,NABS08,MIO_EUR,NL,208.529 ,215.979 ,208.375 ,202.019 ,237.257 ,164.939 ,175.504 ,162.847 ,148.167 ,149.466 ,167.262 ,99.884 ,104.840 ,104.247 ,123.981 ,141.561 ,219.017 ,219.594 
