PM2_5,YLL,NR,PT,101236 ,71318 ,47998 ,58835 ,45354 ,56878 ,40065 ,40133 ,28772 ,41376 ,30656 ,32077 ,27417 ,26450 ,25829 
PM2_5,YLL,NR,RO,479583 ,399067 ,383371 ,332705 ,264356 ,343501 ,323318 ,268453 ,255693 ,270038 ,251238 ,269005 ,267428 ,217526 ,234049 
PM2_5,YLL,NR,RS,164745 ,: ,: ,153191 ,: ,: ,: ,: ,123120 ,133828 ,138626 ,157809 ,147025 ,117640 ,: 
PM2_5,YLL,NR,SE,33600 ,29870 ,24808 ,16338 ,20334 ,25876 ,14976 ,7589 ,16194 ,7625 ,7109 ,3896 ,8608 ,5254 ,3331 
PM2_5,YLL,NR,SI,23807 ,19295 ,19572 ,20863 ,21292 ,23836 ,19643 ,19320 ,15534 ,19373 ,16973 ,17573 ,17067 ,12961 ,11880 
PM2_5,YLL,NR,SK,78217 ,64402 ,67722 ,65226 ,70433 ,83343 ,66807 ,64287 ,60752 ,61884 ,55385 ,60786 ,60056 ,44084 ,46129 
PM2_5,YLL,NR,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,445412 ,: ,583569 ,557902 ,: 
PM2_5,YLL,NR,XK,44739 ,: ,: ,47206 ,: ,: ,: ,: ,37943 ,38037 ,46281 ,40580 ,40339 ,29449 ,: 
PM2_5,YLL,RT,AL,1982 ,: ,: ,1853 ,: ,: ,: ,: ,1440 ,1715 ,1844 ,1920 ,1811 ,1486 ,: 
PM2_5,YLL,RT,AT,951 ,733 ,795 ,789 ,914 ,920 ,701 ,761 ,568 ,599 ,496 ,497 ,591 ,429 ,344 
PM2_5,YLL,RT,BA,1868 ,: ,: ,1896 ,: ,: ,: ,: ,1249 ,1542 ,2234 ,1820 ,2095 ,1742 ,: 
PM2_5,YLL,RT,BE,958 ,772 ,907 ,1005 ,1027 ,945 ,798 ,850 ,632 ,592 ,560 ,535 ,548 ,424 ,314 
