hhtyp,incgrp,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
TOTAL,A_MD60,PC,LV,: ,: ,23.6 ,28.0 ,27.9 ,29.3 ,24.9 b,24.3 ,19.4 ,17.4 ,12.3 ,13.2 ,12.4 ,10.5 ,7.9 ,9.0 ,6.4 ,5.0 
TOTAL,A_MD60,PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.9 ,6.2 ,7.3 ,5.2 ,3.1 ,5.6 ,5.7 ,2.5 
TOTAL,A_MD60,PC,MK,: ,: ,: ,: ,: ,: ,: ,6.6 ,6.6 ,5.5 ,8.1 ,5.9 ,6.1 ,4.7 ,4.7 ,5.8 ,6.5 ,6.0 
TOTAL,A_MD60,PC,MT,: ,: ,13.8 ,12.5 ,10.1 ,10.0 ,10.4 ,10.4 ,12.7 ,13.0 ,13.0 ,12.1 ,10.8 ,10.3 ,9.5 ,12.2 ,13.7 ,11.2 
TOTAL,A_MD60,PC,NL,: ,: ,18.4 ,16.3 ,17.6 ,14.5 ,21.3 b,16.5 ,18.2 ,17.9 ,18.0 ,18.1 ,17.4 ,16.0 b,14.5 ,16.8 ,15.7 ,14.7 
TOTAL,A_MD60,PC,NO,5.7 ,5.6 ,4.8 ,3.4 ,4.6 ,4.8 ,5.1 ,5.2 ,4.6 ,5.7 ,4.2 ,3.7 ,5.6 ,4.3 ,3.5 ,3.9 ,3.8 ,3.8 
TOTAL,A_MD60,PC,PL,: ,: ,10.6 ,9.2 ,7.8 ,7.1 ,6.3 ,6.4 b,6.3 ,6.1 ,6.2 ,6.2 ,5.8 ,5.8 ,5.4 ,4.8 ,4.4 ,: 
TOTAL,A_MD60,PC,PT,: ,14.1 ,14.5 ,12.4 ,12.4 ,12.0 ,14.6 ,11.2 ,10.3 ,11.6 ,13.2 ,11.7 ,10.3 ,7.9 ,7.7 ,6.3 ,6.6 ,5.9 
TOTAL,A_MD60,PC,RO,: ,: ,: ,: ,15.0 ,13.1 ,16.6 ,15.6 ,16.5 ,13.7 ,15.8 ,14.0 ,12.8 ,13.7 ,10.4 ,11.3 ,9.1 ,8.5 
TOTAL,A_MD60,PC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,20.4 ,22.0 ,18.3 ,19.2 ,14.9 ,14.8 ,11.5 ,9.9 
