hhtyp,incgrp,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
TOTAL,TOTAL,PC,NO,5.8 ,5.7 ,4.8 ,3.9 ,4.7 ,5.2 ,5.3 ,5.5 ,4.9 ,6.0 ,4.6 ,4.0 ,5.7 ,4.6 ,3.8 ,4.2 ,4.0 ,4.1 
TOTAL,TOTAL,PC,PL,: ,: ,10.4 ,9.0 ,8.0 ,7.3 ,6.7 ,6.5 b,6.3 ,6.3 ,6.4 ,6.4 ,5.8 ,5.6 ,5.4 ,4.8 ,4.4 ,: 
TOTAL,TOTAL,PC,PT,: ,13.6 ,13.8 ,11.9 ,12.6 ,11.7 ,14.0 ,11.3 ,10.1 ,10.9 ,13.3 ,11.6 ,10.5 ,7.8 ,7.9 ,6.5 ,6.7 ,6.6 
TOTAL,TOTAL,PC,RO,: ,: ,: ,: ,15.4 ,13.1 ,16.1 ,15.4 ,16.3 ,13.7 ,15.7 ,14.5 ,13.1 ,14.1 ,11.3 ,11.5 ,9.6 ,8.8 
TOTAL,TOTAL,PC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,20.2 ,21.1 ,16.8 ,18.2 ,14.0 ,14.7 ,10.7 ,9.5 
TOTAL,TOTAL,PC,SE,: ,10.0 ,9.7 ,13.5 ,13.0 ,13.6 b,13.2 ,10.4 ,11.3 ,10.6 ,10.1 ,10.7 ,10.9 ,12.7 ,13.0 ,14.4 ,13.0 ,13.8 
TOTAL,TOTAL,PC,SI,: ,: ,10.5 ,9.5 ,10.2 ,8.7 ,12.5 b,9.3 ,8.6 ,8.1 ,9.1 ,10.1 ,9.2 ,8.5 ,8.0 ,7.9 ,8.0 ,7.3 
TOTAL,TOTAL,PC,SK,: ,: ,9.5 ,8.4 ,8.2 ,9.3 ,12.3 b,10.2 ,10.0 ,9.6 ,8.9 ,8.7 ,7.3 ,6.9 ,6.2 ,4.8 ,5.6 ,4.3 
TOTAL,TOTAL,PC,TR,: ,: ,: ,21.4 ,17.0 ,11.3 ,12.4 ,: ,10.7 ,8.5 ,9.7 ,10.6 ,11.2 ,10.7 ,11.3 ,11.1 ,10.9 ,9.8 
TOTAL,TOTAL,PC,UK,: ,: ,30.0 ,27.6 ,26.9 ,24.8 ,25.1 ,23.1 ,20.7 ,19.7 b,17.4 ,16.5 ,16.6 ,16.8 ,20.3 bu,24.2 u,: ,: 
TOTAL,TOTAL,PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.4 ,: ,: 
