unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,18.1 ,18.7 
PC,AT,63.4 ,64.3 e,62.5 e,64.2 e,57.4 ,58.3 e,59.2 ,60.2 ,63.2 ,61.9 ,59.4 ,56.7 ,57.7 ,57.7 ,56.3 ,56.9 ,57.6 ,57.8 ,57.7 ,58.2 ,62.3 b,: 
PC,BA,: ,: ,: ,: ,: ,: ,: ,: ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,: ,: ,: ,: 
PC,BE,49.7 ,50.4 ,51.5 ,52.9 ,53.5 ,55.6 ,56.1 ,56.8 ,52.7 ,53.9 ,54.8 ,54.4 ,53.4 ,52.8 ,53.8 ,53.5 ,53.5 ,53.9 ,54.4 ,54.7 ,51.4 b,53.3 p
PC,BG,15.5 e,16.1 e,16.3 e,16.5 e,17.2 be,18.3 e,19.1 e,20.6 e,19.4 e,19.9 e,24.5 ,26.2 ,25.0 ,28.5 ,23.1 ,29.4 ,31.8 ,34.6 ,31.5 ,34.6 s,65.5 ,: 
PC,CH,45.3 ,46.6 ,46.7 ,47.5 ,48.7 ,50.6 ,50.1 ,51.0 ,49.9 ,51.3 ,50.5 ,50.1 ,50.0 e,51.0 e,53.5 be,52.7 e,52.5 e,52.5 e,52.5 e,53.0 e,52.8 ,53.3 
PC,CY,3.0 ,3.1 ,3.2 ,3.1 ,3.2 ,3.7 ,4.4 b,5.2 ,7.5 ,8.3 ,10.9 ,11.0 ,12.5 ,13.9 ,14.8 ,16.6 ,16.1 ,16.0 ,16.7 ,16.6 ,16.6 ,15.3 p
PC,CZ,0.9 ,0.9 b,0.9 ,0.9 ,5.5 be,6.2 e,7.4 e,10.1 e,10.4 e,12.4 e,15.8 e,16.9 e,23.2 e,24.2 e,25.4 e,29.7 e,33.6 e,32.1 b,32.2 ,33.3 ,40.5 ,43.3 
PC,DE,52.5 s,52.3 s,56.1 ,57.8 ,56.4 ,60.9 ,62.1 ,63.2 ,63.8 ,63.1 ,62.5 ,63.0 ,65.2 ,63.8 ,65.6 ,66.7 ,67.1 ,67.2 ,67.1 ,66.7 e,70.3 p,71.1 e
PC,DK,37.1 ,36.1 ,37.6 ,40.9 ,41.0 ,41.0 ,41.8 ,44.2 ,47.9 ,48.8 e,: ,42.4 b,42.5 ,43.3 ,45.4 ,47.4 ,48.3 ,47.6 ,49.9 ,51.5 ,45.0 p,34.3 
PC,EE,2.2 b,5.1 b,2.7 ,15.0 ,24.8 ,22.7 ,17.4 ,23.1 ,20.2 b,21.0 ,18.0 b,23.3 ,19.1 ,17.6 ,31.1 b,28.3 ,27.9 ,28.2 ,28.0 ,30.8 ,28.9 ,30.3 
PC,EL,8.8 ,8.8 ,8.8 ,8.1 ,10.1 ,11.8 ,12.8 ,20.0 ,17.7 ,18.9 ,17.1 ,17.8 ,17.0 ,15.8 ,15.4 ,15.8 ,17.2 ,18.9 ,20.1 ,21.0 ,: ,: 
PC,ES,18.4 ,21.4 ,29.3 ,28.7 ,30.9 ,31.4 ,31.2 ,30.6 ,39.7 ,33.2 ,29.2 ,26.7 ,29.8 ,32.5 ,30.8 ,30.0 ,33.9 ,36.1 ,34.8 ,38.0 ,40.5 ,36.7 e
PC,EU27_2020,27.3 s,28.7 s,30.4 s,31.1 s,31.8 s,32.5 s,33.2 s,35.2 ,36.5 ,37.3 ,38.0 ,38.9 ,40.9 ,41.5 ,43.4 ,44.9 ,45.9 ,46.3 ,46.4 ,47.2 s,49.2 s,49.6 s
PC,FI,33.6 ,33.6 ,33.6 ,33.6 ,33.6 ,33.6 ,33.6 ,35.6 ,34.3 ,35.9 ,32.8 ,34.8 ,33.3 ,32.5 ,32.5 ,40.6 b,42.1 ,40.5 ,42.3 ,43.5 ,42.2 ,37.1 
PC,FR,24.5 ,26.1 ,27.3 ,28.0 ,29.0 ,29.0 ,30.7 e,32.3 ,33.8 e,35.3 ,36.0 e,36.8 ,37.7 e,38.7 ,39.7 e,40.7 ,39.7 e,40.2 e,40.7 e,41.0 e,41.7 e,45.1 ep
PC,HR,: ,: ,: ,: ,: ,: ,: ,3.2 ,2.7 ,2.4 ,4.1 ,8.3 ,14.7 ,14.9 ,16.4 ,18.0 ,21.0 ,23.6 ,25.3 ,30.2 ,29.5 ,31.4 
PC,HU,1.6 b,1.6 ,2.5 ,3.5 ,11.8 b,9.6 ,10.4 ,12.1 ,15.2 ,15.4 ,19.6 ,22.0 ,25.5 ,26.4 ,30.5 ,32.2 ,34.7 ,35.0 ,37.4 ,35.9 ,32.0 ,34.9 
PC,IE,11.9 ,11.3 ,18.3 ,23.6 b,29.5 ,31.1 ,33.1 ,34.1 ,33.6 ,33.5 ,35.7 ,36.1 ,36.6 ,: ,39.8 b,: ,40.7 ,40.4 ,37.7 ,37.4 b,40.8 b,: 
PC,IS,15.4 ,15.8 ,16.1 ,16.4 ,: ,: ,: ,: ,19.2 ,20.5 ,20.8 ,25.3 ,28.0 ,29.9 ,29.7 ,0.0 ,0.0 ,0.0 ,0.0 ,: ,26.2 ,: 
PC,IT,14.2 ,17.8 ,14.8 ,16.3 ,17.6 ,18.5 ,19.2 ,25.0 b,23.8 ,29.7 ,31.0 ,35.5 ,38.4 ,39.4 ,41.6 ,44.3 b,45.9 ,47.8 ,49.8 ,51.4 ,51.4 ,: 
PC,LT,0.0 ,0.0 ,0.0 ,0.0 ,1.9 s,1.9 s,1.9 s,7.5 ,8.4 b,8.5 ,4.9 ,20.0 ,23.5 ,27.8 ,30.5 ,33.2 ,48.0 b,48.1 ,52.6 ,49.7 ,45.3 ,44.3 
PC,LU,35.8 ,37.5 ,38.5 ,42.2 ,41.5 ,43.5 ,43.7 ,45.0 ,45.7 ,46.4 ,46.5 ,46.4 ,47.4 ,46.3 ,47.7 ,47.4 ,49.2 b,48.9 ,49.0 ,48.9 e,52.8 ,55.3 
PC,LV,0.0 e,0.4 e,0.4 b,2.3 ,4.4 ,3.9 ,4.5 ,5.0 ,6.4 ,7.7 ,9.4 ,9.7 ,14.6 ,25.9 ,27.0 ,28.7 ,25.2 ,24.8 ,25.2 ,41.0 ,39.7 ,44.1 
PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3.7 e,5.3 e,4.6 e,4.7 e
PC,MK,: ,: ,: ,: ,: ,: ,: ,: ,0.0 e,: ,: ,0.0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0 e
PC,MT,9.6 ,9.0 ,4.7 ,6.5 ,6.3 ,9.1 ,13.7 ,4.7 ,3.6 ,6.9 ,8.9 ,15.4 ,14.8 ,12.5 ,11.7 ,10.9 ,12.7 ,11.5 ,10.4 ,9.1 ,10.9 ,13.6 
PC,NL,44.1 ,43.7 ,45.3 ,45.6 ,46.9 ,46.7 ,46.8 ,48.3 ,48.4 b,49.1 ,49.2 ,49.1 ,49.4 ,49.8 ,50.9 ,51.8 ,53.5 ,54.6 ,55.9 ,56.9 ,56.9 ,57.8 p
PC,NO,30.6 ,44.4 b,45.3 ,45.8 ,36.5 ,39.3 ,40.3 ,42.6 ,43.6 ,43.0 ,42.1 ,39.9 ,39.8 ,39.2 ,42.2 b,42.8 ,38.2 b,38.8 ,40.7 ,40.9 ,41.0 b,38.2 
PC,PL,2.1 ,4.1 ,3.1 ,2.8 ,4.9 ,5.6 be,6.9 e,7.7 e,10.5 e,13.2 be,16.3 e,11.4 e,12.0 e,15.1 be,26.5 be,32.5 e,34.8 e,33.8 e,34.3 e,34.1 e,38.7 ,40.3 
PC,PT,10.5 ,11.9 ,7.6 b,10.9 ,13.5 ,15.2 ,15.9 ,17.1 b,17.3 ,19.5 ,18.7 ,20.1 ,26.1 ,25.8 ,30.4 ,29.8 b,30.9 ,29.1 ,29.1 ,28.9 ,26.8 ,30.5 
PC,RO,0.0 e,1.6 e,2.0 e,0.2 be,1.1 e,1.8 e,0.5 e,0.5 e,0.9 e,1.1 e,12.8 b,11.7 ,14.8 ,13.2 ,13.1 ,13.3 ,13.4 ,14.0 ,11.1 ,11.5 ,11.9 p,11.3 p
PC,RS,: ,: ,: ,: ,: ,: ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.7 ,0.8 ,0.3 ,0.3 ,0.3 ,: ,15.4 ,: 
PC,SE,38.5 ,39.0 ,39.7 ,41.3 ,43.9 ,44.6 ,47.7 ,46.7 ,45.6 ,49.2 ,47.8 ,47.0 ,46.9 ,48.2 ,49.3 ,47.6 ,48.4 ,46.8 ,45.8 ,46.6 ,38.3 b,39.5 
PC,SI,6.0 ,2.7 ,9.0 b,12.6 ,20.4 ,18.6 ,15.4 ,21.9 ,18.9 ,19.6 ,22.4 ,35.7 ,42.1 ,34.8 b,36.0 ,54.1 be,55.5 e,57.8 e,58.9 ,59.2 ,59.3 ,60.0 
PC,SK,5.2 ,5.4 ,4.8 b,5.6 ,6.1 ,2.0 b,4.0 ,6.6 ,7.4 ,8.3 ,9.1 ,10.9 ,13.4 ,10.8 ,10.4 ,14.9 ,23.0 ,29.8 ,36.3 ,38.5 ,45.3 ,48.9 
PC,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.2 be,9.2 e,11.5 e,11.5 e,12.3 ,: 
PC,UK,11.1 b,12.4 ,14.5 ,18.1 ,22.6 ,26.7 ,30.3 ,33.6 ,36.4 ,38.3 ,40.2 ,42.0 ,42.6 ,43.2 ,43.4 ,43.3 ,44.0 ,43.8 ,44.1 ,: ,: ,: 
PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0 ,0.0 
