indicator,indic_env,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind14,MA_ETR,KM2,HU,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
ind14,MA_ETR,KM2,IE,598 ,0 ,43 ,0 ,0 ,0 ,0 ,0 ,0 ,85 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
ind14,MA_ETR,KM2,IT,376 ,644 ,54 ,0 ,0 ,54 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,752 ,966 ,698 ,376 ,268 ,752 ,376 ,268 
ind14,MA_ETR,KM2,LT,7 ,5 ,0 ,0 ,0 ,3 ,0 ,0 ,519 ,0 ,0 ,0 ,1 ,25 ,11 ,8 ,14 ,51 ,14 ,11 ,15 
ind14,MA_ETR,KM2,LU,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
ind14,MA_ETR,KM2,LV,28 ,25 ,6 ,3 ,0 ,0 ,0 ,0 ,4853 ,0 ,6 ,0 ,25 ,20 ,42 ,42 ,37 ,74 ,105 ,37 ,48 
ind14,MA_ETR,KM2,MT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,0 ,0 ,0 
ind14,MA_ETR,KM2,NL,12 ,3450 ,1018 ,0 ,6 ,0 ,0 ,174 ,6 ,0 ,6 ,0 ,0 ,211 ,0 ,0 ,0 ,0 ,19 ,0 ,0 
ind14,MA_ETR,KM2,PL,24 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,11265 ,0 ,0 ,0 ,12 ,60 ,42 ,30 ,30 ,42 ,24 ,63 ,66 
ind14,MA_ETR,KM2,PT,519 ,42526 ,172523 ,18497 ,0 ,9854 ,173 ,346 ,173 ,2939 ,2420 ,2420 ,8989 ,691 ,1729 ,8816 ,4840 ,864 ,11582 ,4495 ,2247 
ind14,MA_ETR,KM2,RO,9 ,2001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,9 ,21 ,3 ,0 ,3 ,0 ,0 
ind14,MA_ETR,KM2,SE,2621 ,5071 ,16 ,0 ,0 ,0 ,16 ,0 ,15509 ,0 ,16 ,16 ,109 ,312 ,328 ,624 ,343 ,499 ,484 ,733 ,1030 
ind14,MA_ETR,KM2,SI,0 ,21 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,6 ,1 ,0 ,2 ,2 ,2 ,0 
ind14,MA_ETR,KM2,SK,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
ind14,MA_ETR,PC,AT,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
ind14,MA_ETR,PC,BE,0.00 ,15.78 ,23.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
ind14,MA_ETR,PC,BG,0.07 ,25.15 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.03 ,0.04 ,0.02 ,0.01 ,0.02 ,0.03 ,0.00 ,0.00 
ind14,MA_ETR,PC,CY,0.05 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.04 ,0.01 ,0.03 ,0.02 ,0.01 ,0.06 ,0.04 ,0.02 
ind14,MA_ETR,PC,CZ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
ind14,MA_ETR,PC,DE,2.95 ,0.15 ,0.07 ,0.00 ,0.00 ,0.00 ,0.03 ,0.30 ,0.54 ,0.00 ,0.00 ,0.27 ,0.00 ,0.23 ,0.00 ,0.00 ,0.00 ,0.00 ,0.06 ,0.00 ,1.52 
ind14,MA_ETR,PC,DK,5.40 ,0.17 ,1.07 ,0.00 ,0.00 ,0.00 ,0.01 ,4.52 ,1.84 ,0.05 ,0.00 ,8.43 ,0.00 ,0.17 ,0.00 ,0.71 ,0.02 ,0.01 ,0.02 ,0.00 ,0.03 
ind14,MA_ETR,PC,EE,0.05 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07 ,0.03 ,0.27 ,0.55 ,0.16 ,0.29 ,0.18 ,0.30 ,1.13 ,0.33 ,0.29 
ind14,MA_ETR,PC,EL,0.09 ,0.09 ,0.01 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.01 ,0.10 ,0.11 ,0.22 ,0.12 ,0.10 ,0.22 ,0.20 ,0.09 
ind14,MA_ETR,PC,ES,0.36 ,0.35 ,0.27 ,0.00 ,0.01 ,0.24 ,0.03 ,2.51 ,0.05 ,0.01 ,0.78 ,0.00 ,0.17 ,0.09 ,0.03 ,1.61 ,0.18 ,0.00 ,2.71 ,0.58 ,0.41 
ind14,MA_ETR,PC,EU_V,0.40 ,1.41 ,3.33 ,0.38 ,0.02 ,0.23 ,0.01 ,0.85 ,0.78 ,0.07 ,0.21 ,0.22 ,0.21 ,0.10 ,0.08 ,0.54 ,0.16 ,0.05 ,0.85 ,0.25 ,0.20 
ind14,MA_ETR,PC,FI,1.58 ,3.95 ,0.02 ,0.01 ,0.00 ,0.01 ,0.01 ,0.00 ,0.00 ,0.00 ,0.01 ,0.02 ,0.27 ,0.40 ,0.27 ,0.37 ,0.37 ,0.37 ,0.44 ,0.57 ,0.66 
