indicator,unit,nace_r2,geo\time,2002 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind5,PC,B-S_X_O,LT,13.2 ,17.1 ,22.6 ,21.6 ,15.3 ,11.9 b,11.5 ,11.9 ,12.2 ,13.3 ,14.2 ,14.4 ,15.2 ,14.0 ,13.3 p,13.0 p,12.0 p
ind5,PC,B-S_X_O,LU,: ,10.7 ,10.2 ,9.7 ,9.2 ,8.7 ,7.9 ,7.0 ,6.2 ,5.4 ,4.7 ,3.9 ,2.6 ,1.4 ,1.3 p,0.7 p,-0.2 p
ind5,PC,B-S_X_O,LV,: ,15.1 ,13.6 ,11.8 ,13.1 ,15.5 ,14.1 ,14.9 ,16.0 ,17.3 ,18.4 ,19.7 ,19.8 ,19.6 ,21.2 p,22.3 p,14.6 p
ind5,PC,B-S_X_O,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,7.7 ,: ,: ,: ,: ,: ,: ,: 
ind5,PC,B-S_X_O,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.1 ,: ,: ,: ,: ,: ,: ,: 
ind5,PC,B-S_X_O,MT,: ,5.2 ,7.8 ,9.2 ,7.7 ,7.2 ,7.7 ,9.5 ,9.7 ,10.6 ,10.7 ,11.6 ,13.2 ,13.0 ,11.6 p,10.0 ,10.5 
ind5,PC,B-S_X_O,NL,18.7 ,23.6 ,19.3 ,18.9 ,18.5 ,17.8 ,18.8 ,18.0 ,17.2 ,17.0 ,16.1 ,15.6 ,15.1 ,14.7 ,14.6 p,14.2 p,13.5 p
ind5,PC,B-S_X_O,NO,: ,16.0 ,15.6 ,17.0 ,16.5 ,16.1 ,15.7 ,14.7 ,15.5 ,14.5 ,16.0 ,14.5 ,13.7 ,13.2 ,13.2 dp,13.4 dp,14.3 dp
ind5,PC,B-S_X_O,PL,7.5 ,7.5 ,14.9 ,11.4 ,8.0 ,4.5 ,5.5 ,6.4 ,7.1 ,7.7 ,7.3 ,7.1 ,7.0 ,8.5 ,6.5 ,4.5 ,4.5 p
ind5,PC,B-S_X_O,PT,: ,8.4 ,8.5 ,9.2 ,10.0 ,12.8 ,12.9 ,15.0 ,13.3 ,14.9 ,16.0 ,13.9 ,10.8 ,8.9 ,10.9 p,11.4 p,11.9 p
ind5,PC,B-S_X_O,RO,16.0 ,7.8 ,12.5 d,8.5 d,7.4 d,8.8 ,9.6 ,6.9 ,4.9 ,4.5 ,5.6 e,4.8 e,2.9 e,2.2 ,3.3 e,2.4 e,3.6 e
ind5,PC,B-S_X_O,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.7 ,: ,: ,: ,9.6 ,: ,: ,: 
ind5,PC,B-S_X_O,SE,: ,16.5 ,17.8 ,16.9 ,15.7 ,15.4 ,15.6 ,15.5 ,14.6 ,13.8 ,14.0 ,13.3 ,12.5 ,12.1 ,11.8 ,11.2 ,11.2 
ind5,PC,B-S_X_O,SI,6.1 ,8.0 ,5.0 ,4.1 ,-0.9 ,0.9 ,3.3 ,4.5 ,6.3 ,7.0 ,8.2 ,8.1 ,8.4 ,9.3 ,7.9 p,3.1 p,3.8 p
ind5,PC,B-S_X_O,SK,27.7 ,25.8 ,23.6 ,20.9 ,21.9 ,19.6 ,20.1 ,20.8 ,18.8 ,19.7 ,19.7 ,19.2 ,20.1 ,19.8 ,18.4 ,15.8 ,16.6 
ind5,PC,B-S_X_O,TR,: ,-2.2 ,: ,: ,: ,: ,: ,: ,: ,-1.3 ,: ,: ,: ,: ,: ,: ,: 
ind5,PC,B-S_X_O,UK,27.3 ,24.3 ,20.8 ,21.4 ,20.6 ,23.3 b,21.8 ,22.6 ,21.0 ,20.9 ,21.0 ,20.7 ,20.8 ,19.8 ,: ,: ,: 
