aquaenv,geo\time,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
CST_EXC_PC,IE,84.1 ,66.1 ,84.9 ,74.8 ,72.7 ,71.8 ,70.7 ,69.9 ,71.7 ,74.1 ,77.0 
CST_EXC_PC,IT,83.0 ,86.3 ,89.9 ,90.0 ,90.4 ,90.8 ,89.9 ,90.0 ,88.2 ,88.7 ,88.1 
CST_EXC_PC,LT,81.3 ,81.3 ,81.3 ,87.5 ,87.5 ,87.5 ,87.5 ,87.5 ,100.0 ,93.8 ,87.5 
CST_EXC_PC,LU,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_EXC_PC,LV,43.8 ,37.5 ,51.5 ,63.6 ,69.7 ,84.9 ,93.9 ,97.0 ,84.8 ,69.7 ,75.0 
CST_EXC_PC,MT,97.7 ,96.6 ,98.9 ,100.0 ,97.7 ,98.9 ,98.9 ,98.9 ,97.7 ,96.6 ,96.6 
CST_EXC_PC,NL,67.8 ,78.0 ,73.3 ,68.1 ,75.8 ,80.7 ,80.7 ,73.6 ,76.7 ,75.8 ,82.2 
CST_EXC_PC,PL,80.9 ,73.9 ,75.9 ,60.0 ,55.4 ,56.2 ,48.5 ,30.8 ,29.4 ,30.7 ,43.5 
CST_EXC_PC,PT,88.2 ,91.8 ,91.9 ,87.4 ,89.6 ,89.0 ,90.6 ,94.4 ,95.6 ,93.3 ,92.4 
CST_EXC_PC,RO,87.8 ,8.2 ,34.7 ,22.5 ,30.6 ,69.4 ,51.0 ,57.1 ,77.6 ,71.4 ,85.7 
CST_EXC_PC,SE,55.0 ,61.7 ,53.4 ,50.6 ,56.9 ,69.0 ,41.8 ,61.9 ,72.5 ,77.4 ,73.2 
CST_EXC_PC,SI,95.2 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,95.2 ,95.2 ,95.2 
CST_EXC_PC,SK,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_EXC_PC,UK,83.3 ,58.8 ,80.5 ,77.6 ,59.5 ,65.0 ,61.2 ,63.2 ,66.1 ,: ,: 
CST_NR,AL,0 ,0 ,73 ,73 ,78 ,92 ,102 ,102 ,113 ,113 ,113 
CST_NR,AT,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_NR,BE,42 ,42 ,42 ,42 ,42 ,42 ,42 ,42 ,42 ,41 ,41 
CST_NR,BG,89 ,89 ,90 ,90 ,90 ,90 ,91 ,91 ,91 ,92 ,92 
CST_NR,CH,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_NR,CY,112 ,112 ,112 ,112 ,113 ,113 ,113 ,113 ,113 ,112 ,120 
CST_NR,CZ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_NR,DE,372 ,366 ,367 ,363 ,367 ,367 ,366 ,366 ,367 ,363 ,363 
CST_NR,DK,1012 ,973 ,923 ,917 ,918 ,921 ,915 ,910 ,905 ,906 ,908 
CST_NR,EE,27 ,27 ,26 ,27 ,27 ,27 ,27 ,27 ,27 ,29 ,30 
CST_NR,EL,2149 ,2149 ,2156 ,1538 ,1540 ,1540 ,1595 ,1595 ,1631 ,1631 ,1680 
CST_NR,ES,1927 ,1926 ,1931 ,1942 ,1948 ,1949 ,1960 ,1965 ,1968 ,1969 ,1984 
CST_NR,EU27_2020,14839 ,14789 ,14747 ,14138 ,14150 ,14206 ,14317 ,14381 ,14404 ,14361 ,14471 
CST_NR,EU28,15444 ,15406 ,15363 ,14755 ,14767 ,14821 ,14935 ,15009 ,15048 ,: ,: 
CST_NR,FI,85 ,83 ,82 ,81 ,77 ,77 ,77 ,76 ,77 ,78 ,78 
CST_NR,FR,2029 ,2034 ,2034 ,2038 ,2040 ,2066 ,2065 ,2041 ,2044 ,2055 ,2061 
CST_NR,HR,906 ,912 ,919 ,918 ,908 ,922 ,949 ,981 ,953 ,894 ,894 
CST_NR,HU,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
