indicator,deg_urb,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind10,DEG2,PC,EU27_2020,22.8 e,21.8 e,20.8 e,19.9 e,19.2 ,19.7 ,20.8 ,: 
ind10,DEG2,PC,EU28,: ,: ,: ,: ,19.2 e,: ,: ,: 
ind10,DEG2,PC,FI,16.4 ,15.4 ,15.2 ,16.1 ,14.0 ,14.8 ,13.6 ,: 
ind10,DEG2,PC,FR,20.2 ,21.0 ,20.6 ,20.2 ,18.4 ,19.8 b,20.7 ,: 
ind10,DEG2,PC,HR,21.3 ,19.3 ,21.7 ,20.0 ,19.1 ,17.5 ,19.4 ,: 
ind10,DEG2,PC,HU,30.8 ,28.3 ,25.7 ,19.5 ,19.1 ,18.2 ,18.8 ,: 
ind10,DEG2,PC,IE,26.9 ,28.6 ,26.4 ,25.0 ,23.7 ,22.2 b,17.5 ,: 
ind10,DEG2,PC,IS,13.7 ,13.9 ,13.5 ,14.3 ,: ,: ,: ,: 
ind10,DEG2,PC,IT,29.3 b,26.9 ,24.9 ,24.7 ,22.9 ,22.4 ,25.0 ,: 
ind10,DEG2,PC,LT,32.1 ,26.8 ,29.1 ,27.6 ,23.0 ,28.0 ,26.0 ,: 
ind10,DEG2,PC,LU,22.6 ,24.5 b,22.3 ,22.4 ,22.8 ,22.5 b,24.7 b,: 
ind10,DEG2,PC,LV,32.5 ,30.8 ,31.9 ,31.6 ,27.0 ,26.1 ,23.8 ,: 
ind10,DEG2,PC,MK,: ,37.9 ,37.9 ,32.2 ,32.5 ,33.9 ,: ,: 
ind10,DEG2,PC,MT,18.4 ,17.5 ,20.5 ,14.9 ,19.3 ,17.9 ,17.3 ,: 
ind10,DEG2,PC,NL,13.8 ,12.7 b,13.4 ,12.4 ,12.9 ,11.9 ,13.7 ,12.9 
ind10,DEG2,PC,NO,13.3 ,12.7 ,13.4 ,12.9 ,12.5 ,15.4 ,: ,: 
