indicator,age,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind10,TOTAL,T,RAT,LT,: ,: ,6.95 b,6.34 ,5.91 ,6.11 ,6.39 ,7.35 ,5.84 ,5.32 ,6.05 ,6.10 ,7.46 ,7.06 ,7.28 ,7.09 ,6.44 ,6.14 ,6.14 ,: 
ind10,TOTAL,T,RAT,LU,4.06 b,3.92 ,3.87 ,4.18 ,4.02 ,4.11 ,4.31 ,4.10 ,3.97 ,4.13 ,4.59 ,4.42 ,4.26 ,4.62 b,4.56 ,5.18 ,5.34 ,4.99 b,4.59 b,: 
ind10,TOTAL,T,RAT,LV,: ,: ,6.69 b,7.76 ,6.37 ,7.27 ,7.40 ,6.84 ,6.50 ,6.47 ,6.32 ,6.48 ,6.51 ,6.20 ,6.30 ,6.78 ,6.54 ,6.27 ,6.63 ,: 
ind10,TOTAL,T,RAT,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.54 ,7.27 ,7.48 ,7.38 ,7.57 ,7.37 ,6.72 ,5.96 ,: ,: 
ind10,TOTAL,T,RAT,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,10.20 ,8.37 ,7.22 ,6.62 ,6.63 ,6.38 ,6.16 ,5.56 ,5.92 ,: ,: 
ind10,TOTAL,T,RAT,MT,: ,: ,3.95 b,4.03 ,3.89 ,4.26 ,3.99 ,4.33 ,4.01 ,3.94 ,4.14 ,4.05 ,4.15 ,4.22 ,4.21 ,4.28 ,4.18 ,4.69 ,5.03 ,: 
ind10,TOTAL,T,RAT,NL,: ,: ,3.99 b,3.82 ,3.97 ,4.01 ,3.97 ,3.65 ,3.75 ,3.61 ,3.58 ,3.83 ,3.82 ,3.93 b,3.99 ,4.05 ,3.94 ,4.15 ,3.88 ,3.94 
ind10,TOTAL,T,RAT,NO,3.76 b,3.59 ,4.05 ,4.84 ,3.54 ,3.73 ,3.51 ,3.42 ,3.28 ,3.21 ,3.25 ,3.41 ,3.50 ,3.69 ,3.90 ,3.71 ,3.81 ,3.78 ,: ,: 
ind10,TOTAL,T,RAT,PL,: ,: ,6.64 b,5.65 ,5.26 ,5.12 ,4.97 ,4.98 ,4.95 ,4.92 ,4.88 ,4.91 ,4.92 ,4.76 ,4.56 ,4.25 ,4.37 ,4.07 ,4.02 p,: 
ind10,TOTAL,T,RAT,PT,: ,6.96 b,6.96 ,6.73 ,6.47 ,6.11 ,6.01 ,5.56 ,5.68 ,5.82 ,6.01 ,6.23 ,6.01 ,5.88 ,5.75 ,5.22 ,5.16 ,4.99 ,5.66 ,: 
ind10,TOTAL,T,RAT,RO,: ,: ,: ,: ,8.11 b,7.00 ,6.53 ,6.11 ,6.24 ,6.60 ,6.83 ,7.24 ,8.32 ,7.20 ,6.45 ,7.21 ,7.08 ,6.62 ,7.14 ,: 
ind10,TOTAL,T,RAT,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.59 ,9.41 ,10.70 ,11.02 ,9.38 ,8.58 ,6.46 ,6.06 ,5.95 ,: 
ind10,TOTAL,T,RAT,SE,: ,3.31 b,3.33 ,3.58 ,3.35 ,3.70 b,3.96 ,3.85 ,3.95 ,3.98 ,3.97 ,4.15 ,4.06 ,4.25 ,4.27 ,4.13 ,4.33 ,4.12 ,4.04 ,: 
ind10,TOTAL,T,RAT,SI,: ,: ,3.43 b,3.39 ,3.31 ,3.36 ,3.24 ,3.42 ,3.46 ,3.44 ,3.60 ,3.70 ,3.60 ,3.56 ,3.42 ,3.38 ,3.39 ,3.32 ,3.24 ,: 
ind10,TOTAL,T,RAT,SK,: ,: ,3.92 ,4.06 ,3.48 ,3.36 ,3.56 ,3.80 ,3.81 ,3.73 ,3.58 ,3.93 ,3.54 ,3.63 ,3.49 ,3.03 ,3.34 ,3.03 ,: ,: 
ind10,TOTAL,T,RAT,TR,: ,: ,: ,11.29 b,9.33 ,9.33 ,10.35 ,9.93 ,9.51 ,9.33 ,8.70 ,8.35 ,8.61 ,8.65 ,8.68 ,8.66 ,8.35 ,9.20 ,: ,: 
ind10,TOTAL,T,RAT,UK,: ,: ,5.87 b,5.39 ,5.34 ,5.63 ,5.25 ,5.35 ,5.34 ,4.98 b,4.63 ,5.06 ,5.23 ,5.12 ,5.40 b,5.63 ,: ,: ,: ,: 
ind10,TOTAL,T,RAT,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,15.58 ,: ,: ,: ,: 
