indicator,unit,landcover,geo\time,2009 ,2012 ,2015 ,2018 
ind15,PC,LCC2,IT,3.5 ,4.1 ,4.3 ,4.6 
ind15,PC,LCC2,LT,1.6 ,1.6 ,0.9 ,1.0 
ind15,PC,LCC2,LU,1.2 ,1.2 u,2.4 ,1.1 u
ind15,PC,LCC2,LV,4.0 ,3.4 ,4.7 ,3.2 
ind15,PC,LCC2,MT,: ,10.2 ,10.2 ,9.5 
ind15,PC,LCC2,NL,0.9 ,1.1 ,1.5 ,1.3 
ind15,PC,LCC2,PL,1.4 ,1.4 ,1.4 ,1.0 
ind15,PC,LCC2,PT,9.7 ,13.7 ,14.8 ,14.4 
ind15,PC,LCC2,RO,: ,1.4 ,1.4 ,2.2 
ind15,PC,LCC2,SE,4.1 ,5.1 ,4.8 ,5.9 
ind15,PC,LCC2,SI,1.7 ,1.8 ,1.7 ,1.1 
ind15,PC,LCC2,SK,2.3 ,2.4 ,2.9 ,2.9 
ind15,PC,LCC2,UK,15.4 ,15.4 ,17.2 ,9.5 
