indicator,statinfo,geo,unit\time,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind15,SME,EU_V,I00,107.73 ,107.18 ,106.62 ,105.99 ,105.25 ,104.41 ,103.57 ,102.82 ,101.66 ,100.00 ,98.51 ,97.88 ,98.23 ,99.12 ,100.31 ,102.71 ,106.43 ,110.08 ,112.26 ,113.27 ,114.02 ,114.00 ,112.71 ,110.17 ,106.73 ,102.37 ,97.09 ,90.91 ,83.85 ,75.91 
ind15,SME,EU_V,I91,100.00 ,99.49 ,98.97 ,98.39 ,97.70 ,96.92 ,96.14 ,95.44 ,94.37 ,92.83 ,91.45 ,90.86 ,91.19 ,92.01 ,93.11 ,95.34 ,98.80 ,102.19 ,104.21 ,105.14 ,105.84 ,105.83 ,104.63 ,102.27 ,99.07 ,95.03 ,90.13 ,84.39 ,77.84 ,70.46 
