indic_em,age,unit,sex,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
LTU,Y15-74,PC_ACT,F,RO,2.2 ,2.6 ,3.3 ,3.5 ,3.8 ,3.1 ,3.2 ,3.0 ,1.9 ,1.7 ,1.7 ,1.5 ,1.9 
LTU,Y15-74,PC_ACT,F,RS,: ,: ,18.5 ,19.8 ,18.6 ,14.7 ,12.7 ,10.7 ,8.5 ,7.9 ,6.5 ,5.1 ,5.8 
LTU,Y15-74,PC_ACT,F,SE,1.6 ,2.1 ,2.0 ,1.9 ,1.9 ,2.0 ,1.9 ,1.7 ,1.6 ,1.4 b,1.3 ,1.8 ,1.8 
LTU,Y15-74,PC_ACT,F,SI,1.6 ,2.5 ,3.0 ,3.7 ,4.6 ,4.8 ,4.6 ,3.8 ,2.7 ,2.0 ,1.8 ,2.0 ,1.9 
LTU,Y15-74,PC_ACT,F,SK,9.0 ,11.6 ,11.0 b,11.6 ,12.1 ,11.1 ,10.1 ,7.6 ,6.0 ,5.0 ,4.0 ,4.0 ,4.0 
LTU,Y15-74,PC_ACT,F,TR,3.8 ,3.9 ,3.2 ,2.7 ,3.0 ,3.2 b,3.4 ,3.5 ,3.9 ,3.9 ,5.1 ,4.9 ,: 
LTU,Y15-74,PC_ACT,M,AT,1.5 ,1.7 ,1.6 ,1.6 ,1.7 ,2.0 ,2.4 ,2.7 ,2.5 ,1.8 ,1.5 ,1.8 ,2.1 
LTU,Y15-74,PC_ACT,M,BE,2.9 ,3.4 ,2.9 ,3.0 ,3.5 ,4.0 ,4.1 ,3.6 ,3.1 b,2.8 ,2.2 ,2.2 ,2.7 
LTU,Y15-74,PC_ACT,M,BG,3.3 ,5.5 b,7.6 b,8.2 ,8.6 ,8.3 ,6.7 ,5.4 ,4.2 ,4.0 ,3.2 ,3.0 ,2.7 
LTU,Y15-74,PC_ACT,M,CH,: ,1.4 b,1.5 ,1.4 ,1.3 ,1.6 ,1.7 ,1.7 ,1.5 ,1.6 ,1.4 ,1.5 ,1.8 
LTU,Y15-74,PC_ACT,M,CY,0.6 u,1.3 ,1.7 ,3.9 ,6.5 ,8.3 ,7.4 ,6.4 ,5.0 ,2.6 ,1.8 ,2.3 ,2.5 
LTU,Y15-74,PC_ACT,M,CZ,1.6 ,2.6 ,2.4 b,2.6 ,2.5 ,2.2 ,2.0 ,1.4 ,0.8 ,0.6 ,0.6 ,0.5 ,0.6 
LTU,Y15-74,PC_ACT,M,DE,3.5 ,3.4 b,2.9 b,2.5 ,2.4 ,2.4 ,2.2 ,1.9 ,1.8 ,1.6 ,1.4 ,1.3 b,1.4 
LTU,Y15-74,PC_ACT,M,DK,0.6 ,1.7 ,1.9 ,2.1 ,1.6 ,1.7 ,1.6 ,1.2 b,1.2 b,0.9 ,0.8 ,0.7 ,1.0 
LTU,Y15-74,PC_ACT,M,EA19,3.0 ,4.1 ,4.4 ,5.1 ,5.8 ,5.9 ,5.3 ,4.7 ,4.1 ,3.5 ,3.0 ,2.7 ,3.0 
LTU,Y15-74,PC_ACT,M,EA20,3.0 ,4.1 ,4.4 ,5.1 ,5.8 ,5.9 ,5.4 ,4.7 ,4.1 ,3.5 ,3.0 ,2.7 ,3.0 
LTU,Y15-74,PC_ACT,M,EE,4.4 ,9.3 ,7.9 ,6.0 ,4.2 ,3.9 ,2.7 ,2.5 ,2.4 ,1.5 ,1.0 ,1.4 ,2.0 
LTU,Y15-74,PC_ACT,M,EL,2.1 ,3.4 ,5.9 ,10.7 ,14.2 ,15.0 ,13.7 ,12.4 ,11.1 ,9.3 ,8.5 ,8.2 ,6.7 
LTU,Y15-74,PC_ACT,M,ES,3.7 ,7.1 ,8.6 ,10.7 ,12.5 ,12.3 ,10.5 ,8.4 ,6.7 ,5.4 ,4.4 ,4.1 ,5.0 d
LTU,Y15-74,PC_ACT,M,EU27_2020,2.9 ,4.0 ,4.3 ,4.8 ,5.4 ,5.4 ,4.9 ,4.2 ,3.6 ,3.1 ,2.6 ,2.4 ,2.6 
