age,sex,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
TOTAL,T,THS_PER,EU28,: ,: ,: ,: ,28025 ,: ,: ,: 
TOTAL,T,THS_PER,FI,53 ,65 ,96 ,114 ,98 ,97 ,58 ,: 
TOTAL,T,THS_PER,FR,4090 ,4101 ,3880 ,4079 ,4394 ,4305 b,3719 ,: 
TOTAL,T,THS_PER,HR,345 ,299 ,289 ,243 ,183 ,171 ,137 ,: 
TOTAL,T,THS_PER,HU,2269 ,1981 ,1537 ,1128 ,1032 ,1012 ,973 ,: 
TOTAL,T,THS_PER,IE,329 ,281 ,247 ,220 ,263 ,205 ,252 ,: 
TOTAL,T,THS_PER,IS,4 ,3 ,2 ,2 ,: ,: ,: ,: 
TOTAL,T,THS_PER,IT,7386 ,6085 ,3960 ,3925 ,3827 ,3662 ,3483 ,: 
TOTAL,T,THS_PER,LT,420 ,438 ,401 ,332 ,266 ,222 ,175 ,: 
TOTAL,T,THS_PER,LU,13 ,12 ,11 ,9 ,8 ,10 ,13 b,: 
TOTAL,T,THS_PER,LV,295 ,240 ,239 ,191 ,137 ,126 ,95 ,: 
TOTAL,T,THS_PER,MK,600 ,568 ,508 ,469 ,457 ,369 ,: ,: 
TOTAL,T,THS_PER,MT,35 ,23 ,20 ,22 ,24 ,25 ,27 ,: 
TOTAL,T,THS_PER,NL,531 ,400 ,403 ,405 ,430 ,347 ,329 ,388 
TOTAL,T,THS_PER,NO,84 ,: ,103 ,88 ,104 ,124 ,: ,: 
TOTAL,T,THS_PER,PL,2643 ,1782 ,1739 ,1419 ,1072 ,823 ,922 p,: 
TOTAL,T,THS_PER,PT,1129 ,938 ,821 ,681 ,577 ,551 ,604 ,: 
TOTAL,T,THS_PER,RO,6742 ,7092 ,6380 ,5541 ,4761 ,4897 ,4410 ,: 
TOTAL,T,THS_PER,RS,1747 ,: ,1578 ,1198 ,971 ,953 ,899 ,: 
TOTAL,T,THS_PER,SE,98 ,67 ,96 ,130 ,145 ,193 ,140 ,: 
TOTAL,T,THS_PER,SI,97 ,83 ,91 ,64 ,44 ,53 ,37 ,: 
TOTAL,T,THS_PER,SK,440 ,400 ,333 ,291 ,316 ,244 ,306 ,: 
TOTAL,T,THS_PER,TR,: ,: ,12147 ,12244 ,12778 ,13675 ,: ,: 
TOTAL,T,THS_PER,UK,3651 ,3579 ,2907 ,2833 ,: ,: ,: ,: 
Y_LT18,T,PC,AL,: ,: ,53.7 ,49.8 ,44.3 ,42.4 ,: ,: 
Y_LT18,T,PC,AT,3.7 ,4.7 ,4.7 ,4.1 ,4.4 ,5.5 ,2.7 ,: 
Y_LT18,T,PC,BE,9.9 ,11.1 ,9.7 ,9.2 ,8.4 ,8.1 ,8.6 ,7.7 
Y_LT18,T,PC,BG,41.7 ,40.2 ,35.8 ,20.5 ,22.8 ,24.8 ,20.0 ,19.2 
Y_LT18,T,PC,CH,2.7 ,3.4 ,3.3 ,3.3 ,5.2 ,2.0 ,2.5 ,: 
Y_LT18,T,PC,CY,10.4 ,9.5 ,8.0 ,5.9 ,5.8 ,6.4 ,4.2 ,: 
Y_LT18,T,PC,CZ,6.4 ,4.3 ,4.0 ,2.9 ,2.7 ,2.7 ,2.8 ,: 
Y_LT18,T,PC,DE,6.7 ,6.2 ,4.3 ,3.8 ,3.3 ,5.9 b,5.5 ,: 
Y_LT18,T,PC,DK,3.4 ,2.4 ,5.2 ,4.9 ,5.1 ,4.7 ,3.3 ,: 
Y_LT18,T,PC,EA19,10.0 ,9.5 ,7.7 ,7.2 ,6.9 ,7.6 ,6.9 ,: 
Y_LT18,T,PC,EE,2.9 ,1.6 ,3.3 ,2.4 ,2.1 ,2.0 ,1.7 ,: 
Y_LT18,T,PC,EL,23.9 ,24.2 ,23.8 ,19.9 ,18.2 ,19.0 ,16.1 ,: 
Y_LT18,T,PC,ES,10.5 ,11.6 ,10.6 ,10.1 ,10.4 ,10.5 ,10.8 ,: 
Y_LT18,T,PC,EU,11.9 ,11.3 ,9.2 ,8.3 ,7.5 ,: ,: ,: 
Y_LT18,T,PC,EU27_2007,: ,: ,: ,: ,7.6 e,: ,: ,: 
Y_LT18,T,PC,EU27_2020,11.8 ,11.1 ,9.3 ,8.2 ,7.5 ,8.3 ,7.5 ,: 
Y_LT18,T,PC,EU28,11.9 ,11.3 ,9.2 ,8.3 ,7.5 ,: ,: ,: 
Y_LT18,T,PC,FI,0.9 ,0.7 ,1.6 ,2.2 ,1.8 ,1.6 ,0.7 ,: 
Y_LT18,T,PC,FR,8.5 ,9.1 ,8.6 ,8.5 ,9.2 ,9.3 b,6.9 ,: 
Y_LT18,T,PC,HR,8.1 ,6.5 ,6.2 ,5.6 ,3.2 ,2.7 ,2.6 ,: 
Y_LT18,T,PC,HU,32.5 ,29.4 ,22.5 ,18.4 ,15.4 ,16.6 ,15.2 ,: 
