sex,incgrp,age,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
T,A_MD60,TOTAL,PC,LT,: ,: ,3.4 ,2.3 ,1.2 ,1.0 ,1.8 ,3.4 ,4.8 ,3.3 ,2.9 ,2.2 ,2.5 ,1.7 ,1.3 ,0.6 ,0.9 ,0.3 ,0.2 ,: 
T,A_MD60,TOTAL,PC,LU,1.2 ,1.3 ,1.0 ,1.2 ,1.0 ,1.1 ,1.0 ,1.4 ,1.1 ,1.5 ,1.8 ,2.1 ,2.1 ,2.9 b,2.6 ,3.3 ,4.3 ,3.1 b,2.5 b,: 
T,A_MD60,TOTAL,PC,LV,: ,: ,6.3 ,3.7 ,4.1 ,2.3 ,2.5 ,4.0 ,6.6 ,5.5 ,5.0 ,3.5 ,3.0 ,1.9 ,1.6 ,1.9 ,1.3 ,1.3 ,1.1 ,: 
T,A_MD60,TOTAL,PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,11.9 ,9.0 ,8.0 ,7.5 ,7.3 ,5.7 ,4.4 ,3.7 ,: ,: 
T,A_MD60,TOTAL,PC,MK,: ,: ,: ,: ,: ,: ,: ,: ,5.6 ,5.2 ,4.8 ,4.3 ,2.9 ,2.0 ,1.8 ,1.1 ,2.4 ,1.5 ,: ,: 
T,A_MD60,TOTAL,PC,MT,: ,: ,0.9 ,0.6 ,1.1 ,1.6 ,1.5 ,1.9 ,1.4 ,1.0 ,0.8 ,0.8 ,0.4 ,0.6 ,0.6 ,0.9 ,1.2 ,1.3 ,0.7 ,: 
T,A_MD60,TOTAL,PC,NL,: ,: ,15.9 ,15.9 ,13.6 ,9.9 ,9.3 ,10.6 ,11.1 ,10.8 ,11.9 ,10.7 ,10.2 ,6.0 b,4.6 ,4.7 ,5.4 ,4.4 ,6.7 ,13.2 
T,A_MD60,TOTAL,PC,NO,: ,4.7 ,3.4 ,5.8 ,8.0 ,8.0 ,6.8 ,4.9 ,5.9 ,6.0 ,5.5 ,4.1 ,4.8 ,5.0 ,4.8 ,4.8 ,5.3 ,4.2 ,: ,: 
T,A_MD60,TOTAL,PC,PL,: ,: ,8.7 ,6.6 ,5.8 ,5.1 ,4.1 ,4.6 ,4.7 ,5.2 ,5.5 ,4.8 ,3.7 ,2.9 ,2.3 ,2.1 ,2.1 ,1.6 b,1.9 p,: 
T,A_MD60,TOTAL,PC,PT,: ,1.6 ,1.4 ,2.5 ,4.2 ,4.5 ,2.7 ,1.6 ,3.0 ,3.8 ,3.0 ,3.2 ,3.2 ,2.5 ,2.4 ,2.3 ,2.2 ,1.5 ,1.8 ,: 
T,A_MD60,TOTAL,PC,RO,: ,: ,: ,: ,11.6 ,12.0 ,9.1 ,9.1 ,6.9 ,10.5 ,9.5 ,8.1 ,6.9 ,6.1 ,4.9 ,3.2 ,2.1 ,2.0 ,2.2 ,: 
T,A_MD60,TOTAL,PC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,14.5 ,16.3 ,16.6 ,15.7 ,16.6 ,15.5 ,9.1 ,6.9 ,5.4 ,: 
T,A_MD60,TOTAL,PC,SE,: ,4.0 ,4.2 ,3.6 ,3.3 ,3.6 b,3.9 ,1.9 ,2.8 ,2.7 ,3.0 ,2.5 ,2.6 ,2.6 ,2.7 ,2.6 ,2.8 ,2.5 ,2.5 ,: 
T,A_MD60,TOTAL,PC,SI,: ,: ,3.3 ,1.2 ,2.8 ,2.1 ,1.6 ,2.0 ,1.9 ,2.0 ,2.6 ,2.6 ,2.6 ,2.0 ,1.9 ,1.9 ,1.7 ,1.8 ,1.9 ,: 
T,A_MD60,TOTAL,PC,SK,: ,: ,8.7 ,11.0 ,13.9 ,3.1 ,5.5 ,3.8 ,3.9 ,4.1 ,4.2 ,5.1 ,5.5 ,3.7 ,4.1 ,1.3 ,2.8 ,0.8 ,: ,: 
T,A_MD60,TOTAL,PC,TR,: ,: ,: ,9.0 ,6.6 ,8.4 ,8.5 ,8.4 ,8.1 ,7.6 ,9.1 ,7.4 ,7.6 ,7.1 ,6.7 ,6.9 ,6.7 ,6.2 ,: ,: 
T,A_MD60,TOTAL,PC,UK,: ,: ,7.7 ,9.4 ,9.7 ,9.3 ,8.5 ,8.8 ,9.5 ,3.7 b,4.3 ,6.7 b,6.9 ,6.6 ,6.9 b,7.4 ,: ,: ,: ,: 
T,A_MD60,TOTAL,PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.4 ,: ,: ,: ,: 
T,B_MD60,TOTAL,PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,31.1 ,22.2 ,19.8 ,13.7 ,: ,: 
T,B_MD60,TOTAL,PC,AT,: ,36.7 u,27.4 ,29.1 ,31.4 ,38.1 bu,41.3 u,36.6 u,36.9 u,37.0 ,39.1 ,36.7 ,34.8 ,38.8 ,40.3 ,36.5 ,40.8 ,37.1 ,31.1 ,: 
