sex,incgrp,age,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
T,TOTAL,TOTAL,PC,IE,7.3 ,2.2 ,2.7 ,2.5 ,3.1 ,3.3 ,4.0 ,4.9 ,6.1 ,6.5 ,4.6 ,6.4 ,4.7 ,4.6 ,4.5 ,3.4 ,4.2 ,4.5 b,2.5 ,: 
T,TOTAL,TOTAL,PC,IS,: ,10.3 ,12.5 ,14.3 ,10.5 ,11.4 ,9.5 ,9.6 ,11.3 ,9.0 ,8.8 ,8.1 ,8.2 ,6.3 ,8.4 ,8.9 ,: ,: ,: ,: 
T,TOTAL,TOTAL,PC,IT,: ,12.2 ,12.6 ,12.2 ,7.5 ,8.3 ,7.8 ,7.7 ,8.7 ,8.1 ,8.9 ,8.5 ,8.6 ,9.6 ,8.2 ,8.2 ,8.7 ,7.2 ,7.2 ,: 
T,TOTAL,TOTAL,PC,LT,: ,: ,9.0 ,6.9 ,4.8 ,5.0 ,5.6 ,10.6 ,11.1 ,8.9 ,8.2 ,7.1 ,9.1 ,7.8 ,7.2 ,5.6 ,4.8 ,2.7 ,2.7 ,: 
T,TOTAL,TOTAL,PC,LU,3.6 ,4.5 ,3.8 ,4.8 ,3.9 ,3.7 ,3.7 ,4.7 ,4.2 ,4.9 ,5.6 ,6.8 ,6.0 ,7.0 b,7.1 ,9.3 ,10.1 ,8.5 b,5.1 b,: 
T,TOTAL,TOTAL,PC,LV,: ,: ,12.8 ,10.6 ,9.9 ,8.7 ,9.3 ,9.8 ,12.5 ,11.2 ,11.4 ,9.6 ,8.1 ,7.0 ,6.9 ,6.7 ,5.4 ,4.8 ,4.9 ,: 
T,TOTAL,TOTAL,PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,19.8 ,16.9 ,16.8 ,16.5 ,15.1 ,14.7 ,11.7 ,9.4 ,: ,: 
T,TOTAL,TOTAL,PC,MK,: ,: ,: ,: ,: ,: ,: ,: ,19.5 ,20.1 ,17.6 ,15.6 ,12.3 ,12.5 ,11.7 ,10.2 ,9.9 ,8.5 ,: ,: 
T,TOTAL,TOTAL,PC,MT,: ,: ,1.7 ,1.8 ,2.5 ,3.3 ,2.8 ,3.7 ,3.0 ,2.6 ,2.5 ,1.6 ,1.1 ,1.4 ,1.4 ,1.7 ,2.6 ,2.8 ,2.7 ,: 
T,TOTAL,TOTAL,PC,NL,: ,: ,20.2 ,19.7 ,18.3 ,13.7 ,13.1 ,14.0 ,14.5 ,14.4 ,15.7 ,15.4 ,14.9 ,10.7 b,9.4 ,9.4 ,9.9 ,8.3 ,12.5 ,21.7 
T,TOTAL,TOTAL,PC,NO,: ,8.2 ,4.3 ,10.8 ,12.9 ,12.5 ,10.9 ,9.1 ,10.4 ,9.7 ,9.6 ,8.2 ,9.4 ,9.7 ,9.3 ,10.6 ,10.5 ,9.4 ,: ,: 
T,TOTAL,TOTAL,PC,PL,: ,: ,16.5 ,12.0 ,10.5 ,9.7 ,8.2 ,9.1 ,10.2 ,10.5 ,10.3 ,9.6 ,8.7 ,7.7 ,6.7 ,6.2 ,6.0 ,4.9 b,5.7 p,: 
T,TOTAL,TOTAL,PC,PT,: ,4.7 ,4.3 ,4.5 ,7.4 ,7.6 ,6.1 ,4.2 ,7.2 ,8.3 ,8.3 ,9.2 ,9.1 ,7.5 ,6.7 ,5.7 ,5.7 ,4.1 ,5.9 ,: 
T,TOTAL,TOTAL,PC,RO,: ,: ,: ,: ,19.7 ,19.1 ,15.4 ,15.8 ,10.5 ,18.4 ,16.9 ,16.2 ,15.9 ,14.4 ,12.3 ,10.3 ,8.6 ,7.1 ,7.6 ,: 
T,TOTAL,TOTAL,PC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,28.0 ,31.7 ,33.7 ,31.0 ,33.6 ,31.3 ,21.6 ,17.8 ,15.1 ,: 
T,TOTAL,TOTAL,PC,SE,: ,9.2 ,9.2 ,9.6 ,7.9 ,10.0 b,10.6 ,7.8 ,9.3 ,8.7 ,9.0 ,8.6 ,8.7 ,8.5 ,8.4 ,8.3 ,9.4 ,8.3 ,8.5 ,: 
T,TOTAL,TOTAL,PC,SI,: ,: ,4.7 ,3.0 ,5.0 ,4.4 ,3.9 ,4.3 ,4.7 ,5.2 ,6.0 ,6.4 ,6.1 ,5.7 ,5.2 ,4.9 ,4.1 ,4.4 ,4.1 ,: 
T,TOTAL,TOTAL,PC,SK,: ,: ,14.6 ,16.4 ,17.8 ,5.6 ,9.4 ,7.6 ,8.4 ,8.4 ,8.3 ,9.0 ,9.1 ,7.7 ,8.4 ,4.1 ,5.7 ,3.2 ,: ,: 
T,TOTAL,TOTAL,PC,TR,: ,: ,: ,13.7 ,9.1 ,10.4 ,11.2 ,11.0 ,10.7 ,9.8 ,11.7 ,10.3 ,10.5 ,10.1 ,9.5 ,9.7 ,10.5 ,10.2 ,: ,: 
T,TOTAL,TOTAL,PC,UK,: ,: ,14.7 ,16.4 ,16.3 ,16.3 ,16.3 ,16.5 ,16.4 ,7.3 b,7.9 ,12.5 b,12.4 ,12.3 ,12.4 b,15.1 ,: ,: ,: ,: 
T,TOTAL,TOTAL,PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,11.3 ,: ,: ,: ,: 
