unit,icd10,age,sex,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
RT,X85-Y09_Y871,TOTAL,T,IE,0.8 ,1.0 ,1.0 ,0.8 ,0.5 ,0.8 ,0.8 ,1.0 ,0.8 ,0.8 ,0.8 ,0.61 ,0.87 ,0.56 ,0.71 ,0.46 ,0.52 ,0.36 ,0.45 p,0.28 p,0.15 
RT,X85-Y09_Y871,TOTAL,T,IS,2.1 ,0.6 ,1.9 ,: ,1.3 ,0.9 ,0.3 ,0.6 ,0.2 ,0.3 ,: ,0.81 ,0.33 ,0.95 ,0.26 ,1.26 ,0.32 ,0.84 ,0.34 p,0 p,0.62 
RT,X85-Y09_Y871,TOTAL,T,IT,1.0 ,0.9 ,0.9 ,1.1 ,: ,: ,0.9 ,0.9 ,0.8 ,0.8 ,0.7 ,0.66 ,0.68 ,0.6 ,0.56 ,0.57 ,0.51 ,0.48 ,0.46 p,0.38 p,0.35 
RT,X85-Y09_Y871,TOTAL,T,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.17 ,: ,: ,0 ,0 p,0 p,0 
RT,X85-Y09_Y871,TOTAL,T,LT,10.7 ,10.8 ,7.3 ,10.2 ,8.8 ,9.7 ,8.1 ,7.5 ,7.9 ,6.3 ,5.6 ,5.11 ,4.4 ,4.9 ,3.81 ,4.11 ,3.63 ,2.84 ,2.56 p,2.2 p,2.47 
RT,X85-Y09_Y871,TOTAL,T,LU,1.0 ,1.7 ,1.7 ,0.8 ,0.4 ,1.5 ,1.4 ,1.3 ,1.0 ,1.0 ,2.3 ,0.38 ,0.33 ,0.16 ,1.11 ,0.94 ,0.45 ,0.15 ,0.44 p,0.69 p,0.3 
RT,X85-Y09_Y871,TOTAL,T,LV,13.0 ,12.5 ,12.0 ,11.1 ,9.8 ,10.6 ,9.8 ,8.8 ,7.9 ,6.6 ,6.7 ,6.22 ,6.25 ,5.91 ,6.95 ,5.14 ,4.54 ,3.76 ,3.84 p,3.32 p,3.5 
RT,X85-Y09_Y871,TOTAL,T,MK,3.8 ,6.7 ,3.7 ,3.2 ,3.4 ,3.0 ,2.7 ,2.5 ,1.9 ,1.5 ,2.4 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
RT,X85-Y09_Y871,TOTAL,T,MT,1.2 ,2.1 ,1.3 ,: ,1.3 ,0.5 ,: ,0.8 ,1.2 ,0.7 ,1.0 ,0.45 ,1.33 ,1.37 ,0.82 ,0.69 ,0.8 ,1.6 ,1.63 p,0.52 p,0.98 
RT,X85-Y09_Y871,TOTAL,T,NL,1.1 ,1.2 ,1.1 ,1.2 ,1.2 ,1.0 ,0.8 ,0.9 ,0.9 ,0.9 ,0.9 ,0.85 ,0.84 ,0.79 ,0.79 ,0.65 ,0.62 ,0.78 ,0.6 p,0.64 p,0.61 
RT,X85-Y09_Y871,TOTAL,T,NO,1.2 ,0.7 ,0.9 ,1.0 ,0.8 ,0.6 ,1.0 ,0.7 ,0.6 ,0.7 ,0.6 ,2.12 ,0.6 ,0.91 ,0.58 ,0.43 ,0.66 ,0.54 ,0.44 p,0.52 p,0.63 
RT,X85-Y09_Y871,TOTAL,T,PL,2.3 ,1.9 ,1.9 ,1.6 ,1.5 ,1.5 ,1.5 ,1.4 ,1.3 ,1.1 ,0.9 ,1.08 ,0.99 ,1.12 ,0.89 ,0.78 ,0.76 ,0.7 ,0.54 p,0.66 p,0.58 
RT,X85-Y09_Y871,TOTAL,T,PT,0.9 ,1.2 ,1.7 ,1.6 ,1.7 ,1.4 ,1.7 ,1.0 ,1.4 ,1.0 ,1.2 ,0.94 ,1.12 ,0.92 ,1.02 ,1.01 ,0.78 ,0.69 ,0.76 p,0.85 p,0.8 
RT,X85-Y09_Y871,TOTAL,T,RO,3.9 ,3.8 ,4.0 ,4.1 ,3.8 ,2.7 ,2.4 ,2.2 ,2.6 ,2.5 ,2.6 ,2.22 ,2.27 ,1.87 ,1.87 ,1.6 ,1.56 ,1.47 ,1.43 p,1.45 p,1.47 
RT,X85-Y09_Y871,TOTAL,T,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.73 ,1.59 ,2.12 ,1.69 ,1.43 ,1.75 ,1.29 ,1.42 p,1.23 p,1.31 
RT,X85-Y09_Y871,TOTAL,T,SE,1.1 ,1.0 ,1.2 ,0.9 ,1.1 ,0.9 ,0.9 ,1.2 ,0.8 ,0.9 ,0.9 ,0.77 ,0.66 ,0.82 ,0.82 ,0.99 ,0.94 ,1.06 ,1.03 p,1.04 p,1.26 
RT,X85-Y09_Y871,TOTAL,T,SI,1.1 ,0.8 ,1.3 ,1.4 ,1.8 ,1.1 ,0.6 ,1.0 ,0.6 ,0.6 ,0.5 ,0.87 ,0.77 ,0.95 ,0.96 ,0.75 ,0.69 ,1.08 ,0.7 p,0.41 p,0.73 
RT,X85-Y09_Y871,TOTAL,T,SK,2.3 ,2.2 ,2.4 ,2.0 ,1.9 ,1.7 ,1.6 ,1.3 ,1.3 ,1.2 ,1.3 ,1.48 ,1.09 ,1.37 ,0.9 ,0.84 ,0.74 ,0.48 ,0.58 p,0.58 p,0.59 
RT,X85-Y09_Y871,TOTAL,T,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.22 d,1.19 d,1.74 d,1.5 d,1.3 d,1.68 d,1.69 d,1.38 dp,0.99 dp,: 
RT,X85-Y09_Y871,TOTAL,T,UK,0.9 ,0.4 ,0.4 ,0.5 ,0.5 ,0.4 ,0.4 ,0.4 ,0.3 ,0.3 ,0.3 ,0.19 d,0.17 d,0.16 d,0.13 d,0.13 d,0.14 d,0.13 d,0.14 dp,: ,: 
