unit,icd10,age,sex,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
RT,X85-Y09_Y871,TOTAL,F,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 p,0 p,0 
RT,X85-Y09_Y871,TOTAL,F,LT,5.6 ,5.2 ,3.3 ,5.7 ,5.1 ,5.1 ,4.0 ,3.5 ,4.3 ,3.2 ,3.1 ,2.85 ,2.25 ,2.5 ,1.88 ,2.44 ,1.8 ,1.45 ,0.69 p,0.98 p,1.04 
RT,X85-Y09_Y871,TOTAL,F,LU,0.9 ,1.4 ,1.6 ,1.1 ,0.5 ,0.8 ,0.7 ,0.4 ,0.4 ,0.4 ,1.7 ,: ,: ,0.33 ,0.99 ,0.67 ,0.29 ,0 ,0.64 p,0.72 p,0 
RT,X85-Y09_Y871,TOTAL,F,LV,6.4 ,6.9 ,7.0 ,6.7 ,6.5 ,5.3 ,4.9 ,3.9 ,4.5 ,2.7 ,3.5 ,3 ,2.99 ,3.05 ,3.5 ,2.87 ,1.95 ,1.99 ,1.94 p,1.13 p,1.88 
RT,X85-Y09_Y871,TOTAL,F,MK,2.0 ,1.4 ,1.2 ,1.8 ,2.1 ,1.0 ,1.4 ,1.3 ,0.8 ,0.9 ,1.3 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
RT,X85-Y09_Y871,TOTAL,F,MT,1.1 ,2.2 ,1.0 ,: ,1.8 ,0.6 ,: ,0.0 ,0.5 ,1.0 ,0.6 ,0.92 ,1.05 ,: ,: ,0.45 ,0.86 ,0.51 ,1.39 p,0.67 p,0.3 
RT,X85-Y09_Y871,TOTAL,F,NL,0.7 ,0.8 ,0.7 ,0.9 ,0.6 ,0.7 ,0.6 ,0.5 ,0.6 ,0.6 ,0.7 ,0.61 ,0.57 ,0.67 ,0.37 ,0.5 ,0.41 ,0.5 ,0.44 p,0.49 p,0.5 
RT,X85-Y09_Y871,TOTAL,F,NO,1.0 ,0.5 ,0.6 ,0.9 ,0.6 ,0.5 ,1.1 ,0.7 ,0.3 ,0.6 ,0.6 ,1.93 ,0.35 ,0.72 ,0.31 ,0.47 ,0.54 ,0.42 ,0.33 p,0.66 p,0.64 
RT,X85-Y09_Y871,TOTAL,F,PL,1.2 ,1.0 ,1.0 ,0.9 ,0.7 ,0.8 ,0.9 ,0.6 ,0.7 ,0.6 ,0.6 ,0.64 ,0.51 ,0.62 ,0.45 ,0.45 ,0.41 ,0.38 ,0.26 p,0.33 p,0.3 
RT,X85-Y09_Y871,TOTAL,F,PT,0.6 ,0.6 ,1.0 ,0.7 ,0.9 ,0.7 ,0.9 ,0.6 ,0.8 ,0.5 ,0.8 ,0.6 ,0.73 ,0.63 ,1 ,0.61 ,0.39 ,0.42 ,0.46 p,0.71 p,0.57 
RT,X85-Y09_Y871,TOTAL,F,RO,2.2 ,2.0 ,2.5 ,2.3 ,2.4 ,1.6 ,1.5 ,1.4 ,1.7 ,1.6 ,1.6 ,1.49 ,1.41 ,1.21 ,1.22 ,1.05 ,0.92 ,0.89 ,0.86 p,0.96 p,0.95 
RT,X85-Y09_Y871,TOTAL,F,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.96 ,0.94 ,1.5 ,0.84 ,1.04 ,1.24 ,0.92 ,0.82 p,0.84 p,0.76 
RT,X85-Y09_Y871,TOTAL,F,SE,0.8 ,0.6 ,0.8 ,0.6 ,0.8 ,0.7 ,0.7 ,0.7 ,0.5 ,0.8 ,0.5 ,0.46 ,0.49 ,0.48 ,0.54 ,0.55 ,0.55 ,0.47 ,0.53 p,0.44 p,0.48 
RT,X85-Y09_Y871,TOTAL,F,SI,0.8 ,0.4 ,0.8 ,1.5 ,1.2 ,0.9 ,0.4 ,0.8 ,0.5 ,0.6 ,0.5 ,1.02 ,0.54 ,0.74 ,0.96 ,0.86 ,0.49 ,0.75 ,0.69 p,0.3 p,1.02 
RT,X85-Y09_Y871,TOTAL,F,SK,1.1 ,1.4 ,1.5 ,1.3 ,1.3 ,1.1 ,0.8 ,1.0 ,0.8 ,0.9 ,1.1 ,1.25 ,0.84 ,1.15 ,0.67 ,0.61 ,0.6 ,0.36 ,0.46 p,0.24 p,0.41 
RT,X85-Y09_Y871,TOTAL,F,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.47 d,0.4 d,0.66 d,0.55 d,0.51 d,0.64 d,0.65 d,0.52 dp,0.46 dp,: 
RT,X85-Y09_Y871,TOTAL,F,UK,0.6 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.14 d,0.09 d,0.1 d,0.11 d,0.1 d,0.09 d,0.09 d,0.08 dp,: ,: 
RT,X85-Y09_Y871,TOTAL,M,AL,: ,: ,: ,: ,7.4 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
RT,X85-Y09_Y871,TOTAL,M,AT,0.7 ,0.8 ,0.8 ,0.7 ,0.7 ,0.9 ,0.9 ,0.6 ,0.6 ,0.6 ,0.4 ,0.64 ,0.38 ,0.42 ,0.46 ,0.45 ,0.41 ,0.48 ,0.52 p,0.45 p,0.35 
RT,X85-Y09_Y871,TOTAL,M,BE,: ,: ,: ,1.6 ,1.8 ,1.8 ,1.8 ,1.7 ,1.6 ,1.5 ,1.4 ,1.57 ,1.48 ,1.04 ,1.27 ,1.17 ,1.37 ,1.23 ,1.19 p,1.01 p,0.94 
RT,X85-Y09_Y871,TOTAL,M,BG,5.1 ,5.0 ,4.8 ,4.7 ,4.6 ,3.8 ,2.6 ,3.0 ,2.2 ,3.0 ,2.3 ,1.9 ,2.35 ,1.69 ,1.91 ,2.21 ,1.56 ,1.55 ,1.57 p,1.47 p,0.98 
RT,X85-Y09_Y871,TOTAL,M,CH,0.7 ,1.3 ,0.9 ,0.6 ,0.9 ,0.9 ,0.4 ,0.6 ,0.6 ,0.7 ,0.5 ,0.52 ,0.54 ,0.44 ,0.31 ,0.63 ,0.27 ,0.4 ,0.44 p,0.38 p,0.44 
RT,X85-Y09_Y871,TOTAL,M,CY,: ,: ,: ,: ,1.7 ,3.7 ,3.0 ,2.5 ,2.0 ,3.1 ,0.9 ,3.53 ,3.17 ,2.17 ,1.34 ,2.21 ,1.52 ,1.88 ,1.4 p,1.13 p,2.01 
RT,X85-Y09_Y871,TOTAL,M,CZ,2.1 ,1.6 ,1.6 ,1.8 ,1.8 ,1.1 ,1.2 ,1.1 ,1.0 ,1.0 ,0.9 ,1.18 ,1.17 ,0.89 ,0.91 ,1.08 ,0.54 ,0.67 ,0.58 p,0.84 p,0.62 
RT,X85-Y09_Y871,TOTAL,M,DE,0.8 ,0.8 ,0.8 ,0.8 ,0.7 ,0.6 ,0.6 ,0.6 ,0.6 ,0.5 ,0.6 ,0.6 ,0.55 ,0.48 ,0.45 ,0.54 ,0.47 ,0.47 ,0.42 p,0.45 p,0.48 
RT,X85-Y09_Y871,TOTAL,M,DK,1.3 ,1.1 ,1.4 ,1.2 ,0.8 ,1.4 ,0.9 ,1.0 ,1.1 ,1.0 ,: ,1.16 ,0.42 ,0.48 ,0.81 ,0.72 ,0.6 ,1.24 ,0.94 p,0.82 p,0.95 
RT,X85-Y09_Y871,TOTAL,M,EE,29.6 ,27.4 ,20.0 ,16.8 ,15.6 ,16.3 ,12.4 ,11.9 ,11.5 ,9.6 ,8.0 ,7.84 ,7.85 ,5.59 ,5.19 ,6.14 ,4.06 ,3.49 ,4.02 p,3.15 p,5.03 
RT,X85-Y09_Y871,TOTAL,M,EL,1.5 ,1.6 ,1.1 ,1.6 ,1.3 ,1.4 ,1.4 ,1.7 ,1.9 ,2.1 ,2.3 ,2.63 ,2.27 ,1.93 ,1.67 ,1.21 ,1.19 ,1.23 ,1.36 p,1.25 p,1.07 
RT,X85-Y09_Y871,TOTAL,M,ES,1.4 ,1.5 ,1.5 ,1.4 ,1.7 ,1.3 ,1.1 ,1.0 ,1.1 ,1.0 ,0.9 ,0.96 ,0.84 ,0.88 ,0.83 ,0.7 ,0.73 ,0.82 ,0.72 p,0.73 p,0.78 
RT,X85-Y09_Y871,TOTAL,M,EU27_2020,: ,: ,2 e,1.9 e,1.9 e,1.7 e,1.6 e,1.5 e,1.5 e,1.4 e,1.3 e,1.28 ,1.22 ,1.11 ,1.03 ,0.99 ,0.92 ,0.89 ,0.91 p,0.91 p,0.89 
RT,X85-Y09_Y871,TOTAL,M,EU28,: ,: ,1.8 e,1.8 e,1.7 e,1.6 e,1.4 e,1.4 e,1.4 e,1.3 e,1.2 e,1.15 d,1.1 d,1 d,0.92 ,0.89 ,0.83 ,0.8 ,0.82 p,: ,: 
