unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
EUR_HAB,LT,13.9 ,16.0 ,18.2 ,20.3 ,22.8 ,25.5 ,29.3 ,34.3 ,38.8 ,27.0 ,27.0 ,27.8 ,29.7 ,29.2 ,32.7 ,35.8 ,36.9 ,39.0 ,41.7 ,45.1 ,47.4 ,46.6 
EUR_HAB,LU,97.5 ,119.3 ,123.8 ,129.6 ,129.8 ,140.4 ,147.4 ,150.2 ,159.0 ,170.2 ,182.4 ,179.0 ,180.1 ,182.1 ,182.3 ,190.4 ,202.9 ,205.7 ,213.4 ,229.3 ,239.9 ,253.0 p
EUR_HAB,LV,: ,16.8 ,17.4 ,19.7 ,21.5 ,24.8 ,30.3 ,41.9 ,45.8 ,36.0 ,33.8 ,42.7 ,44.0 ,45.7 ,47.1 ,51.4 ,52.3 ,57.0 ,62.7 ,67.5 ,73.8 ,82.1 
EUR_HAB,MT,: ,39.4 ,47.0 ,52.4 ,47.4 ,50.3 ,43.7 ,48.4 ,50.1 ,50.2 ,50.4 ,55.3 ,55.7 ,65.7 ,66.9 ,49.6 ,63.0 ,62.3 ,65.1 ,79.1 ,88.6 ,112.6 
EUR_HAB,NL,60.2 ,70.8 ,79.5 ,90.5 ,93.2 ,95.9 ,98.3 ,106.5 ,108.6 ,116.1 ,118.0 ,121.2 ,117.3 ,116.5 ,114.0 ,112.8 ,114.7 ,118.2 ,124.9 ,127.7 ,133.2 p,132.3 p
EUR_HAB,NO,62.2 ,65.5 ,82.9 ,81.8 ,79.4 ,89.6 ,87.9 ,92.9 ,94.6 ,93.1 ,102.2 ,109.3 ,123.8 ,120.2 ,123.4 ,103.6 ,105.2 ,104.5 ,102.8 ,104.4 ,98.3 ,107.3 
EUR_HAB,PL,: ,26.8 ,25.6 ,27.8 ,26.7 ,35.1 ,42.2 ,49.0 ,59.6 ,47.3 ,54.0 ,49.9 ,54.1 ,53.2 ,55.4 ,57.8 ,56.8 ,61.0 ,65.9 ,71.5 ,76.2 ,78.1 
EUR_HAB,PT,34.8 ,35.5 ,50.9 ,60.5 ,52.0 ,57.7 ,61.3 ,57.7 ,61.1 ,62.1 ,68.8 ,69.2 ,54.7 ,61.1 ,57.5 ,60.9 ,62.8 ,62.7 ,67.0 ,67.4 ,70.6 ,72.1 p
EUR_HAB,RO,: ,: c,5.9 ,6.5 ,7.5 b,11.4 ,16.5 ,23.2 ,23.9 ,19.1 ,21.0 ,22.3 ,22.9 ,29.8 ,29.2 ,28.9 ,33.3 ,46.3 ,42.7 ,47.7 ,48.2 ,56.3 p
EUR_HAB,SE,: ,81.1 ,86.1 ,88.2 ,88.9 ,87.1 ,97.7 ,105.5 ,101.7 ,93.8 ,109.5 ,119.7 ,125.6 ,133.1 ,127.3 ,124.6 ,128.8 ,129.6 ,123.9 ,123.0 ,123.5 ,133.4 
EUR_HAB,SI,63.5 ,68.0 ,70.7 ,74.0 ,78.1 ,82.6 ,80.1 ,86.5 ,97.8 b,99.5 ,102.2 ,99.7 ,96.9 ,96.3 ,94.2 ,92.6 ,96.3 ,95.9 ,100.0 ,105.5 ,107.7 ,112.9 
EUR_HAB,SK,: ,21.1 e,21.4 e,17.5 ,18.9 p,20.0 ,26.9 ,28.7 ,33.9 ,41.1 ,38.5 ,40.7 ,41.6 ,44.5 ,44.3 ,48.8 ,39.6 ,41.6 ,46.1 ,56.5 ,54.0 ,53.5 
MIO_EUR,AT,606 ,646 ,658 ,693 ,712 ,695 ,709 ,723 ,775 ,826 ,823 ,843 ,879 ,894 ,961 ,1009 ,1019 ,1047 ,1065 ,1076 ,1082 ,1127 
MIO_EUR,BE,: ,707 ,797 ,836 ,837 ,865 ,952 ,917 ,1012 ,990 ,1037 ,1056 ,1172 ,1119 ,1085 ,1028 ,1134 ,1141 ,1163 ,1173 ,1202 ,1324 
MIO_EUR,BG,56 ,56 ,67 ,88 ,116 ,138 ,172 ,240 ,265 ,257 ,210 ,254 ,248 ,266 ,284 ,304 ,300 ,332 ,341 ,416 ,441 ,506 
MIO_EUR,CH,743 ,782 ,840 ,850 ,886 ,926 ,932 ,932 ,934 ,1017 ,1149 ,1478 ,1508 ,1499 ,1550 ,1798 ,1744 ,1739 ,1712 ,1839 ,1957 ,1973 
MIO_EUR,CY,14 ,15 ,17 ,20 ,20 ,22 ,23 ,25 ,25 ,26 ,26 ,26 ,26 ,26 ,22 ,22 ,23 ,26 ,35 ,30 ,34 ,33 
MIO_EUR,CZ,201 ,226 ,279 ,285 ,288 ,351 ,369 ,404 ,482 ,478 ,470 ,488 ,462 ,476 ,464 ,547 ,549 ,579 ,634 ,697 ,704 ,727 
MIO_EUR,DE,8942 ,9293 ,9595 ,9564 ,9644 ,9948 ,10089 ,10087 ,10258 ,10525 ,10647 ,10805 ,11006 ,11310 ,11789 ,11987 ,12102 ,12513 ,12997 ,13482 p,13364 p,14330 p
MIO_EUR,DK,315 ,320 ,328 ,349 ,368 ,369 ,404 ,425 ,449 ,518 ,473 ,552 ,502 ,446 ,450 ,452 ,461 ,444 ,461 ,497 ,516 ,548 
MIO_EUR,EA19,: ,23428 ,25158 ,26345 ,26008 ,27381 ,27836 ,28754 ,30137 ,31522 ,31658 ,32625 ,31794 ,32493 ,32997 ,33497 ,33894 ,34890 ,36402 ,37608 ,37683 ,39825 
MIO_EUR,EA20,: ,23584 ,25324 ,26506 ,26196 ,27567 ,28029 ,28986 ,30379 ,31774 ,31885 ,32836 ,32013 ,32708 ,33205 ,33708 ,34109 ,35115 ,36639 ,37861 ,37941 ,40089 
MIO_EUR,EE,16 ,16 ,17 ,20 ,26 ,28 ,31 ,41 ,56 ,42 ,41 ,44 ,48 ,53 ,62 ,63 ,67 ,73 ,77 ,86 ,86 ,86 
MIO_EUR,EL,: ,387 ,420 ,430 ,470 ,487 ,518 ,575 ,765 ,848 ,675 ,656 ,583 ,626 ,735 ,551 ,583 ,596 ,671 ,669 ,674 ,648 
MIO_EUR,ES,1774 ,1993 ,2248 ,2608 ,2635 ,2855 ,3005 ,3420 ,3824 ,4127 ,4192 ,4088 ,3860 ,3759 ,3699 ,3877 ,3875 ,3956 ,4112 ,4251 ,4363 ,4583 p
MIO_EUR,EU27_2020,: ,26240 ,28124 ,29494 ,29332 ,31215 ,32227 ,33783 ,35731 ,36505 ,36951 ,38030 ,37374 ,38252 ,38761 ,39457 ,40010 ,41540 ,43259 ,45009 ,45305 ,47907 
MIO_EUR,FI,: ,348 ,366 ,383 ,379 ,390 ,393 ,411 ,440 ,478 ,487 ,455 ,468 ,481 ,489 ,488 ,504 ,544 ,553 ,617 ,566 ,573 
MIO_EUR,FR,3062 ,3278 ,3578 ,3703 ,3884 ,3854 ,3917 ,4022 ,4324 ,4581 ,4757 ,4699 ,4806 ,4839 ,4977 ,5008 ,5173 ,5262 ,5536 ,5685 ,5713 p,6272 p
MIO_EUR,HR,144 ,156 ,166 ,161 ,188 ,187 ,193 ,232 ,242 ,252 ,227 ,211 ,219 ,216 ,208 ,211 ,215 ,225 ,236 ,253 ,258 ,264 
MIO_EUR,HU,172 ,199 ,252 ,276 ,386 ,419 ,407 ,412 ,457 ,397 ,382 ,399 ,410 ,434 ,410 ,429 ,475 ,515 ,560 ,605 ,574 ,590 
MIO_EUR,IE,201 ,255 ,290 ,330 ,353 ,366 ,401 ,470 ,511 ,446 ,445 ,607 ,561 ,562 ,550 ,569 ,594 ,632 ,677 ,716 ,744 ,753 
MIO_EUR,IS,19 ,18 ,19 ,22 ,23 ,28 ,28 ,32 ,20 ,18 ,19 ,19 ,22 ,24 ,27 ,34 ,41 ,51 ,55 ,54 ,47 ,51 
MIO_EUR,IT,: ,4574 ,4925 ,5222 ,4523 ,5201 ,4988 ,5086 ,5013 ,5364 ,5153 ,5878 ,5124 ,5484 ,5351 ,5562 ,5450 ,5632 ,5818 ,5948 ,5814 ,6000 
